Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2
889,574,646,1209,1745,322,698
882,573,650,1194,1764,349,663
891,523,702,1191,1767,418,599
891,523,702,1155,1803,667,458
891,482,740,1158,1603,728,458
891,479,724,1170,1587,763,458
891,464,645,1189,1658,763,458
889,465,646,1178,1669,699,458
889,465,646,1131,1649,706,458
889,465,632,1145,1649,767,458
985,421,509,1312,1649,962,458
1082,421,509,1312,1647,951,443
1090,421,509,1312,1647,986,501
1090,385,545,1312,1647,1014,505
1042,345,633,1312,1637,1034,478
780,612,633,1312,1299,1040,500
716,722,633,1282,1296,1040,490
710,731,633,1247,1326,1066,490
533,908,633,1247,1326,1184,237
531,868,675,1247,1309,1170,239
839,873,675,1246,1269,1373,229
839,896,675,1079,1414,1402,229
863,905,675,1079,1372,1397,229
865,962,675,1079,1298,1380,229
749,1078,675,1079,1245,1336,245
715,1090,701,1079,1164,1336,270
713,912,888,1079,1164,1336,251
709,920,888,953,902,1336,251
890,920,888,316,1349,1336,251
1136,920,587,607,1303,1316,251
1144,920,587,604,1305,1275,255
1214,889,574,646,1209,1275,279
1352,882,573,650,1194,1248,279
1470,891,523,702,1191,1180,279
1507,891,523,702,1155,931,279
1507,891,482,740,1158,882,283
1507,891,479,724,1170,896,295
1507,891,464,645,1189,896,295
1507,889,465,646,1178,896,295
1659,889,465,646,1131,1043,299
1758,889,465,632,1145,1121,310
1805,985,421,509,1312,947,336
1768,1082,421,509,1312,977,369
1812,1090,421,509,1312,942,311
1828,1090,385,545,1312,927,306
2000,1042,345,633,1312,907,293
2010,780,612,633,1312,901,271
2055,716,722,633,1282,990,270
2052,710,731,633,1247,964,269
2060,533,908,633,1247,846,268
2065,531,868,675,1247,799,266
1789,839,873,675,1246,555,266
1767,839,896,675,1079,526,266
1734,863,905,675,1079,518,266
1675,865,962,675,1079,515,266
1675,749,1078,675,1079,528,207
1683,715,1090,701,1079,528,126
1687,713,912,888,1079,528,124
1719,709,920,888,953,544,124
1538,890,920,888,316,545,124
1292,1136,920,587,607,545,124
1286,1144,920,587,604,545,120
1218,1214,889,574,646,545,96
1080,1352,882,573,650,668,97
951,1470,891,523,702,670,97
914,1507,891,523,702,670,97
928,1507,891,482,740,658,93
928,1507,891,479,724,608,87
997,1507,891,464,645,690,95
997,1507,889,465,646,693,116
845,1659,889,465,646,562,167
746,1758,889,465,632,504,579
617,1805,985,421,509,511,589
557,1768,1082,421,509,478,564
511,1812,1090,421,509,491,698
497,1828,1090,385,545,478,708
325,2000,1042,345,633,497,784
310,2010,780,612,633,513,784
219,2055,716,722,633,424,788
219,2052,710,731,633,424,860
211,2060,533,908,633,425,1055
234,2065,531,868,675,573,1208
197,1789,839,873,675,693,1302
196,1767,839,896,675,778,1608
196,1734,863,905,675,936,1659
196,1675,865,962,675,937,1671
279,1675,749,1078,675,925,1669
267,1683,715,1090,701,989,1690
256,1687,713,912,888,1032,1719
328,1719,709,920,888,1146,1737
328,1538,890,920,888,1162,1758
358,1292,1136,920,587,1162,1776
441,1286,1144,920,587,1289,1779
440,1218,1214,889,574,1352,1779
