Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
818,654,1433,541,472,898,227,1309,527,902,781,1013,551,626,839,587,207,665,506,323,315
818,654,1428,546,472,898,225,1241,569,930,754,929,551,675,786,617,207,665,371,321,317
820,654,1382,592,472,844,247,1272,535,947,772,871,554,681,755,638,207,623,361,335,561
820,654,1367,607,472,715,356,1114,647,856,929,870,579,673,750,653,201,623,297,601,561
833,653,1105,870,472,562,502,1096,519,1001,937,870,550,595,747,653,189,623,297,910,560
869,653,1050,925,472,559,505,1069,545,1002,846,881,494,551,747,653,189,623,329,921,552
841,585,1091,980,472,559,505,1039,574,1003,832,787,450,332,744,678,190,623,329,917,541
780,646,1059,1012,472,559,504,1034,568,993,854,779,438,319,631,710,212,653,329,917,471
720,706,859,1212,472,536,527,1027,575,992,721,769,389,327,630,710,329,757,329,917,471
827,708,855,1216,472,536,527,1025,577,946,759,785,409,368,582,849,430,806,362,957,443
771,530,1089,1181,507,535,520,901,709,666,1039,760,473,369,515,851,495,621,369,955,417
711,433,1246,1171,517,535,515,904,711,549,1156,750,470,367,515,927,495,520,464,1044,404
711,330,1349,1171,517,535,515,821,794,540,1165,748,591,343,437,1054,498,474,577,1046,404
727,271,1368,1211,517,535,515,784,782,589,848,745,594,311,430,1054,528,473,583,1046,404
739,267,1260,1275,563,537,480,819,778,551,834,745,594,286,430,1054,531,473,698,1041,404
745,267,1130,1382,586,537,480,819,745,525,820,745,523,260,430,1054,523,473,718,1041,386
756,267,1130,1380,573,552,479,541,1020,458,890,474,557,260,448,1054,568,509,655,1041,404
767,267,1080,1419,572,564,465,553,1022,455,893,415,590,260,454,1027,641,449,672,1130,557
739,295,986,1435,650,493,535,552,1024,455,893,385,591,259,369,930,713,421,674,1193,557
711,328,960,1402,701,496,494,598,1024,455,893,366,607,293,460,883,713,438,660,1256,537
646,393,857,1469,650,547,512,616,1024,439,909,312,624,293,430,872,705,470,660,1256,590
634,405,718,1491,767,508,551,616,1024,439,909,157,756,316,431,861,705,448,660,1294,576
609,430,694,1457,777,496,611,616,1024,439,909,157,756,316,553,861,705,449,660,1280,591
574,465,693,1448,642,609,631,529,1123,439,909,159,756,250,526,861,840,472,660,1276,540
573,466,693,1448,487,763,631,530,1123,439,885,90,756,285,513,861,749,512,794,1365,542
559,498,693,1448,487,681,713,530,1123,439,851,117,769,396,513,861,726,552,825,1391,561
382,750,693,1445,490,598,796,495,1158,439,851,117,809,443,513,860,726,599,926,1391,592
334,809,693,1444,491,582,788,519,1143,454,851,117,997,487,512,657,726,610,938,1391,677
461,818,693,1444,491,569,801,444,1203,469,849,117,940,488,512,557,721,610,898,1374,684
461,818,668,1469,491,558,812,275,1372,469,849,208,936,517,620,731,691,645,900,1281,684
465,818,654,1479,495,514,856,228,1419,465,853,222,931,540,620,866,691,645,840,1259,697
488,818,654,1433,541,472,898,227,1309,527,902,222,938,540,628,796,691,645,840,1234,712
504,818,654,1428,546,472,898,225,1241,569,930,356,947,491,628,766,691,646,859,1293,724
517,820,654,1382,592,472,844,247,1272,535,947,364,944,485,644,885,691,646,864,1282,480
523,820,654,1367,607,472,715,356,1114,647,856,364,858,492,676,870,691,658,863,986,521
510,833,653,1105,870,472,562,502,1096,519,1001,364,857,822,680,1077,691,689,857,620,521
474,869,653,1050,925,472,559,505,1069,545,1002,353,857,822,732,1116,691,689,805,638,521
476,841,585,1091,980,472,559,505,1039,574,1003,666,857,822,756,1090,690,705,805,646,521
476,780,646,1059,1012,472,559,504,1034,568,993,678,832,822,771,1092,668,649,805,662,521
476,720,706,859,1212,472,536,527,1027,575,992,748,811,814,775,1310,551,577,805,669,521
367,827,708,855,1216,472,536,527,1025,577,946,733,789,773,776,1171,450,508,772,629,521
367,771,530,1089,1181,507,535,520,901,709,666,733,725,770,776,1178,385,506,765,629,521
367,711,433,1246,1171,517,535,515,904,711,549,733,725,779,776,1144,480,506,670,540,556
367,711,330,1349,1171,517,535,515,821,794,540,733,607,813,776,1098,484,533,557,677,580
351,727,271,1368,1211,517,535,515,784,782,589,733,603,812,776,1180,464,533,551,677,580
339,739,267,1260,1275,563,537,480,819,778,551,733,609,812,776,1410,461,533,436,677,832
333,745,267,1130,1382,586,537,480,819,745,525,733,610,812,776,1516,466,533,416,677,1213
322,756,267,1130,1380,573,552,479,541,1020,458,733,618,812,764,1606,417,497,416,677,1290
311,767,267,1080,1419,572,564,465,553,1022,455,757,585,930,749,1747,344,497,391,588,1129
311,739,295,986,1435,650,493,535,552,1024,455,791,584,1024,716,1843,272,487,388,532,1129
330,711,328,960,1402,701,496,494,598,1024,455,791,568,991,485,1843,273,470,388,469,1129
330,646,393,857,1469,650,547,512,616,1024,439,791,551,1016,477,1871,286,438,388,469,1052
330,634,405,718,1491,767,508,551,616,1024,439,793,405,1053,514,1911,295,408,388,431,1052
340,609,430,694,1457,777,496,611,616,1024,439,793,486,1053,410,1921,316,389,388,431,1048
408,574,465,693,1448,642,609,631,529,1123,439,791,717,1053,410,1989,251,400,388,431,1072
492,573,466,693,1448,487,763,631,530,1123,439,781,717,1018,354,2059,250,384,254,342,1070
474,559,498,693,1448,487,681,713,530,1123,439,754,896,907,354,2314,295,359,223,316,1091
415,382,750,693,1445,490,598,796,495,1158,439,772,883,858,354,2317,366,312,59,320,1182
406,334,809,693,1444,491,582,788,519,1143,454,929,667,1022,354,2322,383,301,37,320,1191
270,461,818,693,1444,491,569,801,444,1203,469,937,887,1062,410,2331,395,301,65,320,1184
270,461,818,668,1469,491,558,812,275,1372,469,846,920,1003,301,2139,395,266,96,320,1184
274,465,818,654,1479,495,514,856,228,1419,465,832,1176,980,314,2003,419,266,97,320,1171
465,488,818,654,1433,541,472,898,227,1309,527,854,1208,980,339,2003,426,266,97,381,1258
449,504,818,654,1428,546,472,898,225,1241,569,721,1211,980,356,2003,426,272,78,322,1268
436,517,820,654,1382,592,472,844,247,1272,535,759,1219,1190,360,1868,426,273,73,374,1378
524,523,820,654,1367,607,472,715,356,1114,647,1039,1328,1177,424,1868,426,261,73,351,1337
538,510,833,653,1105,870,472,562,502,1096,519,1156,1364,809,421,1766,426,230,75,541,1339
541,474,869,653,1050,925,472,559,505,1069,545,1165,1402,824,391,1727,426,268,75,512,1339
539,476,841,585,1091,980,472,559,505,1039,574,848,1415,824,454,1727,426,252,75,510,1344
561,476,780,646,1059,1012,472,559,504,1034,568,834,1415,824,543,1821,426,252,75,494,1348
561,476,720,706,859,1212,472,536,527,1027,575,820,1415,824,540,1628,426,217,75,488,1349
561,367,827,708,855,1216,472,536,527,1025,577,890,1415,824,539,1679,426,158,77,640,1349
561,367,771,530,1089,1181,507,535,520,901,709,893,1415,824,539,1701,426,158,77,682,1349
