Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
521,917,715,413,557,584,984
515,852,786,433,571,677,992
453,888,812,444,548,766,992
360,930,863,479,538,766,992
392,927,892,638,876,726,992
418,811,1008,724,869,685,992
423,801,1018,724,908,685,984
437,803,1018,762,959,662,955
379,857,1022,902,1144,723,873
378,825,1055,903,1191,721,870
331,696,1231,903,1160,722,870
331,673,1254,903,1173,737,721
326,685,1232,903,1197,734,721
321,674,1251,951,1247,733,721
330,674,1251,1112,1385,624,721
367,669,1256,1159,1384,563,721
386,598,1327,1177,1384,563,689
291,716,1358,1183,1487,796,668
354,724,1299,1123,1512,796,675
341,730,1306,1195,1428,796,675
318,747,1233,1443,1468,796,673
330,747,1068,1443,1468,796,707
345,747,1040,1443,1468,772,669
345,747,989,1419,1470,749,710
567,747,945,1417,1456,740,709
653,715,977,1417,1456,758,640
658,598,1094,1311,1456,660,433
658,579,1112,1261,1346,649,224
658,579,1112,1204,1341,649,222
658,532,1158,1278,1341,649,295
658,532,1108,1250,1341,649,208
746,521,917,1235,1213,649,299
746,515,852,1220,1191,556,291
824,453,888,1237,1288,468,291
841,360,930,1290,1338,468,291
836,392,927,1175,941,468,291
810,418,811,1213,941,468,291
805,423,801,1267,1017,468,305
846,437,803,1230,1114,468,326
848,379,857,1122,929,343,326
848,378,825,1173,898,339,327
876,331,696,1266,879,338,423
876,331,673,1383,866,323,423
869,326,685,1425,842,323,444
1109,321,674,1448,933,325,444
1100,330,674,1409,803,326,444
1063,367,669,1376,782,326,444
1044,386,598,1399,782,376,444
977,291,716,1401,681,334,444
906,354,724,1398,656,392,431
906,341,730,1374,642,456,484
1077,318,747,1320,591,505,587
1153,330,747,1495,591,505,568
1138,345,747,1529,591,493,606
1138,345,747,1589,608,507,548
916,567,747,1618,624,759,548
870,653,715,1618,625,772,623
895,658,598,1713,629,848,671
895,658,579,1689,629,848,695
900,658,579,1656,629,848,705
967,658,532,1583,629,848,634
971,658,532,1591,629,848,614
883,746,521,1593,629,848,523
883,746,515,1588,629,848,523
805,824,453,1560,532,847,523
808,841,360,1472,482,847,523
765,836,392,1428,482,847,525
766,810,418,1304,482,957,661
832,805,423,1307,367,957,715
820,846,437,1382,219,1024,724
821,848,379,1417,219,1024,776
821,848,378,1369,223,1024,775
793,876,331,1313,223,1027,679
793,876,331,1197,223,1076,679
793,869,326,1155,223,1093,681
622,1109,321,1084,82,1091,689
801,1100,330,962,88,1134,689
854,1063,367,992,124,1273,689
854,1044,386,995,124,1657,689
854,977,291,987,122,1456,689
854,906,354,984,122,1398,689
869,906,341,936,134,1334,636
704,1077,318,834,188,1285,533
690,1153,330,659,222,1286,525
904,1138,345,625,501,1252,506
904,1138,345,565,482,1297,506
904,916,567,840,465,1045,506
864,870,653,881,465,1055,454
879,895,658,810,461,1007,406
879,895,658,899,475,1007,382
874,900,658,907,531,1007,499
828,967,658,906,612,1019,497
877,971,658,903,617,1032,567
880,883,746,901,713,1135,654
880,883,746,901,831,1249,682
888,805,824,952,832,1249,682
869,808,841,1009,834,1249,863
865,765,836,1035,1012,1249,900
864,766,810,1035,1021,1139,995
839,832,805,1028,1044,1160,927
812,820,846,963,1062,1093,1010
809,821,848,974,1132,1093,982
922,821,848,1304,1113,1093,982
922,793,876,1268,1113,1092,983
941,793,876,1267,1363,1044,1022
943,793,869,1267,1469,1087,1097
871,622,1109,1267,1553,1087,1112
692,801,1100,1267,1539,1043,1124
639,854,1063,1223,1666,904,1221
639,854,1044,1179,1748,470,1249
639,854,977,1179,1748,469,1278
639,854,906,1179,1748,469,1278
627,869,906,1179,1736,469,1278
685,704,1077,1087,1682,469,1278
687,690,1153,1196,1670,468,1271
473,904,1138,1202,1391,468,1252
683,904,1138,1207,1391,409,1252
741,904,916,912,1391,409,1252
758,864,870,871,1390,354,1229
713,879,895,847,1390,326,1229
713,879,895,751,1376,327,1229
713,874,900,771,1320,658,1233
707,828,967,772,1239,759,1239
1057,877,971,767,1234,776,1167
1283,880,883,767,1138,673,1081
1283,880,883,767,1020,560,1053
1275,888,805,716,1022,610,1056
1274,869,808,659,1020,652,875
1268,865,765,710,867,652,836
1268,864,766,729,878,652,641
1227,839,832,679,860,631,641
1209,812,820,668,842,631,539
1209,809,821,590,772,631,518
1096,922,821,256,771,631,537
1100,922,793,255,771,629,654
1081,941,793,312,527,628,620
1079,943,793,312,434,575,562
1079,871,622,312,358,575,539
1079,692,801,479,358,586,549
1079,639,854,489,184,596,453
1079,639,854,530,118,613,427
1155,639,854,530,174,652,456
1253,639,854,530,193,825,456
1302,627,869,544,381,842,456
1264,685,704,549,630,842,456
1190,687,690,440,609,842,456
1257,473,904,434,613,842,509
1091,683,904,429,677,842,512
1033,741,904,420,682,842,518
1065,758,864,420,682,842,537
1065,713,879,425,683,843,551
1065,713,879,476,683,842,551
1065,713,874,447,683,511,420
1052,707,828,446,683,398,414
649,1057,877,446,683,368,425
420,1283,880,446,683,368,456
428,1283,880,446,683,367,478
491,1275,888,446,680,317,552
491,1274,869,456,680,275,624
491,1268,865,379,655,280,645
491,1268,864,360,715,323,618
491,1227,839,360,747,383,757
510,1209,812,374,752,424,746
510,1209,809,375,784,477,743
511,1096,922,375,934,481,724
515,1100,922,375,995,481,643
515,1081,941,318,990,483,638
515,1079,943,318,977,476,598
679,1079,871,318,969,476,715
682,1079,692,151,976,465,713
702,1079,639,380,977,455,753
760,1079,639,352,961,438,753
734,1155,639,352,928,493,695
689,1253,639,352,927,338,713
637,1302,627,338,739,402,766
611,1264,685,333,490,471,839
609,1190,687,333,489,522,848
542,1257,473,333,485,547,795
505,1091,683,406,421,547,834
506,1033,741,409,416,552,828
457,1065,758,509,423,552,810
569,1065,713,615,422,561,842
618,1065,713,592,422,561,852
668,1065,713,624,485,563,852
674,1052,707,624,485,573,854
674,649,1057,680,565,573,843
674,420,1283,690,580,573,811
670,428,1283,690,580,647,789
634,491,1275,690,628,665,715
634,491,1274,680,636,680,651
640,491,1268,680,695,675,742
642,491,1268,826,697,632,733
648,491,1227,832,758,572,594
657,510,1209,856,782,539,607
720,510,1209,855,776,486,619
729,511,1096,873,885,482,629
737,515,1100,873,851,520,592
737,515,1081,893,927,518,592
737,515,1079,937,929,542,616
573,679,1079,946,929,569,499
570,682,1079,946,947,593,481
550,702,1079,716,946,593,440
527,760,1079,707,947,593,438
553,734,1155,826,924,499,457
508,689,1253,1158,906,607,452
561,637,1302,1221,993,619,399
654,611,1264,1252,1105,666,326
778,609,1190,1270,1122,671,317
848,542,1257,1373,1128,668,317
842,505,1091,1403,1196,668,275
841,506,1033,1452,1279,699,275
854,457,1065,1500,1278,699,274
743,569,1065,1412,1278,689,228
694,618,1065,1394,1320,689,218
644,668,1065,1362,1292,687,218
636,674,1052,1362,1293,677,216
641,674,649,1306,1213,677,216
641,674,420,1296,1198,689,216
637,670,428,1296,1242,680,272
637,634,491,1296,1194,667,356
643,634,491,1296,1186,660,440
642,640,491,1296,1127,680,344
661,642,491,1150,1045,680,344
657,648,491,1144,947,680,344
630,657,510,1106,918,672,346
567,720,510,1106,892,672,365
557,729,511,1088,633,672,402
541,737,515,1088,606,634,419
541,737,515,1090,529,642,419
541,737,515,1047,527,645,395
541,573,679,1040,527,629,411
541,570,682,1108,502,606,411
541,550,702,1111,627,640,411
520,527,760,1108,705,704,433
444,553,734,989,803,721,441
436,508,689,657,832,595,428
383,561,637,610,757,502,433
290,654,611,580,714,386,433
169,778,609,667,707,336,485
99,848,542,588,777,314,485
98,842,505,546,709,314,486
98,841,506,497,704,278,517
85,854,457,389,706,278,517
84,743,569,367,735,278,532
84,694,618,411,731,319,538
84,644,668,430,698,319,578
84,636,674,430,704,319,578
88,641,674,434,712,319,578
88,641,674,448,712,307,578
88,637,670,534,668,247,522
81,637,634,654,746,374,515
263,643,634,683,904,374,513
365,642,640,690,959,354,506
356,661,642,694,1014,380,650
354,657,648,748,1015,387,650
381,630,657,803,1015,387,635
750,567,720,803,1015,387,608
750,557,729,815,1015,387,562
750,541,737,815,1015,391,545
750,541,737,793,1015,384,545
750,541,737,792,1036,357,545
750,541,573,790,1036,346,530
750,541,570,722,1039,345,528
750,541,550,746,914,311,530
736,520,527,780,836,247,525
736,444,553,991,738,230,500
764,436,508,994,709,230,516
771,383,561,978,697,230,513
778,290,654,1049,628,230,513
775,169,778,1086,622,224,461
775,99,848,1304,591,224,461
786,98,842,1243,601,225,460
786,98,841,1240,707,246,429
888,85,854,1200,706,258,429
1042,84,743,1199,704,270,479
1063,84,694,1145,801,229,518
1083,84,644,1126,914,239,593
1086,84,636,1126,930,239,726
1077,88,641,1122,1066,240,745
1080,88,641,1108,1066,431,746
1148,88,637,1022,1066,444,746
1139,81,637,902,988,339,666
951,263,643,873,830,427,605
848,365,642,866,775,433,609
837,356,661,884,720,417,526
837,354,657,830,732,446,558
835,381,630,775,732,446,558
485,750,567,775,777,446,555
485,750,557,763,880,446,555
485,750,541,776,999,442,555
485,750,541,835,1016,441,568
489,750,541,835,1042,464,568
489,750,541,914,1206,486,567
508,750,541,1079,1294,515,567
510,750,541,1071,1328,522,565
510,736,520,1087,1412,674,548
632,736,444,920,1412,674,553
672,764,436,917,1429,675,543
720,771,383,917,1499,687,544
713,778,290,846,1523,691,550
765,775,169,704,1519,762,554
780,775,99,463,1509,822,560
837,786,98,513,1499,832,560
838,786,98,715,1315,817,573
743,888,85,786,1308,805,594
592,1042,84,812,1281,793,529
571,1063,84,863,1146,793,484
551,1083,84,892,1031,783,369
548,1086,84,1008,1008,783,236
548,1077,88,1018,870,782,217
545,1080,88,1018,920,591,216
477,1148,88,1022,955,573,216
466,1139,81,1055,992,591,216
466,951,263,1231,992,516,187
462,848,365,1254,1207,510,190
534,837,356,1232,1211,500,129
547,837,354,1251,1219,634,106
571,835,381,1251,1224,717,106
600,485,750,1256,1179,721,162
622,485,750,1327,1076,768,184
648,485,750,1358,976,805,189
654,485,750,1299,972,875,227
650,489,750,1306,954,958,252
650,489,750,1233,831,950,252
631,508,750,1068,740,1056,252
629,510,750,1040,706,1104,252
629,510,736,989,621,977,252
507,632,736,945,621,977,263
439,672,764,977,604,976,265
384,720,771,1094,534,964,318
388,713,778,1112,510,960,340
340,765,775,1112,510,889,342
326,780,775,1158,475,829,336
258,837,786,1108,475,818,336
257,838,786,917,475,815,323
250,743,888,852,475,823,302
247,592,1042,888,475,846,302
247,571,1063,930,475,856,302
247,551,1083,927,475,915,342
290,548,1086,811,475,922,383
492,548,1077,801,469,922,383
578,545,1080,803,419,922,406
578,477,1148,857,384,922,470
578,466,1139,825,347,877,476
578,466,951,696,347,906,476
578,462,848,673,132,906,460
505,534,837,685,128,906,463
492,547,837,674,107,736,455
448,571,835,674,102,653,564
471,600,485,669,102,682,568
451,622,485,598,102,635,545
479,648,485,716,83,598,551
473,654,485,724,136,528,500
473,650,489,730,107,520,475
473,650,489,747,66,517,475
473,631,508,747,66,382,475
473,629,510,747,66,327,545
473,629,510,747,90,302,568
475,507,632,747,92,317,559
475,439,672,715,92,317,565
475,384,720,598,198,317,607
476,388,713,579,279,427,590
540,340,765,579,370,432,584
683,326,780,532,370,432,584
721,258,837,532,398,432,584
776,257,838,521,413,557,584
776,250,743,515,433,571,677
935,247,592,453,444,548,766
983,247,571,360,479,538,766
983,247,551,392,638,876,726
945,290,548,418,724,869,685
743,492,548,423,724,908,685
662,578,545,437,762,959,662
662,578,477,379,902,1144,723
703,578,466,378,903,1191,721
703,578,466,331,903,1160,722
703,578,462,331,903,1173,737
703,505,534,326,903,1197,734
703,492,547,321,951,1247,733
709,448,571,330,1112,1385,624
639,471,600,367,1159,1384,563
648,451,622,386,1177,1384,563
594,479,648,291,1183,1487,796
594,473,654,354,1123,1512,796
594,473,650,341,1195,1428,796
594,473,650,318,1443,1468,796
594,473,631,330,1443,1468,796
594,473,629,345,1443,1468,772
594,473,629,345,1419,1470,749
592,475,507,567,1417,1456,740
650,475,439,653,1417,1456,758
685,475,384,658,1311,1456,660
684,476,388,658,1261,1346,649
