Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
750,557,729,511,815,1015,387,562,1072,1332
750,541,737,515,815,1015,391,545,1080,1318
750,541,737,515,793,1015,384,545,1102,1241
750,541,737,515,792,1036,357,545,1026,1213
750,541,573,679,790,1036,346,530,1016,1279
750,541,570,682,722,1039,345,528,1017,1151
750,541,550,702,746,914,311,530,1017,1058
736,520,527,760,780,836,247,525,1049,1020
736,444,553,734,991,738,230,500,1091,782
764,436,508,689,994,709,230,516,1091,550
771,383,561,637,978,697,230,513,1091,564
778,290,654,611,1049,628,230,513,1091,437
775,169,778,609,1086,622,224,461,1075,438
775,99,848,542,1304,591,224,461,1042,438
786,98,842,505,1243,601,225,460,1082,443
786,98,841,506,1240,707,246,429,1059,445
888,85,854,457,1200,706,258,429,1036,445
1042,84,743,569,1199,704,270,479,1021,445
1063,84,694,618,1145,801,229,518,817,445
1083,84,644,668,1126,914,239,593,650,445
1086,84,636,674,1126,930,239,726,549,443
1077,88,641,674,1122,1066,240,745,482,443
1080,88,641,674,1108,1066,431,746,440,434
1148,88,637,670,1022,1066,444,746,387,434
1139,81,637,634,902,988,339,666,348,434
951,263,643,634,873,830,427,605,339,434
848,365,642,640,866,775,433,609,279,406
837,356,661,642,884,720,417,526,273,361
837,354,657,648,830,732,446,558,273,342
835,381,630,657,775,732,446,558,293,314
485,750,567,720,775,777,446,555,293,312
485,750,557,729,763,880,446,555,273,312
485,750,541,737,776,999,442,555,292,312
485,750,541,737,835,1016,441,568,271,286
489,750,541,737,835,1042,464,568,271,267
489,750,541,573,914,1206,486,567,314,198
508,750,541,570,1079,1294,515,567,313,324
510,750,541,550,1071,1328,522,565,313,366
510,736,520,527,1087,1412,674,548,281,367
632,736,444,553,920,1412,674,553,230,364
672,764,436,508,917,1429,675,543,235,262
720,771,383,561,917,1499,687,544,241,329
713,778,290,654,846,1523,691,550,266,322
765,775,169,778,704,1519,762,554,266,321
780,775,99,848,463,1509,822,560,263,321
837,786,98,842,513,1499,832,560,228,316
838,786,98,841,715,1315,817,573,168,317
743,888,85,854,786,1308,805,594,255,317
592,1042,84,743,812,1281,793,529,251,317
571,1063,84,694,863,1146,793,484,251,317
551,1083,84,644,892,1031,783,369,251,317
548,1086,84,636,1008,1008,783,236,251,317
548,1077,88,641,1018,870,782,217,251,317
545,1080,88,641,1018,920,591,216,251,317
477,1148,88,637,1022,955,573,216,290,317
466,1139,81,637,1055,992,591,216,362,317
466,951,263,643,1231,992,516,187,396,317
462,848,365,642,1254,1207,510,190,443,317
534,837,356,661,1232,1211,500,129,447,317
547,837,354,657,1251,1219,634,106,447,317
571,835,381,630,1251,1224,717,106,427,402
600,485,750,567,1256,1179,721,162,427,438
622,485,750,557,1327,1076,768,184,425,438
648,485,750,541,1358,976,805,189,394,440
654,485,750,541,1299,972,875,227,393,440
650,489,750,541,1306,954,958,252,385,471
650,489,750,541,1233,831,950,252,329,469
631,508,750,541,1068,740,1056,252,329,422
629,510,750,541,1040,706,1104,252,415,409
629,510,736,520,989,621,977,252,417,409
507,632,736,444,945,621,977,263,453,409
439,672,764,436,977,604,976,265,517,410
384,720,771,383,1094,534,964,318,526,282
388,713,778,290,1112,510,960,340,512,282
340,765,775,169,1112,510,889,342,529,282
326,780,775,99,1158,475,829,336,527,282
258,837,786,98,1108,475,818,336,523,285
257,838,786,98,917,475,815,323,523,282
250,743,888,85,852,475,823,302,436,282
247,592,1042,84,888,475,846,302,435,282
247,571,1063,84,930,475,856,302,435,282
247,551,1083,84,927,475,915,342,435,282
290,548,1086,84,811,475,922,383,435,282
492,548,1077,88,801,469,922,383,443,282
578,545,1080,88,803,419,922,406,472,282
578,477,1148,88,857,384,922,470,515,282
578,466,1139,81,825,347,877,476,446,282
578,466,951,263,696,347,906,476,412,283
578,462,848,365,673,132,906,460,514,284
505,534,837,356,685,128,906,463,510,284
492,547,837,354,674,107,736,455,510,284
448,571,835,381,674,102,653,564,510,202
471,600,485,750,669,102,682,568,510,287
451,622,485,750,598,102,635,545,542,299
479,648,485,750,716,83,598,551,563,326
473,654,485,750,724,136,528,500,569,370
473,650,489,750,730,107,520,475,569,518
473,650,489,750,747,66,517,475,571,525
473,631,508,750,747,66,382,475,571,432
473,629,510,750,747,66,327,545,523,403
473,629,510,736,747,90,302,568,538,402
475,507,632,736,747,92,317,559,503,402
475,439,672,764,715,92,317,565,502,401
475,384,720,771,598,198,317,607,694,401
476,388,713,778,579,279,427,590,892,405
540,340,765,775,579,370,432,584,877,413
683,326,780,775,532,370,432,584,877,413
721,258,837,786,532,398,432,584,984,410
776,257,838,786,521,413,557,584,984,452
776,250,743,888,515,433,571,677,992,464
935,247,592,1042,453,444,548,766,992,500
983,247,571,1063,360,479,538,766,992,500
983,247,551,1083,392,638,876,726,992,506
945,290,548,1086,418,724,869,685,992,574
743,492,548,1077,423,724,908,685,984,821
662,578,545,1080,437,762,959,662,955,1091
662,578,477,1148,379,902,1144,723,873,1091
703,578,466,1139,378,903,1191,721,870,1121
703,578,466,951,331,903,1160,722,870,1158
703,578,462,848,331,903,1173,737,721,1157
703,505,534,837,326,903,1197,734,721,1247
703,492,547,837,321,951,1247,733,721,1247
709,448,571,835,330,1112,1385,624,721,1244
639,471,600,485,367,1159,1384,563,721,1123
648,451,622,485,386,1177,1384,563,689,1111
594,479,648,485,291,1183,1487,796,668,1179
594,473,654,485,354,1123,1512,796,675,1135
594,473,650,489,341,1195,1428,796,675,956
594,473,650,489,318,1443,1468,796,673,949
594,473,631,508,330,1443,1468,796,707,984
594,473,629,510,345,1443,1468,772,669,1005
594,473,629,510,345,1419,1470,749,710,1022
592,475,507,632,567,1417,1456,740,709,1046
650,475,439,672,653,1417,1456,758,640,1046
685,475,384,720,658,1311,1456,660,433,1046
684,476,388,713,658,1261,1346,649,224,1131
661,540,340,765,658,1204,1341,649,222,1123
711,683,326,780,658,1278,1341,649,295,1161
757,721,258,837,658,1250,1341,649,208,1161
702,776,257,838,746,1235,1213,649,299,1120
702,776,250,743,746,1220,1191,556,291,1108
543,935,247,592,824,1237,1288,468,291,1240
879,983,247,571,841,1290,1338,468,291,1240
879,983,247,551,836,1175,941,468,291,1234
874,945,290,548,810,1213,941,468,291,1230
874,743,492,548,805,1267,1017,468,305,983
869,662,578,545,846,1230,1114,468,326,713
882,662,578,477,848,1122,929,343,326,713
889,703,578,466,848,1173,898,339,327,683
889,703,578,466,876,1266,879,338,423,645
889,703,578,462,876,1383,866,323,423,645
889,703,505,534,869,1425,842,323,444,555
905,703,492,547,1109,1448,933,325,444,555
893,709,448,571,1100,1409,803,326,444,555
892,639,471,600,1063,1376,782,326,444,555
881,648,451,622,1044,1399,782,376,444,555
888,594,479,648,977,1401,681,334,444,458
888,594,473,654,906,1398,656,392,431,484
888,594,473,650,906,1374,642,456,484,523
888,594,473,650,1077,1320,591,505,587,549
888,594,473,631,1153,1495,591,505,568,537
888,594,473,629,1138,1529,591,493,606,611
888,594,473,629,1138,1589,608,507,548,594
898,592,475,507,916,1618,624,759,548,570
892,650,475,439,870,1618,625,772,623,570
896,685,475,384,895,1713,629,848,671,570
933,684,476,388,895,1689,629,848,695,481
888,661,540,340,900,1656,629,848,705,481
694,711,683,326,967,1583,629,848,634,443
655,757,721,258,971,1591,629,848,614,443
750,702,776,257,883,1593,629,848,523,442
750,702,776,250,883,1588,629,848,523,442
750,543,935,247,805,1560,532,847,523,274
366,879,983,247,808,1472,482,847,523,281
471,879,983,247,765,1428,482,847,525,281
490,874,945,290,766,1304,482,957,661,217
508,874,743,492,832,1307,367,957,715,217
511,869,662,578,820,1382,219,1024,724,232
498,882,662,578,821,1417,219,1024,776,392
508,889,703,578,821,1369,223,1024,775,392
705,889,703,578,793,1313,223,1027,679,392
727,889,703,578,793,1197,223,1076,679,396
727,889,703,505,793,1155,223,1093,681,398
711,905,703,492,622,1084,82,1091,689,471
749,893,709,448,801,962,88,1134,689,493
749,892,639,471,854,992,124,1273,689,493
754,881,648,451,854,995,124,1657,689,493
747,888,594,479,854,987,122,1456,689,532
747,888,594,473,854,984,122,1398,689,506
747,888,594,473,869,936,134,1334,636,467
786,888,594,473,704,834,188,1285,533,441
786,888,594,473,690,659,222,1286,525,417
786,888,594,473,904,625,501,1252,506,322
786,888,594,473,904,565,482,1297,506,322
776,898,592,475,904,840,465,1045,506,322
743,892,650,475,864,881,465,1055,454,322
704,896,685,475,879,810,461,1007,406,322
663,933,684,476,879,899,475,1007,382,322
832,888,661,540,874,907,531,1007,499,322
855,694,711,683,828,906,612,1019,497,322
810,655,757,721,877,903,617,1032,567,322
935,750,702,776,880,901,713,1135,654,322
935,750,702,776,880,901,831,1249,682,322
935,750,543,935,888,952,832,1249,682,322
935,366,879,983,869,1009,834,1249,863,315
830,471,879,983,865,1035,1012,1249,900,494
811,490,874,945,864,1035,1021,1139,995,623
793,508,874,743,839,1028,1044,1160,927,623
790,511,869,662,812,963,1062,1093,1010,608
793,498,882,662,809,974,1132,1093,982,448
735,508,889,703,922,1304,1113,1093,982,448
538,705,889,703,922,1268,1113,1092,983,448
516,727,889,703,941,1267,1363,1044,1022,444
533,727,889,703,943,1267,1469,1087,1097,442
533,711,905,703,871,1267,1553,1087,1112,369
495,749,893,709,692,1267,1539,1043,1124,347
495,749,892,639,639,1223,1666,904,1221,356
490,754,881,648,639,1179,1748,470,1249,506
490,747,888,594,639,1179,1748,469,1278,473
490,747,888,594,639,1179,1748,469,1278,473
591,747,888,594,627,1179,1736,469,1278,473
552,786,888,594,685,1087,1682,469,1278,473
626,786,888,594,687,1196,1670,468,1271,473
816,786,888,594,473,1202,1391,468,1252,473
819,786,888,594,683,1207,1391,409,1252,473
819,776,898,592,741,912,1391,409,1252,482
800,743,892,650,758,871,1390,354,1229,629
800,704,896,685,713,847,1390,326,1229,629
800,663,933,684,713,751,1376,327,1229,629
631,832,888,661,713,771,1320,658,1233,658
608,855,694,711,707,772,1239,759,1239,658
608,810,655,757,1057,767,1234,776,1167,658
389,935,750,702,1283,767,1138,673,1081,658
482,935,750,702,1283,767,1020,560,1053,658
482,935,750,543,1275,716,1022,610,1056,658
482,935,366,879,1274,659,1020,652,875,658
