Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3
935,366,879,983,247,571,1063,84,869,1009,834
830,471,879,983,247,551,1083,84,865,1035,1012
811,490,874,945,290,548,1086,84,864,1035,1021
793,508,874,743,492,548,1077,88,839,1028,1044
790,511,869,662,578,545,1080,88,812,963,1062
793,498,882,662,578,477,1148,88,809,974,1132
735,508,889,703,578,466,1139,81,922,1304,1113
538,705,889,703,578,466,951,263,922,1268,1113
516,727,889,703,578,462,848,365,941,1267,1363
533,727,889,703,505,534,837,356,943,1267,1469
533,711,905,703,492,547,837,354,871,1267,1553
495,749,893,709,448,571,835,381,692,1267,1539
495,749,892,639,471,600,485,750,639,1223,1666
490,754,881,648,451,622,485,750,639,1179,1748
490,747,888,594,479,648,485,750,639,1179,1748
490,747,888,594,473,654,485,750,639,1179,1748
591,747,888,594,473,650,489,750,627,1179,1736
552,786,888,594,473,650,489,750,685,1087,1682
626,786,888,594,473,631,508,750,687,1196,1670
816,786,888,594,473,629,510,750,473,1202,1391
819,786,888,594,473,629,510,736,683,1207,1391
819,776,898,592,475,507,632,736,741,912,1391
800,743,892,650,475,439,672,764,758,871,1390
800,704,896,685,475,384,720,771,713,847,1390
800,663,933,684,476,388,713,778,713,751,1376
631,832,888,661,540,340,765,775,713,771,1320
608,855,694,711,683,326,780,775,707,772,1239
608,810,655,757,721,258,837,786,1057,767,1234
389,935,750,702,776,257,838,786,1283,767,1138
482,935,750,702,776,250,743,888,1283,767,1020
482,935,750,543,935,247,592,1042,1275,716,1022
482,935,366,879,983,247,571,1063,1274,659,1020
482,830,471,879,983,247,551,1083,1268,710,867
482,811,490,874,945,290,548,1086,1268,729,878
482,793,508,874,743,492,548,1077,1227,679,860
576,790,511,869,662,578,545,1080,1209,668,842
573,793,498,882,662,578,477,1148,1209,590,772
573,735,508,889,703,578,466,1139,1096,256,771
573,538,705,889,703,578,466,951,1100,255,771
573,516,727,889,703,578,462,848,1081,312,527
556,533,727,889,703,505,534,837,1079,312,434
556,533,711,905,703,492,547,837,1079,312,358
556,495,749,893,709,448,571,835,1079,479,358
556,495,749,892,639,471,600,485,1079,489,184
556,490,754,881,648,451,622,485,1079,530,118
556,490,747,888,594,479,648,485,1155,530,174
556,490,747,888,594,473,654,485,1253,530,193
455,591,747,888,594,473,650,489,1302,544,381
455,552,786,888,594,473,650,489,1264,549,630
381,626,786,888,594,473,631,508,1190,440,609
396,816,786,888,594,473,629,510,1257,434,613
432,819,786,888,594,473,629,510,1091,429,677
458,819,776,898,592,475,507,632,1033,420,682
476,800,743,892,650,475,439,672,1065,420,682
476,800,704,896,685,475,384,720,1065,425,683
568,800,663,933,684,476,388,713,1065,476,683
694,631,832,888,661,540,340,765,1065,447,683
740,608,855,694,711,683,326,780,1052,446,683
740,608,810,655,757,721,258,837,649,446,683
739,389,935,750,702,776,257,838,420,446,683
646,482,935,750,702,776,250,743,428,446,683
648,482,935,750,543,935,247,592,491,446,680
650,482,935,366,879,983,247,571,491,456,680
650,482,830,471,879,983,247,551,491,379,655
650,482,811,490,874,945,290,548,491,360,715
650,482,793,508,874,743,492,548,491,360,747
556,576,790,511,869,662,578,545,510,374,752
556,573,793,498,882,662,578,477,510,375,784
558,573,735,508,889,703,578,466,511,375,934
600,573,538,705,889,703,578,466,515,375,995
605,573,516,727,889,703,578,462,515,318,990
605,556,533,727,889,703,505,534,515,318,977
605,556,533,711,905,703,492,547,679,318,969
605,556,495,749,893,709,448,571,682,151,976
605,556,495,749,892,639,471,600,702,380,977
605,556,490,754,881,648,451,622,760,352,961
605,556,490,747,888,594,479,648,734,352,928
639,556,490,747,888,594,473,654,689,352,927
684,455,591,747,888,594,473,650,637,338,739
761,455,552,786,888,594,473,650,611,333,490
942,381,626,786,888,594,473,631,609,333,489
771,396,816,786,888,594,473,629,542,333,485
740,432,819,786,888,594,473,629,505,406,421
806,458,819,776,898,592,475,507,506,409,416
788,476,800,743,892,650,475,439,457,509,423
845,476,800,704,896,685,475,384,569,615,422
797,568,800,663,933,684,476,388,618,592,422
671,694,631,832,888,661,540,340,668,624,485
628,740,608,855,694,711,683,326,674,624,485
629,740,608,810,655,757,721,258,674,680,565
639,739,389,935,750,702,776,257,674,690,580
642,646,482,935,750,702,776,250,670,690,580
802,648,482,935,750,543,935,247,634,690,628
955,650,482,935,366,879,983,247,634,680,636
955,650,482,830,471,879,983,247,640,680,695
955,650,482,811,490,874,945,290,642,826,697
955,650,482,793,508,874,743,492,648,832,758
955,556,576,790,511,869,662,578,657,856,782
959,556,573,793,498,882,662,578,720,855,776
1143,558,573,735,508,889,703,578,729,873,885
1155,600,573,538,705,889,703,578,737,873,851
1187,605,573,516,727,889,703,578,737,893,927
1189,605,556,533,727,889,703,505,737,937,929
1349,605,556,533,711,905,703,492,573,946,929
1453,605,556,495,749,893,709,448,570,946,947
1547,605,556,495,749,892,639,471,550,716,946
1547,605,556,490,754,881,648,451,527,707,947
