Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3
649,584,342,554,461,485,317,848,456,222,1123,488
649,584,336,560,461,485,317,795,509,295,1161,504
649,584,336,560,460,486,275,834,512,208,1161,517
649,584,323,573,429,517,275,828,518,299,1120,523
556,677,302,594,429,517,274,810,537,291,1108,510
468,766,302,529,479,532,228,842,551,291,1240,474
468,766,302,484,518,538,218,852,551,291,1240,476
468,726,342,369,593,578,218,852,420,291,1234,476
468,685,383,236,726,578,216,854,414,291,1230,476
468,685,383,217,745,578,216,843,425,305,983,367
468,662,406,216,746,578,216,811,456,326,713,367
343,723,470,216,746,522,272,789,478,326,713,367
339,721,476,216,666,515,356,715,552,327,683,367
338,722,476,187,605,513,440,651,624,423,645,351
323,737,460,190,609,506,344,742,645,423,645,339
323,734,463,129,526,650,344,733,618,444,555,333
325,733,455,106,558,650,344,594,757,444,555,322
326,624,564,106,558,635,346,607,746,444,555,311
326,563,568,162,555,608,365,619,743,444,555,311
376,563,545,184,555,562,402,629,724,444,555,330
334,796,551,189,555,545,419,592,643,444,458,330
392,796,500,227,568,545,419,592,638,431,484,330
456,796,475,252,568,545,395,616,598,484,523,340
505,796,475,252,567,530,411,499,715,587,549,408
505,796,475,252,567,528,411,481,713,568,537,492
493,772,545,252,565,530,411,440,753,606,611,474
507,749,568,252,548,525,433,438,753,548,594,415
759,740,559,263,553,500,441,457,695,548,570,406
772,758,565,265,543,516,428,452,713,623,570,270
848,660,607,318,544,513,433,399,766,671,570,270
848,649,590,340,550,513,433,326,839,695,481,274
848,649,584,342,554,461,485,317,848,705,481,465
848,649,584,336,560,461,485,317,795,634,443,449
848,649,584,336,560,460,486,275,834,614,443,436
848,649,584,323,573,429,517,275,828,523,442,524
848,556,677,302,594,429,517,274,810,523,442,538
847,468,766,302,529,479,532,228,842,523,274,541
847,468,766,302,484,518,538,218,852,523,281,539
847,468,726,342,369,593,578,218,852,525,281,561
957,468,685,383,236,726,578,216,854,661,217,561
957,468,685,383,217,745,578,216,843,715,217,561
1024,468,662,406,216,746,578,216,811,724,232,561
1024,343,723,470,216,746,522,272,789,776,392,561
1024,339,721,476,216,666,515,356,715,775,392,561
1027,338,722,476,187,605,513,440,651,679,392,564
1076,323,737,460,190,609,506,344,742,679,396,569
1093,323,734,463,129,526,650,344,733,681,398,571
1091,325,733,455,106,558,650,344,594,689,471,571
1134,326,624,564,106,558,635,346,607,689,493,571
1273,326,563,568,162,555,608,365,619,689,493,571
1657,376,563,545,184,555,562,402,629,689,493,547
1456,334,796,551,189,555,545,419,592,689,532,557
1398,392,796,500,227,568,545,419,592,689,506,598
1334,456,796,475,252,568,545,395,616,636,467,605
1285,505,796,475,252,567,530,411,499,533,441,600
1286,505,796,475,252,567,528,411,481,525,417,555
1252,493,772,545,252,565,530,411,440,506,322,593
1297,507,749,568,252,548,525,433,438,506,322,577
1045,759,740,559,263,553,500,441,457,506,322,594
1055,772,758,565,265,543,516,428,452,454,322,594
1007,848,660,607,318,544,513,433,399,406,322,596
1007,848,649,590,340,550,513,433,326,382,322,622
1007,848,649,584,342,554,461,485,317,499,322,466
1019,848,649,584,336,560,461,485,317,497,322,469
1032,848,649,584,336,560,460,486,275,567,322,467
1135,848,649,584,323,573,429,517,275,654,322,373
1249,848,556,677,302,594,429,517,274,682,322,359
1249,847,468,766,302,529,479,532,228,682,322,356
1249,847,468,766,302,484,518,538,218,863,315,356
1249,847,468,726,342,369,593,578,218,900,494,334
1139,957,468,685,383,236,726,578,216,995,623,334
1160,957,468,685,383,217,745,578,216,927,623,363
1093,1024,468,662,406,216,746,578,216,1010,608,371
1093,1024,343,723,470,216,746,522,272,982,448,424
1093,1024,339,721,476,216,666,515,356,982,448,427
1092,1027,338,722,476,187,605,513,440,983,448,464
1044,1076,323,737,460,190,609,506,344,1022,444,542
1087,1093,323,734,463,129,526,650,344,1097,442,544
1087,1091,325,733,455,106,558,650,344,1112,369,663
1043,1134,326,624,564,106,558,635,346,1124,347,956
904,1273,326,563,568,162,555,608,365,1221,356,967
470,1657,376,563,545,184,555,562,402,1249,506,1206
469,1456,334,796,551,189,555,545,419,1278,473,1196
469,1398,392,796,500,227,568,545,419,1278,473,1155
469,1334,456,796,475,252,568,545,395,1278,473,1138
469,1285,505,796,475,252,567,530,411,1278,473,1075
468,1286,505,796,475,252,567,528,411,1271,473,1055
468,1252,493,772,545,252,565,530,411,1252,473,1043
409,1297,507,749,568,252,548,525,433,1252,473,1043
409,1045,759,740,559,263,553,500,441,1252,482,1024
354,1055,772,758,565,265,543,516,428,1229,629,1024
326,1007,848,660,607,318,544,513,433,1229,629,1022
327,1007,848,649,590,340,550,513,433,1229,629,989
658,1007,848,649,584,342,554,461,485,1233,658,1126
759,1019,848,649,584,336,560,461,485,1239,658,1123
776,1032,848,649,584,336,560,460,486,1167,658,1123
673,1135,848,649,584,323,573,429,517,1081,658,1123
560,1249,848,556,677,302,594,429,517,1053,658,1123
610,1249,847,468,766,302,529,479,532,1056,658,1123
652,1249,847,468,766,302,484,518,538,875,658,1123
652,1249,847,468,726,342,369,593,578,836,479,1123
652,1139,957,468,685,383,236,726,578,641,350,1123
631,1160,957,468,685,383,217,745,578,641,350,1094
631,1093,1024,468,662,406,216,746,578,539,350,1086
631,1093,1024,343,723,470,216,746,522,518,350,1033
631,1093,1024,339,721,476,216,666,515,537,382,1144
629,1092,1027,338,722,476,187,605,513,654,388,1112
628,1044,1076,323,737,460,190,609,506,620,388,1029
575,1087,1093,323,734,463,129,526,650,562,388,1060
575,1087,1091,325,733,455,106,558,650,539,388,1025
586,1043,1134,326,624,564,106,558,635,549,390,742
596,904,1273,326,563,568,162,555,608,453,400,731
613,470,1657,376,563,545,184,555,562,427,250,492
652,469,1456,334,796,551,189,555,545,456,244,492
825,469,1398,392,796,500,227,568,545,456,285,492
842,469,1334,456,796,475,252,568,545,456,369,492
842,469,1285,505,796,475,252,567,530,456,399,493
842,468,1286,505,796,475,252,567,528,456,399,474
842,468,1252,493,772,545,252,565,530,509,410,502
842,409,1297,507,749,568,252,548,525,512,481,515
842,409,1045,759,740,559,263,553,500,518,627,515
842,354,1055,772,758,565,265,543,516,537,517,515
843,326,1007,848,660,607,318,544,513,551,517,515
842,327,1007,848,649,590,340,550,513,551,518,514
511,658,1007,848,649,584,342,554,461,420,491,319
398,759,1019,848,649,584,336,560,461,414,491,337
368,776,1032,848,649,584,336,560,460,425,491,340
368,673,1135,848,649,584,323,573,429,456,491,340
367,560,1249,848,556,677,302,594,429,478,491,370
317,610,1249,847,468,766,302,529,479,552,491,496
275,652,1249,847,468,766,302,484,518,624,491,550
280,652,1249,847,468,726,342,369,593,645,491,581
323,652,1139,957,468,685,383,236,726,618,491,581
383,631,1160,957,468,685,383,217,745,757,491,596
424,631,1093,1024,468,662,406,216,746,746,491,703
477,631,1093,1024,343,723,470,216,746,743,491,950
481,631,1093,1024,339,721,476,216,666,724,459,871
481,629,1092,1027,338,722,476,187,605,643,453,905
483,628,1044,1076,323,737,460,190,609,638,453,1257
476,575,1087,1093,323,734,463,129,526,598,453,1400
