Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3
804,519,1209,1189,605,556,533,727,889,489,835,1042
982,535,1049,1349,605,556,533,711,905,489,914,1206
935,468,1079,1453,605,556,495,749,893,508,1079,1294
931,417,1040,1547,605,556,495,749,892,510,1071,1328
910,351,1127,1547,605,556,490,754,881,510,1087,1412
901,357,1119,1558,605,556,490,747,888,632,920,1412
816,441,1106,1538,639,556,490,747,888,672,917,1429
692,604,1050,1549,684,455,591,747,888,720,917,1499
689,607,1049,1473,761,455,552,786,888,713,846,1523
652,644,974,1367,942,381,626,786,888,765,704,1519
652,644,919,1388,771,396,816,786,888,780,463,1509
652,641,886,1416,740,432,819,786,888,837,513,1499
652,641,802,1408,806,458,819,776,898,838,715,1315
652,628,798,1425,788,476,800,743,892,743,786,1308
652,621,706,1467,845,476,800,704,896,592,812,1281
651,622,692,1437,797,568,800,663,933,571,863,1146
651,622,691,1438,671,694,631,832,888,551,892,1031
651,601,709,1438,628,740,608,855,694,548,1008,1008
632,620,709,1437,629,740,608,810,655,548,1018,870
625,627,709,1427,639,739,389,935,750,545,1018,920
628,562,774,1424,642,646,482,935,750,477,1022,955
782,517,845,1262,802,648,482,935,750,466,1055,992
820,556,845,1107,955,650,482,935,366,466,1231,992
824,556,840,1112,955,650,482,830,471,462,1254,1207
824,556,833,1119,955,650,482,811,490,534,1232,1211
804,570,815,1143,955,650,482,793,508,547,1251,1219
797,574,645,1316,955,556,576,790,511,571,1251,1224
790,708,634,1323,959,556,573,793,498,600,1256,1179
807,708,602,1214,1143,558,573,735,508,622,1327,1076
784,749,549,1217,1155,600,573,538,705,648,1358,976
816,778,549,1180,1187,605,573,516,727,654,1299,972
821,804,519,1209,1189,605,556,533,727,650,1306,954
645,982,535,1049,1349,605,556,533,711,650,1233,831
628,935,468,1079,1453,605,556,495,749,631,1068,740
688,931,417,1040,1547,605,556,495,749,629,1040,706
697,910,351,1127,1547,605,556,490,754,629,989,621
736,901,357,1119,1558,605,556,490,747,507,945,621
739,816,441,1106,1538,639,556,490,747,439,977,604
700,692,604,1050,1549,684,455,591,747,384,1094,534
700,689,607,1049,1473,761,455,552,786,388,1112,510
725,652,644,974,1367,942,381,626,786,340,1112,510
725,652,644,919,1388,771,396,816,786,326,1158,475
725,652,641,886,1416,740,432,819,786,258,1108,475
725,652,641,802,1408,806,458,819,776,257,917,475
731,652,628,798,1425,788,476,800,743,250,852,475
735,652,621,706,1467,845,476,800,704,247,888,475
735,651,622,692,1437,797,568,800,663,247,930,475
735,651,622,691,1438,671,694,631,832,247,927,475
735,651,601,709,1438,628,740,608,855,290,811,475
735,632,620,709,1437,629,740,608,810,492,801,469
735,625,627,709,1427,639,739,389,935,578,803,419
732,628,562,774,1424,642,646,482,935,578,857,384
552,782,517,845,1262,802,648,482,935,578,825,347
475,820,556,845,1107,955,650,482,935,578,696,347
471,824,556,840,1112,955,650,482,830,578,673,132
471,824,556,833,1119,955,650,482,811,505,685,128
471,804,570,815,1143,955,650,482,793,492,674,107
500,797,574,645,1316,955,556,576,790,448,674,102
373,790,708,634,1323,959,556,573,793,471,669,102
311,807,708,602,1214,1143,558,573,735,451,598,102
289,784,749,549,1217,1155,600,573,538,479,716,83
228,816,778,549,1180,1187,605,573,516,473,724,136
198,821,804,519,1209,1189,605,556,533,473,730,107
190,645,982,535,1049,1349,605,556,533,473,747,66
275,628,935,468,1079,1453,605,556,495,473,747,66
276,688,931,417,1040,1547,605,556,495,473,747,66
267,697,910,351,1127,1547,605,556,490,473,747,90
228,736,901,357,1119,1558,605,556,490,475,747,92
486,739,816,441,1106,1538,639,556,490,475,715,92
507,700,692,604,1050,1549,684,455,591,475,598,198
507,700,689,607,1049,1473,761,455,552,476,579,279
533,725,652,644,974,1367,942,381,626,540,579,370
533,725,652,644,919,1388,771,396,816,683,532,370
632,725,652,641,886,1416,740,432,819,721,532,398
632,725,652,641,802,1408,806,458,819,776,521,413
626,731,652,628,798,1425,788,476,800,776,515,433
627,735,652,621,706,1467,845,476,800,935,453,444
627,735,651,622,692,1437,797,568,800,983,360,479
627,735,651,622,691,1438,671,694,631,983,392,638
693,735,651,601,709,1438,628,740,608,945,418,724
693,735,632,620,709,1437,629,740,608,743,423,724
693,735,625,627,709,1427,639,739,389,662,437,762
693,732,628,562,774,1424,642,646,482,662,379,902
693,552,782,517,845,1262,802,648,482,703,378,903
693,475,820,556,845,1107,955,650,482,703,331,903
693,471,824,556,840,1112,955,650,482,703,331,903
693,471,824,556,833,1119,955,650,482,703,326,903
765,471,804,570,815,1143,955,650,482,703,321,951
866,500,797,574,645,1316,955,556,576,709,330,1112
871,373,790,708,634,1323,959,556,573,639,367,1159
893,311,807,708,602,1214,1143,558,573,648,386,1177
972,289,784,749,549,1217,1155,600,573,594,291,1183
1100,228,816,778,549,1180,1187,605,573,594,354,1123
1106,198,821,804,519,1209,1189,605,556,594,341,1195
1096,190,645,982,535,1049,1349,605,556,594,318,1443
1008,275,628,935,468,1079,1453,605,556,594,330,1443
947,276,688,931,417,1040,1547,605,556,594,345,1443
947,267,697,910,351,1127,1547,605,556,594,345,1419
947,228,736,901,357,1119,1558,605,556,592,567,1417
940,486,739,816,441,1106,1538,639,556,650,653,1417
919,507,700,692,604,1050,1549,684,455,685,658,1311
1062,507,700,689,607,1049,1473,761,455,684,658,1261
1073,533,725,652,644,974,1367,942,381,661,658,1204
1164,533,725,652,644,919,1388,771,396,711,658,1278
1100,632,725,652,641,886,1416,740,432,757,658,1250
1129,632,725,652,641,802,1408,806,458,702,746,1235
1129,626,731,652,628,798,1425,788,476,702,746,1220
1151,627,735,652,621,706,1467,845,476,543,824,1237
1151,627,735,651,622,692,1437,797,568,879,841,1290
1151,627,735,651,622,691,1438,671,694,879,836,1175
1151,693,735,651,601,709,1438,628,740,874,810,1213
1151,693,735,632,620,709,1437,629,740,874,805,1267
1158,693,735,625,627,709,1427,639,739,869,846,1230
1160,693,732,628,562,774,1424,642,646,882,848,1122
1160,693,552,782,517,845,1262,802,648,889,848,1173
1160,693,475,820,556,845,1107,955,650,889,876,1266
1160,693,471,824,556,840,1112,955,650,889,876,1383
1160,693,471,824,556,833,1119,955,650,889,869,1425
1088,765,471,804,570,815,1143,955,650,905,1109,1448
958,866,500,797,574,645,1316,955,556,893,1100,1409
953,871,373,790,708,634,1323,959,556,892,1063,1376
931,893,311,807,708,602,1214,1143,558,881,1044,1399
852,972,289,784,749,549,1217,1155,600,888,977,1401
724,1100,228,816,778,549,1180,1187,605,888,906,1398
716,1106,198,821,804,519,1209,1189,605,888,906,1374
716,1096,190,645,982,535,1049,1349,605,888,1077,1320
716,1008,275,628,935,468,1079,1453,605,888,1153,1495
716,947,276,688,931,417,1040,1547,605,888,1138,1529
716,947,267,697,910,351,1127,1547,605,888,1138,1589
716,947,228,736,901,357,1119,1558,605,898,916,1618
462,940,486,739,816,441,1106,1538,639,892,870,1618
462,919,507,700,692,604,1050,1549,684,896,895,1713
319,1062,507,700,689,607,1049,1473,761,933,895,1689
340,1073,533,725,652,644,974,1367,942,888,900,1656
378,1164,533,725,652,644,919,1388,771,694,967,1583
344,1100,632,725,652,641,886,1416,740,655,971,1591
315,1129,632,725,652,641,802,1408,806,750,883,1593
319,1129,626,731,652,628,798,1425,788,750,883,1588
299,1151,627,735,652,621,706,1467,845,750,805,1560
304,1151,627,735,651,622,692,1437,797,366,808,1472
304,1151,627,735,651,622,691,1438,671,471,765,1428
238,1151,693,735,651,601,709,1438,628,490,766,1304
238,1151,693,735,632,620,709,1437,629,508,832,1307
231,1158,693,735,625,627,709,1427,639,511,820,1382
267,1160,693,732,628,562,774,1424,642,498,821,1417
272,1160,693,552,782,517,845,1262,802,508,821,1369
276,1160,693,475,820,556,845,1107,955,705,793,1313
276,1160,693,471,824,556,840,1112,955,727,793,1197
276,1160,693,471,824,556,833,1119,955,727,793,1155
317,1088,765,471,804,570,815,1143,955,711,622,1084
317,958,866,500,797,574,645,1316,955,749,801,962
447,953,871,373,790,708,634,1323,959,749,854,992
468,931,893,311,807,708,602,1214,1143,754,854,995
468,852,972,289,784,749,549,1217,1155,747,854,987
471,724,1100,228,816,778,549,1180,1187,747,854,984
471,716,1106,198,821,804,519,1209,1189,747,869,936
494,716,1096,190,645,982,535,1049,1349,786,704,834
494,716,1008,275,628,935,468,1079,1453,786,690,659
536,716,947,276,688,931,417,1040,1547,786,904,625
597,716,947,267,697,910,351,1127,1547,786,904,565
597,716,947,228,736,901,357,1119,1558,776,904,840
597,462,940,486,739,816,441,1106,1538,743,864,881
605,462,919,507,700,692,604,1050,1549,704,879,810
605,319,1062,507,700,689,607,1049,1473,663,879,899
522,340,1073,533,725,652,644,974,1367,832,874,907
433,378,1164,533,725,652,644,919,1388,855,828,906
777,344,1100,632,725,652,641,886,1416,810,877,903
777,315,1129,632,725,652,641,802,1408,935,880,901
885,319,1129,626,731,652,628,798,1425,935,880,901
1024,299,1151,627,735,652,621,706,1467,935,888,952
1110,304,1151,627,735,651,622,692,1437,935,869,1009
1225,304,1151,627,735,651,622,691,1438,830,865,1035
1237,238,1151,693,735,651,601,709,1438,811,864,1035
1237,238,1151,693,735,632,620,709,1437,793,839,1028
1237,231,1158,693,735,625,627,709,1427,790,812,963
1199,267,1160,693,732,628,562,774,1424,793,809,974
1196,272,1160,693,552,782,517,845,1262,735,922,1304
1302,276,1160,693,475,820,556,845,1107,538,922,1268
1326,276,1160,693,471,824,556,840,1112,516,941,1267
1326,276,1160,693,471,824,556,833,1119,533,943,1267
1474,317,1088,765,471,804,570,815,1143,533,871,1267
1829,317,958,866,500,797,574,645,1316,495,692,1267
1722,447,953,871,373,790,708,634,1323,495,639,1223
1777,468,931,893,311,807,708,602,1214,490,639,1179
1787,468,852,972,289,784,749,549,1217,490,639,1179
1784,471,724,1100,228,816,778,549,1180,490,639,1179
1784,471,716,1106,198,821,804,519,1209,591,627,1179
1761,494,716,1096,190,645,982,535,1049,552,685,1087
1761,494,716,1008,275,628,935,468,1079,626,687,1196
1719,536,716,947,276,688,931,417,1040,816,473,1202
1658,597,716,947,267,697,910,351,1127,819,683,1207
1696,597,716,947,228,736,901,357,1119,819,741,912
1877,597,462,940,486,739,816,441,1106,800,758,871
1921,605,462,919,507,700,692,604,1050,800,713,847
1922,605,319,1062,507,700,689,607,1049,800,713,751
1922,522,340,1073,533,725,652,644,974,631,713,771
1882,433,378,1164,533,725,652,644,919,608,707,772
1565,777,344,1100,632,725,652,641,886,608,1057,767
1565,777,315,1129,632,725,652,641,802,389,1283,767
1453,885,319,1129,626,731,652,628,798,482,1283,767
1379,1024,299,1151,627,735,652,621,706,482,1275,716
1376,1110,304,1151,627,735,651,622,692,482,1274,659
1261,1225,304,1151,627,735,651,622,691,482,1268,710
1249,1237,238,1151,693,735,651,601,709,482,1268,729
1249,1237,238,1151,693,735,632,620,709,482,1227,679
1249,1237,231,1158,693,735,625,627,709,576,1209,668
1249,1199,267,1160,693,732,628,562,774,573,1209,590
1247,1196,272,1160,693,552,782,517,845,573,1096,256
1206,1302,276,1160,693,475,820,556,845,573,1100,255
1386,1326,276,1160,693,471,824,556,840,573,1081,312
1387,1326,276,1160,693,471,824,556,833,556,1079,312
1212,1474,317,1088,765,471,804,570,815,556,1079,312
858,1829,317,958,866,500,797,574,645,556,1079,479
839,1722,447,953,871,373,790,708,634,556,1079,489
763,1777,468,931,893,311,807,708,602,556,1079,530
812,1787,468,852,972,289,784,749,549,556,1155,530
825,1784,471,724,1100,228,816,778,549,556,1253,530
959,1784,471,716,1106,198,821,804,519,455,1302,544
959,1761,494,716,1096,190,645,982,535,455,1264,549
959,1761,494,716,1008,275,628,935,468,381,1190,440
988,1719,536,716,947,276,688,931,417,396,1257,434
989,1658,597,716,947,267,697,910,351,432,1091,429
951,1696,597,716,947,228,736,901,357,458,1033,420
770,1877,597,462,940,486,739,816,441,476,1065,420
718,1921,605,462,919,507,700,692,604,476,1065,425
717,1922,605,319,1062,507,700,689,607,568,1065,476
717,1922,522,340,1073,533,725,652,644,694,1065,447
717,1882,433,378,1164,533,725,652,644,740,1052,446
689,1565,777,344,1100,632,725,652,641,740,649,446
689,1565,777,315,1129,632,725,652,641,739,420,446
720,1453,885,319,1129,626,731,652,628,646,428,446
722,1379,1024,299,1151,627,735,652,621,648,491,446
634,1376,1110,304,1151,627,735,651,622,650,491,456
634,1261,1225,304,1151,627,735,651,622,650,491,379
727,1249,1237,238,1151,693,735,651,601,650,491,360
762,1249,1237,238,1151,693,735,632,620,650,491,360
762,1249,1237,231,1158,693,735,625,627,556,510,374
762,1249,1199,267,1160,693,732,628,562,556,510,375
799,1247,1196,272,1160,693,552,782,517,558,511,375
730,1206,1302,276,1160,693,475,820,556,600,515,375
526,1386,1326,276,1160,693,471,824,556,605,515,318
525,1387,1326,276,1160,693,471,824,556,605,515,318
512,1212,1474,317,1088,765,471,804,570,605,679,318
511,858,1829,317,958,866,500,797,574,605,682,151
507,839,1722,447,953,871,373,790,708,605,702,380
523,763,1777,468,931,893,311,807,708,605,760,352
531,812,1787,468,852,972,289,784,749,605,734,352
518,825,1784,471,724,1100,228,816,778,639,689,352
385,959,1784,471,716,1106,198,821,804,684,637,338
406,959,1761,494,716,1096,190,645,982,761,611,333
423,959,1761,494,716,1008,275,628,935,942,609,333
394,988,1719,536,716,947,276,688,931,771,542,333
519,989,1658,597,716,947,267,697,910,740,505,406
627,951,1696,597,716,947,228,736,901,806,506,409
708,770,1877,597,462,940,486,739,816,788,457,509
804,718,1921,605,462,919,507,700,692,845,569,615
858,717,1922,605,319,1062,507,700,689,797,618,592
1013,717,1922,522,340,1073,533,725,652,671,668,624
1046,717,1882,433,378,1164,533,725,652,628,674,624
1134,689,1565,777,344,1100,632,725,652,629,674,680
1138,689,1565,777,315,1129,632,725,652,639,674,690
1108,720,1453,885,319,1129,626,731,652,642,670,690
1034,722,1379,1024,299,1151,627,735,652,802,634,690
1034,634,1376,1110,304,1151,627,735,651,955,634,680
1035,634,1261,1225,304,1151,627,735,651,955,640,680
944,727,1249,1237,238,1151,693,735,651,955,642,826
909,762,1249,1237,238,1151,693,735,632,955,648,832
909,762,1249,1237,231,1158,693,735,625,955,657,856
924,762,1249,1199,267,1160,693,732,628,959,720,855
888,799,1247,1196,272,1160,693,552,782,1143,729,873
888,730,1206,1302,276,1160,693,475,820,1155,737,873
890,526,1386,1326,276,1160,693,471,824,1187,737,893
891,525,1387,1326,276,1160,693,471,824,1189,737,937
893,512,1212,1474,317,1088,765,471,804,1349,573,946
893,511,858,1829,317,958,866,500,797,1453,570,946
930,507,839,1722,447,953,871,373,790,1547,550,716
915,523,763,1777,468,931,893,311,807,1547,527,707
848,531,812,1787,468,852,972,289,784,1558,553,826
850,518,825,1784,471,724,1100,228,816,1538,508,1158
849,385,959,1784,471,716,1106,198,821,1549,561,1221
832,406,959,1761,494,716,1096,190,645,1473,654,1252
820,423,959,1761,494,716,1008,275,628,1367,778,1270
821,394,988,1719,536,716,947,276,688,1388,848,1373
722,519,989,1658,597,716,947,267,697,1416,842,1403
754,627,951,1696,597,716,947,228,736,1408,841,1452
702,708,770,1877,597,462,940,486,739,1425,854,1500
612,804,718,1921,605,462,919,507,700,1467,743,1412
559,858,717,1922,605,319,1062,507,700,1437,694,1394
410,1013,717,1922,522,340,1073,533,725,1438,644,1362
388,1046,717,1882,433,378,1164,533,725,1438,636,1362
306,1134,689,1565,777,344,1100,632,725,1437,641,1306
302,1138,689,1565,777,315,1129,632,725,1427,641,1296
332,1108,720,1453,885,319,1129,626,731,1424,637,1296
347,1034,722,1379,1024,299,1151,627,735,1262,637,1296
377,1034,634,1376,1110,304,1151,627,735,1107,643,1296
480,1035,634,1261,1225,304,1151,627,735,1112,642,1296
495,944,727,1249,1237,238,1151,693,735,1119,661,1150
577,909,762,1249,1237,238,1151,693,735,1143,657,1144
717,909,762,1249,1237,231,1158,693,735,1316,630,1106
809,924,762,1249,1199,267,1160,693,732,1323,567,1106
883,888,799,1247,1196,272,1160,693,552,1214,557,1088
884,888,730,1206,1302,276,1160,693,475,1217,541,1088
882,890,526,1386,1326,276,1160,693,471,1180,541,1090
883,891,525,1387,1326,276,1160,693,471,1209,541,1047
887,893,512,1212,1474,317,1088,765,471,1049,541,1040
889,893,511,858,1829,317,958,866,500,1079,541,1108
852,930,507,839,1722,447,953,871,373,1040,541,1111
851,915,523,763,1777,468,931,893,311,1127,520,1108
901,848,531,812,1787,468,852,972,289,1119,444,989
1010,850,518,825,1784,471,724,1100,228,1106,436,657
1092,849,385,959,1784,471,716,1106,198,1050,383,610
1091,832,406,959,1761,494,716,1096,190,1049,290,580
1086,820,423,959,1761,494,716,1008,275,974,169,667
1314,821,394,988,1719,536,716,947,276,919,99,588
1335,722,519,989,1658,597,716,947,267,886,98,546
1203,754,627,951,1696,597,716,947,228,802,98,497
1293,702,708,770,1877,597,462,940,486,798,85,389
1287,612,804,718,1921,605,462,919,507,706,84,367
1306,559,858,717,1922,605,319,1062,507,692,84,411
1325,410,1013,717,1922,522,340,1073,533,691,84,430
1365,388,1046,717,1882,433,378,1164,533,709,84,430
1364,306,1134,689,1565,777,344,1100,632,709,88,434
1415,302,1138,689,1565,777,315,1129,632,709,88,448
1384,332,1108,720,1453,885,319,1129,626,774,88,534
1369,347,1034,722,1379,1024,299,1151,627,845,81,654
1359,377,1034,634,1376,1110,304,1151,627,845,263,683
1255,480,1035,634,1261,1225,304,1151,627,840,365,690
1248,495,944,727,1249,1237,238,1151,693,833,356,694
1166,577,909,762,1249,1237,238,1151,693,815,354,748
1026,717,909,762,1249,1237,231,1158,693,645,381,803
919,809,924,762,1249,1199,267,1160,693,634,750,803
844,883,888,799,1247,1196,272,1160,693,602,750,815
868,884,888,730,1206,1302,276,1160,693,549,750,815
898,882,890,526,1386,1326,276,1160,693,549,750,793
896,883,891,525,1387,1326,276,1160,693,519,750,792
900,887,893,512,1212,1474,317,1088,765,535,750,790
928,889,893,511,858,1829,317,958,866,468,750,722
928,852,930,507,839,1722,447,953,871,417,750,746
928,851,915,523,763,1777,468,931,893,351,736,780
878,901,848,531,812,1787,468,852,972,357,736,991
770,1010,850,518,825,1784,471,724,1100,441,764,994
708,1092,849,385,959,1784,471,716,1106,604,771,978
705,1091,832,406,959,1761,494,716,1096,607,778,1049
705,1086,820,423,959,1761,494,716,1008,644,775,1086
476,1314,821,394,988,1719,536,716,947,644,775,1304
428,1335,722,519,989,1658,597,716,947,641,786,1243
428,1203,754,627,951,1696,597,716,947,641,786,1240
309,1293,702,708,770,1877,597,462,940,628,888,1200
311,1287,612,804,718,1921,605,462,919,621,1042,1199
309,1306,559,858,717,1922,605,319,1062,622,1063,1145
347,1325,410,1013,717,1922,522,340,1073,622,1083,1126
316,1365,388,1046,717,1882,433,378,1164,601,1086,1126
321,1364,306,1134,689,1565,777,344,1100,620,1077,1122
351,1415,302,1138,689,1565,777,315,1129,627,1080,1108
359,1384,332,1108,720,1453,885,319,1129,562,1148,1022
359,1369,347,1034,722,1379,1024,299,1151,517,1139,902
339,1359,377,1034,634,1376,1110,304,1151,556,951,873
339,1255,480,1035,634,1261,1225,304,1151,556,848,866
337,1248,495,944,727,1249,1237,238,1151,556,837,884
337,1166,577,909,762,1249,1237,238,1151,570,837,830
337,1026,717,909,762,1249,1237,231,1158,574,835,775
337,919,809,924,762,1249,1199,267,1160,708,485,775
367,844,883,888,799,1247,1196,272,1160,708,485,763
342,868,884,888,730,1206,1302,276,1160,749,485,776
391,898,882,890,526,1386,1326,276,1160,778,485,835
399,896,883,891,525,1387,1326,276,1160,804,489,835
388,900,887,893,512,1212,1474,317,1088,982,489,914
358,928,889,893,511,858,1829,317,958,935,508,1079
358,928,852,930,507,839,1722,447,953,931,510,1071
358,928,851,915,523,763,1777,468,931,910,510,1087
358,878,901,848,531,812,1787,468,852,901,632,920
355,770,1010,850,518,825,1784,471,724,816,672,917
378,708,1092,849,385,959,1784,471,716,692,720,917
378,705,1091,832,406,959,1761,494,716,689,713,846
378,705,1086,820,423,959,1761,494,716,652,765,704
378,476,1314,821,394,988,1719,536,716,652,780,463
378,428,1335,722,519,989,1658,597,716,652,837,513
370,428,1203,754,627,951,1696,597,716,652,838,715
370,309,1293,702,708,770,1877,597,462,652,743,786
388,311,1287,612,804,718,1921,605,462,652,592,812
375,309,1306,559,858,717,1922,605,319,651,571,863
312,347,1325,410,1013,717,1922,522,340,651,551,892
297,316,1365,388,1046,717,1882,433,378,651,548,1008
296,321,1364,306,1134,689,1565,777,344,632,548,1018
215,351,1415,302,1138,689,1565,777,315,625,545,1018
219,359,1384,332,1108,720,1453,885,319,628,477,1022
219,359,1369,347,1034,722,1379,1024,299,782,466,1055
219,339,1359,377,1034,634,1376,1110,304,820,466,1231
219,339,1255,480,1035,634,1261,1225,304,824,462,1254
211,337,1248,495,944,727,1249,1237,238,824,534,1232
211,337,1166,577,909,762,1249,1237,238,804,547,1251
211,337,1026,717,909,762,1249,1237,231,797,571,1251
211,337,919,809,924,762,1249,1199,267,790,600,1256
181,367,844,883,888,799,1247,1196,272,807,622,1327
181,342,868,884,888,730,1206,1302,276,784,648,1358
102,391,898,882,890,526,1386,1326,276,816,654,1299
94,399,896,883,891,525,1387,1326,276,821,650,1306
124,388,900,887,893,512,1212,1474,317,645,650,1233
154,358,928,889,893,511,858,1829,317,628,631,1068
197,358,928,852,930,507,839,1722,447,688,629,1040
259,358,928,851,915,523,763,1777,468,697,629,989
330,358,878,901,848,531,812,1787,468,736,507,945
330,355,770,1010,850,518,825,1784,471,739,439,977
297,378,708,1092,849,385,959,1784,471,700,384,1094
297,378,705,1091,832,406,959,1761,494,700,388,1112
297,378,705,1086,820,423,959,1761,494,725,340,1112
297,378,476,1314,821,394,988,1719,536,725,326,1158
297,378,428,1335,722,519,989,1658,597,725,258,1108
297,370,428,1203,754,627,951,1696,597,725,257,917
317,370,309,1293,702,708,770,1877,597,731,250,852
297,388,311,1287,612,804,718,1921,605,735,247,888
292,375,309,1306,559,858,717,1922,605,735,247,930
292,312,347,1325,410,1013,717,1922,522,735,247,927
287,297,316,1365,388,1046,717,1882,433,735,290,811
295,296,321,1364,306,1134,689,1565,777,735,492,801
295,215,351,1415,302,1138,689,1565,777,735,578,803
283,219,359,1384,332,1108,720,1453,885,732,578,857
283,219,359,1369,347,1034,722,1379,1024,552,578,825
283,219,339,1359,377,1034,634,1376,1110,475,578,696
283,219,339,1255,480,1035,634,1261,1225,471,578,673
288,211,337,1248,495,944,727,1249,1237,471,505,685
314,211,337,1166,577,909,762,1249,1237,471,492,674
314,211,337,1026,717,909,762,1249,1237,500,448,674
314,211,337,919,809,924,762,1249,1199,373,471,669
314,181,367,844,883,888,799,1247,1196,311,451,598
352,181,342,868,884,888,730,1206,1302,289,479,716
360,102,391,898,882,890,526,1386,1326,228,473,724
390,94,399,896,883,891,525,1387,1326,198,473,730
360,124,388,900,887,893,512,1212,1474,190,473,747
330,154,358,928,889,893,511,858,1829,275,473,747
287,197,358,928,852,930,507,839,1722,276,473,747
225,259,358,928,851,915,523,763,1777,267,473,747
154,330,358,878,901,848,531,812,1787,228,475,747
154,330,355,770,1010,850,518,825,1784,486,475,715
144,297,378,708,1092,849,385,959,1784,507,475,598
144,297,378,705,1091,832,406,959,1761,507,476,579
186,297,378,705,1086,820,423,959,1761,533,540,579
186,297,378,476,1314,821,394,988,1719,533,683,532
186,297,378,428,1335,722,519,989,1658,632,721,532
186,297,370,428,1203,754,627,951,1696,632,776,521
179,317,370,309,1293,702,708,770,1877,626,776,515
187,297,388,311,1287,612,804,718,1921,627,935,453
187,292,375,309,1306,559,858,717,1922,627,983,360
187,292,312,347,1325,410,1013,717,1922,627,983,392
218,287,297,316,1365,388,1046,717,1882,693,945,418
255,295,296,321,1364,306,1134,689,1565,693,743,423
364,295,215,351,1415,302,1138,689,1565,693,662,437
425,283,219,359,1384,332,1108,720,1453,693,662,379
425,283,219,359,1369,347,1034,722,1379,693,703,378
433,283,219,339,1359,377,1034,634,1376,693,703,331
433,283,219,339,1255,480,1035,634,1261,693,703,331
428,288,211,337,1248,495,944,727,1249,693,703,326
402,314,211,337,1166,577,909,762,1249,765,703,321
402,314,211,337,1026,717,909,762,1249,866,709,330
402,314,211,337,919,809,924,762,1249,871,639,367
402,314,181,367,844,883,888,799,1247,893,648,386
364,352,181,342,868,884,888,730,1206,972,594,291
356,360,102,391,898,882,890,526,1386,1100,594,354
435,390,94,399,896,883,891,525,1387,1106,594,341
435,360,124,388,900,887,893,512,1212,1096,594,318
435,330,154,358,928,889,893,511,858,1008,594,330
488,287,197,358,928,852,930,507,839,947,594,345
