Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
102,1224,732,1015,918,782,752,842,1062,219,1114,959,653,564,510,202
102,1179,777,1015,892,776,784,772,1132,219,929,1144,682,568,510,287
102,1076,880,1015,633,885,934,771,1113,223,898,1191,635,545,542,299
83,976,999,1015,606,851,995,771,1113,223,879,1160,598,551,563,326
136,972,1016,1015,529,927,990,527,1363,223,866,1173,528,500,569,370
107,954,1042,1036,527,929,977,434,1469,223,842,1197,520,475,569,518
66,831,1206,1036,527,929,969,358,1553,82,933,1247,517,475,571,525
66,740,1294,1039,502,947,976,358,1539,88,803,1385,382,475,571,432
66,706,1328,914,627,946,977,184,1666,124,782,1384,327,545,523,403
90,621,1412,836,705,947,961,118,1748,124,782,1384,302,568,538,402
92,621,1412,738,803,924,928,174,1748,122,681,1487,317,559,503,402
92,604,1429,709,832,906,927,193,1748,122,656,1512,317,565,502,401
198,534,1499,697,757,993,739,381,1736,134,642,1428,317,607,694,401
279,510,1523,628,714,1105,490,630,1682,188,591,1468,427,590,892,405
370,510,1519,622,707,1122,489,609,1670,222,591,1468,432,584,877,413
370,475,1509,591,777,1128,485,613,1391,501,591,1468,432,584,877,413
398,475,1499,601,709,1196,421,677,1391,482,608,1470,432,584,984,410
413,475,1315,707,704,1279,416,682,1391,465,624,1456,557,584,984,452
433,475,1308,706,706,1278,423,682,1390,465,625,1456,571,677,992,464
444,475,1281,704,735,1278,422,683,1390,461,629,1456,548,766,992,500
479,475,1146,801,731,1320,422,683,1376,475,629,1346,538,766,992,500
638,475,1031,914,698,1292,485,683,1320,531,629,1341,876,726,992,506
724,475,1008,930,704,1293,485,683,1239,612,629,1341,869,685,992,574
724,469,870,1066,712,1213,565,683,1234,617,629,1341,908,685,984,821
762,419,920,1066,712,1198,580,683,1138,713,629,1213,959,662,955,1091
902,384,955,1066,668,1242,580,683,1020,831,629,1191,1144,723,873,1091
903,347,992,988,746,1194,628,680,1022,832,532,1288,1191,721,870,1121
903,347,992,830,904,1186,636,680,1020,834,482,1338,1160,722,870,1158
903,132,1207,775,959,1127,695,655,867,1012,482,941,1173,737,721,1157
903,128,1211,720,1014,1045,697,715,878,1021,482,941,1197,734,721,1247
951,107,1219,732,1015,947,758,747,860,1044,367,1017,1247,733,721,1247
1112,102,1224,732,1015,918,782,752,842,1062,219,1114,1385,624,721,1244
1159,102,1179,777,1015,892,776,784,772,1132,219,929,1384,563,721,1123
1177,102,1076,880,1015,633,885,934,771,1113,223,898,1384,563,689,1111
1183,83,976,999,1015,606,851,995,771,1113,223,879,1487,796,668,1179
1123,136,972,1016,1015,529,927,990,527,1363,223,866,1512,796,675,1135
1195,107,954,1042,1036,527,929,977,434,1469,223,842,1428,796,675,956
1443,66,831,1206,1036,527,929,969,358,1553,82,933,1468,796,673,949
1443,66,740,1294,1039,502,947,976,358,1539,88,803,1468,796,707,984
