Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1
946,635,332,1003,517,693,402,761,458,913
948,575,392,980,540,626,462,745,438,958
952,567,400,980,540,626,433,744,468,976
952,567,400,980,491,675,419,707,519,981
952,567,190,1190,485,681,381,694,549,621
952,567,190,1177,492,673,395,692,514,665
952,492,265,809,822,595,511,691,466,573
873,567,254,824,822,551,555,691,466,562
873,495,326,824,822,332,774,690,467,578
822,546,326,824,822,319,787,690,462,594
822,488,384,824,814,327,787,690,456,594
834,489,384,824,773,368,787,690,437,594
791,532,384,824,770,369,767,710,434,595
829,579,373,826,779,367,762,710,439,651
796,621,373,792,813,343,784,708,426,873
936,647,373,792,812,311,789,705,457,1187
944,648,373,792,812,286,773,692,511,1353
929,630,406,792,812,260,773,648,581,1417
867,368,730,792,812,260,773,589,640,1445
854,380,731,674,930,260,757,525,720,1765
823,411,731,580,1024,259,731,539,733,1795
748,554,731,579,991,293,712,543,743,1853
618,688,731,554,1016,293,619,636,696,2031
613,705,731,494,1053,316,619,636,611,2130
720,813,731,494,1053,316,619,636,565,2088
696,838,731,494,1053,250,685,636,494,2086
636,898,715,510,1018,285,685,584,546,2089
663,899,702,523,907,396,678,533,604,2089
667,899,664,561,858,443,661,473,683,2008
667,899,660,354,1022,487,663,413,744,2008
636,933,645,323,1062,488,668,396,761,2038
657,946,635,332,1003,517,693,402,761,2069
677,948,575,392,980,540,626,462,745,2017
691,952,567,400,980,540,626,433,744,1971
691,952,567,400,980,491,675,419,707,1965
691,952,567,190,1190,485,681,381,694,1966
693,952,567,190,1177,492,673,395,692,1940
693,952,492,265,809,822,595,511,691,1956
698,873,567,254,824,822,551,555,691,1986
700,873,495,326,824,822,332,774,690,1955
700,822,546,326,824,822,319,787,690,1939
705,822,488,384,824,814,327,787,690,1940
696,834,489,384,824,773,368,787,690,1940
696,791,532,384,824,770,369,767,710,1939
614,829,579,373,826,779,367,762,710,1883
614,796,621,373,792,813,343,784,708,1661
470,936,647,373,792,812,311,789,705,1347
469,944,648,373,792,812,286,773,692,1181
469,929,630,406,792,812,260,773,648,1182
481,867,368,730,792,812,260,773,589,1139
481,854,380,731,674,930,260,757,525,765
481,823,411,731,580,1024,259,731,539,683
413,748,554,731,579,991,293,712,543,624
415,618,688,731,554,1016,293,619,636,415
414,613,705,731,494,1053,316,619,636,316
221,720,813,731,494,1053,316,619,636,296
226,696,838,731,494,1053,250,685,636,274
226,636,898,715,510,1018,285,685,584,293
200,663,899,702,523,907,396,678,533,293
246,667,899,664,561,858,443,661,473,291
259,667,899,660,354,1022,487,663,413,291
312,636,933,645,323,1062,488,668,396,281
291,657,946,635,332,1003,517,693,402,255
420,677,948,575,392,980,540,626,462,279
695,691,952,567,400,980,540,626,433,330
816,691,952,567,400,980,491,675,419,343
847,691,952,567,190,1190,485,681,381,355
850,693,952,567,190,1177,492,673,395,311
850,693,952,492,265,809,822,595,511,295
864,698,873,567,254,824,822,551,555,265
980,700,873,495,326,824,822,332,774,290
1141,700,822,546,326,824,822,319,787,382
1136,705,822,488,384,824,814,327,787,384
1132,696,834,489,384,824,773,368,787,384
1132,696,791,532,384,824,770,369,767,385
1139,614,829,579,373,826,779,367,762,385
1158,614,796,621,373,792,813,343,784,390
1317,470,936,647,373,792,812,311,789,393
1478,469,944,648,373,792,812,286,773,482
1559,469,929,630,406,792,812,260,773,516
1617,481,867,368,730,792,812,260,773,523
1620,481,854,380,731,674,930,260,757,523
1625,481,823,411,731,580,1024,259,731,513
1632,413,748,554,731,579,991,293,712,512
1633,415,618,688,731,554,1016,293,619,512
1622,414,613,705,731,494,1053,316,619,543
1600,221,720,813,731,494,1053,316,619,590
1671,226,696,838,731,494,1053,250,685,633
1671,226,636,898,715,510,1018,285,685,611
1691,200,663,899,702,523,907,396,678,611
