Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
556,495,749,892,639,471,600,485,750,1079,489,184,596,453
556,490,754,881,648,451,622,485,750,1079,530,118,613,427
556,490,747,888,594,479,648,485,750,1155,530,174,652,456
556,490,747,888,594,473,654,485,750,1253,530,193,825,456
455,591,747,888,594,473,650,489,750,1302,544,381,842,456
455,552,786,888,594,473,650,489,750,1264,549,630,842,456
381,626,786,888,594,473,631,508,750,1190,440,609,842,456
396,816,786,888,594,473,629,510,750,1257,434,613,842,509
432,819,786,888,594,473,629,510,736,1091,429,677,842,512
458,819,776,898,592,475,507,632,736,1033,420,682,842,518
476,800,743,892,650,475,439,672,764,1065,420,682,842,537
476,800,704,896,685,475,384,720,771,1065,425,683,843,551
568,800,663,933,684,476,388,713,778,1065,476,683,842,551
694,631,832,888,661,540,340,765,775,1065,447,683,511,420
740,608,855,694,711,683,326,780,775,1052,446,683,398,414
740,608,810,655,757,721,258,837,786,649,446,683,368,425
739,389,935,750,702,776,257,838,786,420,446,683,368,456
646,482,935,750,702,776,250,743,888,428,446,683,367,478
648,482,935,750,543,935,247,592,1042,491,446,680,317,552
650,482,935,366,879,983,247,571,1063,491,456,680,275,624
650,482,830,471,879,983,247,551,1083,491,379,655,280,645
650,482,811,490,874,945,290,548,1086,491,360,715,323,618
650,482,793,508,874,743,492,548,1077,491,360,747,383,757
556,576,790,511,869,662,578,545,1080,510,374,752,424,746
556,573,793,498,882,662,578,477,1148,510,375,784,477,743
558,573,735,508,889,703,578,466,1139,511,375,934,481,724
600,573,538,705,889,703,578,466,951,515,375,995,481,643
605,573,516,727,889,703,578,462,848,515,318,990,483,638
605,556,533,727,889,703,505,534,837,515,318,977,476,598
605,556,533,711,905,703,492,547,837,679,318,969,476,715
605,556,495,749,893,709,448,571,835,682,151,976,465,713
605,556,495,749,892,639,471,600,485,702,380,977,455,753
605,556,490,754,881,648,451,622,485,760,352,961,438,753
605,556,490,747,888,594,479,648,485,734,352,928,493,695
639,556,490,747,888,594,473,654,485,689,352,927,338,713
684,455,591,747,888,594,473,650,489,637,338,739,402,766
761,455,552,786,888,594,473,650,489,611,333,490,471,839
942,381,626,786,888,594,473,631,508,609,333,489,522,848
771,396,816,786,888,594,473,629,510,542,333,485,547,795
740,432,819,786,888,594,473,629,510,505,406,421,547,834
806,458,819,776,898,592,475,507,632,506,409,416,552,828
788,476,800,743,892,650,475,439,672,457,509,423,552,810
845,476,800,704,896,685,475,384,720,569,615,422,561,842
797,568,800,663,933,684,476,388,713,618,592,422,561,852
671,694,631,832,888,661,540,340,765,668,624,485,563,852
628,740,608,855,694,711,683,326,780,674,624,485,573,854
629,740,608,810,655,757,721,258,837,674,680,565,573,843
639,739,389,935,750,702,776,257,838,674,690,580,573,811
642,646,482,935,750,702,776,250,743,670,690,580,647,789
