Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
354,724,1299,835,793,1090,1123,1512,796,675,1135,634,157,756,316
341,730,1306,835,792,1047,1195,1428,796,675,956,609,157,756,316
318,747,1233,914,790,1040,1443,1468,796,673,949,574,159,756,250
330,747,1068,1079,722,1108,1443,1468,796,707,984,573,90,756,285
345,747,1040,1071,746,1111,1443,1468,772,669,1005,559,117,769,396
345,747,989,1087,780,1108,1419,1470,749,710,1022,382,117,809,443
567,747,945,920,991,989,1417,1456,740,709,1046,334,117,997,487
653,715,977,917,994,657,1417,1456,758,640,1046,461,117,940,488
658,598,1094,917,978,610,1311,1456,660,433,1046,461,208,936,517
658,579,1112,846,1049,580,1261,1346,649,224,1131,465,222,931,540
658,579,1112,704,1086,667,1204,1341,649,222,1123,488,222,938,540
658,532,1158,463,1304,588,1278,1341,649,295,1161,504,356,947,491
658,532,1108,513,1243,546,1250,1341,649,208,1161,517,364,944,485
746,521,917,715,1240,497,1235,1213,649,299,1120,523,364,858,492
746,515,852,786,1200,389,1220,1191,556,291,1108,510,364,857,822
824,453,888,812,1199,367,1237,1288,468,291,1240,474,353,857,822
841,360,930,863,1145,411,1290,1338,468,291,1240,476,666,857,822
836,392,927,892,1126,430,1175,941,468,291,1234,476,678,832,822
810,418,811,1008,1126,430,1213,941,468,291,1230,476,748,811,814
805,423,801,1018,1122,434,1267,1017,468,305,983,367,733,789,773
846,437,803,1018,1108,448,1230,1114,468,326,713,367,733,725,770
848,379,857,1022,1022,534,1122,929,343,326,713,367,733,725,779
848,378,825,1055,902,654,1173,898,339,327,683,367,733,607,813
876,331,696,1231,873,683,1266,879,338,423,645,351,733,603,812
876,331,673,1254,866,690,1383,866,323,423,645,339,733,609,812
869,326,685,1232,884,694,1425,842,323,444,555,333,733,610,812
1109,321,674,1251,830,748,1448,933,325,444,555,322,733,618,812
1100,330,674,1251,775,803,1409,803,326,444,555,311,757,585,930
1063,367,669,1256,775,803,1376,782,326,444,555,311,791,584,1024
1044,386,598,1327,763,815,1399,782,376,444,555,330,791,568,991
977,291,716,1358,776,815,1401,681,334,444,458,330,791,551,1016
906,354,724,1299,835,793,1398,656,392,431,484,330,793,405,1053
906,341,730,1306,835,792,1374,642,456,484,523,340,793,486,1053
1077,318,747,1233,914,790,1320,591,505,587,549,408,791,717,1053
1153,330,747,1068,1079,722,1495,591,505,568,537,492,781,717,1018
1138,345,747,1040,1071,746,1529,591,493,606,611,474,754,896,907
1138,345,747,989,1087,780,1589,608,507,548,594,415,772,883,858
916,567,747,945,920,991,1618,624,759,548,570,406,929,667,1022
870,653,715,977,917,994,1618,625,772,623,570,270,937,887,1062
895,658,598,1094,917,978,1713,629,848,671,570,270,846,920,1003
895,658,579,1112,846,1049,1689,629,848,695,481,274,832,1176,980
900,658,579,1112,704,1086,1656,629,848,705,481,465,854,1208,980
967,658,532,1158,463,1304,1583,629,848,634,443,449,721,1211,980
971,658,532,1108,513,1243,1591,629,848,614,443,436,759,1219,1190
883,746,521,917,715,1240,1593,629,848,523,442,524,1039,1328,1177
883,746,515,852,786,1200,1588,629,848,523,442,538,1156,1364,809
805,824,453,888,812,1199,1560,532,847,523,274,541,1165,1402,824
808,841,360,930,863,1145,1472,482,847,523,281,539,848,1415,824
765,836,392,927,892,1126,1428,482,847,525,281,561,834,1415,824
766,810,418,811,1008,1126,1304,482,957,661,217,561,820,1415,824
832,805,423,801,1018,1122,1307,367,957,715,217,561,890,1415,824
820,846,437,803,1018,1108,1382,219,1024,724,232,561,893,1415,824
821,848,379,857,1022,1022,1417,219,1024,776,392,561,893,1415,826
821,848,378,825,1055,902,1369,223,1024,775,392,561,893,1412,792
793,876,331,696,1231,873,1313,223,1027,679,392,564,909,1562,792
793,876,331,673,1254,866,1197,223,1076,679,396,569,909,1588,792
793,869,326,685,1232,884,1155,223,1093,681,398,571,909,1596,792
622,1109,321,674,1251,830,1084,82,1091,689,471,571,909,1758,792
801,1100,330,674,1251,775,962,88,1134,689,493,571,885,1816,674
854,1063,367,669,1256,775,992,124,1273,689,493,571,851,1837,580
854,1044,386,598,1327,763,995,124,1657,689,493,547,851,1971,579
854,977,291,716,1358,776,987,122,1456,689,532,557,851,1971,554
854,906,354,724,1299,835,984,122,1398,689,506,598,849,1971,494
869,906,341,730,1306,835,936,134,1334,636,467,605,849,1934,494
704,1077,318,747,1233,914,834,188,1285,533,441,600,853,1703,494
690,1153,330,747,1068,1079,659,222,1286,525,417,555,902,1703,510
904,1138,345,747,1040,1071,625,501,1252,506,322,593,930,1461,523
904,1138,345,747,989,1087,565,482,1297,506,322,577,947,1434,561
904,916,567,747,945,920,840,465,1045,506,322,594,856,1425,354
864,870,653,715,977,917,881,465,1055,454,322,594,1001,1209,323
879,895,658,598,1094,917,810,461,1007,406,322,596,1002,1205,332
879,895,658,579,1112,846,899,475,1007,382,322,622,1003,949,392
874,900,658,579,1112,704,907,531,1007,499,322,466,993,910,400
828,967,658,532,1158,463,906,612,1019,497,322,469,992,898,400
877,971,658,532,1108,513,903,617,1032,567,322,467,946,890,190
880,883,746,521,917,715,901,713,1135,654,322,373,666,781,190
880,883,746,515,852,786,901,831,1249,682,322,359,549,745,265
888,805,824,453,888,812,952,832,1249,682,322,356,540,707,254
869,808,841,360,930,863,1009,834,1249,863,315,356,589,694,326
865,765,836,392,927,892,1035,1012,1249,900,494,334,551,694,326
864,766,810,418,811,1008,1035,1021,1139,995,623,334,525,807,384
839,832,805,423,801,1018,1028,1044,1160,927,623,363,458,967,384
812,820,846,437,803,1018,963,1062,1093,1010,608,371,455,1123,384
809,821,848,379,857,1022,974,1132,1093,982,448,424,455,1123,373
922,821,848,378,825,1055,1304,1113,1093,982,448,427,455,1123,373
922,793,876,331,696,1231,1268,1113,1092,983,448,464,439,973,373
941,793,876,331,673,1254,1267,1363,1044,1022,444,542,439,941,373
943,793,869,326,685,1232,1267,1469,1087,1097,442,544,439,924,406
871,622,1109,321,674,1251,1267,1553,1087,1112,369,663,439,820,730
692,801,1100,330,674,1251,1267,1539,1043,1124,347,956,439,774,731
639,854,1063,367,669,1256,1223,1666,904,1221,356,967,439,754,731
639,854,1044,386,598,1327,1179,1748,470,1249,506,1206,439,620,731
639,854,977,291,716,1358,1179,1748,469,1278,473,1196,454,620,731
639,854,906,354,724,1299,1179,1748,469,1278,473,1155,469,620,731
627,869,906,341,730,1306,1179,1736,469,1278,473,1138,469,678,731
685,704,1077,318,747,1233,1087,1682,469,1278,473,1075,465,793,731
687,690,1153,330,747,1068,1196,1670,468,1271,473,1055,527,794,715
473,904,1138,345,747,1040,1202,1391,468,1252,473,1043,569,799,702
683,904,1138,345,747,989,1207,1391,409,1252,473,1043,535,799,664
741,904,916,567,747,945,912,1391,409,1252,482,1024,647,987,660
758,864,870,653,715,977,871,1390,354,1229,629,1024,519,982,645
713,879,895,658,598,1094,847,1390,326,1229,629,1022,545,953,635
713,879,895,658,579,1112,751,1376,327,1229,629,989,574,953,575
713,874,900,658,579,1112,771,1320,658,1233,658,1126,568,953,567
707,828,967,658,532,1158,772,1239,759,1239,658,1123,575,953,567
1057,877,971,658,532,1108,767,1234,776,1167,658,1123,577,963,567
1283,880,883,746,521,917,767,1138,673,1081,658,1123,709,963,567
1283,880,883,746,515,852,767,1020,560,1053,658,1123,711,963,492
1275,888,805,824,453,888,716,1022,610,1056,658,1123,794,966,567
1274,869,808,841,360,930,659,1020,652,875,658,1123,782,1150,495
1268,865,765,836,392,927,710,867,652,836,479,1123,778,1162,546
1268,864,766,810,418,811,729,878,652,641,350,1123,745,1050,488
1227,839,832,805,423,801,679,860,631,641,350,1094,1020,917,489
1209,812,820,846,437,803,668,842,631,539,350,1086,1022,800,532
1209,809,821,848,379,857,590,772,631,518,350,1033,1024,800,579
1096,922,821,848,378,825,256,771,631,537,382,1144,1024,802,621
1100,922,793,876,331,696,255,771,629,654,388,1112,1024,802,647
1081,941,793,876,331,673,312,527,628,620,388,1029,1024,805,648
1079,943,793,869,326,685,312,434,575,562,388,1060,1024,805,630
1079,871,622,1109,321,674,312,358,575,539,388,1025,1123,723,368
1079,692,801,1100,330,674,479,358,586,549,390,742,1123,713,380
1079,639,854,1063,367,669,489,184,596,453,400,731,1123,910,411
1079,639,854,1044,386,598,530,118,613,427,250,492,1158,912,554
1155,639,854,977,291,716,530,174,652,456,244,492,1143,1092,688
1253,639,854,906,354,724,530,193,825,456,285,492,1203,1102,705
1302,627,869,906,341,730,544,381,842,456,369,492,1372,1062,813
1264,685,704,1077,318,747,549,630,842,456,399,493,1419,947,838
1190,687,690,1153,330,747,440,609,842,456,399,474,1309,946,898
1257,473,904,1138,345,747,434,613,842,509,410,502,1241,993,899
1091,683,904,1138,345,747,429,677,842,512,481,515,1272,993,899
1033,741,904,916,567,747,420,682,842,518,627,515,1114,805,899
1065,758,864,870,653,715,420,682,842,537,517,515,1096,979,933
1065,713,879,895,658,598,425,683,843,551,517,515,1069,1110,946
1065,713,879,895,658,579,476,683,842,551,518,514,1039,1216,948
1065,713,874,900,658,579,447,683,511,420,491,319,1034,1221,952
1052,707,828,967,658,532,446,683,398,414,491,337,1027,1221,952
649,1057,877,971,658,532,446,683,368,425,491,340,1025,1211,952
420,1283,880,883,746,521,446,683,368,456,491,340,901,1211,952
428,1283,880,883,746,515,446,683,367,478,491,370,904,1259,952
491,1275,888,805,824,453,446,680,317,552,491,496,821,1263,873
491,1274,869,808,841,360,456,680,275,624,491,550,784,1079,873
491,1268,865,765,836,392,379,655,280,645,491,581,819,1160,822
491,1268,864,766,810,418,360,715,323,618,491,581,819,1174,822
491,1227,839,832,805,423,360,747,383,757,491,596,541,1147,834
510,1209,812,820,846,437,374,752,424,746,491,703,553,1108,791
510,1209,809,821,848,379,375,784,477,743,491,950,552,1108,829
511,1096,922,821,848,378,375,934,481,724,459,871,598,1137,796
515,1100,922,793,876,331,375,995,481,643,453,905,616,1137,936
515,1081,941,793,876,331,318,990,483,638,453,1257,616,1147,944
515,1079,943,793,869,326,318,977,476,598,453,1400,616,1147,929
679,1079,871,622,1109,321,318,969,476,715,453,1421,529,1133,867
682,1079,692,801,1100,330,151,976,465,713,473,1411,530,1138,854
702,1079,639,854,1063,367,380,977,455,753,471,1412,530,941,823
760,1079,639,854,1044,386,352,961,438,753,517,1413,495,1098,748
734,1155,639,854,977,291,352,928,493,695,703,1416,519,952,618
689,1253,639,854,906,354,352,927,338,713,671,1465,444,1081,613
637,1302,627,869,906,341,338,739,402,766,647,1651,275,1073,720
611,1264,685,704,1077,318,333,490,471,839,640,1702,228,1128,696
609,1190,687,690,1153,330,333,489,522,848,640,1720,227,1134,636
542,1257,473,904,1138,345,333,485,547,795,629,1666,225,1205,663
505,1091,683,904,1138,345,406,421,547,834,558,1716,247,1292,667
506,1033,741,904,916,567,409,416,552,828,403,1739,356,1391,667
457,1065,758,864,870,653,509,423,552,810,366,1857,502,1271,636
569,1065,713,879,895,658,615,422,561,842,366,1886,505,1161,657
618,1065,713,879,895,658,592,422,561,852,365,2073,505,1055,677
668,1065,713,874,900,658,624,485,563,852,363,2089,504,1050,691
674,1052,707,828,967,658,624,485,573,854,381,2072,527,1195,691
674,649,1057,877,971,658,680,565,573,843,381,2111,527,1247,691
674,420,1283,880,883,746,690,580,573,811,418,2138,520,1252,693
670,428,1283,880,883,746,690,580,647,789,418,2154,515,1231,693
634,491,1275,888,805,824,690,628,665,715,496,2127,515,1226,698
634,491,1274,869,808,841,680,636,680,651,555,2080,515,1235,700
640,491,1268,865,765,836,680,695,675,742,561,2049,480,1142,700
642,491,1268,864,766,810,826,697,632,733,563,2049,480,1159,705
648,491,1227,839,832,805,832,758,572,594,563,2034,479,1172,696
657,510,1209,812,820,846,856,782,539,607,563,1984,465,1242,696
720,510,1209,809,821,848,855,776,486,619,565,1742,535,1354,614
729,511,1096,922,821,848,873,885,482,629,592,1731,494,1467,614
737,515,1100,922,793,876,873,851,520,592,592,1697,512,1467,470
737,515,1081,941,793,876,893,927,518,592,624,1406,551,1550,469
737,515,1079,943,793,869,937,929,542,616,673,1228,611,1616,469
573,679,1079,871,622,1109,946,929,569,499,717,1123,631,1650,481
570,682,1079,692,801,1100,946,947,593,481,695,1132,631,1643,481
550,702,1079,639,854,1063,716,946,593,440,680,1141,713,1642,481
527,760,1079,639,854,1044,707,947,593,438,678,1144,796,1483,413
553,734,1155,639,854,977,826,924,499,457,501,1209,788,1503,415
508,689,1253,639,854,906,1158,906,607,452,492,1188,801,1409,414
561,637,1302,627,869,906,1221,993,619,399,432,1005,812,1355,221
654,611,1264,685,704,1077,1252,1105,666,326,409,953,856,1303,226
778,609,1190,687,690,1153,1270,1122,671,317,409,935,898,1297,226
848,542,1257,473,904,1138,1373,1128,668,317,409,935,898,1228,200
842,505,1091,683,904,1138,1403,1196,668,275,409,872,844,1244,246
841,506,1033,741,904,916,1452,1279,699,275,409,849,715,1164,259
854,457,1065,758,864,870,1500,1278,699,274,409,731,562,1110,312
743,569,1065,713,879,895,1412,1278,689,228,409,702,559,1242,291
694,618,1065,713,879,895,1394,1320,689,218,415,515,559,1276,420
644,668,1065,713,874,900,1362,1292,687,218,433,504,559,1290,695
636,674,1052,707,828,967,1362,1293,677,216,549,504,536,1181,816
641,674,649,1057,877,971,1306,1213,677,216,648,469,536,1251,847
641,674,420,1283,880,883,1296,1198,689,216,612,479,535,1263,850
637,670,428,1283,880,883,1296,1242,680,272,612,437,535,1249,850
637,634,491,1275,888,805,1296,1194,667,356,534,338,535,1247,864
643,634,491,1274,869,808,1296,1186,660,440,475,331,535,1271,980
642,640,491,1268,865,765,1296,1127,680,344,477,331,537,1272,1141
661,642,491,1268,864,766,1150,1045,680,344,574,387,537,1240,1136
657,648,491,1227,839,832,1144,947,680,344,587,412,552,1227,1132
630,657,510,1209,812,820,1106,918,672,346,587,511,564,1157,1132
567,720,510,1209,809,821,1106,892,672,365,608,509,493,1046,1139
557,729,511,1096,922,821,1088,633,672,402,581,524,496,903,1158
541,737,515,1100,922,793,1088,606,634,419,585,530,547,962,1317
541,737,515,1081,941,793,1090,529,642,419,553,572,508,918,1478
541,737,515,1079,943,793,1047,527,645,395,588,619,496,884,1559
541,573,679,1079,871,622,1040,527,629,411,567,624,609,854,1617
541,570,682,1079,692,801,1108,502,606,411,567,758,763,869,1620
541,550,702,1079,639,854,1111,627,640,411,565,841,681,869,1625
520,527,760,1079,639,854,1108,705,704,433,521,875,598,870,1632
444,553,734,1155,639,854,989,803,721,441,521,1048,582,946,1633
436,508,689,1253,639,854,657,832,595,428,522,1354,569,939,1622
383,561,637,1302,627,869,610,757,502,433,522,1398,558,948,1600
290,654,611,1264,685,704,580,714,386,433,522,1532,514,1147,1671
169,778,609,1190,687,690,667,707,336,485,538,1532,472,1391,1671
99,848,542,1257,473,904,588,777,314,485,576,1532,472,1343,1691
98,842,505,1091,683,904,546,709,314,486,577,1532,472,1240,1641
98,841,506,1033,741,904,497,704,278,517,660,1532,472,1221,1668
