Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
322,756,267,1130,733,618,812,764,1606,417,497,416,677
311,767,267,1080,757,585,930,749,1747,344,497,391,588
311,739,295,986,791,584,1024,716,1843,272,487,388,532
330,711,328,960,791,568,991,485,1843,273,470,388,469
330,646,393,857,791,551,1016,477,1871,286,438,388,469
330,634,405,718,793,405,1053,514,1911,295,408,388,431
340,609,430,694,793,486,1053,410,1921,316,389,388,431
408,574,465,693,791,717,1053,410,1989,251,400,388,431
492,573,466,693,781,717,1018,354,2059,250,384,254,342
474,559,498,693,754,896,907,354,2314,295,359,223,316
415,382,750,693,772,883,858,354,2317,366,312,59,320
406,334,809,693,929,667,1022,354,2322,383,301,37,320
270,461,818,693,937,887,1062,410,2331,395,301,65,320
270,461,818,668,846,920,1003,301,2139,395,266,96,320
274,465,818,654,832,1176,980,314,2003,419,266,97,320
465,488,818,654,854,1208,980,339,2003,426,266,97,381
449,504,818,654,721,1211,980,356,2003,426,272,78,322
436,517,820,654,759,1219,1190,360,1868,426,273,73,374
524,523,820,654,1039,1328,1177,424,1868,426,261,73,351
538,510,833,653,1156,1364,809,421,1766,426,230,75,541
541,474,869,653,1165,1402,824,391,1727,426,268,75,512
539,476,841,585,848,1415,824,454,1727,426,252,75,510
561,476,780,646,834,1415,824,543,1821,426,252,75,494
561,476,720,706,820,1415,824,540,1628,426,217,75,488
561,367,827,708,890,1415,824,539,1679,426,158,77,640
561,367,771,530,893,1415,824,539,1701,426,158,77,682
561,367,711,433,893,1415,826,539,1659,331,158,77,707
561,367,711,330,893,1412,792,539,1578,324,209,77,568
564,351,727,271,909,1562,792,552,1496,363,209,77,568
569,339,739,267,909,1588,792,552,1283,364,209,132,568
571,333,745,267,909,1596,792,552,1189,359,209,132,608
571,322,756,267,909,1758,792,544,1099,359,293,132,626
571,311,767,267,885,1816,674,544,959,359,350,132,763
571,311,739,295,851,1837,580,526,863,359,358,142,900
547,330,711,328,851,1971,579,587,863,364,358,142,900
557,330,646,393,851,1971,554,587,848,351,358,185,1112
598,330,634,405,849,1971,494,549,866,342,358,276,1139
605,340,609,430,849,1934,494,560,866,321,358,352,1139
600,408,574,465,853,1703,494,603,870,247,324,352,1139
555,492,573,466,902,1703,510,604,801,232,300,352,1139
593,474,559,498,930,1461,523,605,546,187,285,352,1139
577,415,382,750,947,1434,561,605,543,116,285,352,1135
594,406,334,809,856,1425,354,605,538,131,285,352,1135
594,270,461,818,1001,1209,323,545,529,129,382,406,1135
596,270,461,818,1002,1205,332,544,529,129,443,395,1135
622,274,465,818,1003,949,392,531,529,105,443,394,1190
466,465,488,818,993,910,400,498,529,220,443,508,1140
469,449,504,818,992,898,400,481,529,258,436,569,1140
467,436,517,820,946,890,190,461,524,363,436,632,1086
373,524,523,820,666,781,190,365,524,438,436,632,1083
359,538,510,833,549,745,265,364,419,438,436,630,955
356,541,474,869,540,707,254,342,419,438,398,630,1028
356,539,476,841,589,694,326,255,419,438,398,630,1015
334,561,476,780,551,694,326,151,292,438,386,647,1015
334,561,476,720,525,807,384,150,288,438,386,647,1014
363,561,367,827,458,967,384,150,237,438,386,852,862
371,561,367,771,455,1123,384,150,206,559,386,853,820
424,561,367,711,455,1123,373,228,206,606,386,853,795
427,561,367,711,455,1123,373,258,206,607,391,853,795
464,564,351,727,439,973,373,246,207,568,472,864,796
542,569,339,739,439,941,373,326,190,622,539,809,796
544,571,333,745,439,924,406,326,178,622,539,830,756
663,571,322,756,439,820,730,326,236,660,455,832,738
956,571,311,767,439,774,731,326,263,763,440,833,601
967,571,311,739,439,754,731,326,401,804,439,829,457
1206,547,330,711,439,620,731,263,416,846,474,829,457
1196,557,330,646,454,620,731,263,473,900,474,786,245
1155,598,330,634,469,620,731,263,416,902,474,695,218
1138,605,340,609,469,678,731,236,656,902,474,619,218
1075,600,408,574,465,793,731,376,584,902,475,619,218
1055,555,492,573,527,794,715,486,583,902,581,619,242
1043,593,474,559,569,799,702,491,583,902,581,619,242
1043,577,415,382,535,799,664,534,583,902,656,630,245
1024,594,406,334,647,987,660,534,583,870,656,709,245
1024,594,270,461,519,982,645,598,586,860,620,689,269
1022,596,270,461,545,953,635,603,586,860,740,793,376
989,622,274,465,574,953,575,626,586,860,742,825,330
