Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
626,786,888,594,473,631,508,750,541,570,682,687,1196,1670,468,1271,473,1055,527
816,786,888,594,473,629,510,750,541,550,702,473,1202,1391,468,1252,473,1043,569
819,786,888,594,473,629,510,736,520,527,760,683,1207,1391,409,1252,473,1043,535
819,776,898,592,475,507,632,736,444,553,734,741,912,1391,409,1252,482,1024,647
800,743,892,650,475,439,672,764,436,508,689,758,871,1390,354,1229,629,1024,519
800,704,896,685,475,384,720,771,383,561,637,713,847,1390,326,1229,629,1022,545
800,663,933,684,476,388,713,778,290,654,611,713,751,1376,327,1229,629,989,574
631,832,888,661,540,340,765,775,169,778,609,713,771,1320,658,1233,658,1126,568
608,855,694,711,683,326,780,775,99,848,542,707,772,1239,759,1239,658,1123,575
608,810,655,757,721,258,837,786,98,842,505,1057,767,1234,776,1167,658,1123,577
389,935,750,702,776,257,838,786,98,841,506,1283,767,1138,673,1081,658,1123,709
482,935,750,702,776,250,743,888,85,854,457,1283,767,1020,560,1053,658,1123,711
482,935,750,543,935,247,592,1042,84,743,569,1275,716,1022,610,1056,658,1123,794
482,935,366,879,983,247,571,1063,84,694,618,1274,659,1020,652,875,658,1123,782
482,830,471,879,983,247,551,1083,84,644,668,1268,710,867,652,836,479,1123,778
482,811,490,874,945,290,548,1086,84,636,674,1268,729,878,652,641,350,1123,745
482,793,508,874,743,492,548,1077,88,641,674,1227,679,860,631,641,350,1094,1020
576,790,511,869,662,578,545,1080,88,641,674,1209,668,842,631,539,350,1086,1022
573,793,498,882,662,578,477,1148,88,637,670,1209,590,772,631,518,350,1033,1024
573,735,508,889,703,578,466,1139,81,637,634,1096,256,771,631,537,382,1144,1024
573,538,705,889,703,578,466,951,263,643,634,1100,255,771,629,654,388,1112,1024
573,516,727,889,703,578,462,848,365,642,640,1081,312,527,628,620,388,1029,1024
556,533,727,889,703,505,534,837,356,661,642,1079,312,434,575,562,388,1060,1024
556,533,711,905,703,492,547,837,354,657,648,1079,312,358,575,539,388,1025,1123
556,495,749,893,709,448,571,835,381,630,657,1079,479,358,586,549,390,742,1123
556,495,749,892,639,471,600,485,750,567,720,1079,489,184,596,453,400,731,1123
556,490,754,881,648,451,622,485,750,557,729,1079,530,118,613,427,250,492,1158
556,490,747,888,594,479,648,485,750,541,737,1155,530,174,652,456,244,492,1143
556,490,747,888,594,473,654,485,750,541,737,1253,530,193,825,456,285,492,1203
455,591,747,888,594,473,650,489,750,541,737,1302,544,381,842,456,369,492,1372
455,552,786,888,594,473,650,489,750,541,573,1264,549,630,842,456,399,493,1419
381,626,786,888,594,473,631,508,750,541,570,1190,440,609,842,456,399,474,1309
396,816,786,888,594,473,629,510,750,541,550,1257,434,613,842,509,410,502,1241
432,819,786,888,594,473,629,510,736,520,527,1091,429,677,842,512,481,515,1272
458,819,776,898,592,475,507,632,736,444,553,1033,420,682,842,518,627,515,1114
476,800,743,892,650,475,439,672,764,436,508,1065,420,682,842,537,517,515,1096
476,800,704,896,685,475,384,720,771,383,561,1065,425,683,843,551,517,515,1069
568,800,663,933,684,476,388,713,778,290,654,1065,476,683,842,551,518,514,1039
694,631,832,888,661,540,340,765,775,169,778,1065,447,683,511,420,491,319,1034
740,608,855,694,711,683,326,780,775,99,848,1052,446,683,398,414,491,337,1027
740,608,810,655,757,721,258,837,786,98,842,649,446,683,368,425,491,340,1025
739,389,935,750,702,776,257,838,786,98,841,420,446,683,368,456,491,340,901
646,482,935,750,702,776,250,743,888,85,854,428,446,683,367,478,491,370,904
648,482,935,750,543,935,247,592,1042,84,743,491,446,680,317,552,491,496,821
650,482,935,366,879,983,247,571,1063,84,694,491,456,680,275,624,491,550,784
650,482,830,471,879,983,247,551,1083,84,644,491,379,655,280,645,491,581,819
650,482,811,490,874,945,290,548,1086,84,636,491,360,715,323,618,491,581,819
650,482,793,508,874,743,492,548,1077,88,641,491,360,747,383,757,491,596,541
556,576,790,511,869,662,578,545,1080,88,641,510,374,752,424,746,491,703,553
556,573,793,498,882,662,578,477,1148,88,637,510,375,784,477,743,491,950,552
558,573,735,508,889,703,578,466,1139,81,637,511,375,934,481,724,459,871,598
600,573,538,705,889,703,578,466,951,263,643,515,375,995,481,643,453,905,616
