Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2
1336,454,437,1479,954,1260,251,727
1336,446,445,1462,970,1238,251,762
1336,315,551,1281,1165,1182,251,762
1316,335,551,1247,1083,1258,251,762
1275,323,604,1246,1084,1214,255,799
1275,322,605,1246,1084,1193,279,730
1248,349,608,1178,1152,1099,279,526
1180,418,608,1178,1152,1004,279,525
931,667,426,1360,1152,926,279,512
882,728,394,1392,1152,770,283,511
896,763,395,1390,1154,701,295,507
896,763,357,1375,1206,700,295,523
896,699,421,1374,1207,700,295,531
1043,706,397,1398,1162,701,299,518
1121,767,396,1399,1159,704,310,385
947,962,396,1399,1159,472,336,406
977,951,407,1402,877,754,369,423
942,986,296,1392,980,772,311,394
927,1014,290,1339,1038,695,306,519
907,1034,287,1340,961,708,293,627
901,1040,287,1197,1062,750,271,708
990,1040,281,1194,1071,748,270,804
964,1066,281,1191,1074,717,269,858
846,1184,281,1106,1159,717,268,1013
799,1170,342,906,1215,819,266,1046
555,1373,383,610,1508,822,266,1134
526,1402,383,459,1592,889,266,1138
518,1397,390,443,1614,889,266,1108
515,1380,410,438,1609,857,266,1034
528,1336,454,437,1480,963,207,1034
528,1336,454,437,1480,960,126,1035
528,1336,454,437,1479,954,124,944
544,1336,446,445,1462,970,124,909
545,1336,315,551,1281,1165,124,909
545,1316,335,551,1247,1083,124,924
545,1275,323,604,1246,1084,120,888
545,1275,322,605,1246,1084,96,888
668,1248,349,608,1178,1152,97,890
670,1180,418,608,1178,1152,97,891
670,931,667,426,1360,1152,97,893
658,882,728,394,1392,1152,93,893
608,896,763,395,1390,1154,87,930
690,896,763,357,1375,1206,95,915
693,896,699,421,1374,1207,116,848
562,1043,706,397,1398,1162,167,850
504,1121,767,396,1399,1159,579,849
511,947,962,396,1399,1159,589,832
478,977,951,407,1402,877,564,820
491,942,986,296,1392,980,698,821
478,927,1014,290,1339,1038,708,722
497,907,1034,287,1340,961,784,754
513,901,1040,287,1197,1062,784,702
424,990,1040,281,1194,1071,788,612
424,964,1066,281,1191,1074,860,559
425,846,1184,281,1106,1159,1055,410
573,799,1170,342,906,1215,1208,388
693,555,1373,383,610,1508,1302,306
778,526,1402,383,459,1592,1608,302
936,518,1397,390,443,1614,1659,332
937,515,1380,410,438,1609,1671,347
925,528,1336,454,437,1480,1669,377
989,528,1336,454,437,1480,1690,480
1032,528,1336,454,437,1479,1719,495
1146,544,1336,446,445,1462,1737,577
1162,545,1336,315,551,1281,1758,717
1162,545,1316,335,551,1247,1776,809
1289,545,1275,323,604,1246,1779,883
1352,545,1275,322,605,1246,1779,884
1460,668,1248,349,608,1178,1778,882
1491,670,1180,418,608,1178,1783,883
1493,670,931,667,426,1360,1826,887
1533,658,882,728,394,1392,1841,889
1533,608,896,763,395,1390,1872,852
1452,690,896,763,357,1375,1883,851
