Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2
1470,891,523,702,1191,1767,1180,279
1507,891,523,702,1155,1803,931,279
1507,891,482,740,1158,1603,882,283
1507,891,479,724,1170,1587,896,295
1507,891,464,645,1189,1658,896,295
1507,889,465,646,1178,1669,896,295
1659,889,465,646,1131,1649,1043,299
1758,889,465,632,1145,1649,1121,310
1805,985,421,509,1312,1649,947,336
1768,1082,421,509,1312,1647,977,369
1812,1090,421,509,1312,1647,942,311
1828,1090,385,545,1312,1647,927,306
2000,1042,345,633,1312,1637,907,293
2010,780,612,633,1312,1299,901,271
2055,716,722,633,1282,1296,990,270
2052,710,731,633,1247,1326,964,269
2060,533,908,633,1247,1326,846,268
2065,531,868,675,1247,1309,799,266
1789,839,873,675,1246,1269,555,266
1767,839,896,675,1079,1414,526,266
1734,863,905,675,1079,1372,518,266
1675,865,962,675,1079,1298,515,266
1675,749,1078,675,1079,1245,528,207
1683,715,1090,701,1079,1164,528,126
1687,713,912,888,1079,1164,528,124
1719,709,920,888,953,902,544,124
1538,890,920,888,316,1349,545,124
1292,1136,920,587,607,1303,545,124
1286,1144,920,587,604,1305,545,120
1218,1214,889,574,646,1209,545,96
1080,1352,882,573,650,1194,668,97
951,1470,891,523,702,1191,670,97
914,1507,891,523,702,1155,670,97
928,1507,891,482,740,1158,658,93
928,1507,891,479,724,1170,608,87
997,1507,891,464,645,1189,690,95
997,1507,889,465,646,1178,693,116
845,1659,889,465,646,1131,562,167
746,1758,889,465,632,1145,504,579
617,1805,985,421,509,1312,511,589
557,1768,1082,421,509,1312,478,564
511,1812,1090,421,509,1312,491,698
497,1828,1090,385,545,1312,478,708
325,2000,1042,345,633,1312,497,784
310,2010,780,612,633,1312,513,784
219,2055,716,722,633,1282,424,788
219,2052,710,731,633,1247,424,860
211,2060,533,908,633,1247,425,1055
234,2065,531,868,675,1247,573,1208
197,1789,839,873,675,1246,693,1302
196,1767,839,896,675,1079,778,1608
196,1734,863,905,675,1079,936,1659
196,1675,865,962,675,1079,937,1671
279,1675,749,1078,675,1079,925,1669
267,1683,715,1090,701,1079,989,1690
256,1687,713,912,888,1079,1032,1719
328,1719,709,920,888,953,1146,1737
328,1538,890,920,888,316,1162,1758
358,1292,1136,920,587,607,1162,1776
441,1286,1144,920,587,604,1289,1779
440,1218,1214,889,574,646,1352,1779
443,1080,1352,882,573,650,1460,1778
614,951,1470,891,523,702,1491,1783
626,914,1507,891,523,702,1493,1826
612,928,1507,891,482,740,1533,1841
613,928,1507,891,479,724,1533,1872
544,997,1507,891,464,645,1452,1883
624,997,1507,889,465,646,1449,2057
640,845,1659,889,465,646,1434,2057
688,746,1758,889,465,632,1355,1690
702,617,1805,985,421,509,1329,1871
816,557,1768,1082,421,509,1329,1902
821,511,1812,1090,421,509,1316,1787
829,497,1828,1090,385,545,1316,1792
906,325,2000,1042,345,633,1307,1719
917,310,2010,780,612,633,1292,1719
942,219,2055,716,722,633,1300,1715
942,219,2052,710,731,633,1315,1654
945,211,2060,533,908,633,1314,1464
938,234,2065,531,868,675,1166,1311
990,197,1789,839,873,675,1101,1217
1012,196,1767,839,896,675,1016,911
1013,196,1734,863,905,675,858,860
1013,196,1675,865,962,675,857,852
930,279,1675,749,1078,675,858,897
987,267,1683,715,1090,701,828,948
1003,256,1687,713,912,888,799,1015
895,328,1719,709,920,888,678,1006
960,328,1538,890,920,888,661,985
935,358,1292,1136,920,587,661,967
861,441,1286,1144,920,587,534,964
910,440,1218,1214,889,574,471,973
943,443,1080,1352,882,573,248,973
772,614,951,1470,891,523,218,968
760,626,914,1507,891,523,313,925
760,612,928,1507,891,482,338,941
759,613,928,1507,891,479,346,904
792,544,997,1507,891,464,377,903
