Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
777,496,611,616,1024,1205,260,473,815,253,73
642,609,631,529,1123,1197,199,536,814,253,73
487,763,631,530,1123,1182,284,536,785,247,73
487,681,713,530,1123,1182,293,536,785,211,68
490,598,796,495,1158,1181,286,536,772,209,63
491,582,788,519,1143,1051,279,536,763,209,63
491,569,801,444,1203,1036,295,505,622,209,123
491,558,812,275,1372,1092,295,458,540,179,124
495,514,856,228,1419,999,219,438,468,185,124
541,472,898,227,1309,839,219,468,369,228,124
546,472,898,225,1241,907,220,519,348,228,123
592,472,844,247,1272,956,248,549,320,228,117
607,472,715,356,1114,985,301,514,320,228,122
870,472,562,502,1096,987,302,466,320,228,113
925,472,559,505,1069,952,389,466,320,246,121
980,472,559,505,1039,952,389,467,320,259,124
1012,472,559,504,1034,1144,411,462,320,380,297
1212,472,536,527,1027,1147,433,456,313,538,304
1216,472,536,527,1025,1147,443,437,308,627,308
1181,507,535,520,901,1147,511,434,281,636,308
1171,517,535,515,904,1157,582,439,208,636,353
1171,517,535,515,821,1154,584,426,204,643,378
1211,517,535,515,784,1141,700,457,114,790,534
1275,563,537,480,819,1128,710,511,18,709,569
1382,586,537,480,819,1123,710,581,11,717,723
1380,573,552,479,541,1051,696,640,20,731,723
1419,572,564,465,553,980,688,720,44,692,723
1435,650,493,535,552,924,686,733,44,703,724
1402,701,496,494,598,859,726,743,40,847,719
1469,650,547,512,616,817,754,696,38,1129,719
1491,767,508,551,616,744,754,611,38,1244,733
1457,777,496,611,616,707,754,565,38,1244,733
1448,642,609,631,529,729,844,494,59,1244,735
1448,487,763,631,530,769,807,546,60,1245,751
1448,487,681,713,530,769,794,604,61,1245,751
1445,490,598,796,495,820,934,683,80,1299,751
1444,491,582,788,519,897,937,744,281,1321,751
1444,491,569,801,444,874,921,761,322,1334,691
1469,491,558,812,275,823,921,761,364,1334,690
1479,495,514,856,228,753,920,745,496,1328,697
1433,541,472,898,227,727,938,744,625,1268,697
1428,546,472,898,225,670,916,707,625,1268,697
1382,592,472,844,247,668,890,694,620,1268,697
1367,607,472,715,356,708,797,692,625,1268,692
1105,870,472,562,502,758,793,691,626,1268,692
1050,925,472,559,505,780,706,691,628,1250,666
1091,980,472,559,505,851,728,690,629,1253,663
1059,1012,472,559,504,717,706,690,631,1133,489
859,1212,472,536,527,723,684,690,631,975,482
855,1216,472,536,527,794,675,690,631,886,478
1089,1181,507,535,520,819,610,710,631,882,478
1246,1171,517,535,515,815,539,710,631,925,433
1349,1171,517,535,515,923,537,708,632,926,423
1368,1211,517,535,515,1135,420,705,635,753,339
1260,1275,563,537,480,1167,409,692,635,748,345
1130,1382,586,537,480,1219,410,648,655,759,205
1130,1380,573,552,479,1280,485,589,646,745,205
1080,1419,572,564,465,1305,563,525,622,757,205
986,1435,650,493,535,1272,572,539,627,744,239
960,1402,701,496,494,1285,555,543,629,596,240
857,1469,650,547,512,1404,527,636,629,347,240
718,1491,767,508,551,1400,655,636,629,232,224
694,1457,777,496,611,1400,719,636,629,229,236
693,1448,642,609,631,1378,645,636,608,229,234
693,1448,487,763,631,1338,598,584,607,228,218
693,1448,487,681,713,1355,597,533,650,228,218
693,1445,490,598,796,1322,493,473,895,177,218
693,1444,491,582,788,1341,503,413,809,158,229
693,1444,491,569,801,1375,525,396,800,155,229
668,1469,491,558,812,1426,525,402,892,174,229
654,1479,495,514,856,1424,525,462,856,174,222
654,1433,541,472,898,1374,507,433,729,174,222
654,1428,546,472,898,1441,506,419,782,174,222
654,1382,592,472,844,1452,504,381,813,174,222
654,1367,607,472,715,1384,565,395,813,174,228
653,1105,870,472,562,1331,595,511,815,174,240
653,1050,925,472,559,1309,651,555,813,174,240
585,1091,980,472,559,1336,673,774,815,159,240
646,1059,1012,472,559,1330,710,787,926,158,240
706,859,1212,472,536,1334,780,787,927,158,240
708,855,1216,472,536,1263,781,787,975,158,240
530,1089,1181,507,535,1263,778,767,1042,153,240
433,1246,1171,517,535,1267,781,762,1042,110,240
330,1349,1171,517,535,1161,781,784,1119,102,225
271,1368,1211,517,535,952,782,789,1123,102,153
267,1260,1275,563,537,920,782,773,1123,102,112
267,1130,1382,586,537,868,860,773,1103,83,106
267,1130,1380,573,552,1064,785,773,1105,83,110
267,1080,1419,572,564,1087,707,757,1114,98,110
295,986,1435,650,493,1117,698,731,1245,195,73
328,960,1402,701,496,1123,675,712,1385,242,72
393,857,1469,650,547,1057,675,619,1423,220,80
405,718,1491,767,508,1209,561,619,1423,229,61
430,694,1457,777,496,1209,497,619,1423,229,49
465,693,1448,642,609,1209,472,685,1450,229,53
466,693,1448,487,763,1288,468,685,1519,229,160
498,693,1448,487,681,1271,518,678,1475,229,183
750,693,1445,490,598,1253,482,661,1211,227,183
809,693,1444,491,582,1157,506,663,1097,427,172
818,693,1444,491,569,1123,542,668,1069,517,177
818,668,1469,491,558,1058,546,693,937,516,207
818,654,1479,495,514,1021,551,626,841,517,207
818,654,1433,541,472,1013,551,626,839,587,207
818,654,1428,546,472,929,551,675,786,617,207
820,654,1382,592,472,871,554,681,755,638,207
820,654,1367,607,472,870,579,673,750,653,201
833,653,1105,870,472,870,550,595,747,653,189
869,653,1050,925,472,881,494,551,747,653,189
841,585,1091,980,472,787,450,332,744,678,190
780,646,1059,1012,472,779,438,319,631,710,212
720,706,859,1212,472,769,389,327,630,710,329
827,708,855,1216,472,785,409,368,582,849,430
771,530,1089,1181,507,760,473,369,515,851,495
711,433,1246,1171,517,750,470,367,515,927,495
711,330,1349,1171,517,748,591,343,437,1054,498
727,271,1368,1211,517,745,594,311,430,1054,528
739,267,1260,1275,563,745,594,286,430,1054,531
745,267,1130,1382,586,745,523,260,430,1054,523
756,267,1130,1380,573,474,557,260,448,1054,568
767,267,1080,1419,572,415,590,260,454,1027,641
739,295,986,1435,650,385,591,259,369,930,713
711,328,960,1402,701,366,607,293,460,883,713
646,393,857,1469,650,312,624,293,430,872,705
634,405,718,1491,767,157,756,316,431,861,705
609,430,694,1457,777,157,756,316,553,861,705
574,465,693,1448,642,159,756,250,526,861,840
573,466,693,1448,487,90,756,285,513,861,749
559,498,693,1448,487,117,769,396,513,861,726
382,750,693,1445,490,117,809,443,513,860,726
334,809,693,1444,491,117,997,487,512,657,726
461,818,693,1444,491,117,940,488,512,557,721
461,818,668,1469,491,208,936,517,620,731,691
465,818,654,1479,495,222,931,540,620,866,691
488,818,654,1433,541,222,938,540,628,796,691
504,818,654,1428,546,356,947,491,628,766,691
517,820,654,1382,592,364,944,485,644,885,691
523,820,654,1367,607,364,858,492,676,870,691
510,833,653,1105,870,364,857,822,680,1077,691
474,869,653,1050,925,353,857,822,732,1116,691
476,841,585,1091,980,666,857,822,756,1090,690
476,780,646,1059,1012,678,832,822,771,1092,668
476,720,706,859,1212,748,811,814,775,1310,551
367,827,708,855,1216,733,789,773,776,1171,450
367,771,530,1089,1181,733,725,770,776,1178,385
367,711,433,1246,1171,733,725,779,776,1144,480
367,711,330,1349,1171,733,607,813,776,1098,484
351,727,271,1368,1211,733,603,812,776,1180,464
339,739,267,1260,1275,733,609,812,776,1410,461
333,745,267,1130,1382,733,610,812,776,1516,466
322,756,267,1130,1380,733,618,812,764,1606,417
311,767,267,1080,1419,757,585,930,749,1747,344
311,739,295,986,1435,791,584,1024,716,1843,272
330,711,328,960,1402,791,568,991,485,1843,273
330,646,393,857,1469,791,551,1016,477,1871,286
330,634,405,718,1491,793,405,1053,514,1911,295
340,609,430,694,1457,793,486,1053,410,1921,316
408,574,465,693,1448,791,717,1053,410,1989,251
492,573,466,693,1448,781,717,1018,354,2059,250
474,559,498,693,1448,754,896,907,354,2314,295
415,382,750,693,1445,772,883,858,354,2317,366
406,334,809,693,1444,929,667,1022,354,2322,383
270,461,818,693,1444,937,887,1062,410,2331,395
270,461,818,668,1469,846,920,1003,301,2139,395
