Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
388,660,693,601,532,1057,1975,176,1153,1204,795,568,469,1129,634,867,892,633,1902,614
388,660,680,614,482,1107,1975,175,1069,1288,796,568,469,1052,634,1070,937,643,1854,576
388,660,679,615,423,1153,1988,175,979,1378,796,568,431,1052,634,1308,945,640,1854,491
388,660,679,613,320,1253,1993,175,915,1442,756,608,431,1048,634,1371,1000,572,1769,491
388,660,600,644,351,1253,2009,176,915,1442,738,626,431,1072,634,1371,1028,520,1769,413
254,794,499,743,350,1185,2080,176,915,1442,601,763,342,1070,634,1324,1028,532,1766,421
223,825,460,734,390,1129,2144,176,915,1442,457,900,316,1091,634,1179,1058,534,1661,306
59,926,523,683,441,951,2322,176,915,1442,457,900,320,1182,634,1386,1096,661,1518,316
37,938,453,763,434,958,2307,191,900,1457,245,1112,320,1191,638,1386,1050,661,1518,348
65,898,482,785,362,994,2337,197,848,1509,218,1139,320,1184,547,1447,1002,670,1781,370
96,900,477,787,266,994,2432,201,848,1509,218,1139,320,1184,481,1277,1138,670,1756,307
97,840,534,788,253,968,2431,243,845,1512,218,1139,320,1171,461,1249,1150,673,1753,307
97,840,506,786,283,839,2560,243,820,1513,242,1139,381,1258,444,1217,1135,673,1740,307
78,859,371,921,266,695,2721,243,400,1933,242,1139,322,1268,368,1217,1102,673,1740,354
73,864,361,931,266,674,2685,299,364,1967,245,1135,374,1378,368,1217,1102,630,1697,316
73,863,297,996,263,677,2553,406,384,1972,245,1135,351,1337,479,1217,1102,700,1582,334
75,857,297,992,269,681,2494,456,383,1958,269,1135,541,1339,483,1217,1102,833,1277,334
75,805,329,983,298,681,2301,649,311,1923,376,1135,512,1339,468,1217,1102,873,1277,334
75,805,329,983,298,681,2250,689,319,1917,330,1190,510,1344,464,1217,1102,908,1037,334
75,805,329,921,360,626,2230,750,328,1823,418,1140,494,1348,464,1217,1102,1026,1195,329
75,805,329,914,366,586,2134,886,294,1741,535,1140,488,1349,428,1217,1102,1026,1172,324
77,772,362,897,383,531,2158,916,231,1793,546,1086,640,1349,421,1187,1102,1026,1300,324
77,765,369,854,426,531,2120,887,186,1664,787,1083,682,1349,411,1159,1102,1026,1434,324
77,670,464,754,526,531,2038,926,219,1588,801,955,707,1344,302,1144,1102,1026,1487,311
77,557,577,754,526,531,1975,989,219,1315,996,1028,568,1320,301,1131,1245,1026,1498,311
77,551,583,698,582,531,1969,995,219,1310,1001,1015,568,1320,249,1101,967,1076,1470,572
132,436,698,686,594,507,1773,1215,219,1310,1001,1015,568,1129,251,1083,912,1206,1370,567
132,416,718,681,599,501,1348,1646,219,1310,1001,1014,608,748,372,1083,912,1206,1355,585
132,416,655,723,620,501,1256,1738,219,1310,1001,862,626,653,449,1083,912,1231,1347,598
132,391,672,682,638,528,1152,1845,181,1349,1001,820,763,653,432,1083,907,1234,1313,598
142,388,674,679,626,513,1126,1900,183,1310,1040,795,900,653,385,1033,832,1149,1313,598
142,388,660,693,601,532,1057,1975,176,1153,1204,795,900,653,385,1206,832,1144,1348,598
185,388,660,680,614,482,1107,1975,175,1069,1288,796,1112,653,612,1003,817,1096,1518,598
276,388,660,679,615,423,1153,1988,175,979,1378,796,1139,663,612,765,804,1031,1518,598
352,388,660,679,613,320,1253,1993,175,915,1442,756,1139,807,612,702,794,909,1596,598
352,388,660,600,644,351,1253,2009,176,915,1442,738,1139,779,612,702,769,867,1804,598
352,254,794,499,743,350,1185,2080,176,915,1442,601,1139,779,612,584,769,842,1886,578
352,223,825,460,734,390,1129,2144,176,915,1442,457,1139,739,612,584,596,837,1931,593
352,59,926,523,683,441,951,2322,176,915,1442,457,1135,617,612,329,553,702,1931,540
352,37,938,453,763,434,958,2307,191,900,1457,245,1135,523,608,314,633,702,1931,475
406,65,898,482,785,362,994,2337,197,848,1509,218,1135,523,616,223,696,690,1588,415
395,96,900,477,787,266,994,2432,201,848,1509,218,1135,523,728,223,670,710,1583,407
394,97,840,534,788,253,968,2431,243,845,1512,218,1190,525,728,178,633,707,1753,407
508,97,840,506,786,283,839,2560,243,820,1513,242,1140,464,728,173,658,707,1753,447
569,78,859,371,921,266,695,2721,243,400,1933,242,1140,667,728,173,666,707,1753,392
632,73,864,361,931,266,674,2685,299,364,1967,245,1086,573,728,173,676,707,1753,445
632,73,863,297,996,263,677,2553,406,384,1972,245,1083,638,617,176,676,612,1753,433
630,75,857,297,992,269,681,2494,456,383,1958,269,955,792,598,336,676,479,1753,433
630,75,805,329,983,298,681,2301,649,311,1923,376,1028,792,598,336,676,439,1753,441
630,75,805,329,983,298,681,2250,689,319,1917,330,1015,787,598,548,866,404,1713,441
647,75,805,329,921,360,626,2230,750,328,1823,418,1015,783,598,573,868,286,1480,449
647,75,805,329,914,366,586,2134,886,294,1741,535,1014,789,579,623,868,286,1558,457
852,77,772,362,897,383,531,2158,916,231,1793,546,862,849,579,623,868,336,1405,512
853,77,765,369,854,426,531,2120,887,186,1664,787,820,879,579,651,868,339,1183,512
853,77,670,464,754,526,531,2038,926,219,1588,801,795,849,579,673,868,359,1093,512
853,77,557,577,754,526,531,1975,989,219,1315,996,795,863,596,673,725,359,1090,634
864,77,551,583,698,582,531,1969,995,219,1310,1001,796,903,596,673,618,309,1128,533
809,132,436,698,686,594,507,1773,1215,219,1310,1001,796,846,594,673,618,322,1136,913
830,132,416,718,681,599,501,1348,1646,219,1310,1001,756,846,446,681,688,359,1095,895
832,132,416,655,723,620,501,1256,1738,219,1310,1001,738,846,365,681,698,367,1153,964
833,132,391,672,682,638,528,1152,1845,181,1349,1001,601,846,364,704,716,409,1040,987
829,142,388,674,679,626,513,1126,1900,183,1310,1040,457,846,364,704,716,411,1040,1000
829,142,388,660,693,601,532,1057,1975,176,1153,1204,457,916,364,531,716,426,1010,1018
786,185,388,660,680,614,482,1107,1975,175,1069,1288,245,921,137,574,686,426,840,1023
695,276,388,660,679,615,423,1153,1988,175,979,1378,218,1049,137,1216,686,426,840,1023
619,352,388,660,679,613,320,1253,1993,175,915,1442,218,952,141,1219,649,469,790,1023
619,352,388,660,600,644,351,1253,2009,176,915,1442,218,1108,141,1219,646,463,582,1023
619,352,254,794,499,743,350,1185,2080,176,915,1442,242,1121,141,1219,646,768,500,1063
619,352,223,825,460,734,390,1129,2144,176,915,1442,242,1159,141,1224,646,771,590,1056
630,352,59,926,523,683,441,951,2322,176,915,1442,245,1159,141,1224,646,828,633,1056
709,352,37,938,453,763,434,958,2307,191,900,1457,245,1159,141,1229,566,828,643,1064
689,406,65,898,482,785,362,994,2337,197,848,1509,269,1161,133,1309,503,828,838,1064
793,395,96,900,477,787,266,994,2432,201,848,1509,376,1161,21,1329,341,808,918,1064
825,394,97,840,534,788,253,968,2431,243,845,1512,330,1159,21,1329,341,808,748,1064
877,508,97,840,506,786,283,839,2560,243,820,1513,418,1099,21,1339,316,808,781,1024
816,569,78,859,371,921,266,695,2721,243,400,1933,535,887,47,1339,308,808,801,1019
832,632,73,864,361,931,266,674,2685,299,364,1967,546,871,47,1339,298,853,801,1324
832,632,73,863,297,996,263,677,2553,406,384,1972,787,806,47,1336,343,856,801,1378
953,630,75,857,297,992,269,681,2494,456,383,1958,801,695,47,1176,373,964,809,1383
964,630,75,805,329,983,298,681,2301,649,311,1923,996,707,47,1176,466,994,809,1475
968,630,75,805,329,983,298,681,2250,689,319,1917,1001,707,52,964,286,1189,809,1705
965,647,75,805,329,921,360,626,2230,750,328,1823,1001,707,52,939,284,1189,809,1877
1015,647,75,805,329,914,366,586,2134,886,294,1741,1001,701,52,889,284,1189,696,1869
900,852,77,772,362,897,383,531,2158,916,231,1793,1001,641,52,889,302,1139,696,1814
950,853,77,765,369,854,426,531,2120,887,186,1664,1001,611,52,861,302,1136,696,1814
951,853,77,670,464,754,526,531,2038,926,219,1588,1040,611,52,862,302,1116,696,1814
951,853,77,557,577,754,526,531,1975,989,219,1315,1204,605,58,1245,302,1116,713,1692
940,864,77,551,583,698,582,531,1969,995,219,1310,1288,565,58,1250,615,1241,890,1532
1086,809,132,436,698,686,594,507,1773,1215,219,1310,1378,561,70,1300,615,1098,965,1132
1067,830,132,416,718,681,599,501,1348,1646,219,1310,1442,561,190,1305,560,1094,953,1132
1065,832,132,416,655,723,620,501,1256,1738,219,1310,1442,561,263,1305,550,1063,885,1050
1064,833,132,391,672,682,638,528,1152,1845,181,1349,1442,561,291,1282,532,1018,880,1027
1058,829,142,388,674,679,626,513,1126,1900,183,1310,1442,568,338,1282,532,1151,880,1014
1058,829,142,388,660,693,601,532,1057,1975,176,1153,1442,498,480,1312,532,1136,875,996
1058,786,185,388,660,680,614,482,1107,1975,175,1069,1457,493,507,1317,532,1136,875,991
1058,695,276,388,660,679,615,423,1153,1988,175,979,1509,369,520,695,532,1136,875,991
1058,619,352,388,660,679,613,320,1253,1993,175,915,1509,311,516,692,524,1078,847,991
1071,619,352,388,660,600,644,351,1253,2009,176,915,1512,161,516,740,524,1041,847,991
1078,619,352,254,794,499,743,350,1185,2080,176,915,1513,148,516,785,524,736,847,951
1078,619,352,223,825,460,734,390,1129,2144,176,915,1933,110,615,780,524,858,757,943
1067,630,352,59,926,523,683,441,951,2322,176,915,1967,207,712,780,562,1094,937,943
988,709,352,37,938,453,763,434,958,2307,191,900,1972,214,712,778,592,1159,992,935
915,689,406,65,898,482,785,362,994,2337,197,848,1958,212,712,698,614,1201,1057,935
789,793,395,96,900,477,787,266,994,2432,201,848,1923,212,712,678,627,1258,977,935
757,825,394,97,840,534,788,253,968,2431,243,845,1917,212,712,678,627,1273,977,935
591,877,508,97,840,506,786,283,839,2560,243,820,1823,216,712,668,630,1283,962,935
591,816,569,78,859,371,921,266,695,2721,243,400,1741,201,778,668,630,1283,1240,935
512,832,632,73,864,361,931,266,674,2685,299,364,1793,201,778,668,630,1238,1532,577
512,832,632,73,863,297,996,263,677,2553,406,384,1664,201,778,668,600,1235,1872,515
391,953,630,75,857,297,992,269,681,2494,456,383,1588,218,778,668,570,1127,2072,528
380,964,630,75,805,329,983,298,681,2301,649,311,1315,206,780,698,477,1097,2085,428
376,968,630,75,805,329,983,298,681,2250,689,319,1310,206,868,718,467,902,2085,198
362,965,647,75,805,329,921,360,626,2230,750,328,1310,206,947,718,467,902,2085,40
312,1015,647,75,805,329,914,366,586,2134,886,294,1310,205,953,718,467,910,2085,103
220,900,852,77,772,362,897,383,531,2158,916,231,1310,235,961,718,479,1192,2085,508
169,950,853,77,765,369,854,426,531,2120,887,186,1349,288,961,718,479,1192,2095,610
239,951,853,77,670,464,754,526,531,2038,926,219,1310,289,961,695,479,1192,2098,1000
333,951,853,77,557,577,754,526,531,1975,989,219,1153,332,938,312,479,1192,2185,1050
416,940,864,77,551,583,698,582,531,1969,995,219,1069,483,938,307,166,1075,1970,1050
310,1086,809,132,436,698,686,594,507,1773,1215,219,979,598,926,275,166,1075,1890,1155
320,1067,830,132,416,718,681,599,501,1348,1646,219,915,621,806,305,151,1042,1893,1162
377,1065,832,132,416,655,723,620,501,1256,1738,219,915,657,733,415,151,1043,1893,1162
