Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
297,316,1365,388,1046,717,1882,433,378,1164,533,725,651,548,1008,1008,783
296,321,1364,306,1134,689,1565,777,344,1100,632,725,632,548,1018,870,782
215,351,1415,302,1138,689,1565,777,315,1129,632,725,625,545,1018,920,591
219,359,1384,332,1108,720,1453,885,319,1129,626,731,628,477,1022,955,573
219,359,1369,347,1034,722,1379,1024,299,1151,627,735,782,466,1055,992,591
219,339,1359,377,1034,634,1376,1110,304,1151,627,735,820,466,1231,992,516
219,339,1255,480,1035,634,1261,1225,304,1151,627,735,824,462,1254,1207,510
211,337,1248,495,944,727,1249,1237,238,1151,693,735,824,534,1232,1211,500
211,337,1166,577,909,762,1249,1237,238,1151,693,735,804,547,1251,1219,634
211,337,1026,717,909,762,1249,1237,231,1158,693,735,797,571,1251,1224,717
211,337,919,809,924,762,1249,1199,267,1160,693,732,790,600,1256,1179,721
181,367,844,883,888,799,1247,1196,272,1160,693,552,807,622,1327,1076,768
181,342,868,884,888,730,1206,1302,276,1160,693,475,784,648,1358,976,805
102,391,898,882,890,526,1386,1326,276,1160,693,471,816,654,1299,972,875
94,399,896,883,891,525,1387,1326,276,1160,693,471,821,650,1306,954,958
124,388,900,887,893,512,1212,1474,317,1088,765,471,645,650,1233,831,950
154,358,928,889,893,511,858,1829,317,958,866,500,628,631,1068,740,1056
197,358,928,852,930,507,839,1722,447,953,871,373,688,629,1040,706,1104
259,358,928,851,915,523,763,1777,468,931,893,311,697,629,989,621,977
330,358,878,901,848,531,812,1787,468,852,972,289,736,507,945,621,977
330,355,770,1010,850,518,825,1784,471,724,1100,228,739,439,977,604,976
297,378,708,1092,849,385,959,1784,471,716,1106,198,700,384,1094,534,964
297,378,705,1091,832,406,959,1761,494,716,1096,190,700,388,1112,510,960
297,378,705,1086,820,423,959,1761,494,716,1008,275,725,340,1112,510,889
297,378,476,1314,821,394,988,1719,536,716,947,276,725,326,1158,475,829
297,378,428,1335,722,519,989,1658,597,716,947,267,725,258,1108,475,818
297,370,428,1203,754,627,951,1696,597,716,947,228,725,257,917,475,815
317,370,309,1293,702,708,770,1877,597,462,940,486,731,250,852,475,823
297,388,311,1287,612,804,718,1921,605,462,919,507,735,247,888,475,846
292,375,309,1306,559,858,717,1922,605,319,1062,507,735,247,930,475,856
292,312,347,1325,410,1013,717,1922,522,340,1073,533,735,247,927,475,915
287,297,316,1365,388,1046,717,1882,433,378,1164,533,735,290,811,475,922
295,296,321,1364,306,1134,689,1565,777,344,1100,632,735,492,801,469,922
295,215,351,1415,302,1138,689,1565,777,315,1129,632,735,578,803,419,922
283,219,359,1384,332,1108,720,1453,885,319,1129,626,732,578,857,384,922
283,219,359,1369,347,1034,722,1379,1024,299,1151,627,552,578,825,347,877
283,219,339,1359,377,1034,634,1376,1110,304,1151,627,475,578,696,347,906
283,219,339,1255,480,1035,634,1261,1225,304,1151,627,471,578,673,132,906
288,211,337,1248,495,944,727,1249,1237,238,1151,693,471,505,685,128,906
314,211,337,1166,577,909,762,1249,1237,238,1151,693,471,492,674,107,736
314,211,337,1026,717,909,762,1249,1237,231,1158,693,500,448,674,102,653
314,211,337,919,809,924,762,1249,1199,267,1160,693,373,471,669,102,682
314,181,367,844,883,888,799,1247,1196,272,1160,693,311,451,598,102,635
352,181,342,868,884,888,730,1206,1302,276,1160,693,289,479,716,83,598
360,102,391,898,882,890,526,1386,1326,276,1160,693,228,473,724,136,528
390,94,399,896,883,891,525,1387,1326,276,1160,693,198,473,730,107,520
360,124,388,900,887,893,512,1212,1474,317,1088,765,190,473,747,66,517
330,154,358,928,889,893,511,858,1829,317,958,866,275,473,747,66,382
287,197,358,928,852,930,507,839,1722,447,953,871,276,473,747,66,327
225,259,358,928,851,915,523,763,1777,468,931,893,267,473,747,90,302
154,330,358,878,901,848,531,812,1787,468,852,972,228,475,747,92,317
154,330,355,770,1010,850,518,825,1784,471,724,1100,486,475,715,92,317
144,297,378,708,1092,849,385,959,1784,471,716,1106,507,475,598,198,317
144,297,378,705,1091,832,406,959,1761,494,716,1096,507,476,579,279,427
186,297,378,705,1086,820,423,959,1761,494,716,1008,533,540,579,370,432
186,297,378,476,1314,821,394,988,1719,536,716,947,533,683,532,370,432
186,297,378,428,1335,722,519,989,1658,597,716,947,632,721,532,398,432
186,297,370,428,1203,754,627,951,1696,597,716,947,632,776,521,413,557
179,317,370,309,1293,702,708,770,1877,597,462,940,626,776,515,433,571
187,297,388,311,1287,612,804,718,1921,605,462,919,627,935,453,444,548
187,292,375,309,1306,559,858,717,1922,605,319,1062,627,983,360,479,538
187,292,312,347,1325,410,1013,717,1922,522,340,1073,627,983,392,638,876
218,287,297,316,1365,388,1046,717,1882,433,378,1164,693,945,418,724,869
255,295,296,321,1364,306,1134,689,1565,777,344,1100,693,743,423,724,908
364,295,215,351,1415,302,1138,689,1565,777,315,1129,693,662,437,762,959
425,283,219,359,1384,332,1108,720,1453,885,319,1129,693,662,379,902,1144
425,283,219,359,1369,347,1034,722,1379,1024,299,1151,693,703,378,903,1191
433,283,219,339,1359,377,1034,634,1376,1110,304,1151,693,703,331,903,1160
433,283,219,339,1255,480,1035,634,1261,1225,304,1151,693,703,331,903,1173
428,288,211,337,1248,495,944,727,1249,1237,238,1151,693,703,326,903,1197
402,314,211,337,1166,577,909,762,1249,1237,238,1151,765,703,321,951,1247
402,314,211,337,1026,717,909,762,1249,1237,231,1158,866,709,330,1112,1385
402,314,211,337,919,809,924,762,1249,1199,267,1160,871,639,367,1159,1384
402,314,181,367,844,883,888,799,1247,1196,272,1160,893,648,386,1177,1384
364,352,181,342,868,884,888,730,1206,1302,276,1160,972,594,291,1183,1487
356,360,102,391,898,882,890,526,1386,1326,276,1160,1100,594,354,1123,1512
435,390,94,399,896,883,891,525,1387,1326,276,1160,1106,594,341,1195,1428
435,360,124,388,900,887,893,512,1212,1474,317,1088,1096,594,318,1443,1468
435,330,154,358,928,889,893,511,858,1829,317,958,1008,594,330,1443,1468
488,287,197,358,928,852,930,507,839,1722,447,953,947,594,345,1443,1468
488,225,259,358,928,851,915,523,763,1777,468,931,947,594,345,1419,1470
528,154,330,358,878,901,848,531,812,1787,468,852,947,592,567,1417,1456
630,154,330,355,770,1010,850,518,825,1784,471,724,940,650,653,1417,1456
633,144,297,378,708,1092,849,385,959,1784,471,716,919,685,658,1311,1456
648,144,297,378,705,1091,832,406,959,1761,494,716,1062,684,658,1261,1346
611,186,297,378,705,1086,820,423,959,1761,494,716,1073,661,658,1204,1341
