Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
675,1079,1414,765,657,459,980,777,935,880,901,713,1135
675,1079,1372,805,654,443,980,885,935,880,901,831,1249
675,1079,1298,879,647,438,854,1024,935,888,952,832,1249
675,1079,1245,932,647,437,725,1110,935,869,1009,834,1249
701,1079,1164,1012,646,437,710,1225,830,865,1035,1012,1249
888,1079,1164,1012,564,437,705,1237,811,864,1035,1021,1139
888,953,902,1400,525,445,700,1237,793,839,1028,1044,1160
888,316,1349,1590,499,551,728,1237,790,812,963,1062,1093
587,607,1303,1646,370,551,714,1199,793,809,974,1132,1093
587,604,1305,1647,370,604,712,1196,735,922,1304,1113,1093
574,646,1209,1745,370,605,718,1302,538,922,1268,1113,1092
573,650,1194,1764,349,608,753,1326,516,941,1267,1363,1044
523,702,1191,1767,300,608,805,1326,533,943,1267,1469,1087
523,702,1155,1803,300,426,861,1474,533,871,1267,1553,1087
482,740,1158,1603,500,394,822,1829,495,692,1267,1539,1043
479,724,1170,1587,523,395,822,1722,495,639,1223,1666,904
464,645,1189,1658,527,357,822,1777,490,639,1179,1748,470
465,646,1178,1669,527,421,817,1787,490,639,1179,1748,469
465,646,1131,1649,594,397,817,1784,490,639,1179,1748,469
465,632,1145,1649,594,396,817,1784,591,627,1179,1736,469
421,509,1312,1649,594,396,811,1761,552,685,1087,1682,469
421,509,1312,1647,596,407,770,1761,626,687,1196,1670,468
421,509,1312,1647,596,296,639,1719,816,473,1202,1391,468
385,545,1312,1647,596,290,540,1658,819,683,1207,1391,409
345,633,1312,1637,606,287,579,1696,819,741,912,1391,409
612,633,1312,1299,944,287,440,1877,800,758,871,1390,354
722,633,1282,1296,977,281,401,1921,800,713,847,1390,326
731,633,1247,1326,980,281,402,1922,800,713,751,1376,327
908,633,1247,1326,900,281,656,1922,631,713,771,1320,658
868,675,1247,1309,871,342,642,1882,608,707,772,1239,759
873,675,1246,1269,841,383,651,1565,608,1057,767,1234,776
896,675,1079,1414,765,383,633,1565,389,1283,767,1138,673
905,675,1079,1372,805,390,633,1453,482,1283,767,1020,560
962,675,1079,1298,879,410,633,1379,482,1275,716,1022,610
1078,675,1079,1245,932,454,676,1376,482,1274,659,1020,652
1090,701,1079,1164,1012,454,734,1261,482,1268,710,867,652
912,888,1079,1164,1012,454,753,1249,482,1268,729,878,652
920,888,953,902,1400,446,753,1249,482,1227,679,860,631
920,888,316,1349,1590,315,723,1249,576,1209,668,842,631
920,587,607,1303,1646,335,723,1249,573,1209,590,772,631
920,587,604,1305,1647,323,723,1247,573,1096,256,771,631
889,574,646,1209,1745,322,698,1206,573,1100,255,771,629
882,573,650,1194,1764,349,663,1386,573,1081,312,527,628
891,523,702,1191,1767,418,599,1387,556,1079,312,434,575
891,523,702,1155,1803,667,458,1212,556,1079,312,358,575
891,482,740,1158,1603,728,458,858,556,1079,479,358,586
891,479,724,1170,1587,763,458,839,556,1079,489,184,596
891,464,645,1189,1658,763,458,763,556,1079,530,118,613
889,465,646,1178,1669,699,458,812,556,1155,530,174,652
889,465,646,1131,1649,706,458,825,556,1253,530,193,825
889,465,632,1145,1649,767,458,959,455,1302,544,381,842
985,421,509,1312,1649,962,458,959,455,1264,549,630,842
1082,421,509,1312,1647,951,443,959,381,1190,440,609,842
1090,421,509,1312,1647,986,501,988,396,1257,434,613,842
1090,385,545,1312,1647,1014,505,989,432,1091,429,677,842
1042,345,633,1312,1637,1034,478,951,458,1033,420,682,842
780,612,633,1312,1299,1040,500,770,476,1065,420,682,842
716,722,633,1282,1296,1040,490,718,476,1065,425,683,843
710,731,633,1247,1326,1066,490,717,568,1065,476,683,842
533,908,633,1247,1326,1184,237,717,694,1065,447,683,511
531,868,675,1247,1309,1170,239,717,740,1052,446,683,398
839,873,675,1246,1269,1373,229,689,740,649,446,683,368
839,896,675,1079,1414,1402,229,689,739,420,446,683,368
863,905,675,1079,1372,1397,229,720,646,428,446,683,367
865,962,675,1079,1298,1380,229,722,648,491,446,680,317
749,1078,675,1079,1245,1336,245,634,650,491,456,680,275
715,1090,701,1079,1164,1336,270,634,650,491,379,655,280
713,912,888,1079,1164,1336,251,727,650,491,360,715,323
709,920,888,953,902,1336,251,762,650,491,360,747,383
890,920,888,316,1349,1336,251,762,556,510,374,752,424
1136,920,587,607,1303,1316,251,762,556,510,375,784,477
1144,920,587,604,1305,1275,255,799,558,511,375,934,481
1214,889,574,646,1209,1275,279,730,600,515,375,995,481
1352,882,573,650,1194,1248,279,526,605,515,318,990,483
1470,891,523,702,1191,1180,279,525,605,515,318,977,476
1507,891,523,702,1155,931,279,512,605,679,318,969,476
1507,891,482,740,1158,882,283,511,605,682,151,976,465
1507,891,479,724,1170,896,295,507,605,702,380,977,455
1507,891,464,645,1189,896,295,523,605,760,352,961,438
1507,889,465,646,1178,896,295,531,605,734,352,928,493
1659,889,465,646,1131,1043,299,518,639,689,352,927,338
1758,889,465,632,1145,1121,310,385,684,637,338,739,402
1805,985,421,509,1312,947,336,406,761,611,333,490,471
1768,1082,421,509,1312,977,369,423,942,609,333,489,522
1812,1090,421,509,1312,942,311,394,771,542,333,485,547
1828,1090,385,545,1312,927,306,519,740,505,406,421,547
2000,1042,345,633,1312,907,293,627,806,506,409,416,552
2010,780,612,633,1312,901,271,708,788,457,509,423,552
2055,716,722,633,1282,990,270,804,845,569,615,422,561
2052,710,731,633,1247,964,269,858,797,618,592,422,561
2060,533,908,633,1247,846,268,1013,671,668,624,485,563
2065,531,868,675,1247,799,266,1046,628,674,624,485,573
1789,839,873,675,1246,555,266,1134,629,674,680,565,573
1767,839,896,675,1079,526,266,1138,639,674,690,580,573
1734,863,905,675,1079,518,266,1108,642,670,690,580,647
1675,865,962,675,1079,515,266,1034,802,634,690,628,665
1675,749,1078,675,1079,528,207,1034,955,634,680,636,680
1683,715,1090,701,1079,528,126,1035,955,640,680,695,675
1687,713,912,888,1079,528,124,944,955,642,826,697,632
1719,709,920,888,953,544,124,909,955,648,832,758,572
1538,890,920,888,316,545,124,909,955,657,856,782,539
1292,1136,920,587,607,545,124,924,959,720,855,776,486
1286,1144,920,587,604,545,120,888,1143,729,873,885,482
1218,1214,889,574,646,545,96,888,1155,737,873,851,520
1080,1352,882,573,650,668,97,890,1187,737,893,927,518
951,1470,891,523,702,670,97,891,1189,737,937,929,542
914,1507,891,523,702,670,97,893,1349,573,946,929,569
928,1507,891,482,740,658,93,893,1453,570,946,947,593
928,1507,891,479,724,608,87,930,1547,550,716,946,593
997,1507,891,464,645,690,95,915,1547,527,707,947,593
997,1507,889,465,646,693,116,848,1558,553,826,924,499
845,1659,889,465,646,562,167,850,1538,508,1158,906,607
746,1758,889,465,632,504,579,849,1549,561,1221,993,619
617,1805,985,421,509,511,589,832,1473,654,1252,1105,666
557,1768,1082,421,509,478,564,820,1367,778,1270,1122,671
511,1812,1090,421,509,491,698,821,1388,848,1373,1128,668
497,1828,1090,385,545,478,708,722,1416,842,1403,1196,668
325,2000,1042,345,633,497,784,754,1408,841,1452,1279,699
310,2010,780,612,633,513,784,702,1425,854,1500,1278,699
219,2055,716,722,633,424,788,612,1467,743,1412,1278,689
219,2052,710,731,633,424,860,559,1437,694,1394,1320,689
211,2060,533,908,633,425,1055,410,1438,644,1362,1292,687
234,2065,531,868,675,573,1208,388,1438,636,1362,1293,677
197,1789,839,873,675,693,1302,306,1437,641,1306,1213,677
196,1767,839,896,675,778,1608,302,1427,641,1296,1198,689
196,1734,863,905,675,936,1659,332,1424,637,1296,1242,680
196,1675,865,962,675,937,1671,347,1262,637,1296,1194,667
279,1675,749,1078,675,925,1669,377,1107,643,1296,1186,660
267,1683,715,1090,701,989,1690,480,1112,642,1296,1127,680
256,1687,713,912,888,1032,1719,495,1119,661,1150,1045,680
328,1719,709,920,888,1146,1737,577,1143,657,1144,947,680
328,1538,890,920,888,1162,1758,717,1316,630,1106,918,672
358,1292,1136,920,587,1162,1776,809,1323,567,1106,892,672
441,1286,1144,920,587,1289,1779,883,1214,557,1088,633,672
440,1218,1214,889,574,1352,1779,884,1217,541,1088,606,634
443,1080,1352,882,573,1460,1778,882,1180,541,1090,529,642
614,951,1470,891,523,1491,1783,883,1209,541,1047,527,645
626,914,1507,891,523,1493,1826,887,1049,541,1040,527,629
612,928,1507,891,482,1533,1841,889,1079,541,1108,502,606
613,928,1507,891,479,1533,1872,852,1040,541,1111,627,640
544,997,1507,891,464,1452,1883,851,1127,520,1108,705,704
624,997,1507,889,465,1449,2057,901,1119,444,989,803,721
640,845,1659,889,465,1434,2057,1010,1106,436,657,832,595
688,746,1758,889,465,1355,1690,1092,1050,383,610,757,502
702,617,1805,985,421,1329,1871,1091,1049,290,580,714,386
816,557,1768,1082,421,1329,1902,1086,974,169,667,707,336
821,511,1812,1090,421,1316,1787,1314,919,99,588,777,314
829,497,1828,1090,385,1316,1792,1335,886,98,546,709,314
906,325,2000,1042,345,1307,1719,1203,802,98,497,704,278
917,310,2010,780,612,1292,1719,1293,798,85,389,706,278
942,219,2055,716,722,1300,1715,1287,706,84,367,735,278
942,219,2052,710,731,1315,1654,1306,692,84,411,731,319
945,211,2060,533,908,1314,1464,1325,691,84,430,698,319
938,234,2065,531,868,1166,1311,1365,709,84,430,704,319
990,197,1789,839,873,1101,1217,1364,709,88,434,712,319
1012,196,1767,839,896,1016,911,1415,709,88,448,712,307
1013,196,1734,863,905,858,860,1384,774,88,534,668,247
1013,196,1675,865,962,857,852,1369,845,81,654,746,374
930,279,1675,749,1078,858,897,1359,845,263,683,904,374
