Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3
506,548,710,538,417,281,322,577,947
506,548,709,503,453,230,322,594,856
454,623,640,502,517,235,322,594,1001
406,671,433,694,526,241,322,596,1002
382,695,224,892,512,266,322,622,1003
499,705,222,877,529,266,322,466,993
497,634,295,877,527,263,322,469,992
567,614,208,984,523,228,322,467,946
654,523,299,984,523,168,322,373,666
682,523,291,992,436,255,322,359,549
682,523,291,992,435,251,322,356,540
863,523,291,992,435,251,315,356,589
900,525,291,992,435,251,494,334,551
995,661,291,992,435,251,623,334,525
927,715,305,984,443,251,623,363,458
1010,724,326,955,472,251,608,371,455
982,776,326,873,515,290,448,424,455
982,775,327,870,446,362,448,427,455
983,679,423,870,412,396,448,464,439
1022,679,423,721,514,443,444,542,439
1097,681,444,721,510,447,442,544,439
1112,689,444,721,510,447,369,663,439
1124,689,444,721,510,427,347,956,439
1221,689,444,721,510,427,356,967,439
1249,689,444,689,542,425,506,1206,439
1278,689,444,668,563,394,473,1196,454
1278,689,431,675,569,393,473,1155,469
1278,636,484,675,569,385,473,1138,469
1278,533,587,673,571,329,473,1075,465
1271,525,568,707,571,329,473,1055,527
1252,506,606,669,523,415,473,1043,569
1252,506,548,710,538,417,473,1043,535
1252,506,548,709,503,453,482,1024,647
1229,454,623,640,502,517,629,1024,519
1229,406,671,433,694,526,629,1022,545
1229,382,695,224,892,512,629,989,574
1233,499,705,222,877,529,658,1126,568
1239,497,634,295,877,527,658,1123,575
1167,567,614,208,984,523,658,1123,577
1081,654,523,299,984,523,658,1123,709
1053,682,523,291,992,436,658,1123,711
1056,682,523,291,992,435,658,1123,794
875,863,523,291,992,435,658,1123,782
836,900,525,291,992,435,479,1123,778
641,995,661,291,992,435,350,1123,745
641,927,715,305,984,443,350,1094,1020
539,1010,724,326,955,472,350,1086,1022
518,982,776,326,873,515,350,1033,1024
537,982,775,327,870,446,382,1144,1024
654,983,679,423,870,412,388,1112,1024
620,1022,679,423,721,514,388,1029,1024
562,1097,681,444,721,510,388,1060,1024
539,1112,689,444,721,510,388,1025,1123
549,1124,689,444,721,510,390,742,1123
453,1221,689,444,721,510,400,731,1123
427,1249,689,444,689,542,250,492,1158
456,1278,689,444,668,563,244,492,1143
456,1278,689,431,675,569,285,492,1203
456,1278,636,484,675,569,369,492,1372
456,1278,533,587,673,571,399,493,1419
456,1271,525,568,707,571,399,474,1309
509,1252,506,606,669,523,410,502,1241
512,1252,506,548,710,538,481,515,1272
518,1252,506,548,709,503,627,515,1114
537,1229,454,623,640,502,517,515,1096
551,1229,406,671,433,694,517,515,1069
551,1229,382,695,224,892,518,514,1039
420,1233,499,705,222,877,491,319,1034
414,1239,497,634,295,877,491,337,1027
425,1167,567,614,208,984,491,340,1025
456,1081,654,523,299,984,491,340,901
478,1053,682,523,291,992,491,370,904
552,1056,682,523,291,992,491,496,821
624,875,863,523,291,992,491,550,784
645,836,900,525,291,992,491,581,819
618,641,995,661,291,992,491,581,819
757,641,927,715,305,984,491,596,541
746,539,1010,724,326,955,491,703,553
743,518,982,776,326,873,491,950,552
724,537,982,775,327,870,459,871,598
643,654,983,679,423,870,453,905,616
638,620,1022,679,423,721,453,1257,616
598,562,1097,681,444,721,453,1400,616
715,539,1112,689,444,721,453,1421,529
713,549,1124,689,444,721,473,1411,530
753,453,1221,689,444,721,471,1412,530
753,427,1249,689,444,689,517,1413,495
695,456,1278,689,444,668,703,1416,519
713,456,1278,689,431,675,671,1465,444
766,456,1278,636,484,675,647,1651,275
839,456,1278,533,587,673,640,1702,228
848,456,1271,525,568,707,640,1720,227
795,509,1252,506,606,669,629,1666,225
834,512,1252,506,548,710,558,1716,247
828,518,1252,506,548,709,403,1739,356
810,537,1229,454,623,640,366,1857,502
842,551,1229,406,671,433,366,1886,505
852,551,1229,382,695,224,365,2073,505
852,420,1233,499,705,222,363,2089,504
854,414,1239,497,634,295,381,2072,527
843,425,1167,567,614,208,381,2111,527
811,456,1081,654,523,299,418,2138,520
789,478,1053,682,523,291,418,2154,515
715,552,1056,682,523,291,496,2127,515
651,624,875,863,523,291,555,2080,515
742,645,836,900,525,291,561,2049,480
733,618,641,995,661,291,563,2049,480
594,757,641,927,715,305,563,2034,479
607,746,539,1010,724,326,563,1984,465
619,743,518,982,776,326,565,1742,535
629,724,537,982,775,327,592,1731,494
592,643,654,983,679,423,592,1697,512
592,638,620,1022,679,423,624,1406,551
616,598,562,1097,681,444,673,1228,611
499,715,539,1112,689,444,717,1123,631
481,713,549,1124,689,444,695,1132,631
440,753,453,1221,689,444,680,1141,713
438,753,427,1249,689,444,678,1144,796
457,695,456,1278,689,444,501,1209,788
452,713,456,1278,689,431,492,1188,801
399,766,456,1278,636,484,432,1005,812
326,839,456,1278,533,587,409,953,856
317,848,456,1271,525,568,409,935,898
317,795,509,1252,506,606,409,935,898
275,834,512,1252,506,548,409,872,844
275,828,518,1252,506,548,409,849,715
274,810,537,1229,454,623,409,731,562
228,842,551,1229,406,671,409,702,559
218,852,551,1229,382,695,415,515,559
218,852,420,1233,499,705,433,504,559
216,854,414,1239,497,634,549,504,536
216,843,425,1167,567,614,648,469,536
216,811,456,1081,654,523,612,479,535
272,789,478,1053,682,523,612,437,535
356,715,552,1056,682,523,534,338,535
440,651,624,875,863,523,475,331,535
344,742,645,836,900,525,477,331,537
344,733,618,641,995,661,574,387,537
344,594,757,641,927,715,587,412,552
346,607,746,539,1010,724,587,511,564
365,619,743,518,982,776,608,509,493
402,629,724,537,982,775,581,524,496
419,592,643,654,983,679,585,530,547
419,592,638,620,1022,679,553,572,508
395,616,598,562,1097,681,588,619,496
411,499,715,539,1112,689,567,624,609
411,481,713,549,1124,689,567,758,763
411,440,753,453,1221,689,565,841,681
433,438,753,427,1249,689,521,875,598
441,457,695,456,1278,689,521,1048,582
428,452,713,456,1278,689,522,1354,569
433,399,766,456,1278,636,522,1398,558
433,326,839,456,1278,533,522,1532,514
485,317,848,456,1271,525,538,1532,472
485,317,795,509,1252,506,576,1532,472
486,275,834,512,1252,506,577,1532,472
517,275,828,518,1252,506,660,1532,472
517,274,810,537,1229,454,683,1532,472
532,228,842,551,1229,406,703,1532,472
538,218,852,551,1229,382,901,1532,472
578,218,852,420,1233,499,1050,1527,472
578,216,854,414,1239,497,1017,1528,472
578,216,843,425,1167,567,985,1521,472
578,216,811,456,1081,654,1026,1493,507
522,272,789,478,1053,682,1079,1489,517
515,356,715,552,1056,682,1118,1489,517
513,440,651,624,875,863,1127,1489,517
506,344,742,645,836,900,1179,1517,563
650,344,733,618,641,995,1086,1506,586
650,344,594,757,641,927,1073,1500,573
635,346,607,746,539,1010,1073,1372,572
608,365,619,743,518,982,1050,1371,650
562,402,629,724,537,982,1072,1332,701
545,419,592,643,654,983,1080,1318,650
545,419,592,638,620,1022,1102,1241,767
545,395,616,598,562,1097,1026,1213,777
530,411,499,715,539,1112,1016,1279,642
528,411,481,713,549,1124,1017,1151,487
530,411,440,753,453,1221,1017,1058,487
525,433,438,753,427,1249,1049,1020,490
500,441,457,695,456,1278,1091,782,491
516,428,452,713,456,1278,1091,550,491
513,433,399,766,456,1278,1091,564,491
513,433,326,839,456,1278,1091,437,495
461,485,317,848,456,1271,1075,438,541
461,485,317,795,509,1252,1042,438,546
460,486,275,834,512,1252,1082,443,592
429,517,275,828,518,1252,1059,445,607
429,517,274,810,537,1229,1036,445,870
479,532,228,842,551,1229,1021,445,925
518,538,218,852,551,1229,817,445,980
593,578,218,852,420,1233,650,445,1012
726,578,216,854,414,1239,549,443,1212
745,578,216,843,425,1167,482,443,1216
746,578,216,811,456,1081,440,434,1181
746,522,272,789,478,1053,387,434,1171
666,515,356,715,552,1056,348,434,1171
605,513,440,651,624,875,339,434,1211
609,506,344,742,645,836,279,406,1275
526,650,344,733,618,641,273,361,1382
558,650,344,594,757,641,273,342,1380
558,635,346,607,746,539,293,314,1419
555,608,365,619,743,518,293,312,1435
555,562,402,629,724,537,273,312,1402
555,545,419,592,643,654,292,312,1469
568,545,419,592,638,620,271,286,1491
568,545,395,616,598,562,271,267,1457
567,530,411,499,715,539,314,198,1448
567,528,411,481,713,549,313,324,1448
565,530,411,440,753,453,313,366,1448
548,525,433,438,753,427,281,367,1445
553,500,441,457,695,456,230,364,1444
543,516,428,452,713,456,235,262,1444
544,513,433,399,766,456,241,329,1469
550,513,433,326,839,456,266,322,1479
554,461,485,317,848,456,266,321,1433
560,461,485,317,795,509,263,321,1428
560,460,486,275,834,512,228,316,1382
573,429,517,275,828,518,168,317,1367
594,429,517,274,810,537,255,317,1105
529,479,532,228,842,551,251,317,1050
484,518,538,218,852,551,251,317,1091
369,593,578,218,852,420,251,317,1059
236,726,578,216,854,414,251,317,859
217,745,578,216,843,425,251,317,855
216,746,578,216,811,456,251,317,1089
216,746,522,272,789,478,290,317,1246
216,666,515,356,715,552,362,317,1349
187,605,513,440,651,624,396,317,1368
190,609,506,344,742,645,443,317,1260
129,526,650,344,733,618,447,317,1130
106,558,650,344,594,757,447,317,1130
106,558,635,346,607,746,427,402,1080
162,555,608,365,619,743,427,438,986
184,555,562,402,629,724,425,438,960
189,555,545,419,592,643,394,440,857
227,568,545,419,592,638,393,440,718
252,568,545,395,616,598,385,471,694
252,567,530,411,499,715,329,469,693
252,567,528,411,481,713,329,422,693
252,565,530,411,440,753,415,409,693
252,548,525,433,438,753,417,409,693
263,553,500,441,457,695,453,409,693
265,543,516,428,452,713,517,410,693
318,544,513,433,399,766,526,282,668
340,550,513,433,326,839,512,282,654
342,554,461,485,317,848,529,282,654
336,560,461,485,317,795,527,282,654
336,560,460,486,275,834,523,285,654
323,573,429,517,275,828,523,282,654
