Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3
614,951,1470,891,523,702,1491,1783,883
626,914,1507,891,523,702,1493,1826,887
612,928,1507,891,482,740,1533,1841,889
613,928,1507,891,479,724,1533,1872,852
544,997,1507,891,464,645,1452,1883,851
624,997,1507,889,465,646,1449,2057,901
640,845,1659,889,465,646,1434,2057,1010
688,746,1758,889,465,632,1355,1690,1092
702,617,1805,985,421,509,1329,1871,1091
816,557,1768,1082,421,509,1329,1902,1086
821,511,1812,1090,421,509,1316,1787,1314
829,497,1828,1090,385,545,1316,1792,1335
906,325,2000,1042,345,633,1307,1719,1203
917,310,2010,780,612,633,1292,1719,1293
942,219,2055,716,722,633,1300,1715,1287
942,219,2052,710,731,633,1315,1654,1306
945,211,2060,533,908,633,1314,1464,1325
938,234,2065,531,868,675,1166,1311,1365
990,197,1789,839,873,675,1101,1217,1364
1012,196,1767,839,896,675,1016,911,1415
1013,196,1734,863,905,675,858,860,1384
1013,196,1675,865,962,675,857,852,1369
930,279,1675,749,1078,675,858,897,1359
987,267,1683,715,1090,701,828,948,1255
1003,256,1687,713,912,888,799,1015,1248
895,328,1719,709,920,888,678,1006,1166
960,328,1538,890,920,888,661,985,1026
935,358,1292,1136,920,587,661,967,919
861,441,1286,1144,920,587,534,964,844
910,440,1218,1214,889,574,471,973,868
943,443,1080,1352,882,573,248,973,898
772,614,951,1470,891,523,218,968,896
760,626,914,1507,891,523,313,925,900
760,612,928,1507,891,482,338,941,928
759,613,928,1507,891,479,346,904,928
792,544,997,1507,891,464,377,903,928
