Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
963,890,567,1015,651,678,820,832,546
963,781,567,1042,679,614,863,832,787
963,745,492,1138,679,624,863,953,801
966,707,567,1149,679,624,865,964,996
1150,694,495,1164,679,624,953,968,1001
1162,694,546,1164,678,624,955,965,1001
1050,807,488,1164,657,624,956,1015,1001
917,967,489,1164,657,624,956,900,1001
800,1123,532,1164,657,569,956,950,1001
800,1123,579,1086,657,526,956,951,1040
802,1123,621,1056,657,525,873,951,1204
802,973,647,1055,656,521,792,940,1288
805,941,648,975,656,466,801,1086,1378
805,924,630,975,656,466,802,1067,1442
723,820,368,991,598,428,803,1065,1442
713,774,380,1045,570,484,892,1064,1442
910,754,411,1107,432,443,885,1058,1442
912,620,554,1109,417,395,850,1058,1442
1092,620,688,1140,347,341,850,1058,1457
1102,620,705,1140,346,801,902,1058,1509
1062,678,813,1200,96,801,903,1058,1509
947,793,838,1041,96,801,1132,1071,1512
946,794,898,930,96,823,1042,1078,1513
993,799,899,924,96,838,1079,1078,1933
993,799,899,968,96,838,1006,1067,1967
805,987,899,968,276,838,1008,988,1972
979,982,933,918,355,838,947,915,1958
1110,953,946,913,372,838,766,789,1923
1216,953,948,958,443,838,764,757,1917
1221,953,952,976,558,838,726,591,1823
1221,953,952,981,646,838,692,591,1741
1211,963,952,621,601,755,685,512,1793
1211,963,952,665,597,744,642,512,1664
1259,963,952,573,684,743,642,391,1588
1263,966,873,562,689,763,640,380,1315
1079,1150,873,578,689,807,552,376,1310
1160,1162,822,594,689,810,569,362,1310
1174,1050,822,594,689,834,568,312,1310
1147,917,834,594,689,926,568,220,1310
1108,800,791,595,689,884,568,169,1349
1108,800,829,651,689,880,568,239,1310
1137,802,796,873,689,880,568,333,1153
1137,802,936,1187,689,874,568,416,1069
1147,805,944,1353,689,874,494,310,979
1147,805,929,1417,689,876,493,320,915
1133,723,867,1445,689,884,500,377,915
1138,713,854,1765,689,744,414,387,915
941,910,823,1795,689,816,457,452,915
1098,912,748,1853,689,816,457,580,915
952,1092,618,2031,689,831,457,637,900
1081,1102,613,2130,689,398,469,637,848
1073,1062,720,2088,689,402,468,637,848
1128,947,696,2086,689,403,296,624,845
1134,946,636,2089,718,502,280,617,820
1205,993,663,2089,822,569,243,617,400
1292,993,667,2008,1028,637,241,622,364
1391,805,667,2008,849,671,239,681,384
1271,979,636,2038,779,706,251,681,383
1161,1110,657,2069,899,706,251,716,311
1055,1216,677,2017,844,713,251,790,319
1050,1221,691,1971,750,967,251,790,328
1195,1221,691,1965,735,1073,251,790,294
1247,1211,691,1966,717,1124,251,803,231
1252,1211,693,1940,693,1124,266,815,186
1231,1259,693,1956,611,1115,336,885,219
1226,1263,698,1986,615,1095,369,889,219
1235,1079,700,1955,615,1051,404,892,219
1142,1160,700,1939,615,1176,385,931,219
1159,1174,705,1940,630,1176,398,958,219
1172,1147,696,1940,673,1194,411,963,219
1242,1108,696,1939,675,1170,411,963,181
1354,1108,614,1883,675,1170,411,1002,183
1467,1137,614,1661,675,1180,411,908,176
1467,1137,470,1347,675,1188,411,825,175
1550,1147,469,1181,675,1291,409,785,175
1616,1147,469,1182,675,1291,411,788,175
1650,1133,481,1139,694,1283,425,731,176
1643,1138,481,765,743,1264,380,721,176
1642,941,481,683,847,1259,337,656,176
1483,1098,413,624,877,1266,337,528,176
1503,952,415,415,878,1254,337,471,191
1409,1081,414,316,977,1246,295,471,197
1355,1073,221,296,982,1303,296,492,201
1303,1128,226,274,982,1349,238,553,243
1297,1134,226,293,953,1252,238,587,243
1228,1205,200,293,849,1170,238,631,243
1244,1292,246,291,645,1102,247,651,299
1164,1391,259,291,644,1068,247,622,406
1110,1271,312,281,641,1033,235,681,456
1242,1161,291,255,571,1033,235,648,649
1276,1055,420,279,686,1026,235,576,689
1290,1050,695,330,714,772,235,576,750
1181,1195,816,343,642,719,235,603,886
1251,1247,847,355,644,668,235,609,916
1263,1252,850,311,644,668,220,597,887
1249,1231,850,295,639,668,150,530,926
1247,1226,864,265,753,723,117,526,989
1271,1235,980,290,806,729,86,529,995
1272,1142,1141,382,833,613,86,491,1215
1240,1159,1136,384,915,657,191,471,1646
1227,1172,1132,384,990,549,249,466,1738
1157,1242,1132,385,988,561,331,466,1845
1046,1354,1139,385,990,665,530,356,1900
903,1467,1158,390,1051,655,561,356,1975
962,1467,1317,393,1148,647,561,357,1975
918,1550,1478,482,1192,544,561,366,1988
884,1616,1559,516,1200,542,559,546,1993
854,1650,1617,523,1182,542,537,618,2009
869,1643,1620,523,1162,548,537,710,2080
869,1642,1625,513,1058,517,542,753,2144
870,1483,1632,512,1041,512,547,801,2322
946,1503,1633,512,1049,509,547,809,2307
939,1409,1622,543,1091,488,525,820,2337
948,1355,1600,590,1168,457,524,800,2432
1147,1303,1671,633,1240,410,524,739,2431
1391,1297,1671,611,1339,403,524,705,2560
1343,1228,1691,611,1360,403,525,665,2721
1240,1244,1641,628,1391,403,522,640,2685
1221,1164,1668,665,1391,403,522,657,2553
1222,1110,1615,680,1382,403,531,614,2494
1104,1242,1602,675,1315,403,549,682,2301
1070,1276,1451,635,1184,403,549,711,2250
1056,1290,1158,589,1135,403,550,747,2230
1020,1181,1037,582,1141,350,550,720,2134
898,1251,1006,588,1142,350,550,711,2158
881,1263,1001,592,1169,350,550,712,2120
868,1249,1001,590,1242,350,550,709,2038
871,1247,982,607,1123,295,550,709,1975
851,1271,865,582,1160,315,546,808,1969
863,1272,705,490,1229,389,546,807,1773
868,1240,705,487,1139,321,428,823,1348
954,1227,719,487,1021,319,357,853,1256
1036,1157,727,486,1021,346,275,1387,1152
1124,1046,719,486,1019,244,78,1509,1126
1188,903,691,486,962,248,52,1525,1057
1172,962,510,530,867,248,52,1816,1107
1200,918,341,526,823,250,73,1921,1153
1205,884,260,473,815,253,73,1762,1253
1197,854,199,536,814,253,73,1930,1253
1182,869,284,536,785,247,73,2053,1185
1182,869,293,536,785,211,68,2024,1129
1181,870,286,536,772,209,63,1976,951
1051,946,279,536,763,209,63,1983,958
1036,939,295,505,622,209,123,2023,994
1092,948,295,458,540,179,124,2022,994
999,1147,219,438,468,185,124,2035,968
839,1391,219,468,369,228,124,2035,839
907,1343,220,519,348,228,123,2036,695
956,1240,248,549,320,228,117,2036,674
985,1221,301,514,320,228,122,2008,677
987,1222,302,466,320,228,113,1997,681
952,1104,389,466,320,246,121,1967,681
