Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2
749,892,639,471,600,485,750,567,720,510,1209,854,992
754,881,648,451,622,485,750,557,729,511,1096,854,995
747,888,594,479,648,485,750,541,737,515,1100,854,987
747,888,594,473,654,485,750,541,737,515,1081,854,984
747,888,594,473,650,489,750,541,737,515,1079,869,936
786,888,594,473,650,489,750,541,573,679,1079,704,834
786,888,594,473,631,508,750,541,570,682,1079,690,659
786,888,594,473,629,510,750,541,550,702,1079,904,625
786,888,594,473,629,510,736,520,527,760,1079,904,565
776,898,592,475,507,632,736,444,553,734,1155,904,840
743,892,650,475,439,672,764,436,508,689,1253,864,881
704,896,685,475,384,720,771,383,561,637,1302,879,810
663,933,684,476,388,713,778,290,654,611,1264,879,899
832,888,661,540,340,765,775,169,778,609,1190,874,907
855,694,711,683,326,780,775,99,848,542,1257,828,906
810,655,757,721,258,837,786,98,842,505,1091,877,903
935,750,702,776,257,838,786,98,841,506,1033,880,901
935,750,702,776,250,743,888,85,854,457,1065,880,901
935,750,543,935,247,592,1042,84,743,569,1065,888,952
935,366,879,983,247,571,1063,84,694,618,1065,869,1009
830,471,879,983,247,551,1083,84,644,668,1065,865,1035
811,490,874,945,290,548,1086,84,636,674,1052,864,1035
793,508,874,743,492,548,1077,88,641,674,649,839,1028
790,511,869,662,578,545,1080,88,641,674,420,812,963
793,498,882,662,578,477,1148,88,637,670,428,809,974
735,508,889,703,578,466,1139,81,637,634,491,922,1304
538,705,889,703,578,466,951,263,643,634,491,922,1268
516,727,889,703,578,462,848,365,642,640,491,941,1267
533,727,889,703,505,534,837,356,661,642,491,943,1267
533,711,905,703,492,547,837,354,657,648,491,871,1267
495,749,893,709,448,571,835,381,630,657,510,692,1267
495,749,892,639,471,600,485,750,567,720,510,639,1223
490,754,881,648,451,622,485,750,557,729,511,639,1179
490,747,888,594,479,648,485,750,541,737,515,639,1179
490,747,888,594,473,654,485,750,541,737,515,639,1179
591,747,888,594,473,650,489,750,541,737,515,627,1179
552,786,888,594,473,650,489,750,541,573,679,685,1087
626,786,888,594,473,631,508,750,541,570,682,687,1196
816,786,888,594,473,629,510,750,541,550,702,473,1202
819,786,888,594,473,629,510,736,520,527,760,683,1207
819,776,898,592,475,507,632,736,444,553,734,741,912
800,743,892,650,475,439,672,764,436,508,689,758,871
800,704,896,685,475,384,720,771,383,561,637,713,847
800,663,933,684,476,388,713,778,290,654,611,713,751
631,832,888,661,540,340,765,775,169,778,609,713,771
608,855,694,711,683,326,780,775,99,848,542,707,772
608,810,655,757,721,258,837,786,98,842,505,1057,767
389,935,750,702,776,257,838,786,98,841,506,1283,767
482,935,750,702,776,250,743,888,85,854,457,1283,767
482,935,750,543,935,247,592,1042,84,743,569,1275,716
482,935,366,879,983,247,571,1063,84,694,618,1274,659
482,830,471,879,983,247,551,1083,84,644,668,1268,710
482,811,490,874,945,290,548,1086,84,636,674,1268,729
482,793,508,874,743,492,548,1077,88,641,674,1227,679
576,790,511,869,662,578,545,1080,88,641,674,1209,668
573,793,498,882,662,578,477,1148,88,637,670,1209,590
573,735,508,889,703,578,466,1139,81,637,634,1096,256
573,538,705,889,703,578,466,951,263,643,634,1100,255
573,516,727,889,703,578,462,848,365,642,640,1081,312
556,533,727,889,703,505,534,837,356,661,642,1079,312
556,533,711,905,703,492,547,837,354,657,648,1079,312
556,495,749,893,709,448,571,835,381,630,657,1079,479
556,495,749,892,639,471,600,485,750,567,720,1079,489
556,490,754,881,648,451,622,485,750,557,729,1079,530
556,490,747,888,594,479,648,485,750,541,737,1155,530
556,490,747,888,594,473,654,485,750,541,737,1253,530
455,591,747,888,594,473,650,489,750,541,737,1302,544
455,552,786,888,594,473,650,489,750,541,573,1264,549
381,626,786,888,594,473,631,508,750,541,570,1190,440
396,816,786,888,594,473,629,510,750,541,550,1257,434
432,819,786,888,594,473,629,510,736,520,527,1091,429
458,819,776,898,592,475,507,632,736,444,553,1033,420
476,800,743,892,650,475,439,672,764,436,508,1065,420
476,800,704,896,685,475,384,720,771,383,561,1065,425
568,800,663,933,684,476,388,713,778,290,654,1065,476
694,631,832,888,661,540,340,765,775,169,778,1065,447
740,608,855,694,711,683,326,780,775,99,848,1052,446
740,608,810,655,757,721,258,837,786,98,842,649,446
739,389,935,750,702,776,257,838,786,98,841,420,446
646,482,935,750,702,776,250,743,888,85,854,428,446
648,482,935,750,543,935,247,592,1042,84,743,491,446
650,482,935,366,879,983,247,571,1063,84,694,491,456
650,482,830,471,879,983,247,551,1083,84,644,491,379
650,482,811,490,874,945,290,548,1086,84,636,491,360
650,482,793,508,874,743,492,548,1077,88,641,491,360
556,576,790,511,869,662,578,545,1080,88,641,510,374
556,573,793,498,882,662,578,477,1148,88,637,510,375
558,573,735,508,889,703,578,466,1139,81,637,511,375
600,573,538,705,889,703,578,466,951,263,643,515,375
605,573,516,727,889,703,578,462,848,365,642,515,318
605,556,533,727,889,703,505,534,837,356,661,515,318
605,556,533,711,905,703,492,547,837,354,657,679,318
605,556,495,749,893,709,448,571,835,381,630,682,151
605,556,495,749,892,639,471,600,485,750,567,702,380
605,556,490,754,881,648,451,622,485,750,557,760,352
605,556,490,747,888,594,479,648,485,750,541,734,352
639,556,490,747,888,594,473,654,485,750,541,689,352
684,455,591,747,888,594,473,650,489,750,541,637,338
761,455,552,786,888,594,473,650,489,750,541,611,333
942,381,626,786,888,594,473,631,508,750,541,609,333
771,396,816,786,888,594,473,629,510,750,541,542,333
740,432,819,786,888,594,473,629,510,736,520,505,406
806,458,819,776,898,592,475,507,632,736,444,506,409
788,476,800,743,892,650,475,439,672,764,436,457,509
845,476,800,704,896,685,475,384,720,771,383,569,615
797,568,800,663,933,684,476,388,713,778,290,618,592
671,694,631,832,888,661,540,340,765,775,169,668,624
628,740,608,855,694,711,683,326,780,775,99,674,624
629,740,608,810,655,757,721,258,837,786,98,674,680
639,739,389,935,750,702,776,257,838,786,98,674,690
642,646,482,935,750,702,776,250,743,888,85,670,690
802,648,482,935,750,543,935,247,592,1042,84,634,690
955,650,482,935,366,879,983,247,571,1063,84,634,680
955,650,482,830,471,879,983,247,551,1083,84,640,680
955,650,482,811,490,874,945,290,548,1086,84,642,826
955,650,482,793,508,874,743,492,548,1077,88,648,832
955,556,576,790,511,869,662,578,545,1080,88,657,856
959,556,573,793,498,882,662,578,477,1148,88,720,855
