Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
638,620,1022,679,423,453,1257,616,1147,944
598,562,1097,681,444,453,1400,616,1147,929
715,539,1112,689,444,453,1421,529,1133,867
713,549,1124,689,444,473,1411,530,1138,854
753,453,1221,689,444,471,1412,530,941,823
753,427,1249,689,444,517,1413,495,1098,748
695,456,1278,689,444,703,1416,519,952,618
713,456,1278,689,431,671,1465,444,1081,613
766,456,1278,636,484,647,1651,275,1073,720
839,456,1278,533,587,640,1702,228,1128,696
848,456,1271,525,568,640,1720,227,1134,636
795,509,1252,506,606,629,1666,225,1205,663
834,512,1252,506,548,558,1716,247,1292,667
828,518,1252,506,548,403,1739,356,1391,667
810,537,1229,454,623,366,1857,502,1271,636
842,551,1229,406,671,366,1886,505,1161,657
852,551,1229,382,695,365,2073,505,1055,677
852,420,1233,499,705,363,2089,504,1050,691
854,414,1239,497,634,381,2072,527,1195,691
843,425,1167,567,614,381,2111,527,1247,691
811,456,1081,654,523,418,2138,520,1252,693
789,478,1053,682,523,418,2154,515,1231,693
715,552,1056,682,523,496,2127,515,1226,698
651,624,875,863,523,555,2080,515,1235,700
742,645,836,900,525,561,2049,480,1142,700
733,618,641,995,661,563,2049,480,1159,705
594,757,641,927,715,563,2034,479,1172,696
607,746,539,1010,724,563,1984,465,1242,696
619,743,518,982,776,565,1742,535,1354,614
629,724,537,982,775,592,1731,494,1467,614
592,643,654,983,679,592,1697,512,1467,470
592,638,620,1022,679,624,1406,551,1550,469
616,598,562,1097,681,673,1228,611,1616,469
499,715,539,1112,689,717,1123,631,1650,481
481,713,549,1124,689,695,1132,631,1643,481
440,753,453,1221,689,680,1141,713,1642,481
438,753,427,1249,689,678,1144,796,1483,413
457,695,456,1278,689,501,1209,788,1503,415
452,713,456,1278,689,492,1188,801,1409,414
399,766,456,1278,636,432,1005,812,1355,221
326,839,456,1278,533,409,953,856,1303,226
317,848,456,1271,525,409,935,898,1297,226
317,795,509,1252,506,409,935,898,1228,200
275,834,512,1252,506,409,872,844,1244,246
275,828,518,1252,506,409,849,715,1164,259
274,810,537,1229,454,409,731,562,1110,312
228,842,551,1229,406,409,702,559,1242,291
218,852,551,1229,382,415,515,559,1276,420
218,852,420,1233,499,433,504,559,1290,695
216,854,414,1239,497,549,504,536,1181,816
216,843,425,1167,567,648,469,536,1251,847
216,811,456,1081,654,612,479,535,1263,850
272,789,478,1053,682,612,437,535,1249,850
356,715,552,1056,682,534,338,535,1247,864
440,651,624,875,863,475,331,535,1271,980
344,742,645,836,900,477,331,537,1272,1141
344,733,618,641,995,574,387,537,1240,1136
344,594,757,641,927,587,412,552,1227,1132
346,607,746,539,1010,587,511,564,1157,1132
365,619,743,518,982,608,509,493,1046,1139
402,629,724,537,982,581,524,496,903,1158
419,592,643,654,983,585,530,547,962,1317
419,592,638,620,1022,553,572,508,918,1478
395,616,598,562,1097,588,619,496,884,1559
411,499,715,539,1112,567,624,609,854,1617
411,481,713,549,1124,567,758,763,869,1620
411,440,753,453,1221,565,841,681,869,1625
433,438,753,427,1249,521,875,598,870,1632
441,457,695,456,1278,521,1048,582,946,1633
428,452,713,456,1278,522,1354,569,939,1622
433,399,766,456,1278,522,1398,558,948,1600
433,326,839,456,1278,522,1532,514,1147,1671
485,317,848,456,1271,538,1532,472,1391,1671
485,317,795,509,1252,576,1532,472,1343,1691
486,275,834,512,1252,577,1532,472,1240,1641
517,275,828,518,1252,660,1532,472,1221,1668
517,274,810,537,1229,683,1532,472,1222,1615
532,228,842,551,1229,703,1532,472,1104,1602
538,218,852,551,1229,901,1532,472,1070,1451
578,218,852,420,1233,1050,1527,472,1056,1158
578,216,854,414,1239,1017,1528,472,1020,1037
578,216,843,425,1167,985,1521,472,898,1006
578,216,811,456,1081,1026,1493,507,881,1001
522,272,789,478,1053,1079,1489,517,868,1001
515,356,715,552,1056,1118,1489,517,871,982
513,440,651,624,875,1127,1489,517,851,865
506,344,742,645,836,1179,1517,563,863,705
650,344,733,618,641,1086,1506,586,868,705
650,344,594,757,641,1073,1500,573,954,719
635,346,607,746,539,1073,1372,572,1036,727
608,365,619,743,518,1050,1371,650,1124,719
562,402,629,724,537,1072,1332,701,1188,691
545,419,592,643,654,1080,1318,650,1172,510
545,419,592,638,620,1102,1241,767,1200,341
545,395,616,598,562,1026,1213,777,1205,260
530,411,499,715,539,1016,1279,642,1197,199
528,411,481,713,549,1017,1151,487,1182,284
530,411,440,753,453,1017,1058,487,1182,293
525,433,438,753,427,1049,1020,490,1181,286
500,441,457,695,456,1091,782,491,1051,279
516,428,452,713,456,1091,550,491,1036,295
513,433,399,766,456,1091,564,491,1092,295
513,433,326,839,456,1091,437,495,999,219
461,485,317,848,456,1075,438,541,839,219
461,485,317,795,509,1042,438,546,907,220
460,486,275,834,512,1082,443,592,956,248
429,517,275,828,518,1059,445,607,985,301
429,517,274,810,537,1036,445,870,987,302
479,532,228,842,551,1021,445,925,952,389
518,538,218,852,551,817,445,980,952,389
593,578,218,852,420,650,445,1012,1144,411
726,578,216,854,414,549,443,1212,1147,433
745,578,216,843,425,482,443,1216,1147,443
746,578,216,811,456,440,434,1181,1147,511
746,522,272,789,478,387,434,1171,1157,582
666,515,356,715,552,348,434,1171,1154,584
605,513,440,651,624,339,434,1211,1141,700
609,506,344,742,645,279,406,1275,1128,710
526,650,344,733,618,273,361,1382,1123,710
558,650,344,594,757,273,342,1380,1051,696
558,635,346,607,746,293,314,1419,980,688
555,608,365,619,743,293,312,1435,924,686
555,562,402,629,724,273,312,1402,859,726
555,545,419,592,643,292,312,1469,817,754
568,545,419,592,638,271,286,1491,744,754
568,545,395,616,598,271,267,1457,707,754
567,530,411,499,715,314,198,1448,729,844
567,528,411,481,713,313,324,1448,769,807
565,530,411,440,753,313,366,1448,769,794
548,525,433,438,753,281,367,1445,820,934
553,500,441,457,695,230,364,1444,897,937
543,516,428,452,713,235,262,1444,874,921
544,513,433,399,766,241,329,1469,823,921
550,513,433,326,839,266,322,1479,753,920
554,461,485,317,848,266,321,1433,727,938
560,461,485,317,795,263,321,1428,670,916
560,460,486,275,834,228,316,1382,668,890
573,429,517,275,828,168,317,1367,708,797
594,429,517,274,810,255,317,1105,758,793
529,479,532,228,842,251,317,1050,780,706
484,518,538,218,852,251,317,1091,851,728
369,593,578,218,852,251,317,1059,717,706
236,726,578,216,854,251,317,859,723,684
217,745,578,216,843,251,317,855,794,675
216,746,578,216,811,251,317,1089,819,610
216,746,522,272,789,290,317,1246,815,539
216,666,515,356,715,362,317,1349,923,537
187,605,513,440,651,396,317,1368,1135,420
190,609,506,344,742,443,317,1260,1167,409
129,526,650,344,733,447,317,1130,1219,410
