Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
629,1341,848,634,443,449,721,1211,980,356
629,1341,848,614,443,436,759,1219,1190,360
629,1213,848,523,442,524,1039,1328,1177,424
629,1191,848,523,442,538,1156,1364,809,421
532,1288,847,523,274,541,1165,1402,824,391
482,1338,847,523,281,539,848,1415,824,454
482,941,847,525,281,561,834,1415,824,543
482,941,957,661,217,561,820,1415,824,540
367,1017,957,715,217,561,890,1415,824,539
219,1114,1024,724,232,561,893,1415,824,539
219,929,1024,776,392,561,893,1415,826,539
223,898,1024,775,392,561,893,1412,792,539
223,879,1027,679,392,564,909,1562,792,552
223,866,1076,679,396,569,909,1588,792,552
223,842,1093,681,398,571,909,1596,792,552
82,933,1091,689,471,571,909,1758,792,544
88,803,1134,689,493,571,885,1816,674,544
124,782,1273,689,493,571,851,1837,580,526
124,782,1657,689,493,547,851,1971,579,587
122,681,1456,689,532,557,851,1971,554,587
122,656,1398,689,506,598,849,1971,494,549
134,642,1334,636,467,605,849,1934,494,560
188,591,1285,533,441,600,853,1703,494,603
222,591,1286,525,417,555,902,1703,510,604
501,591,1252,506,322,593,930,1461,523,605
482,608,1297,506,322,577,947,1434,561,605
465,624,1045,506,322,594,856,1425,354,605
465,625,1055,454,322,594,1001,1209,323,545
461,629,1007,406,322,596,1002,1205,332,544
475,629,1007,382,322,622,1003,949,392,531
531,629,1007,499,322,466,993,910,400,498
612,629,1019,497,322,469,992,898,400,481
617,629,1032,567,322,467,946,890,190,461
713,629,1135,654,322,373,666,781,190,365
831,629,1249,682,322,359,549,745,265,364
832,532,1249,682,322,356,540,707,254,342
834,482,1249,863,315,356,589,694,326,255
1012,482,1249,900,494,334,551,694,326,151
1021,482,1139,995,623,334,525,807,384,150
1044,367,1160,927,623,363,458,967,384,150
1062,219,1093,1010,608,371,455,1123,384,150
1132,219,1093,982,448,424,455,1123,373,228
1113,223,1093,982,448,427,455,1123,373,258
1113,223,1092,983,448,464,439,973,373,246
1363,223,1044,1022,444,542,439,941,373,326
1469,223,1087,1097,442,544,439,924,406,326
1553,82,1087,1112,369,663,439,820,730,326
1539,88,1043,1124,347,956,439,774,731,326
1666,124,904,1221,356,967,439,754,731,326
1748,124,470,1249,506,1206,439,620,731,263
1748,122,469,1278,473,1196,454,620,731,263
1748,122,469,1278,473,1155,469,620,731,263
1736,134,469,1278,473,1138,469,678,731,236
1682,188,469,1278,473,1075,465,793,731,376
1670,222,468,1271,473,1055,527,794,715,486
1391,501,468,1252,473,1043,569,799,702,491
1391,482,409,1252,473,1043,535,799,664,534
1391,465,409,1252,482,1024,647,987,660,534
1390,465,354,1229,629,1024,519,982,645,598
1390,461,326,1229,629,1022,545,953,635,603
1376,475,327,1229,629,989,574,953,575,626
1320,531,658,1233,658,1126,568,953,567,654
1239,612,759,1239,658,1123,575,953,567,655
1234,617,776,1167,658,1123,577,963,567,1015
1138,713,673,1081,658,1123,709,963,567,1042
1020,831,560,1053,658,1123,711,963,492,1138
1022,832,610,1056,658,1123,794,966,567,1149
1020,834,652,875,658,1123,782,1150,495,1164
867,1012,652,836,479,1123,778,1162,546,1164
878,1021,652,641,350,1123,745,1050,488,1164
860,1044,631,641,350,1094,1020,917,489,1164
842,1062,631,539,350,1086,1022,800,532,1164
772,1132,631,518,350,1033,1024,800,579,1086
771,1113,631,537,382,1144,1024,802,621,1056
771,1113,629,654,388,1112,1024,802,647,1055
527,1363,628,620,388,1029,1024,805,648,975
