Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3
1659,889,465,1043,299,518
1758,889,465,1121,310,385
1805,985,421,947,336,406
1768,1082,421,977,369,423
1812,1090,421,942,311,394
1828,1090,385,927,306,519
2000,1042,345,907,293,627
2010,780,612,901,271,708
2055,716,722,990,270,804
2052,710,731,964,269,858
2060,533,908,846,268,1013
2065,531,868,799,266,1046
1789,839,873,555,266,1134
1767,839,896,526,266,1138
1734,863,905,518,266,1108
1675,865,962,515,266,1034
1675,749,1078,528,207,1034
1683,715,1090,528,126,1035
1687,713,912,528,124,944
1719,709,920,544,124,909
1538,890,920,545,124,909
1292,1136,920,545,124,924
1286,1144,920,545,120,888
1218,1214,889,545,96,888
1080,1352,882,668,97,890
951,1470,891,670,97,891
914,1507,891,670,97,893
928,1507,891,658,93,893
928,1507,891,608,87,930
997,1507,891,690,95,915
997,1507,889,693,116,848
845,1659,889,562,167,850
746,1758,889,504,579,849
617,1805,985,511,589,832
557,1768,1082,478,564,820
511,1812,1090,491,698,821
497,1828,1090,478,708,722
325,2000,1042,497,784,754
310,2010,780,513,784,702
219,2055,716,424,788,612
219,2052,710,424,860,559
211,2060,533,425,1055,410
234,2065,531,573,1208,388
197,1789,839,693,1302,306
196,1767,839,778,1608,302
196,1734,863,936,1659,332
196,1675,865,937,1671,347
279,1675,749,925,1669,377
267,1683,715,989,1690,480
256,1687,713,1032,1719,495
328,1719,709,1146,1737,577
328,1538,890,1162,1758,717
358,1292,1136,1162,1776,809
441,1286,1144,1289,1779,883
440,1218,1214,1352,1779,884
443,1080,1352,1460,1778,882
614,951,1470,1491,1783,883
626,914,1507,1493,1826,887
612,928,1507,1533,1841,889
613,928,1507,1533,1872,852
544,997,1507,1452,1883,851
624,997,1507,1449,2057,901
640,845,1659,1434,2057,1010
688,746,1758,1355,1690,1092
702,617,1805,1329,1871,1091
816,557,1768,1329,1902,1086
821,511,1812,1316,1787,1314
829,497,1828,1316,1792,1335
906,325,2000,1307,1719,1203
917,310,2010,1292,1719,1293
942,219,2055,1300,1715,1287
942,219,2052,1315,1654,1306
945,211,2060,1314,1464,1325
938,234,2065,1166,1311,1365
990,197,1789,1101,1217,1364
1012,196,1767,1016,911,1415
1013,196,1734,858,860,1384
1013,196,1675,857,852,1369
930,279,1675,858,897,1359
987,267,1683,828,948,1255
1003,256,1687,799,1015,1248
895,328,1719,678,1006,1166
960,328,1538,661,985,1026
935,358,1292,661,967,919
861,441,1286,534,964,844
910,440,1218,471,973,868
943,443,1080,248,973,898
772,614,951,218,968,896
760,626,914,313,925,900
760,612,928,338,941,928
759,613,928,346,904,928
