Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
518,629,514,1039,1216,948,958,443,838,764,757
491,658,319,1034,1221,952,976,558,838,726,591
491,658,337,1027,1221,952,981,646,838,692,591
491,658,340,1025,1211,952,621,601,755,685,512
491,658,340,901,1211,952,665,597,744,642,512
491,658,370,904,1259,952,573,684,743,642,391
491,658,496,821,1263,873,562,689,763,640,380
491,658,550,784,1079,873,578,689,807,552,376
491,479,581,819,1160,822,594,689,810,569,362
491,350,581,819,1174,822,594,689,834,568,312
491,350,596,541,1147,834,594,689,926,568,220
491,350,703,553,1108,791,595,689,884,568,169
491,350,950,552,1108,829,651,689,880,568,239
459,382,871,598,1137,796,873,689,880,568,333
453,388,905,616,1137,936,1187,689,874,568,416
453,388,1257,616,1147,944,1353,689,874,494,310
453,388,1400,616,1147,929,1417,689,876,493,320
453,388,1421,529,1133,867,1445,689,884,500,377
473,390,1411,530,1138,854,1765,689,744,414,387
471,400,1412,530,941,823,1795,689,816,457,452
517,250,1413,495,1098,748,1853,689,816,457,580
703,244,1416,519,952,618,2031,689,831,457,637
671,285,1465,444,1081,613,2130,689,398,469,637
647,369,1651,275,1073,720,2088,689,402,468,637
640,399,1702,228,1128,696,2086,689,403,296,624
640,399,1720,227,1134,636,2089,718,502,280,617
629,410,1666,225,1205,663,2089,822,569,243,617
558,481,1716,247,1292,667,2008,1028,637,241,622
403,627,1739,356,1391,667,2008,849,671,239,681
366,517,1857,502,1271,636,2038,779,706,251,681
366,517,1886,505,1161,657,2069,899,706,251,716
365,518,2073,505,1055,677,2017,844,713,251,790
363,491,2089,504,1050,691,1971,750,967,251,790
381,491,2072,527,1195,691,1965,735,1073,251,790
381,491,2111,527,1247,691,1966,717,1124,251,803
418,491,2138,520,1252,693,1940,693,1124,266,815
418,491,2154,515,1231,693,1956,611,1115,336,885
496,491,2127,515,1226,698,1986,615,1095,369,889
555,491,2080,515,1235,700,1955,615,1051,404,892
561,491,2049,480,1142,700,1939,615,1176,385,931
563,491,2049,480,1159,705,1940,630,1176,398,958
563,491,2034,479,1172,696,1940,673,1194,411,963
563,491,1984,465,1242,696,1939,675,1170,411,963
565,491,1742,535,1354,614,1883,675,1170,411,1002
592,459,1731,494,1467,614,1661,675,1180,411,908
592,453,1697,512,1467,470,1347,675,1188,411,825
624,453,1406,551,1550,469,1181,675,1291,409,785
673,453,1228,611,1616,469,1182,675,1291,411,788
717,453,1123,631,1650,481,1139,694,1283,425,731
695,473,1132,631,1643,481,765,743,1264,380,721
680,471,1141,713,1642,481,683,847,1259,337,656
678,517,1144,796,1483,413,624,877,1266,337,528
501,703,1209,788,1503,415,415,878,1254,337,471
492,671,1188,801,1409,414,316,977,1246,295,471
432,647,1005,812,1355,221,296,982,1303,296,492
409,640,953,856,1303,226,274,982,1349,238,553
409,640,935,898,1297,226,293,953,1252,238,587
409,629,935,898,1228,200,293,849,1170,238,631
409,558,872,844,1244,246,291,645,1102,247,651
409,403,849,715,1164,259,291,644,1068,247,622
409,366,731,562,1110,312,281,641,1033,235,681
409,366,702,559,1242,291,255,571,1033,235,648
415,365,515,559,1276,420,279,686,1026,235,576
433,363,504,559,1290,695,330,714,772,235,576
549,381,504,536,1181,816,343,642,719,235,603
648,381,469,536,1251,847,355,644,668,235,609
612,418,479,535,1263,850,311,644,668,220,597
612,418,437,535,1249,850,295,639,668,150,530
534,496,338,535,1247,864,265,753,723,117,526
475,555,331,535,1271,980,290,806,729,86,529
477,561,331,537,1272,1141,382,833,613,86,491
574,563,387,537,1240,1136,384,915,657,191,471
587,563,412,552,1227,1132,384,990,549,249,466
587,563,511,564,1157,1132,385,988,561,331,466
608,565,509,493,1046,1139,385,990,665,530,356
581,592,524,496,903,1158,390,1051,655,561,356
585,592,530,547,962,1317,393,1148,647,561,357
553,624,572,508,918,1478,482,1192,544,561,366
588,673,619,496,884,1559,516,1200,542,559,546
567,717,624,609,854,1617,523,1182,542,537,618
567,695,758,763,869,1620,523,1162,548,537,710
565,680,841,681,869,1625,513,1058,517,542,753
521,678,875,598,870,1632,512,1041,512,547,801
521,501,1048,582,946,1633,512,1049,509,547,809
522,492,1354,569,939,1622,543,1091,488,525,820
522,432,1398,558,948,1600,590,1168,457,524,800
522,409,1532,514,1147,1671,633,1240,410,524,739
538,409,1532,472,1391,1671,611,1339,403,524,705
576,409,1532,472,1343,1691,611,1360,403,525,665
577,409,1532,472,1240,1641,628,1391,403,522,640
660,409,1532,472,1221,1668,665,1391,403,522,657
683,409,1532,472,1222,1615,680,1382,403,531,614
703,409,1532,472,1104,1602,675,1315,403,549,682
901,415,1532,472,1070,1451,635,1184,403,549,711
1050,433,1527,472,1056,1158,589,1135,403,550,747
1017,549,1528,472,1020,1037,582,1141,350,550,720
985,648,1521,472,898,1006,588,1142,350,550,711
1026,612,1493,507,881,1001,592,1169,350,550,712
1079,612,1489,517,868,1001,590,1242,350,550,709
1118,534,1489,517,871,982,607,1123,295,550,709
1127,475,1489,517,851,865,582,1160,315,546,808
1179,477,1517,563,863,705,490,1229,389,546,807
1086,574,1506,586,868,705,487,1139,321,428,823
1073,587,1500,573,954,719,487,1021,319,357,853
1073,587,1372,572,1036,727,486,1021,346,275,1387
1050,608,1371,650,1124,719,486,1019,244,78,1509
1072,581,1332,701,1188,691,486,962,248,52,1525
1080,585,1318,650,1172,510,530,867,248,52,1816
1102,553,1241,767,1200,341,526,823,250,73,1921
1026,588,1213,777,1205,260,473,815,253,73,1762
1016,567,1279,642,1197,199,536,814,253,73,1930
1017,567,1151,487,1182,284,536,785,247,73,2053
1017,565,1058,487,1182,293,536,785,211,68,2024
1049,521,1020,490,1181,286,536,772,209,63,1976
1091,521,782,491,1051,279,536,763,209,63,1983
1091,522,550,491,1036,295,505,622,209,123,2023
1091,522,564,491,1092,295,458,540,179,124,2022
1091,522,437,495,999,219,438,468,185,124,2035
1075,538,438,541,839,219,468,369,228,124,2035
1042,576,438,546,907,220,519,348,228,123,2036
1082,577,443,592,956,248,549,320,228,117,2036
1059,660,445,607,985,301,514,320,228,122,2008
1036,683,445,870,987,302,466,320,228,113,1997
1021,703,445,925,952,389,466,320,246,121,1967
817,901,445,980,952,389,467,320,259,124,1992
650,1050,445,1012,1144,411,462,320,380,297,1991
549,1017,443,1212,1147,433,456,313,538,304,2022
482,985,443,1216,1147,443,437,308,627,308,2019
440,1026,434,1181,1147,511,434,281,636,308,2226
387,1079,434,1171,1157,582,439,208,636,353,2271
348,1118,434,1171,1154,584,426,204,643,378,2320
339,1127,434,1211,1141,700,457,114,790,534,2221
279,1179,406,1275,1128,710,511,18,709,569,2298
273,1086,361,1382,1123,710,581,11,717,723,2325
273,1073,342,1380,1051,696,640,20,731,723,2312
293,1073,314,1419,980,688,720,44,692,723,1778
293,1050,312,1435,924,686,733,44,703,724,1715
273,1072,312,1402,859,726,743,40,847,719,1732
292,1080,312,1469,817,754,696,38,1129,719,1464
271,1102,286,1491,744,754,611,38,1244,733,1356
271,1026,267,1457,707,754,565,38,1244,733,1320
314,1016,198,1448,729,844,494,59,1244,735,1080
313,1017,324,1448,769,807,546,60,1245,751,874
313,1017,366,1448,769,794,604,61,1245,751,935
281,1049,367,1445,820,934,683,80,1299,751,978
230,1091,364,1444,897,937,744,281,1321,751,963
235,1091,262,1444,874,921,761,322,1334,691,970
241,1091,329,1469,823,921,761,364,1334,690,994
266,1091,322,1479,753,920,745,496,1328,697,981
266,1075,321,1433,727,938,744,625,1268,697,1003
263,1042,321,1428,670,916,707,625,1268,697,998
228,1082,316,1382,668,890,694,620,1268,697,998
168,1059,317,1367,708,797,692,625,1268,692,979
255,1036,317,1105,758,793,691,626,1268,692,974
251,1021,317,1050,780,706,691,628,1250,666,934
251,817,317,1091,851,728,690,629,1253,663,878
251,650,317,1059,717,706,690,631,1133,489,888
251,549,317,859,723,684,690,631,975,482,884
251,482,317,855,794,675,690,631,886,478,1047
251,440,317,1089,819,610,710,631,882,478,952
290,387,317,1246,815,539,710,631,925,433,1012
362,348,317,1349,923,537,708,632,926,423,969
396,339,317,1368,1135,420,705,635,753,339,967
443,279,317,1260,1167,409,692,635,748,345,890
447,273,317,1130,1219,410,648,655,759,205,840
447,273,317,1130,1280,485,589,646,745,205,823
427,293,402,1080,1305,563,525,622,757,205,854
427,293,438,986,1272,572,539,627,744,239,806
425,273,438,960,1285,555,543,629,596,240,834
394,292,440,857,1404,527,636,629,347,240,834
393,271,440,718,1400,655,636,629,232,224,859
385,271,471,694,1400,719,636,629,229,236,859
329,314,469,693,1378,645,636,608,229,234,918
329,313,422,693,1338,598,584,607,228,218,910
415,313,409,693,1355,597,533,650,228,218,835
417,281,409,693,1322,493,473,895,177,218,792
453,230,409,693,1341,503,413,809,158,229,792
517,235,410,693,1375,525,396,800,155,229,734
526,241,282,668,1426,525,402,892,174,229,711
512,266,282,654,1424,525,462,856,174,222,711
529,266,282,654,1374,507,433,729,174,222,689
527,263,282,654,1441,506,419,782,174,222,689
523,228,285,654,1452,504,381,813,174,222,731
523,168,282,654,1384,565,395,813,174,228,731
436,255,282,653,1331,595,511,815,174,240,731
435,251,282,653,1309,651,555,813,174,240,731
435,251,282,585,1336,673,774,815,159,240,731
435,251,282,646,1330,710,787,926,158,240,724
435,251,282,706,1334,780,787,927,158,240,700
443,251,282,708,1263,781,787,975,158,240,609
472,251,282,530,1263,778,767,1042,153,240,683
515,290,282,433,1267,781,762,1042,110,240,679
446,362,282,330,1161,781,784,1119,102,225,719
412,396,283,271,952,782,789,1123,102,153,716
514,443,284,267,920,782,773,1123,102,112,716
510,447,284,267,868,860,773,1103,83,106,716
510,447,284,267,1064,785,773,1105,83,110,716
510,427,202,267,1087,707,757,1114,98,110,745
510,427,287,295,1117,698,731,1245,195,73,772
542,425,299,328,1123,675,712,1385,242,72,711
563,394,326,393,1057,675,619,1423,220,80,687
569,393,370,405,1209,561,619,1423,229,61,708
569,385,518,430,1209,497,619,1423,229,49,726
571,329,525,465,1209,472,685,1450,229,53,667
571,329,432,466,1288,468,685,1519,229,160,666
523,415,403,498,1271,518,678,1475,229,183,666
538,417,402,750,1253,482,661,1211,227,183,666
503,453,402,809,1157,506,663,1097,427,172,666
502,517,401,818,1123,542,668,1069,517,177,666
694,526,401,818,1058,546,693,937,516,207,665
892,512,405,818,1021,551,626,841,517,207,665
877,529,413,818,1013,551,626,839,587,207,665
877,527,413,818,929,551,675,786,617,207,665
984,523,410,820,871,554,681,755,638,207,623
984,523,452,820,870,579,673,750,653,201,623
992,436,464,833,870,550,595,747,653,189,623
992,435,500,869,881,494,551,747,653,189,623
992,435,500,841,787,450,332,744,678,190,623
992,435,506,780,779,438,319,631,710,212,653
992,435,574,720,769,389,327,630,710,329,757
984,443,821,827,785,409,368,582,849,430,806
955,472,1091,771,760,473,369,515,851,495,621
873,515,1091,711,750,470,367,515,927,495,520
870,446,1121,711,748,591,343,437,1054,498,474
870,412,1158,727,745,594,311,430,1054,528,473
721,514,1157,739,745,594,286,430,1054,531,473
721,510,1247,745,745,523,260,430,1054,523,473
721,510,1247,756,474,557,260,448,1054,568,509
721,510,1244,767,415,590,260,454,1027,641,449
721,510,1123,739,385,591,259,369,930,713,421
689,542,1111,711,366,607,293,460,883,713,438
668,563,1179,646,312,624,293,430,872,705,470
675,569,1135,634,157,756,316,431,861,705,448
675,569,956,609,157,756,316,553,861,705,449
673,571,949,574,159,756,250,526,861,840,472
707,571,984,573,90,756,285,513,861,749,512
669,523,1005,559,117,769,396,513,861,726,552
710,538,1022,382,117,809,443,513,860,726,599
709,503,1046,334,117,997,487,512,657,726,610
640,502,1046,461,117,940,488,512,557,721,610
433,694,1046,461,208,936,517,620,731,691,645
224,892,1131,465,222,931,540,620,866,691,645
222,877,1123,488,222,938,540,628,796,691,645
295,877,1161,504,356,947,491,628,766,691,646
208,984,1161,517,364,944,485,644,885,691,646
299,984,1120,523,364,858,492,676,870,691,658
291,992,1108,510,364,857,822,680,1077,691,689
291,992,1240,474,353,857,822,732,1116,691,689
291,992,1240,476,666,857,822,756,1090,690,705
291,992,1234,476,678,832,822,771,1092,668,649
291,992,1230,476,748,811,814,775,1310,551,577
305,984,983,367,733,789,773,776,1171,450,508
326,955,713,367,733,725,770,776,1178,385,506
326,873,713,367,733,725,779,776,1144,480,506
327,870,683,367,733,607,813,776,1098,484,533
423,870,645,351,733,603,812,776,1180,464,533
423,721,645,339,733,609,812,776,1410,461,533
444,721,555,333,733,610,812,776,1516,466,533
444,721,555,322,733,618,812,764,1606,417,497
444,721,555,311,757,585,930,749,1747,344,497
444,721,555,311,791,584,1024,716,1843,272,487
444,689,555,330,791,568,991,485,1843,273,470
444,668,458,330,791,551,1016,477,1871,286,438
431,675,484,330,793,405,1053,514,1911,295,408
484,675,523,340,793,486,1053,410,1921,316,389
587,673,549,408,791,717,1053,410,1989,251,400
568,707,537,492,781,717,1018,354,2059,250,384
606,669,611,474,754,896,907,354,2314,295,359
548,710,594,415,772,883,858,354,2317,366,312
548,709,570,406,929,667,1022,354,2322,383,301
623,640,570,270,937,887,1062,410,2331,395,301
671,433,570,270,846,920,1003,301,2139,395,266
695,224,481,274,832,1176,980,314,2003,419,266
705,222,481,465,854,1208,980,339,2003,426,266
634,295,443,449,721,1211,980,356,2003,426,272
614,208,443,436,759,1219,1190,360,1868,426,273
523,299,442,524,1039,1328,1177,424,1868,426,261
523,291,442,538,1156,1364,809,421,1766,426,230
523,291,274,541,1165,1402,824,391,1727,426,268
523,291,281,539,848,1415,824,454,1727,426,252
525,291,281,561,834,1415,824,543,1821,426,252
661,291,217,561,820,1415,824,540,1628,426,217
715,305,217,561,890,1415,824,539,1679,426,158
724,326,232,561,893,1415,824,539,1701,426,158
776,326,392,561,893,1415,826,539,1659,331,158
775,327,392,561,893,1412,792,539,1578,324,209
679,423,392,564,909,1562,792,552,1496,363,209
