Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2
7.059618e+00,6.919684e+00,6.470800e+00,5.700444e+00,6.135565e+00,7.180831e+00,6.052089e+00,6.866933e+00,6.608001e+00
7.059618e+00,6.919684e+00,6.335054e+00,5.902633e+00,6.167516e+00,7.061334e+00,6.350886e+00,6.860664e+00,6.633318e+00
6.804615e+00,7.244228e+00,6.263398e+00,6.001415e+00,6.047372e+00,7.003974e+00,6.541030e+00,6.877296e+00,6.625392e+00
7.207119e+00,7.371489e+00,6.212606e+00,6.063785e+00,6.047372e+00,6.923629e+00,6.656727e+00,7.060476e+00,6.761573e+00
7.172425e+00,7.406103e+00,5.913503e+00,6.326149e+00,6.047372e+00,6.754604e+00,6.841615e+00,6.987490e+00,6.698268e+00
7.173958e+00,7.406711e+00,5.913503e+00,6.326149e+00,6.047372e+00,6.753438e+00,6.842683e+00,6.988413e+00,7.000334e+00
7.097549e+00,7.464510e+00,5.913503e+00,6.326149e+00,6.042633e+00,6.754604e+00,6.829794e+00,6.988413e+00,7.003974e+00
7.085064e+00,7.475339e+00,5.855072e+00,6.363028e+00,5.958425e+00,6.719013e+00,6.896694e+00,7.049255e+00,7.004882e+00
7.082549e+00,7.477038e+00,5.703782e+00,6.444131e+00,5.921578e+00,6.683361e+00,6.939254e+00,7.049255e+00,7.006695e+00
7.051856e+00,7.497207e+00,5.703782e+00,6.444131e+00,5.897154e+00,6.519147e+00,7.044033e+00,7.049255e+00,7.006695e+00
7.054450e+00,7.379632e+00,6.214608e+00,6.439350e+00,5.905362e+00,6.493754e+00,7.057898e+00,7.049255e+00,7.007601e+00
7.064759e+00,7.369601e+00,6.259581e+00,6.421622e+00,5.934894e+00,6.493754e+00,7.057898e+00,7.050989e+00,7.007601e+00
7.080868e+00,7.413367e+00,6.267201e+00,6.329721e+00,6.068426e+00,6.280396e+00,7.161622e+00,7.095064e+00,7.059618e+00
7.071573e+00,7.419980e+00,6.267201e+00,6.329721e+00,6.068426e+00,6.154858e+00,7.209340e+00,7.095893e+00,7.059618e+00
7.030857e+00,7.407924e+00,6.386879e+00,6.329721e+00,6.042633e+00,5.513429e+00,7.286192e+00,7.057898e+00,7.059618e+00
7.043160e+00,7.407924e+00,6.386879e+00,6.329721e+00,6.033086e+00,5.384495e+00,7.307202e+00,7.055313e+00,6.961296e+00
7.179308e+00,7.407924e+00,6.386879e+00,6.159095e+00,6.011267e+00,5.746203e+00,7.308543e+00,7.055313e+00,6.961296e+00
7.179308e+00,7.406711e+00,6.390241e+00,6.159095e+00,5.837730e+00,5.823046e+00,7.334982e+00,6.776507e+00,6.961296e+00
7.179308e+00,7.406711e+00,6.390241e+00,6.159095e+00,5.814131e+00,5.846439e+00,7.334982e+00,6.887553e+00,6.909753e+00
7.179308e+00,7.406711e+00,6.390241e+00,6.159095e+00,5.713733e+00,5.932245e+00,7.280697e+00,6.945051e+00,6.909753e+00
7.179308e+00,7.400621e+00,6.406880e+00,6.159095e+00,5.645447e+00,5.983936e+00,7.278629e+00,6.867974e+00,6.869014e+00
7.179308e+00,7.169350e+00,6.850126e+00,6.159095e+00,5.645447e+00,5.963579e+00,7.268223e+00,6.967909e+00,6.756932e+00
7.156177e+00,7.167038e+00,6.884487e+00,6.159095e+00,5.616771e+00,5.978886e+00,7.211557e+00,6.976348e+00,6.753438e+00
7.128496e+00,7.189922e+00,6.887553e+00,6.129050e+00,5.493061e+00,6.089045e+00,7.192182e+00,6.979145e+00,6.755769e+00
7.128496e+00,7.189922e+00,6.802395e+00,6.289716e+00,5.337538e+00,6.165418e+00,7.192182e+00,7.055313e+00,6.749931e+00
