Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
389,449,726,388,431,1048,634,1371,1000,572
400,472,667,388,431,1072,634,1371,1028,520
384,512,666,254,342,1070,634,1324,1028,532
359,552,666,223,316,1091,634,1179,1058,534
312,599,666,59,320,1182,634,1386,1096,661
301,610,666,37,320,1191,638,1386,1050,661
301,610,666,65,320,1184,547,1447,1002,670
266,645,665,96,320,1184,481,1277,1138,670
266,645,665,97,320,1171,461,1249,1150,673
266,645,665,97,381,1258,444,1217,1135,673
272,646,665,78,322,1268,368,1217,1102,673
273,646,623,73,374,1378,368,1217,1102,630
261,658,623,73,351,1337,479,1217,1102,700
230,689,623,75,541,1339,483,1217,1102,833
268,689,623,75,512,1339,468,1217,1102,873
252,705,623,75,510,1344,464,1217,1102,908
252,649,653,75,494,1348,464,1217,1102,1026
217,577,757,75,488,1349,428,1217,1102,1026
158,508,806,77,640,1349,421,1187,1102,1026
158,506,621,77,682,1349,411,1159,1102,1026
158,506,520,77,707,1344,302,1144,1102,1026
209,533,474,77,568,1320,301,1131,1245,1026
209,533,473,77,568,1320,249,1101,967,1076
209,533,473,132,568,1129,251,1083,912,1206
209,533,473,132,608,748,372,1083,912,1206
293,497,509,132,626,653,449,1083,912,1231
350,497,449,132,763,653,432,1083,907,1234
358,487,421,142,900,653,385,1033,832,1149
358,470,438,142,900,653,385,1206,832,1144
358,438,470,185,1112,653,612,1003,817,1096
358,408,448,276,1139,663,612,765,804,1031
358,389,449,352,1139,807,612,702,794,909
324,400,472,352,1139,779,612,702,769,867
300,384,512,352,1139,779,612,584,769,842
285,359,552,352,1139,739,612,584,596,837
285,312,599,352,1135,617,612,329,553,702
285,301,610,352,1135,523,608,314,633,702
382,301,610,406,1135,523,616,223,696,690
443,266,645,395,1135,523,728,223,670,710
443,266,645,394,1190,525,728,178,633,707
443,266,645,508,1140,464,728,173,658,707
436,272,646,569,1140,667,728,173,666,707
436,273,646,632,1086,573,728,173,676,707
436,261,658,632,1083,638,617,176,676,612
436,230,689,630,955,792,598,336,676,479
398,268,689,630,1028,792,598,336,676,439
398,252,705,630,1015,787,598,548,866,404
386,252,649,647,1015,783,598,573,868,286
386,217,577,647,1014,789,579,623,868,286
386,158,508,852,862,849,579,623,868,336
386,158,506,853,820,879,579,651,868,339
386,158,506,853,795,849,579,673,868,359
391,209,533,853,795,863,596,673,725,359
472,209,533,864,796,903,596,673,618,309
539,209,533,809,796,846,594,673,618,322
539,209,533,830,756,846,446,681,688,359
455,293,497,832,738,846,365,681,698,367
440,350,497,833,601,846,364,704,716,409
