Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
440,286,1241,572,1406,1257,1029,542,569,339,739,267,718,1400,655,636,629,232,224,859,615,97
471,267,1213,619,1228,1400,1060,544,571,333,745,267,694,1400,719,636,629,229,236,859,613,73
469,198,1279,624,1123,1421,1025,663,571,322,756,267,693,1378,645,636,608,229,234,918,644,73
422,324,1151,758,1132,1411,742,956,571,311,767,267,693,1338,598,584,607,228,218,910,743,104
409,366,1058,841,1141,1412,731,967,571,311,739,295,693,1355,597,533,650,228,218,835,734,104
409,367,1020,875,1144,1413,492,1206,547,330,711,328,693,1322,493,473,895,177,218,792,683,104
409,364,782,1048,1209,1416,492,1196,557,330,646,393,693,1341,503,413,809,158,229,792,763,167
410,262,550,1354,1188,1465,492,1155,598,330,634,405,693,1375,525,396,800,155,229,734,785,212
282,329,564,1398,1005,1651,492,1138,605,340,609,430,668,1426,525,402,892,174,229,711,787,225
282,322,437,1532,953,1702,493,1075,600,408,574,465,654,1424,525,462,856,174,222,711,788,225
282,321,438,1532,935,1720,474,1055,555,492,573,466,654,1374,507,433,729,174,222,689,786,225
282,321,438,1532,935,1666,502,1043,593,474,559,498,654,1441,506,419,782,174,222,689,921,227
285,316,443,1532,872,1716,515,1043,577,415,382,750,654,1452,504,381,813,174,222,731,931,227
282,317,445,1532,849,1739,515,1024,594,406,334,809,654,1384,565,395,813,174,228,731,996,283
282,317,445,1532,731,1857,515,1024,594,270,461,818,653,1331,595,511,815,174,240,731,992,350
282,317,445,1532,702,1886,515,1022,596,270,461,818,653,1309,651,555,813,174,240,731,983,355
282,317,445,1532,515,2073,514,989,622,274,465,818,585,1336,673,774,815,159,240,731,983,366
282,317,445,1527,504,2089,319,1126,466,465,488,818,646,1330,710,787,926,158,240,724,921,366
282,317,443,1528,504,2072,337,1123,469,449,504,818,706,1334,780,787,927,158,240,700,914,366
282,317,443,1521,469,2111,340,1123,467,436,517,820,708,1263,781,787,975,158,240,609,897,356
282,317,434,1493,479,2138,340,1123,373,524,523,820,530,1263,778,767,1042,153,240,683,854,358
282,317,434,1489,437,2154,370,1123,359,538,510,833,433,1267,781,762,1042,110,240,679,754,358
282,317,434,1489,338,2127,496,1123,356,541,474,869,330,1161,781,784,1119,102,225,719,754,358
283,317,434,1489,331,2080,550,1123,356,539,476,841,271,952,782,789,1123,102,153,716,698,347
284,317,406,1517,331,2049,581,1123,334,561,476,780,267,920,782,773,1123,102,112,716,686,317
284,317,361,1506,387,2049,581,1123,334,561,476,720,267,868,860,773,1103,83,106,716,681,310
284,317,342,1500,412,2034,596,1094,363,561,367,827,267,1064,785,773,1105,83,110,716,723,310
202,402,314,1372,511,1984,703,1086,371,561,367,771,267,1087,707,757,1114,98,110,745,682,310
287,438,312,1371,509,1742,950,1033,424,561,367,711,295,1117,698,731,1245,195,73,772,679,301
299,438,312,1332,524,1731,871,1144,427,561,367,711,328,1123,675,712,1385,242,72,711,693,301
326,440,312,1318,530,1697,905,1112,464,564,351,727,393,1057,675,619,1423,220,80,687,680,301
370,440,286,1241,572,1406,1257,1029,542,569,339,739,405,1209,561,619,1423,229,61,708,679,301
518,471,267,1213,619,1228,1400,1060,544,571,333,745,430,1209,497,619,1423,229,49,726,679,315
525,469,198,1279,624,1123,1421,1025,663,571,322,756,465,1209,472,685,1450,229,53,667,600,319
432,422,324,1151,758,1132,1411,742,956,571,311,767,466,1288,468,685,1519,229,160,666,499,288
403,409,366,1058,841,1141,1412,731,967,571,311,739,498,1271,518,678,1475,229,183,666,460,288
402,409,367,1020,875,1144,1413,492,1206,547,330,711,750,1253,482,661,1211,227,183,666,523,288
402,409,364,782,1048,1209,1416,492,1196,557,330,646,809,1157,506,663,1097,427,172,666,453,225
401,410,262,550,1354,1188,1465,492,1155,598,330,634,818,1123,542,668,1069,517,177,666,482,197
