Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
1090,701,1079,1164,1012,646,299,462,1314,425,846,1184,454,734,1261,482,1268,710,867,652,836,479
912,888,1079,1164,1012,564,366,477,1166,573,799,1170,454,753,1249,482,1268,729,878,652,641,350
920,888,953,902,1400,525,404,423,1101,693,555,1373,446,753,1249,482,1227,679,860,631,641,350
920,888,316,1349,1590,499,430,423,1016,778,526,1402,315,723,1249,576,1209,668,842,631,539,350
920,587,607,1303,1646,370,559,423,858,936,518,1397,335,723,1249,573,1209,590,772,631,518,350
920,587,604,1305,1647,370,559,423,857,937,515,1380,323,723,1247,573,1096,256,771,631,537,382
889,574,646,1209,1745,370,559,421,858,925,528,1336,322,698,1206,573,1100,255,771,629,654,388
882,573,650,1194,1764,349,580,387,828,989,528,1336,349,663,1386,573,1081,312,527,628,620,388
891,523,702,1191,1767,300,629,373,799,1032,528,1336,418,599,1387,556,1079,312,434,575,562,388
891,523,702,1155,1803,300,629,364,678,1146,544,1336,667,458,1212,556,1079,312,358,575,539,388
891,482,740,1158,1603,500,626,367,661,1162,545,1336,728,458,858,556,1079,479,358,586,549,390
891,479,724,1170,1587,523,615,378,661,1162,545,1316,763,458,839,556,1079,489,184,596,453,400
891,464,645,1189,1658,527,561,432,534,1289,545,1275,763,458,763,556,1079,530,118,613,427,250
889,465,646,1178,1669,527,561,432,471,1352,545,1275,699,458,812,556,1155,530,174,652,456,244
889,465,646,1131,1649,594,561,421,248,1460,668,1248,706,458,825,556,1253,530,193,825,456,285
889,465,632,1145,1649,594,561,417,218,1491,670,1180,767,458,959,455,1302,544,381,842,456,369
985,421,509,1312,1649,594,473,408,313,1493,670,931,962,458,959,455,1264,549,630,842,456,399
1082,421,509,1312,1647,596,473,343,338,1533,658,882,951,443,959,381,1190,440,609,842,456,399
1090,421,509,1312,1647,596,473,335,346,1533,608,896,986,501,988,396,1257,434,613,842,509,410
1090,385,545,1312,1647,596,473,303,377,1452,690,896,1014,505,989,432,1091,429,677,842,512,481
1042,345,633,1312,1637,606,473,283,397,1449,693,896,1034,478,951,458,1033,420,682,842,518,627
780,612,633,1312,1299,944,473,283,389,1434,562,1043,1040,500,770,476,1065,420,682,842,537,517
716,722,633,1282,1296,977,473,275,395,1355,504,1121,1040,490,718,476,1065,425,683,843,551,517
710,731,633,1247,1326,980,459,243,441,1329,511,947,1066,490,717,568,1065,476,683,842,551,518
533,908,633,1247,1326,900,539,208,476,1329,478,977,1184,237,717,694,1065,447,683,511,420,491
531,868,675,1247,1309,871,585,208,476,1316,491,942,1170,239,717,740,1052,446,683,398,414,491
839,873,675,1246,1269,841,639,219,482,1316,478,927,1373,229,689,740,649,446,683,368,425,491
839,896,675,1079,1414,765,657,299,472,1307,497,907,1402,229,689,739,420,446,683,368,456,491
863,905,675,1079,1372,805,654,304,471,1292,513,901,1397,229,720,646,428,446,683,367,478,491
865,962,675,1079,1298,879,647,298,476,1300,424,990,1380,229,722,648,491,446,680,317,552,491
749,1078,675,1079,1245,932,647,297,462,1315,424,964,1336,245,634,650,491,456,680,275,624,491
715,1090,701,1079,1164,1012,646,299,462,1314,425,846,1336,270,634,650,491,379,655,280,645,491
713,912,888,1079,1164,1012,564,366,477,1166,573,799,1336,251,727,650,491,360,715,323,618,491
709,920,888,953,902,1400,525,404,423,1101,693,555,1336,251,762,650,491,360,747,383,757,491
890,920,888,316,1349,1590,499,430,423,1016,778,526,1336,251,762,556,510,374,752,424,746,491
1136,920,587,607,1303,1646,370,559,423,858,936,518,1316,251,762,556,510,375,784,477,743,491
1144,920,587,604,1305,1647,370,559,423,857,937,515,1275,255,799,558,511,375,934,481,724,459
1214,889,574,646,1209,1745,370,559,421,858,925,528,1275,279,730,600,515,375,995,481,643,453
1352,882,573,650,1194,1764,349,580,387,828,989,528,1248,279,526,605,515,318,990,483,638,453
1470,891,523,702,1191,1767,300,629,373,799,1032,528,1180,279,525,605,515,318,977,476,598,453
1507,891,523,702,1155,1803,300,629,364,678,1146,544,931,279,512,605,679,318,969,476,715,453
1507,891,482,740,1158,1603,500,626,367,661,1162,545,882,283,511,605,682,151,976,465,713,473
1507,891,479,724,1170,1587,523,615,378,661,1162,545,896,295,507,605,702,380,977,455,753,471
