Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
1417,92,621,1412,1456,740,709,1046,334,117,997
1417,92,604,1429,1456,758,640,1046,461,117,940
1311,198,534,1499,1456,660,433,1046,461,208,936
1261,279,510,1523,1346,649,224,1131,465,222,931
1204,370,510,1519,1341,649,222,1123,488,222,938
1278,370,475,1509,1341,649,295,1161,504,356,947
1250,398,475,1499,1341,649,208,1161,517,364,944
1235,413,475,1315,1213,649,299,1120,523,364,858
1220,433,475,1308,1191,556,291,1108,510,364,857
1237,444,475,1281,1288,468,291,1240,474,353,857
1290,479,475,1146,1338,468,291,1240,476,666,857
1175,638,475,1031,941,468,291,1234,476,678,832
1213,724,475,1008,941,468,291,1230,476,748,811
1267,724,469,870,1017,468,305,983,367,733,789
1230,762,419,920,1114,468,326,713,367,733,725
1122,902,384,955,929,343,326,713,367,733,725
1173,903,347,992,898,339,327,683,367,733,607
1266,903,347,992,879,338,423,645,351,733,603
1383,903,132,1207,866,323,423,645,339,733,609
1425,903,128,1211,842,323,444,555,333,733,610
1448,951,107,1219,933,325,444,555,322,733,618
1409,1112,102,1224,803,326,444,555,311,757,585
1376,1159,102,1179,782,326,444,555,311,791,584
1399,1177,102,1076,782,376,444,555,330,791,568
1401,1183,83,976,681,334,444,458,330,791,551
1398,1123,136,972,656,392,431,484,330,793,405
1374,1195,107,954,642,456,484,523,340,793,486
1320,1443,66,831,591,505,587,549,408,791,717
1495,1443,66,740,591,505,568,537,492,781,717
1529,1443,66,706,591,493,606,611,474,754,896
1589,1419,90,621,608,507,548,594,415,772,883
1618,1417,92,621,624,759,548,570,406,929,667
1618,1417,92,604,625,772,623,570,270,937,887
1713,1311,198,534,629,848,671,570,270,846,920
1689,1261,279,510,629,848,695,481,274,832,1176
1656,1204,370,510,629,848,705,481,465,854,1208
1583,1278,370,475,629,848,634,443,449,721,1211
1591,1250,398,475,629,848,614,443,436,759,1219
1593,1235,413,475,629,848,523,442,524,1039,1328
1588,1220,433,475,629,848,523,442,538,1156,1364
1560,1237,444,475,532,847,523,274,541,1165,1402
1472,1290,479,475,482,847,523,281,539,848,1415
1428,1175,638,475,482,847,525,281,561,834,1415
1304,1213,724,475,482,957,661,217,561,820,1415
1307,1267,724,469,367,957,715,217,561,890,1415
1382,1230,762,419,219,1024,724,232,561,893,1415
1417,1122,902,384,219,1024,776,392,561,893,1415
1369,1173,903,347,223,1024,775,392,561,893,1412
1313,1266,903,347,223,1027,679,392,564,909,1562
1197,1383,903,132,223,1076,679,396,569,909,1588
1155,1425,903,128,223,1093,681,398,571,909,1596
1084,1448,951,107,82,1091,689,471,571,909,1758
962,1409,1112,102,88,1134,689,493,571,885,1816
992,1376,1159,102,124,1273,689,493,571,851,1837
995,1399,1177,102,124,1657,689,493,547,851,1971
987,1401,1183,83,122,1456,689,532,557,851,1971
984,1398,1123,136,122,1398,689,506,598,849,1971
936,1374,1195,107,134,1334,636,467,605,849,1934
834,1320,1443,66,188,1285,533,441,600,853,1703
659,1495,1443,66,222,1286,525,417,555,902,1703
625,1529,1443,66,501,1252,506,322,593,930,1461
565,1589,1419,90,482,1297,506,322,577,947,1434
840,1618,1417,92,465,1045,506,322,594,856,1425
881,1618,1417,92,465,1055,454,322,594,1001,1209
810,1713,1311,198,461,1007,406,322,596,1002,1205
899,1689,1261,279,475,1007,382,322,622,1003,949
907,1656,1204,370,531,1007,499,322,466,993,910
906,1583,1278,370,612,1019,497,322,469,992,898
903,1591,1250,398,617,1032,567,322,467,946,890
901,1593,1235,413,713,1135,654,322,373,666,781
901,1588,1220,433,831,1249,682,322,359,549,745
952,1560,1237,444,832,1249,682,322,356,540,707
1009,1472,1290,479,834,1249,863,315,356,589,694
1035,1428,1175,638,1012,1249,900,494,334,551,694
1035,1304,1213,724,1021,1139,995,623,334,525,807
1028,1307,1267,724,1044,1160,927,623,363,458,967
963,1382,1230,762,1062,1093,1010,608,371,455,1123
974,1417,1122,902,1132,1093,982,448,424,455,1123
1304,1369,1173,903,1113,1093,982,448,427,455,1123
1268,1313,1266,903,1113,1092,983,448,464,439,973
1267,1197,1383,903,1363,1044,1022,444,542,439,941
1267,1155,1425,903,1469,1087,1097,442,544,439,924
1267,1084,1448,951,1553,1087,1112,369,663,439,820
1267,962,1409,1112,1539,1043,1124,347,956,439,774
1223,992,1376,1159,1666,904,1221,356,967,439,754
1179,995,1399,1177,1748,470,1249,506,1206,439,620
1179,987,1401,1183,1748,469,1278,473,1196,454,620
1179,984,1398,1123,1748,469,1278,473,1155,469,620
1179,936,1374,1195,1736,469,1278,473,1138,469,678
1087,834,1320,1443,1682,469,1278,473,1075,465,793
1196,659,1495,1443,1670,468,1271,473,1055,527,794
1202,625,1529,1443,1391,468,1252,473,1043,569,799
1207,565,1589,1419,1391,409,1252,473,1043,535,799
912,840,1618,1417,1391,409,1252,482,1024,647,987
871,881,1618,1417,1390,354,1229,629,1024,519,982
847,810,1713,1311,1390,326,1229,629,1022,545,953
751,899,1689,1261,1376,327,1229,629,989,574,953
771,907,1656,1204,1320,658,1233,658,1126,568,953
772,906,1583,1278,1239,759,1239,658,1123,575,953
767,903,1591,1250,1234,776,1167,658,1123,577,963
767,901,1593,1235,1138,673,1081,658,1123,709,963
767,901,1588,1220,1020,560,1053,658,1123,711,963
716,952,1560,1237,1022,610,1056,658,1123,794,966
659,1009,1472,1290,1020,652,875,658,1123,782,1150
710,1035,1428,1175,867,652,836,479,1123,778,1162
729,1035,1304,1213,878,652,641,350,1123,745,1050
679,1028,1307,1267,860,631,641,350,1094,1020,917
668,963,1382,1230,842,631,539,350,1086,1022,800
590,974,1417,1122,772,631,518,350,1033,1024,800
256,1304,1369,1173,771,631,537,382,1144,1024,802
255,1268,1313,1266,771,629,654,388,1112,1024,802
312,1267,1197,1383,527,628,620,388,1029,1024,805
312,1267,1155,1425,434,575,562,388,1060,1024,805
312,1267,1084,1448,358,575,539,388,1025,1123,723
479,1267,962,1409,358,586,549,390,742,1123,713
489,1223,992,1376,184,596,453,400,731,1123,910
530,1179,995,1399,118,613,427,250,492,1158,912
530,1179,987,1401,174,652,456,244,492,1143,1092
530,1179,984,1398,193,825,456,285,492,1203,1102
544,1179,936,1374,381,842,456,369,492,1372,1062
549,1087,834,1320,630,842,456,399,493,1419,947
440,1196,659,1495,609,842,456,399,474,1309,946
434,1202,625,1529,613,842,509,410,502,1241,993
429,1207,565,1589,677,842,512,481,515,1272,993
420,912,840,1618,682,842,518,627,515,1114,805
420,871,881,1618,682,842,537,517,515,1096,979
425,847,810,1713,683,843,551,517,515,1069,1110
476,751,899,1689,683,842,551,518,514,1039,1216
447,771,907,1656,683,511,420,491,319,1034,1221
446,772,906,1583,683,398,414,491,337,1027,1221
446,767,903,1591,683,368,425,491,340,1025,1211
446,767,901,1593,683,368,456,491,340,901,1211
446,767,901,1588,683,367,478,491,370,904,1259
446,716,952,1560,680,317,552,491,496,821,1263
456,659,1009,1472,680,275,624,491,550,784,1079
379,710,1035,1428,655,280,645,491,581,819,1160
360,729,1035,1304,715,323,618,491,581,819,1174
360,679,1028,1307,747,383,757,491,596,541,1147
374,668,963,1382,752,424,746,491,703,553,1108
375,590,974,1417,784,477,743,491,950,552,1108
375,256,1304,1369,934,481,724,459,871,598,1137
375,255,1268,1313,995,481,643,453,905,616,1137
318,312,1267,1197,990,483,638,453,1257,616,1147
318,312,1267,1155,977,476,598,453,1400,616,1147
318,312,1267,1084,969,476,715,453,1421,529,1133
151,479,1267,962,976,465,713,473,1411,530,1138
380,489,1223,992,977,455,753,471,1412,530,941
352,530,1179,995,961,438,753,517,1413,495,1098
352,530,1179,987,928,493,695,703,1416,519,952
352,530,1179,984,927,338,713,671,1465,444,1081
338,544,1179,936,739,402,766,647,1651,275,1073
333,549,1087,834,490,471,839,640,1702,228,1128
333,440,1196,659,489,522,848,640,1720,227,1134
333,434,1202,625,485,547,795,629,1666,225,1205
406,429,1207,565,421,547,834,558,1716,247,1292
409,420,912,840,416,552,828,403,1739,356,1391
509,420,871,881,423,552,810,366,1857,502,1271
615,425,847,810,422,561,842,366,1886,505,1161
592,476,751,899,422,561,852,365,2073,505,1055
624,447,771,907,485,563,852,363,2089,504,1050
624,446,772,906,485,573,854,381,2072,527,1195
680,446,767,903,565,573,843,381,2111,527,1247
690,446,767,901,580,573,811,418,2138,520,1252
690,446,767,901,580,647,789,418,2154,515,1231
690,446,716,952,628,665,715,496,2127,515,1226
680,456,659,1009,636,680,651,555,2080,515,1235
680,379,710,1035,695,675,742,561,2049,480,1142
826,360,729,1035,697,632,733,563,2049,480,1159
832,360,679,1028,758,572,594,563,2034,479,1172
856,374,668,963,782,539,607,563,1984,465,1242
855,375,590,974,776,486,619,565,1742,535,1354
873,375,256,1304,885,482,629,592,1731,494,1467
873,375,255,1268,851,520,592,592,1697,512,1467
893,318,312,1267,927,518,592,624,1406,551,1550
937,318,312,1267,929,542,616,673,1228,611,1616
946,318,312,1267,929,569,499,717,1123,631,1650
946,151,479,1267,947,593,481,695,1132,631,1643
716,380,489,1223,946,593,440,680,1141,713,1642
707,352,530,1179,947,593,438,678,1144,796,1483
826,352,530,1179,924,499,457,501,1209,788,1503
1158,352,530,1179,906,607,452,492,1188,801,1409
1221,338,544,1179,993,619,399,432,1005,812,1355
1252,333,549,1087,1105,666,326,409,953,856,1303
1270,333,440,1196,1122,671,317,409,935,898,1297
1373,333,434,1202,1128,668,317,409,935,898,1228
1403,406,429,1207,1196,668,275,409,872,844,1244
1452,409,420,912,1279,699,275,409,849,715,1164
1500,509,420,871,1278,699,274,409,731,562,1110
1412,615,425,847,1278,689,228,409,702,559,1242
1394,592,476,751,1320,689,218,415,515,559,1276
1362,624,447,771,1292,687,218,433,504,559,1290
1362,624,446,772,1293,677,216,549,504,536,1181
1306,680,446,767,1213,677,216,648,469,536,1251
1296,690,446,767,1198,689,216,612,479,535,1263
1296,690,446,767,1242,680,272,612,437,535,1249
1296,690,446,716,1194,667,356,534,338,535,1247
1296,680,456,659,1186,660,440,475,331,535,1271
1296,680,379,710,1127,680,344,477,331,537,1272
1150,826,360,729,1045,680,344,574,387,537,1240
1144,832,360,679,947,680,344,587,412,552,1227
1106,856,374,668,918,672,346,587,511,564,1157
1106,855,375,590,892,672,365,608,509,493,1046
1088,873,375,256,633,672,402,581,524,496,903
1088,873,375,255,606,634,419,585,530,547,962
1090,893,318,312,529,642,419,553,572,508,918
1047,937,318,312,527,645,395,588,619,496,884
1040,946,318,312,527,629,411,567,624,609,854
1108,946,151,479,502,606,411,567,758,763,869
1111,716,380,489,627,640,411,565,841,681,869
1108,707,352,530,705,704,433,521,875,598,870
989,826,352,530,803,721,441,521,1048,582,946
657,1158,352,530,832,595,428,522,1354,569,939
610,1221,338,544,757,502,433,522,1398,558,948
580,1252,333,549,714,386,433,522,1532,514,1147
667,1270,333,440,707,336,485,538,1532,472,1391
588,1373,333,434,777,314,485,576,1532,472,1343
546,1403,406,429,709,314,486,577,1532,472,1240
497,1452,409,420,704,278,517,660,1532,472,1221
389,1500,509,420,706,278,517,683,1532,472,1222
367,1412,615,425,735,278,532,703,1532,472,1104
411,1394,592,476,731,319,538,901,1532,472,1070
430,1362,624,447,698,319,578,1050,1527,472,1056
430,1362,624,446,704,319,578,1017,1528,472,1020
434,1306,680,446,712,319,578,985,1521,472,898
448,1296,690,446,712,307,578,1026,1493,507,881
