Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
1340,961,832,597,776,904,840,465,1045,506,322,594
1197,1062,971,597,743,864,881,465,1055,454,322,594
1194,1071,1021,605,704,879,810,461,1007,406,322,596
1191,1074,1004,605,663,879,899,475,1007,382,322,622
1106,1159,1004,522,832,874,907,531,1007,499,322,466
906,1215,997,433,855,828,906,612,1019,497,322,469
610,1508,977,777,810,877,903,617,1032,567,322,467
459,1592,980,777,935,880,901,713,1135,654,322,373
443,1614,980,885,935,880,901,831,1249,682,322,359
438,1609,854,1024,935,888,952,832,1249,682,322,356
437,1480,725,1110,935,869,1009,834,1249,863,315,356
437,1480,710,1225,830,865,1035,1012,1249,900,494,334
437,1479,705,1237,811,864,1035,1021,1139,995,623,334
445,1462,700,1237,793,839,1028,1044,1160,927,623,363
551,1281,728,1237,790,812,963,1062,1093,1010,608,371
551,1247,714,1199,793,809,974,1132,1093,982,448,424
604,1246,712,1196,735,922,1304,1113,1093,982,448,427
605,1246,718,1302,538,922,1268,1113,1092,983,448,464
608,1178,753,1326,516,941,1267,1363,1044,1022,444,542
608,1178,805,1326,533,943,1267,1469,1087,1097,442,544
426,1360,861,1474,533,871,1267,1553,1087,1112,369,663
394,1392,822,1829,495,692,1267,1539,1043,1124,347,956
395,1390,822,1722,495,639,1223,1666,904,1221,356,967
357,1375,822,1777,490,639,1179,1748,470,1249,506,1206
421,1374,817,1787,490,639,1179,1748,469,1278,473,1196
397,1398,817,1784,490,639,1179,1748,469,1278,473,1155
396,1399,817,1784,591,627,1179,1736,469,1278,473,1138
396,1399,811,1761,552,685,1087,1682,469,1278,473,1075
407,1402,770,1761,626,687,1196,1670,468,1271,473,1055
296,1392,639,1719,816,473,1202,1391,468,1252,473,1043
290,1339,540,1658,819,683,1207,1391,409,1252,473,1043
287,1340,579,1696,819,741,912,1391,409,1252,482,1024
287,1197,440,1877,800,758,871,1390,354,1229,629,1024
281,1194,401,1921,800,713,847,1390,326,1229,629,1022
281,1191,402,1922,800,713,751,1376,327,1229,629,989
281,1106,656,1922,631,713,771,1320,658,1233,658,1126
342,906,642,1882,608,707,772,1239,759,1239,658,1123
383,610,651,1565,608,1057,767,1234,776,1167,658,1123
383,459,633,1565,389,1283,767,1138,673,1081,658,1123
390,443,633,1453,482,1283,767,1020,560,1053,658,1123
410,438,633,1379,482,1275,716,1022,610,1056,658,1123
454,437,676,1376,482,1274,659,1020,652,875,658,1123
454,437,734,1261,482,1268,710,867,652,836,479,1123
454,437,753,1249,482,1268,729,878,652,641,350,1123
446,445,753,1249,482,1227,679,860,631,641,350,1094
315,551,723,1249,576,1209,668,842,631,539,350,1086
335,551,723,1249,573,1209,590,772,631,518,350,1033
323,604,723,1247,573,1096,256,771,631,537,382,1144
322,605,698,1206,573,1100,255,771,629,654,388,1112
349,608,663,1386,573,1081,312,527,628,620,388,1029
418,608,599,1387,556,1079,312,434,575,562,388,1060
667,426,458,1212,556,1079,312,358,575,539,388,1025
728,394,458,858,556,1079,479,358,586,549,390,742
763,395,458,839,556,1079,489,184,596,453,400,731
763,357,458,763,556,1079,530,118,613,427,250,492
699,421,458,812,556,1155,530,174,652,456,244,492
706,397,458,825,556,1253,530,193,825,456,285,492
767,396,458,959,455,1302,544,381,842,456,369,492
962,396,458,959,455,1264,549,630,842,456,399,493
951,407,443,959,381,1190,440,609,842,456,399,474
986,296,501,988,396,1257,434,613,842,509,410,502
1014,290,505,989,432,1091,429,677,842,512,481,515
1034,287,478,951,458,1033,420,682,842,518,627,515
1040,287,500,770,476,1065,420,682,842,537,517,515
1040,281,490,718,476,1065,425,683,843,551,517,515
1066,281,490,717,568,1065,476,683,842,551,518,514
1184,281,237,717,694,1065,447,683,511,420,491,319
1170,342,239,717,740,1052,446,683,398,414,491,337
1373,383,229,689,740,649,446,683,368,425,491,340
1402,383,229,689,739,420,446,683,368,456,491,340
1397,390,229,720,646,428,446,683,367,478,491,370
1380,410,229,722,648,491,446,680,317,552,491,496
1336,454,245,634,650,491,456,680,275,624,491,550
1336,454,270,634,650,491,379,655,280,645,491,581
1336,454,251,727,650,491,360,715,323,618,491,581
1336,446,251,762,650,491,360,747,383,757,491,596
1336,315,251,762,556,510,374,752,424,746,491,703
1316,335,251,762,556,510,375,784,477,743,491,950
1275,323,255,799,558,511,375,934,481,724,459,871
1275,322,279,730,600,515,375,995,481,643,453,905
1248,349,279,526,605,515,318,990,483,638,453,1257
1180,418,279,525,605,515,318,977,476,598,453,1400
931,667,279,512,605,679,318,969,476,715,453,1421
882,728,283,511,605,682,151,976,465,713,473,1411
896,763,295,507,605,702,380,977,455,753,471,1412
896,763,295,523,605,760,352,961,438,753,517,1413
896,699,295,531,605,734,352,928,493,695,703,1416
1043,706,299,518,639,689,352,927,338,713,671,1465
1121,767,310,385,684,637,338,739,402,766,647,1651
947,962,336,406,761,611,333,490,471,839,640,1702
977,951,369,423,942,609,333,489,522,848,640,1720
942,986,311,394,771,542,333,485,547,795,629,1666
927,1014,306,519,740,505,406,421,547,834,558,1716
907,1034,293,627,806,506,409,416,552,828,403,1739
901,1040,271,708,788,457,509,423,552,810,366,1857
990,1040,270,804,845,569,615,422,561,842,366,1886
964,1066,269,858,797,618,592,422,561,852,365,2073
846,1184,268,1013,671,668,624,485,563,852,363,2089
799,1170,266,1046,628,674,624,485,573,854,381,2072
555,1373,266,1134,629,674,680,565,573,843,381,2111
526,1402,266,1138,639,674,690,580,573,811,418,2138
518,1397,266,1108,642,670,690,580,647,789,418,2154
515,1380,266,1034,802,634,690,628,665,715,496,2127
528,1336,207,1034,955,634,680,636,680,651,555,2080
528,1336,126,1035,955,640,680,695,675,742,561,2049
