Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
941,1588,609,594,782,409,373,326,190,622
924,1596,610,523,860,410,406,326,178,622
820,1758,618,557,785,485,730,326,236,660
774,1816,585,590,707,563,731,326,263,763
754,1837,584,591,698,572,731,326,401,804
620,1971,568,607,675,555,731,263,416,846
620,1971,551,624,675,527,731,263,473,900
620,1971,405,756,561,655,731,263,416,902
678,1934,486,756,497,719,731,236,656,902
793,1703,717,756,472,645,731,376,584,902
794,1703,717,756,468,598,715,486,583,902
799,1461,896,769,518,597,702,491,583,902
799,1434,883,809,482,493,664,534,583,902
987,1425,667,997,506,503,660,534,583,870
982,1209,887,940,542,525,645,598,586,860
953,1205,920,936,546,525,635,603,586,860
953,949,1176,931,551,525,575,626,586,860
953,910,1208,938,551,507,567,654,586,738
953,898,1211,947,551,506,567,655,586,700
963,890,1219,944,554,504,567,1015,651,678
963,781,1328,858,579,565,567,1042,679,614
963,745,1364,857,550,595,492,1138,679,624
966,707,1402,857,494,651,567,1149,679,624
1150,694,1415,857,450,673,495,1164,679,624
1162,694,1415,832,438,710,546,1164,678,624
1050,807,1415,811,389,780,488,1164,657,624
917,967,1415,789,409,781,489,1164,657,624
800,1123,1415,725,473,778,532,1164,657,569
800,1123,1415,725,470,781,579,1086,657,526
802,1123,1412,607,591,781,621,1056,657,525
802,973,1562,603,594,782,647,1055,656,521
805,941,1588,609,594,782,648,975,656,466
805,924,1596,610,523,860,630,975,656,466
723,820,1758,618,557,785,368,991,598,428
713,774,1816,585,590,707,380,1045,570,484
910,754,1837,584,591,698,411,1107,432,443
912,620,1971,568,607,675,554,1109,417,395
1092,620,1971,551,624,675,688,1140,347,341
1102,620,1971,405,756,561,705,1140,346,801
1062,678,1934,486,756,497,813,1200,96,801
947,793,1703,717,756,472,838,1041,96,801
946,794,1703,717,756,468,898,930,96,823
993,799,1461,896,769,518,899,924,96,838
993,799,1434,883,809,482,899,968,96,838
805,987,1425,667,997,506,899,968,276,838
979,982,1209,887,940,542,933,918,355,838
1110,953,1205,920,936,546,946,913,372,838
1216,953,949,1176,931,551,948,958,443,838
1221,953,910,1208,938,551,952,976,558,838
1221,953,898,1211,947,551,952,981,646,838
1211,963,890,1219,944,554,952,621,601,755
1211,963,781,1328,858,579,952,665,597,744
1259,963,745,1364,857,550,952,573,684,743
1263,966,707,1402,857,494,873,562,689,763
1079,1150,694,1415,857,450,873,578,689,807
1160,1162,694,1415,832,438,822,594,689,810
1174,1050,807,1415,811,389,822,594,689,834
1147,917,967,1415,789,409,834,594,689,926
1108,800,1123,1415,725,473,791,595,689,884
1108,800,1123,1415,725,470,829,651,689,880
1137,802,1123,1412,607,591,796,873,689,880
1137,802,973,1562,603,594,936,1187,689,874
1147,805,941,1588,609,594,944,1353,689,874
1147,805,924,1596,610,523,929,1417,689,876
1133,723,820,1758,618,557,867,1445,689,884
1138,713,774,1816,585,590,854,1765,689,744
941,910,754,1837,584,591,823,1795,689,816
1098,912,620,1971,568,607,748,1853,689,816
952,1092,620,1971,551,624,618,2031,689,831
1081,1102,620,1971,405,756,613,2130,689,398
1073,1062,678,1934,486,756,720,2088,689,402
1128,947,793,1703,717,756,696,2086,689,403
1134,946,794,1703,717,756,636,2089,718,502
1205,993,799,1461,896,769,663,2089,822,569
1292,993,799,1434,883,809,667,2008,1028,637
1391,805,987,1425,667,997,667,2008,849,671
1271,979,982,1209,887,940,636,2038,779,706
1161,1110,953,1205,920,936,657,2069,899,706
1055,1216,953,949,1176,931,677,2017,844,713
1050,1221,953,910,1208,938,691,1971,750,967
1195,1221,953,898,1211,947,691,1965,735,1073
1247,1211,963,890,1219,944,691,1966,717,1124
1252,1211,963,781,1328,858,693,1940,693,1124
1231,1259,963,745,1364,857,693,1956,611,1115
1226,1263,966,707,1402,857,698,1986,615,1095
1235,1079,1150,694,1415,857,700,1955,615,1051
1142,1160,1162,694,1415,832,700,1939,615,1176
1159,1174,1050,807,1415,811,705,1940,630,1176
1172,1147,917,967,1415,789,696,1940,673,1194
1242,1108,800,1123,1415,725,696,1939,675,1170
1354,1108,800,1123,1415,725,614,1883,675,1170
1467,1137,802,1123,1412,607,614,1661,675,1180
1467,1137,802,973,1562,603,470,1347,675,1188
1550,1147,805,941,1588,609,469,1181,675,1291
1616,1147,805,924,1596,610,469,1182,675,1291
1650,1133,723,820,1758,618,481,1139,694,1283
1643,1138,713,774,1816,585,481,765,743,1264
1642,941,910,754,1837,584,481,683,847,1259
1483,1098,912,620,1971,568,413,624,877,1266
1503,952,1092,620,1971,551,415,415,878,1254
1409,1081,1102,620,1971,405,414,316,977,1246
1355,1073,1062,678,1934,486,221,296,982,1303
1303,1128,947,793,1703,717,226,274,982,1349
1297,1134,946,794,1703,717,226,293,953,1252
1228,1205,993,799,1461,896,200,293,849,1170
1244,1292,993,799,1434,883,246,291,645,1102
1164,1391,805,987,1425,667,259,291,644,1068
1110,1271,979,982,1209,887,312,281,641,1033
1242,1161,1110,953,1205,920,291,255,571,1033
1276,1055,1216,953,949,1176,420,279,686,1026
1290,1050,1221,953,910,1208,695,330,714,772
1181,1195,1221,953,898,1211,816,343,642,719
1251,1247,1211,963,890,1219,847,355,644,668
1263,1252,1211,963,781,1328,850,311,644,668
1249,1231,1259,963,745,1364,850,295,639,668
1247,1226,1263,966,707,1402,864,265,753,723
1271,1235,1079,1150,694,1415,980,290,806,729
1272,1142,1160,1162,694,1415,1141,382,833,613
1240,1159,1174,1050,807,1415,1136,384,915,657
1227,1172,1147,917,967,1415,1132,384,990,549
1157,1242,1108,800,1123,1415,1132,385,988,561
1046,1354,1108,800,1123,1415,1139,385,990,665
903,1467,1137,802,1123,1412,1158,390,1051,655
962,1467,1137,802,973,1562,1317,393,1148,647
918,1550,1147,805,941,1588,1478,482,1192,544
884,1616,1147,805,924,1596,1559,516,1200,542
854,1650,1133,723,820,1758,1617,523,1182,542
869,1643,1138,713,774,1816,1620,523,1162,548
869,1642,941,910,754,1837,1625,513,1058,517
870,1483,1098,912,620,1971,1632,512,1041,512
946,1503,952,1092,620,1971,1633,512,1049,509
939,1409,1081,1102,620,1971,1622,543,1091,488
948,1355,1073,1062,678,1934,1600,590,1168,457
1147,1303,1128,947,793,1703,1671,633,1240,410
1391,1297,1134,946,794,1703,1671,611,1339,403
1343,1228,1205,993,799,1461,1691,611,1360,403
1240,1244,1292,993,799,1434,1641,628,1391,403
1221,1164,1391,805,987,1425,1668,665,1391,403
1222,1110,1271,979,982,1209,1615,680,1382,403
1104,1242,1161,1110,953,1205,1602,675,1315,403
1070,1276,1055,1216,953,949,1451,635,1184,403
1056,1290,1050,1221,953,910,1158,589,1135,403
1020,1181,1195,1221,953,898,1037,582,1141,350
898,1251,1247,1211,963,890,1006,588,1142,350
881,1263,1252,1211,963,781,1001,592,1169,350
868,1249,1231,1259,963,745,1001,590,1242,350
871,1247,1226,1263,966,707,982,607,1123,295
851,1271,1235,1079,1150,694,865,582,1160,315
863,1272,1142,1160,1162,694,705,490,1229,389
868,1240,1159,1174,1050,807,705,487,1139,321
954,1227,1172,1147,917,967,719,487,1021,319
1036,1157,1242,1108,800,1123,727,486,1021,346
1124,1046,1354,1108,800,1123,719,486,1019,244
1188,903,1467,1137,802,1123,691,486,962,248
1172,962,1467,1137,802,973,510,530,867,248
1200,918,1550,1147,805,941,341,526,823,250
1205,884,1616,1147,805,924,260,473,815,253
1197,854,1650,1133,723,820,199,536,814,253
1182,869,1643,1138,713,774,284,536,785,247
1182,869,1642,941,910,754,293,536,785,211
1181,870,1483,1098,912,620,286,536,772,209
1051,946,1503,952,1092,620,279,536,763,209
1036,939,1409,1081,1102,620,295,505,622,209
1092,948,1355,1073,1062,678,295,458,540,179
999,1147,1303,1128,947,793,219,438,468,185
839,1391,1297,1134,946,794,219,468,369,228
907,1343,1228,1205,993,799,220,519,348,228
956,1240,1244,1292,993,799,248,549,320,228
985,1221,1164,1391,805,987,301,514,320,228
987,1222,1110,1271,979,982,302,466,320,228
952,1104,1242,1161,1110,953,389,466,320,246
952,1070,1276,1055,1216,953,389,467,320,259
1144,1056,1290,1050,1221,953,411,462,320,380
1147,1020,1181,1195,1221,953,433,456,313,538
1147,898,1251,1247,1211,963,443,437,308,627
1147,881,1263,1252,1211,963,511,434,281,636
1157,868,1249,1231,1259,963,582,439,208,636
1154,871,1247,1226,1263,966,584,426,204,643
1141,851,1271,1235,1079,1150,700,457,114,790
1128,863,1272,1142,1160,1162,710,511,18,709
1123,868,1240,1159,1174,1050,710,581,11,717
1051,954,1227,1172,1147,917,696,640,20,731
980,1036,1157,1242,1108,800,688,720,44,692
924,1124,1046,1354,1108,800,686,733,44,703
859,1188,903,1467,1137,802,726,743,40,847
817,1172,962,1467,1137,802,754,696,38,1129
744,1200,918,1550,1147,805,754,611,38,1244
707,1205,884,1616,1147,805,754,565,38,1244
729,1197,854,1650,1133,723,844,494,59,1244
769,1182,869,1643,1138,713,807,546,60,1245
769,1182,869,1642,941,910,794,604,61,1245
820,1181,870,1483,1098,912,934,683,80,1299
897,1051,946,1503,952,1092,937,744,281,1321
874,1036,939,1409,1081,1102,921,761,322,1334
823,1092,948,1355,1073,1062,921,761,364,1334
753,999,1147,1303,1128,947,920,745,496,1328
727,839,1391,1297,1134,946,938,744,625,1268
670,907,1343,1228,1205,993,916,707,625,1268
668,956,1240,1244,1292,993,890,694,620,1268
708,985,1221,1164,1391,805,797,692,625,1268
758,987,1222,1110,1271,979,793,691,626,1268
780,952,1104,1242,1161,1110,706,691,628,1250
851,952,1070,1276,1055,1216,728,690,629,1253
717,1144,1056,1290,1050,1221,706,690,631,1133
723,1147,1020,1181,1195,1221,684,690,631,975
794,1147,898,1251,1247,1211,675,690,631,886
819,1147,881,1263,1252,1211,610,710,631,882
815,1157,868,1249,1231,1259,539,710,631,925
923,1154,871,1247,1226,1263,537,708,632,926
1135,1141,851,1271,1235,1079,420,705,635,753
1167,1128,863,1272,1142,1160,409,692,635,748
1219,1123,868,1240,1159,1174,410,648,655,759
1280,1051,954,1227,1172,1147,485,589,646,745
1305,980,1036,1157,1242,1108,563,525,622,757
1272,924,1124,1046,1354,1108,572,539,627,744
1285,859,1188,903,1467,1137,555,543,629,596
1404,817,1172,962,1467,1137,527,636,629,347
1400,744,1200,918,1550,1147,655,636,629,232
1400,707,1205,884,1616,1147,719,636,629,229
1378,729,1197,854,1650,1133,645,636,608,229
1338,769,1182,869,1643,1138,598,584,607,228
1355,769,1182,869,1642,941,597,533,650,228
1322,820,1181,870,1483,1098,493,473,895,177
1341,897,1051,946,1503,952,503,413,809,158
1375,874,1036,939,1409,1081,525,396,800,155
1426,823,1092,948,1355,1073,525,402,892,174
1424,753,999,1147,1303,1128,525,462,856,174
1374,727,839,1391,1297,1134,507,433,729,174
1441,670,907,1343,1228,1205,506,419,782,174
1452,668,956,1240,1244,1292,504,381,813,174
1384,708,985,1221,1164,1391,565,395,813,174
1331,758,987,1222,1110,1271,595,511,815,174
1309,780,952,1104,1242,1161,651,555,813,174
1336,851,952,1070,1276,1055,673,774,815,159
1330,717,1144,1056,1290,1050,710,787,926,158
1334,723,1147,1020,1181,1195,780,787,927,158
1263,794,1147,898,1251,1247,781,787,975,158
1263,819,1147,881,1263,1252,778,767,1042,153
1267,815,1157,868,1249,1231,781,762,1042,110
1161,923,1154,871,1247,1226,781,784,1119,102
952,1135,1141,851,1271,1235,782,789,1123,102
920,1167,1128,863,1272,1142,782,773,1123,102
868,1219,1123,868,1240,1159,860,773,1103,83
1064,1280,1051,954,1227,1172,785,773,1105,83
1087,1305,980,1036,1157,1242,707,757,1114,98
1117,1272,924,1124,1046,1354,698,731,1245,195
1123,1285,859,1188,903,1467,675,712,1385,242
1057,1404,817,1172,962,1467,675,619,1423,220
1209,1400,744,1200,918,1550,561,619,1423,229
1209,1400,707,1205,884,1616,497,619,1423,229
1209,1378,729,1197,854,1650,472,685,1450,229
1288,1338,769,1182,869,1643,468,685,1519,229
1271,1355,769,1182,869,1642,518,678,1475,229
1253,1322,820,1181,870,1483,482,661,1211,227
1157,1341,897,1051,946,1503,506,663,1097,427
1123,1375,874,1036,939,1409,542,668,1069,517
1058,1426,823,1092,948,1355,546,693,937,516
1021,1424,753,999,1147,1303,551,626,841,517
1013,1374,727,839,1391,1297,551,626,839,587
929,1441,670,907,1343,1228,551,675,786,617
871,1452,668,956,1240,1244,554,681,755,638
870,1384,708,985,1221,1164,579,673,750,653
870,1331,758,987,1222,1110,550,595,747,653
881,1309,780,952,1104,1242,494,551,747,653
787,1336,851,952,1070,1276,450,332,744,678
779,1330,717,1144,1056,1290,438,319,631,710
769,1334,723,1147,1020,1181,389,327,630,710
785,1263,794,1147,898,1251,409,368,582,849
760,1263,819,1147,881,1263,473,369,515,851
750,1267,815,1157,868,1249,470,367,515,927
748,1161,923,1154,871,1247,591,343,437,1054
745,952,1135,1141,851,1271,594,311,430,1054
745,920,1167,1128,863,1272,594,286,430,1054
745,868,1219,1123,868,1240,523,260,430,1054
474,1064,1280,1051,954,1227,557,260,448,1054
415,1087,1305,980,1036,1157,590,260,454,1027
385,1117,1272,924,1124,1046,591,259,369,930
366,1123,1285,859,1188,903,607,293,460,883
312,1057,1404,817,1172,962,624,293,430,872
157,1209,1400,744,1200,918,756,316,431,861
157,1209,1400,707,1205,884,756,316,553,861
159,1209,1378,729,1197,854,756,250,526,861
90,1288,1338,769,1182,869,756,285,513,861
117,1271,1355,769,1182,869,769,396,513,861
117,1253,1322,820,1181,870,809,443,513,860
117,1157,1341,897,1051,946,997,487,512,657
117,1123,1375,874,1036,939,940,488,512,557
208,1058,1426,823,1092,948,936,517,620,731
222,1021,1424,753,999,1147,931,540,620,866
222,1013,1374,727,839,1391,938,540,628,796
356,929,1441,670,907,1343,947,491,628,766
364,871,1452,668,956,1240,944,485,644,885
364,870,1384,708,985,1221,858,492,676,870
364,870,1331,758,987,1222,857,822,680,1077
353,881,1309,780,952,1104,857,822,732,1116
666,787,1336,851,952,1070,857,822,756,1090
678,779,1330,717,1144,1056,832,822,771,1092
748,769,1334,723,1147,1020,811,814,775,1310
733,785,1263,794,1147,898,789,773,776,1171
733,760,1263,819,1147,881,725,770,776,1178
733,750,1267,815,1157,868,725,779,776,1144
733,748,1161,923,1154,871,607,813,776,1098
733,745,952,1135,1141,851,603,812,776,1180
733,745,920,1167,1128,863,609,812,776,1410
733,745,868,1219,1123,868,610,812,776,1516
733,474,1064,1280,1051,954,618,812,764,1606
757,415,1087,1305,980,1036,585,930,749,1747
791,385,1117,1272,924,1124,584,1024,716,1843
791,366,1123,1285,859,1188,568,991,485,1843
791,312,1057,1404,817,1172,551,1016,477,1871
793,157,1209,1400,744,1200,405,1053,514,1911
793,157,1209,1400,707,1205,486,1053,410,1921
791,159,1209,1378,729,1197,717,1053,410,1989
781,90,1288,1338,769,1182,717,1018,354,2059
754,117,1271,1355,769,1182,896,907,354,2314
772,117,1253,1322,820,1181,883,858,354,2317
929,117,1157,1341,897,1051,667,1022,354,2322
937,117,1123,1375,874,1036,887,1062,410,2331
846,208,1058,1426,823,1092,920,1003,301,2139
832,222,1021,1424,753,999,1176,980,314,2003
854,222,1013,1374,727,839,1208,980,339,2003
721,356,929,1441,670,907,1211,980,356,2003
759,364,871,1452,668,956,1219,1190,360,1868
1039,364,870,1384,708,985,1328,1177,424,1868
1156,364,870,1331,758,987,1364,809,421,1766
1165,353,881,1309,780,952,1402,824,391,1727
848,666,787,1336,851,952,1415,824,454,1727
834,678,779,1330,717,1144,1415,824,543,1821
820,748,769,1334,723,1147,1415,824,540,1628
890,733,785,1263,794,1147,1415,824,539,1679
893,733,760,1263,819,1147,1415,824,539,1701
893,733,750,1267,815,1157,1415,826,539,1659
893,733,748,1161,923,1154,1412,792,539,1578
909,733,745,952,1135,1141,1562,792,552,1496
909,733,745,920,1167,1128,1588,792,552,1283
909,733,745,868,1219,1123,1596,792,552,1189
909,733,474,1064,1280,1051,1758,792,544,1099
885,757,415,1087,1305,980,1816,674,544,959
851,791,385,1117,1272,924,1837,580,526,863
851,791,366,1123,1285,859,1971,579,587,863
851,791,312,1057,1404,817,1971,554,587,848
849,793,157,1209,1400,744,1971,494,549,866
849,793,157,1209,1400,707,1934,494,560,866
853,791,159,1209,1378,729,1703,494,603,870
902,781,90,1288,1338,769,1703,510,604,801
930,754,117,1271,1355,769,1461,523,605,546
947,772,117,1253,1322,820,1434,561,605,543
856,929,117,1157,1341,897,1425,354,605,538
1001,937,117,1123,1375,874,1209,323,545,529
1002,846,208,1058,1426,823,1205,332,544,529
