Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2
1803,300,629,364,678,1146,544,1336,446,445,1462,970,926,402
1603,500,626,367,661,1162,545,1336,315,551,1281,1165,770,402
1587,523,615,378,661,1162,545,1316,335,551,1247,1083,701,402
1658,527,561,432,534,1289,545,1275,323,604,1246,1084,700,402
1669,527,561,432,471,1352,545,1275,322,605,1246,1084,700,364
1649,594,561,421,248,1460,668,1248,349,608,1178,1152,701,356
1649,594,561,417,218,1491,670,1180,418,608,1178,1152,704,435
1649,594,473,408,313,1493,670,931,667,426,1360,1152,472,435
1647,596,473,343,338,1533,658,882,728,394,1392,1152,754,435
1647,596,473,335,346,1533,608,896,763,395,1390,1154,772,488
1647,596,473,303,377,1452,690,896,763,357,1375,1206,695,488
1637,606,473,283,397,1449,693,896,699,421,1374,1207,708,528
1299,944,473,283,389,1434,562,1043,706,397,1398,1162,750,630
1296,977,473,275,395,1355,504,1121,767,396,1399,1159,748,633
1326,980,459,243,441,1329,511,947,962,396,1399,1159,717,648
1326,900,539,208,476,1329,478,977,951,407,1402,877,717,611
1309,871,585,208,476,1316,491,942,986,296,1392,980,819,674
1269,841,639,219,482,1316,478,927,1014,290,1339,1038,822,674
1414,765,657,299,472,1307,497,907,1034,287,1340,961,889,711
1372,805,654,304,471,1292,513,901,1040,287,1197,1062,889,698
1298,879,647,298,476,1300,424,990,1040,281,1194,1071,857,690
1245,932,647,297,462,1315,424,964,1066,281,1191,1074,963,726
1164,1012,646,299,462,1314,425,846,1184,281,1106,1159,960,741
1164,1012,564,366,477,1166,573,799,1170,342,906,1215,954,760
902,1400,525,404,423,1101,693,555,1373,383,610,1508,970,754
1349,1590,499,430,423,1016,778,526,1402,383,459,1592,1165,864
1303,1646,370,559,423,858,936,518,1397,390,443,1614,1083,811
1305,1647,370,559,423,857,937,515,1380,410,438,1609,1084,1097
1209,1745,370,559,421,858,925,528,1336,454,437,1480,1084,1101
