Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
958,866,500,797,574,645,1316,955,556,576,790,893,1100,1409,803
953,871,373,790,708,634,1323,959,556,573,793,892,1063,1376,782
931,893,311,807,708,602,1214,1143,558,573,735,881,1044,1399,782
852,972,289,784,749,549,1217,1155,600,573,538,888,977,1401,681
724,1100,228,816,778,549,1180,1187,605,573,516,888,906,1398,656
716,1106,198,821,804,519,1209,1189,605,556,533,888,906,1374,642
716,1096,190,645,982,535,1049,1349,605,556,533,888,1077,1320,591
716,1008,275,628,935,468,1079,1453,605,556,495,888,1153,1495,591
716,947,276,688,931,417,1040,1547,605,556,495,888,1138,1529,591
716,947,267,697,910,351,1127,1547,605,556,490,888,1138,1589,608
716,947,228,736,901,357,1119,1558,605,556,490,898,916,1618,624
462,940,486,739,816,441,1106,1538,639,556,490,892,870,1618,625
462,919,507,700,692,604,1050,1549,684,455,591,896,895,1713,629
319,1062,507,700,689,607,1049,1473,761,455,552,933,895,1689,629
340,1073,533,725,652,644,974,1367,942,381,626,888,900,1656,629
378,1164,533,725,652,644,919,1388,771,396,816,694,967,1583,629
344,1100,632,725,652,641,886,1416,740,432,819,655,971,1591,629
315,1129,632,725,652,641,802,1408,806,458,819,750,883,1593,629
319,1129,626,731,652,628,798,1425,788,476,800,750,883,1588,629
299,1151,627,735,652,621,706,1467,845,476,800,750,805,1560,532
304,1151,627,735,651,622,692,1437,797,568,800,366,808,1472,482
304,1151,627,735,651,622,691,1438,671,694,631,471,765,1428,482
238,1151,693,735,651,601,709,1438,628,740,608,490,766,1304,482
238,1151,693,735,632,620,709,1437,629,740,608,508,832,1307,367
231,1158,693,735,625,627,709,1427,639,739,389,511,820,1382,219
267,1160,693,732,628,562,774,1424,642,646,482,498,821,1417,219
272,1160,693,552,782,517,845,1262,802,648,482,508,821,1369,223
276,1160,693,475,820,556,845,1107,955,650,482,705,793,1313,223
276,1160,693,471,824,556,840,1112,955,650,482,727,793,1197,223
276,1160,693,471,824,556,833,1119,955,650,482,727,793,1155,223
317,1088,765,471,804,570,815,1143,955,650,482,711,622,1084,82
317,958,866,500,797,574,645,1316,955,556,576,749,801,962,88
447,953,871,373,790,708,634,1323,959,556,573,749,854,992,124
468,931,893,311,807,708,602,1214,1143,558,573,754,854,995,124
468,852,972,289,784,749,549,1217,1155,600,573,747,854,987,122
471,724,1100,228,816,778,549,1180,1187,605,573,747,854,984,122
471,716,1106,198,821,804,519,1209,1189,605,556,747,869,936,134
494,716,1096,190,645,982,535,1049,1349,605,556,786,704,834,188
494,716,1008,275,628,935,468,1079,1453,605,556,786,690,659,222
536,716,947,276,688,931,417,1040,1547,605,556,786,904,625,501
597,716,947,267,697,910,351,1127,1547,605,556,786,904,565,482
597,716,947,228,736,901,357,1119,1558,605,556,776,904,840,465
597,462,940,486,739,816,441,1106,1538,639,556,743,864,881,465
605,462,919,507,700,692,604,1050,1549,684,455,704,879,810,461
605,319,1062,507,700,689,607,1049,1473,761,455,663,879,899,475
522,340,1073,533,725,652,644,974,1367,942,381,832,874,907,531
433,378,1164,533,725,652,644,919,1388,771,396,855,828,906,612
777,344,1100,632,725,652,641,886,1416,740,432,810,877,903,617
777,315,1129,632,725,652,641,802,1408,806,458,935,880,901,713
885,319,1129,626,731,652,628,798,1425,788,476,935,880,901,831
1024,299,1151,627,735,652,621,706,1467,845,476,935,888,952,832
1110,304,1151,627,735,651,622,692,1437,797,568,935,869,1009,834
1225,304,1151,627,735,651,622,691,1438,671,694,830,865,1035,1012
1237,238,1151,693,735,651,601,709,1438,628,740,811,864,1035,1021
1237,238,1151,693,735,632,620,709,1437,629,740,793,839,1028,1044
1237,231,1158,693,735,625,627,709,1427,639,739,790,812,963,1062
1199,267,1160,693,732,628,562,774,1424,642,646,793,809,974,1132
1196,272,1160,693,552,782,517,845,1262,802,648,735,922,1304,1113
1302,276,1160,693,475,820,556,845,1107,955,650,538,922,1268,1113
1326,276,1160,693,471,824,556,840,1112,955,650,516,941,1267,1363
1326,276,1160,693,471,824,556,833,1119,955,650,533,943,1267,1469
1474,317,1088,765,471,804,570,815,1143,955,650,533,871,1267,1553
1829,317,958,866,500,797,574,645,1316,955,556,495,692,1267,1539
1722,447,953,871,373,790,708,634,1323,959,556,495,639,1223,1666
1777,468,931,893,311,807,708,602,1214,1143,558,490,639,1179,1748
1787,468,852,972,289,784,749,549,1217,1155,600,490,639,1179,1748
1784,471,724,1100,228,816,778,549,1180,1187,605,490,639,1179,1748
1784,471,716,1106,198,821,804,519,1209,1189,605,591,627,1179,1736
1761,494,716,1096,190,645,982,535,1049,1349,605,552,685,1087,1682
1761,494,716,1008,275,628,935,468,1079,1453,605,626,687,1196,1670
1719,536,716,947,276,688,931,417,1040,1547,605,816,473,1202,1391
1658,597,716,947,267,697,910,351,1127,1547,605,819,683,1207,1391
1696,597,716,947,228,736,901,357,1119,1558,605,819,741,912,1391
1877,597,462,940,486,739,816,441,1106,1538,639,800,758,871,1390
1921,605,462,919,507,700,692,604,1050,1549,684,800,713,847,1390
1922,605,319,1062,507,700,689,607,1049,1473,761,800,713,751,1376
1922,522,340,1073,533,725,652,644,974,1367,942,631,713,771,1320
1882,433,378,1164,533,725,652,644,919,1388,771,608,707,772,1239
1565,777,344,1100,632,725,652,641,886,1416,740,608,1057,767,1234
1565,777,315,1129,632,725,652,641,802,1408,806,389,1283,767,1138
1453,885,319,1129,626,731,652,628,798,1425,788,482,1283,767,1020
1379,1024,299,1151,627,735,652,621,706,1467,845,482,1275,716,1022
1376,1110,304,1151,627,735,651,622,692,1437,797,482,1274,659,1020
1261,1225,304,1151,627,735,651,622,691,1438,671,482,1268,710,867
1249,1237,238,1151,693,735,651,601,709,1438,628,482,1268,729,878
1249,1237,238,1151,693,735,632,620,709,1437,629,482,1227,679,860
1249,1237,231,1158,693,735,625,627,709,1427,639,576,1209,668,842
1249,1199,267,1160,693,732,628,562,774,1424,642,573,1209,590,772
1247,1196,272,1160,693,552,782,517,845,1262,802,573,1096,256,771
1206,1302,276,1160,693,475,820,556,845,1107,955,573,1100,255,771
1386,1326,276,1160,693,471,824,556,840,1112,955,573,1081,312,527
1387,1326,276,1160,693,471,824,556,833,1119,955,556,1079,312,434
1212,1474,317,1088,765,471,804,570,815,1143,955,556,1079,312,358
858,1829,317,958,866,500,797,574,645,1316,955,556,1079,479,358
839,1722,447,953,871,373,790,708,634,1323,959,556,1079,489,184
763,1777,468,931,893,311,807,708,602,1214,1143,556,1079,530,118
812,1787,468,852,972,289,784,749,549,1217,1155,556,1155,530,174
825,1784,471,724,1100,228,816,778,549,1180,1187,556,1253,530,193
959,1784,471,716,1106,198,821,804,519,1209,1189,455,1302,544,381
959,1761,494,716,1096,190,645,982,535,1049,1349,455,1264,549,630
959,1761,494,716,1008,275,628,935,468,1079,1453,381,1190,440,609
988,1719,536,716,947,276,688,931,417,1040,1547,396,1257,434,613
989,1658,597,716,947,267,697,910,351,1127,1547,432,1091,429,677
951,1696,597,716,947,228,736,901,357,1119,1558,458,1033,420,682
770,1877,597,462,940,486,739,816,441,1106,1538,476,1065,420,682
718,1921,605,462,919,507,700,692,604,1050,1549,476,1065,425,683
717,1922,605,319,1062,507,700,689,607,1049,1473,568,1065,476,683
717,1922,522,340,1073,533,725,652,644,974,1367,694,1065,447,683
717,1882,433,378,1164,533,725,652,644,919,1388,740,1052,446,683
689,1565,777,344,1100,632,725,652,641,886,1416,740,649,446,683
689,1565,777,315,1129,632,725,652,641,802,1408,739,420,446,683
720,1453,885,319,1129,626,731,652,628,798,1425,646,428,446,683
722,1379,1024,299,1151,627,735,652,621,706,1467,648,491,446,680
634,1376,1110,304,1151,627,735,651,622,692,1437,650,491,456,680
634,1261,1225,304,1151,627,735,651,622,691,1438,650,491,379,655
727,1249,1237,238,1151,693,735,651,601,709,1438,650,491,360,715
762,1249,1237,238,1151,693,735,632,620,709,1437,650,491,360,747
762,1249,1237,231,1158,693,735,625,627,709,1427,556,510,374,752
762,1249,1199,267,1160,693,732,628,562,774,1424,556,510,375,784
799,1247,1196,272,1160,693,552,782,517,845,1262,558,511,375,934
730,1206,1302,276,1160,693,475,820,556,845,1107,600,515,375,995
526,1386,1326,276,1160,693,471,824,556,840,1112,605,515,318,990
525,1387,1326,276,1160,693,471,824,556,833,1119,605,515,318,977
512,1212,1474,317,1088,765,471,804,570,815,1143,605,679,318,969
511,858,1829,317,958,866,500,797,574,645,1316,605,682,151,976
507,839,1722,447,953,871,373,790,708,634,1323,605,702,380,977
523,763,1777,468,931,893,311,807,708,602,1214,605,760,352,961
531,812,1787,468,852,972,289,784,749,549,1217,605,734,352,928
518,825,1784,471,724,1100,228,816,778,549,1180,639,689,352,927
385,959,1784,471,716,1106,198,821,804,519,1209,684,637,338,739
406,959,1761,494,716,1096,190,645,982,535,1049,761,611,333,490
423,959,1761,494,716,1008,275,628,935,468,1079,942,609,333,489
394,988,1719,536,716,947,276,688,931,417,1040,771,542,333,485
519,989,1658,597,716,947,267,697,910,351,1127,740,505,406,421
627,951,1696,597,716,947,228,736,901,357,1119,806,506,409,416
708,770,1877,597,462,940,486,739,816,441,1106,788,457,509,423
804,718,1921,605,462,919,507,700,692,604,1050,845,569,615,422
858,717,1922,605,319,1062,507,700,689,607,1049,797,618,592,422
1013,717,1922,522,340,1073,533,725,652,644,974,671,668,624,485
1046,717,1882,433,378,1164,533,725,652,644,919,628,674,624,485
1134,689,1565,777,344,1100,632,725,652,641,886,629,674,680,565
1138,689,1565,777,315,1129,632,725,652,641,802,639,674,690,580
1108,720,1453,885,319,1129,626,731,652,628,798,642,670,690,580
1034,722,1379,1024,299,1151,627,735,652,621,706,802,634,690,628
1034,634,1376,1110,304,1151,627,735,651,622,692,955,634,680,636
1035,634,1261,1225,304,1151,627,735,651,622,691,955,640,680,695
944,727,1249,1237,238,1151,693,735,651,601,709,955,642,826,697
909,762,1249,1237,238,1151,693,735,632,620,709,955,648,832,758
909,762,1249,1237,231,1158,693,735,625,627,709,955,657,856,782
924,762,1249,1199,267,1160,693,732,628,562,774,959,720,855,776
888,799,1247,1196,272,1160,693,552,782,517,845,1143,729,873,885
888,730,1206,1302,276,1160,693,475,820,556,845,1155,737,873,851
890,526,1386,1326,276,1160,693,471,824,556,840,1187,737,893,927
891,525,1387,1326,276,1160,693,471,824,556,833,1189,737,937,929
893,512,1212,1474,317,1088,765,471,804,570,815,1349,573,946,929
893,511,858,1829,317,958,866,500,797,574,645,1453,570,946,947
930,507,839,1722,447,953,871,373,790,708,634,1547,550,716,946
915,523,763,1777,468,931,893,311,807,708,602,1547,527,707,947
848,531,812,1787,468,852,972,289,784,749,549,1558,553,826,924
850,518,825,1784,471,724,1100,228,816,778,549,1538,508,1158,906
849,385,959,1784,471,716,1106,198,821,804,519,1549,561,1221,993
832,406,959,1761,494,716,1096,190,645,982,535,1473,654,1252,1105
820,423,959,1761,494,716,1008,275,628,935,468,1367,778,1270,1122
821,394,988,1719,536,716,947,276,688,931,417,1388,848,1373,1128
722,519,989,1658,597,716,947,267,697,910,351,1416,842,1403,1196
754,627,951,1696,597,716,947,228,736,901,357,1408,841,1452,1279
702,708,770,1877,597,462,940,486,739,816,441,1425,854,1500,1278
612,804,718,1921,605,462,919,507,700,692,604,1467,743,1412,1278
559,858,717,1922,605,319,1062,507,700,689,607,1437,694,1394,1320
410,1013,717,1922,522,340,1073,533,725,652,644,1438,644,1362,1292
388,1046,717,1882,433,378,1164,533,725,652,644,1438,636,1362,1293
306,1134,689,1565,777,344,1100,632,725,652,641,1437,641,1306,1213
302,1138,689,1565,777,315,1129,632,725,652,641,1427,641,1296,1198
332,1108,720,1453,885,319,1129,626,731,652,628,1424,637,1296,1242
347,1034,722,1379,1024,299,1151,627,735,652,621,1262,637,1296,1194
377,1034,634,1376,1110,304,1151,627,735,651,622,1107,643,1296,1186
480,1035,634,1261,1225,304,1151,627,735,651,622,1112,642,1296,1127
495,944,727,1249,1237,238,1151,693,735,651,601,1119,661,1150,1045
577,909,762,1249,1237,238,1151,693,735,632,620,1143,657,1144,947
717,909,762,1249,1237,231,1158,693,735,625,627,1316,630,1106,918
809,924,762,1249,1199,267,1160,693,732,628,562,1323,567,1106,892
883,888,799,1247,1196,272,1160,693,552,782,517,1214,557,1088,633
884,888,730,1206,1302,276,1160,693,475,820,556,1217,541,1088,606
882,890,526,1386,1326,276,1160,693,471,824,556,1180,541,1090,529
883,891,525,1387,1326,276,1160,693,471,824,556,1209,541,1047,527
887,893,512,1212,1474,317,1088,765,471,804,570,1049,541,1040,527
889,893,511,858,1829,317,958,866,500,797,574,1079,541,1108,502
852,930,507,839,1722,447,953,871,373,790,708,1040,541,1111,627
851,915,523,763,1777,468,931,893,311,807,708,1127,520,1108,705
901,848,531,812,1787,468,852,972,289,784,749,1119,444,989,803
1010,850,518,825,1784,471,724,1100,228,816,778,1106,436,657,832
