Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
654,611,1264,685,704,1077,318,1252,1105,666,326,409,953
778,609,1190,687,690,1153,330,1270,1122,671,317,409,935
848,542,1257,473,904,1138,345,1373,1128,668,317,409,935
842,505,1091,683,904,1138,345,1403,1196,668,275,409,872
841,506,1033,741,904,916,567,1452,1279,699,275,409,849
854,457,1065,758,864,870,653,1500,1278,699,274,409,731
743,569,1065,713,879,895,658,1412,1278,689,228,409,702
694,618,1065,713,879,895,658,1394,1320,689,218,415,515
644,668,1065,713,874,900,658,1362,1292,687,218,433,504
636,674,1052,707,828,967,658,1362,1293,677,216,549,504
641,674,649,1057,877,971,658,1306,1213,677,216,648,469
641,674,420,1283,880,883,746,1296,1198,689,216,612,479
637,670,428,1283,880,883,746,1296,1242,680,272,612,437
637,634,491,1275,888,805,824,1296,1194,667,356,534,338
643,634,491,1274,869,808,841,1296,1186,660,440,475,331
642,640,491,1268,865,765,836,1296,1127,680,344,477,331
661,642,491,1268,864,766,810,1150,1045,680,344,574,387
657,648,491,1227,839,832,805,1144,947,680,344,587,412
630,657,510,1209,812,820,846,1106,918,672,346,587,511
567,720,510,1209,809,821,848,1106,892,672,365,608,509
557,729,511,1096,922,821,848,1088,633,672,402,581,524
541,737,515,1100,922,793,876,1088,606,634,419,585,530
541,737,515,1081,941,793,876,1090,529,642,419,553,572
541,737,515,1079,943,793,869,1047,527,645,395,588,619
541,573,679,1079,871,622,1109,1040,527,629,411,567,624
541,570,682,1079,692,801,1100,1108,502,606,411,567,758
541,550,702,1079,639,854,1063,1111,627,640,411,565,841
520,527,760,1079,639,854,1044,1108,705,704,433,521,875
444,553,734,1155,639,854,977,989,803,721,441,521,1048
436,508,689,1253,639,854,906,657,832,595,428,522,1354
383,561,637,1302,627,869,906,610,757,502,433,522,1398
290,654,611,1264,685,704,1077,580,714,386,433,522,1532
169,778,609,1190,687,690,1153,667,707,336,485,538,1532
99,848,542,1257,473,904,1138,588,777,314,485,576,1532
98,842,505,1091,683,904,1138,546,709,314,486,577,1532
98,841,506,1033,741,904,916,497,704,278,517,660,1532
85,854,457,1065,758,864,870,389,706,278,517,683,1532
84,743,569,1065,713,879,895,367,735,278,532,703,1532
84,694,618,1065,713,879,895,411,731,319,538,901,1532
84,644,668,1065,713,874,900,430,698,319,578,1050,1527
84,636,674,1052,707,828,967,430,704,319,578,1017,1528
88,641,674,649,1057,877,971,434,712,319,578,985,1521
88,641,674,420,1283,880,883,448,712,307,578,1026,1493
88,637,670,428,1283,880,883,534,668,247,522,1079,1489
81,637,634,491,1275,888,805,654,746,374,515,1118,1489
263,643,634,491,1274,869,808,683,904,374,513,1127,1489
365,642,640,491,1268,865,765,690,959,354,506,1179,1517
356,661,642,491,1268,864,766,694,1014,380,650,1086,1506
354,657,648,491,1227,839,832,748,1015,387,650,1073,1500
381,630,657,510,1209,812,820,803,1015,387,635,1073,1372
750,567,720,510,1209,809,821,803,1015,387,608,1050,1371
750,557,729,511,1096,922,821,815,1015,387,562,1072,1332
750,541,737,515,1100,922,793,815,1015,391,545,1080,1318
750,541,737,515,1081,941,793,793,1015,384,545,1102,1241
750,541,737,515,1079,943,793,792,1036,357,545,1026,1213
750,541,573,679,1079,871,622,790,1036,346,530,1016,1279
750,541,570,682,1079,692,801,722,1039,345,528,1017,1151
750,541,550,702,1079,639,854,746,914,311,530,1017,1058
736,520,527,760,1079,639,854,780,836,247,525,1049,1020
736,444,553,734,1155,639,854,991,738,230,500,1091,782
764,436,508,689,1253,639,854,994,709,230,516,1091,550
771,383,561,637,1302,627,869,978,697,230,513,1091,564
778,290,654,611,1264,685,704,1049,628,230,513,1091,437
775,169,778,609,1190,687,690,1086,622,224,461,1075,438
775,99,848,542,1257,473,904,1304,591,224,461,1042,438
786,98,842,505,1091,683,904,1243,601,225,460,1082,443
786,98,841,506,1033,741,904,1240,707,246,429,1059,445
888,85,854,457,1065,758,864,1200,706,258,429,1036,445
1042,84,743,569,1065,713,879,1199,704,270,479,1021,445
1063,84,694,618,1065,713,879,1145,801,229,518,817,445
1083,84,644,668,1065,713,874,1126,914,239,593,650,445
1086,84,636,674,1052,707,828,1126,930,239,726,549,443
1077,88,641,674,649,1057,877,1122,1066,240,745,482,443
1080,88,641,674,420,1283,880,1108,1066,431,746,440,434
1148,88,637,670,428,1283,880,1022,1066,444,746,387,434
1139,81,637,634,491,1275,888,902,988,339,666,348,434
951,263,643,634,491,1274,869,873,830,427,605,339,434
848,365,642,640,491,1268,865,866,775,433,609,279,406
837,356,661,642,491,1268,864,884,720,417,526,273,361
837,354,657,648,491,1227,839,830,732,446,558,273,342
835,381,630,657,510,1209,812,775,732,446,558,293,314
485,750,567,720,510,1209,809,775,777,446,555,293,312
485,750,557,729,511,1096,922,763,880,446,555,273,312
485,750,541,737,515,1100,922,776,999,442,555,292,312
485,750,541,737,515,1081,941,835,1016,441,568,271,286
489,750,541,737,515,1079,943,835,1042,464,568,271,267
489,750,541,573,679,1079,871,914,1206,486,567,314,198
508,750,541,570,682,1079,692,1079,1294,515,567,313,324
510,750,541,550,702,1079,639,1071,1328,522,565,313,366
510,736,520,527,760,1079,639,1087,1412,674,548,281,367
632,736,444,553,734,1155,639,920,1412,674,553,230,364
672,764,436,508,689,1253,639,917,1429,675,543,235,262
720,771,383,561,637,1302,627,917,1499,687,544,241,329
713,778,290,654,611,1264,685,846,1523,691,550,266,322
765,775,169,778,609,1190,687,704,1519,762,554,266,321
780,775,99,848,542,1257,473,463,1509,822,560,263,321
837,786,98,842,505,1091,683,513,1499,832,560,228,316
838,786,98,841,506,1033,741,715,1315,817,573,168,317
743,888,85,854,457,1065,758,786,1308,805,594,255,317
592,1042,84,743,569,1065,713,812,1281,793,529,251,317
571,1063,84,694,618,1065,713,863,1146,793,484,251,317
551,1083,84,644,668,1065,713,892,1031,783,369,251,317
548,1086,84,636,674,1052,707,1008,1008,783,236,251,317
548,1077,88,641,674,649,1057,1018,870,782,217,251,317
545,1080,88,641,674,420,1283,1018,920,591,216,251,317
477,1148,88,637,670,428,1283,1022,955,573,216,290,317
466,1139,81,637,634,491,1275,1055,992,591,216,362,317
466,951,263,643,634,491,1274,1231,992,516,187,396,317
462,848,365,642,640,491,1268,1254,1207,510,190,443,317
534,837,356,661,642,491,1268,1232,1211,500,129,447,317
547,837,354,657,648,491,1227,1251,1219,634,106,447,317
571,835,381,630,657,510,1209,1251,1224,717,106,427,402
600,485,750,567,720,510,1209,1256,1179,721,162,427,438
622,485,750,557,729,511,1096,1327,1076,768,184,425,438
648,485,750,541,737,515,1100,1358,976,805,189,394,440
654,485,750,541,737,515,1081,1299,972,875,227,393,440
650,489,750,541,737,515,1079,1306,954,958,252,385,471
650,489,750,541,573,679,1079,1233,831,950,252,329,469
631,508,750,541,570,682,1079,1068,740,1056,252,329,422
629,510,750,541,550,702,1079,1040,706,1104,252,415,409
629,510,736,520,527,760,1079,989,621,977,252,417,409
507,632,736,444,553,734,1155,945,621,977,263,453,409
439,672,764,436,508,689,1253,977,604,976,265,517,410
384,720,771,383,561,637,1302,1094,534,964,318,526,282
388,713,778,290,654,611,1264,1112,510,960,340,512,282
340,765,775,169,778,609,1190,1112,510,889,342,529,282
326,780,775,99,848,542,1257,1158,475,829,336,527,282
258,837,786,98,842,505,1091,1108,475,818,336,523,285
257,838,786,98,841,506,1033,917,475,815,323,523,282
250,743,888,85,854,457,1065,852,475,823,302,436,282
247,592,1042,84,743,569,1065,888,475,846,302,435,282
247,571,1063,84,694,618,1065,930,475,856,302,435,282
247,551,1083,84,644,668,1065,927,475,915,342,435,282
290,548,1086,84,636,674,1052,811,475,922,383,435,282
492,548,1077,88,641,674,649,801,469,922,383,443,282
578,545,1080,88,641,674,420,803,419,922,406,472,282
