Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2
1013,196,1734,863,858,860
1013,196,1675,865,857,852
930,279,1675,749,858,897
987,267,1683,715,828,948
1003,256,1687,713,799,1015
895,328,1719,709,678,1006
960,328,1538,890,661,985
935,358,1292,1136,661,967
861,441,1286,1144,534,964
910,440,1218,1214,471,973
943,443,1080,1352,248,973
772,614,951,1470,218,968
760,626,914,1507,313,925
760,612,928,1507,338,941
759,613,928,1507,346,904
792,544,997,1507,377,903
