Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2
287,1197,1062,750,440,1877
281,1194,1071,748,401,1921
281,1191,1074,717,402,1922
281,1106,1159,717,656,1922
342,906,1215,819,642,1882
383,610,1508,822,651,1565
383,459,1592,889,633,1565
390,443,1614,889,633,1453
410,438,1609,857,633,1379
454,437,1480,963,676,1376
454,437,1480,960,734,1261
454,437,1479,954,753,1249
446,445,1462,970,753,1249
315,551,1281,1165,723,1249
335,551,1247,1083,723,1249
323,604,1246,1084,723,1247
322,605,1246,1084,698,1206
349,608,1178,1152,663,1386
418,608,1178,1152,599,1387
667,426,1360,1152,458,1212
728,394,1392,1152,458,858
763,395,1390,1154,458,839
763,357,1375,1206,458,763
699,421,1374,1207,458,812
706,397,1398,1162,458,825
767,396,1399,1159,458,959
962,396,1399,1159,458,959
951,407,1402,877,443,959
986,296,1392,980,501,988
1014,290,1339,1038,505,989
1034,287,1340,961,478,951
1040,287,1197,1062,500,770
1040,281,1194,1071,490,718
1066,281,1191,1074,490,717
1184,281,1106,1159,237,717
1170,342,906,1215,239,717
1373,383,610,1508,229,689
1402,383,459,1592,229,689
1397,390,443,1614,229,720
1380,410,438,1609,229,722
1336,454,437,1480,245,634
1336,454,437,1480,270,634
1336,454,437,1479,251,727
1336,446,445,1462,251,762
1336,315,551,1281,251,762
1316,335,551,1247,251,762
1275,323,604,1246,255,799
1275,322,605,1246,279,730
1248,349,608,1178,279,526
1180,418,608,1178,279,525
931,667,426,1360,279,512
882,728,394,1392,283,511
896,763,395,1390,295,507
896,763,357,1375,295,523
896,699,421,1374,295,531
1043,706,397,1398,299,518
1121,767,396,1399,310,385
947,962,396,1399,336,406
977,951,407,1402,369,423
942,986,296,1392,311,394
927,1014,290,1339,306,519
907,1034,287,1340,293,627
901,1040,287,1197,271,708
990,1040,281,1194,270,804
964,1066,281,1191,269,858
846,1184,281,1106,268,1013
799,1170,342,906,266,1046
555,1373,383,610,266,1134
526,1402,383,459,266,1138
518,1397,390,443,266,1108
515,1380,410,438,266,1034
528,1336,454,437,207,1034
528,1336,454,437,126,1035
528,1336,454,437,124,944
544,1336,446,445,124,909
545,1336,315,551,124,909
545,1316,335,551,124,924
545,1275,323,604,120,888
545,1275,322,605,96,888
668,1248,349,608,97,890
