Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
702,1886,559,1242,291,255,571
515,2073,559,1276,420,279,686
504,2089,559,1290,695,330,714
504,2072,536,1181,816,343,642
469,2111,536,1251,847,355,644
479,2138,535,1263,850,311,644
437,2154,535,1249,850,295,639
338,2127,535,1247,864,265,753
331,2080,535,1271,980,290,806
331,2049,537,1272,1141,382,833
387,2049,537,1240,1136,384,915
412,2034,552,1227,1132,384,990
511,1984,564,1157,1132,385,988
509,1742,493,1046,1139,385,990
524,1731,496,903,1158,390,1051
530,1697,547,962,1317,393,1148
572,1406,508,918,1478,482,1192
619,1228,496,884,1559,516,1200
624,1123,609,854,1617,523,1182
758,1132,763,869,1620,523,1162
841,1141,681,869,1625,513,1058
875,1144,598,870,1632,512,1041
1048,1209,582,946,1633,512,1049
1354,1188,569,939,1622,543,1091
1398,1005,558,948,1600,590,1168
1532,953,514,1147,1671,633,1240
1532,935,472,1391,1671,611,1339
1532,935,472,1343,1691,611,1360
1532,872,472,1240,1641,628,1391
1532,849,472,1221,1668,665,1391
1532,731,472,1222,1615,680,1382
1532,702,472,1104,1602,675,1315
1532,515,472,1070,1451,635,1184
1527,504,472,1056,1158,589,1135
1528,504,472,1020,1037,582,1141
1521,469,472,898,1006,588,1142
1493,479,507,881,1001,592,1169
1489,437,517,868,1001,590,1242
1489,338,517,871,982,607,1123
1489,331,517,851,865,582,1160
1517,331,563,863,705,490,1229
1506,387,586,868,705,487,1139
1500,412,573,954,719,487,1021
1372,511,572,1036,727,486,1021
1371,509,650,1124,719,486,1019
1332,524,701,1188,691,486,962
1318,530,650,1172,510,530,867
1241,572,767,1200,341,526,823
1213,619,777,1205,260,473,815
1279,624,642,1197,199,536,814
1151,758,487,1182,284,536,785
1058,841,487,1182,293,536,785
1020,875,490,1181,286,536,772
782,1048,491,1051,279,536,763
550,1354,491,1036,295,505,622
564,1398,491,1092,295,458,540
437,1532,495,999,219,438,468
438,1532,541,839,219,468,369
438,1532,546,907,220,519,348
443,1532,592,956,248,549,320
445,1532,607,985,301,514,320
445,1532,870,987,302,466,320
445,1532,925,952,389,466,320
445,1532,980,952,389,467,320
445,1527,1012,1144,411,462,320
443,1528,1212,1147,433,456,313
443,1521,1216,1147,443,437,308
434,1493,1181,1147,511,434,281
434,1489,1171,1157,582,439,208
434,1489,1171,1154,584,426,204
434,1489,1211,1141,700,457,114
406,1517,1275,1128,710,511,18
361,1506,1382,1123,710,581,11
342,1500,1380,1051,696,640,20
314,1372,1419,980,688,720,44
312,1371,1435,924,686,733,44
312,1332,1402,859,726,743,40
312,1318,1469,817,754,696,38
286,1241,1491,744,754,611,38
267,1213,1457,707,754,565,38
198,1279,1448,729,844,494,59
324,1151,1448,769,807,546,60
366,1058,1448,769,794,604,61
367,1020,1445,820,934,683,80
364,782,1444,897,937,744,281
262,550,1444,874,921,761,322
329,564,1469,823,921,761,364
322,437,1479,753,920,745,496
321,438,1433,727,938,744,625
321,438,1428,670,916,707,625
316,443,1382,668,890,694,620
317,445,1367,708,797,692,625
317,445,1105,758,793,691,626
317,445,1050,780,706,691,628
317,445,1091,851,728,690,629
317,445,1059,717,706,690,631
317,443,859,723,684,690,631
317,443,855,794,675,690,631
317,434,1089,819,610,710,631
317,434,1246,815,539,710,631
317,434,1349,923,537,708,632
317,434,1368,1135,420,705,635
317,406,1260,1167,409,692,635
317,361,1130,1219,410,648,655
317,342,1130,1280,485,589,646
402,314,1080,1305,563,525,622
438,312,986,1272,572,539,627
438,312,960,1285,555,543,629
