Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
895,658,598,1094,917,978,610,1221,338,544,1713,629,848,671
895,658,579,1112,846,1049,580,1252,333,549,1689,629,848,695
900,658,579,1112,704,1086,667,1270,333,440,1656,629,848,705
967,658,532,1158,463,1304,588,1373,333,434,1583,629,848,634
971,658,532,1108,513,1243,546,1403,406,429,1591,629,848,614
883,746,521,917,715,1240,497,1452,409,420,1593,629,848,523
883,746,515,852,786,1200,389,1500,509,420,1588,629,848,523
805,824,453,888,812,1199,367,1412,615,425,1560,532,847,523
808,841,360,930,863,1145,411,1394,592,476,1472,482,847,523
765,836,392,927,892,1126,430,1362,624,447,1428,482,847,525
766,810,418,811,1008,1126,430,1362,624,446,1304,482,957,661
832,805,423,801,1018,1122,434,1306,680,446,1307,367,957,715
820,846,437,803,1018,1108,448,1296,690,446,1382,219,1024,724
821,848,379,857,1022,1022,534,1296,690,446,1417,219,1024,776
821,848,378,825,1055,902,654,1296,690,446,1369,223,1024,775
793,876,331,696,1231,873,683,1296,680,456,1313,223,1027,679
793,876,331,673,1254,866,690,1296,680,379,1197,223,1076,679
793,869,326,685,1232,884,694,1150,826,360,1155,223,1093,681
622,1109,321,674,1251,830,748,1144,832,360,1084,82,1091,689
801,1100,330,674,1251,775,803,1106,856,374,962,88,1134,689
854,1063,367,669,1256,775,803,1106,855,375,992,124,1273,689
854,1044,386,598,1327,763,815,1088,873,375,995,124,1657,689
854,977,291,716,1358,776,815,1088,873,375,987,122,1456,689
854,906,354,724,1299,835,793,1090,893,318,984,122,1398,689
869,906,341,730,1306,835,792,1047,937,318,936,134,1334,636
704,1077,318,747,1233,914,790,1040,946,318,834,188,1285,533
690,1153,330,747,1068,1079,722,1108,946,151,659,222,1286,525
904,1138,345,747,1040,1071,746,1111,716,380,625,501,1252,506
904,1138,345,747,989,1087,780,1108,707,352,565,482,1297,506
904,916,567,747,945,920,991,989,826,352,840,465,1045,506
864,870,653,715,977,917,994,657,1158,352,881,465,1055,454
879,895,658,598,1094,917,978,610,1221,338,810,461,1007,406
879,895,658,579,1112,846,1049,580,1252,333,899,475,1007,382
874,900,658,579,1112,704,1086,667,1270,333,907,531,1007,499
