Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2
958,2307,191,900,1457,245,1112,469,1126,162
994,2337,197,848,1509,218,1139,431,1126,162
994,2432,201,848,1509,218,1139,431,1126,163
968,2431,243,845,1512,218,1139,431,1126,178
839,2560,243,820,1513,242,1139,342,1125,172
695,2721,243,400,1933,242,1139,316,1087,172
674,2685,299,364,1967,245,1135,320,1031,172
677,2553,406,384,1972,245,1135,320,1022,163
681,2494,456,383,1958,269,1135,320,995,187
681,2301,649,311,1923,376,1135,320,849,137
681,2250,689,319,1917,330,1190,320,538,223
626,2230,750,328,1823,418,1140,381,325,242
586,2134,886,294,1741,535,1140,322,257,314
531,2158,916,231,1793,546,1086,374,247,314
531,2120,887,186,1664,787,1083,351,247,373
531,2038,926,219,1588,801,955,541,244,397
531,1975,989,219,1315,996,1028,512,256,406
531,1969,995,219,1310,1001,1015,510,214,406
507,1773,1215,219,1310,1001,1015,494,223,396
501,1348,1646,219,1310,1001,1014,488,236,389
501,1256,1738,219,1310,1001,862,640,274,389
528,1152,1845,181,1349,1001,820,682,240,389
513,1126,1900,183,1310,1040,795,707,240,389
532,1057,1975,176,1153,1204,795,568,179,389
482,1107,1975,175,1069,1288,796,568,172,389
423,1153,1988,175,979,1378,796,568,174,389
320,1253,1993,175,915,1442,756,608,189,389
351,1253,2009,176,915,1442,738,626,178,389
350,1185,2080,176,915,1442,601,763,148,389
390,1129,2144,176,915,1442,457,900,148,407
441,951,2322,176,915,1442,457,900,148,407
434,958,2307,191,900,1457,245,1112,148,407
362,994,2337,197,848,1509,218,1139,148,413
266,994,2432,201,848,1509,218,1139,149,417
253,968,2431,243,845,1512,218,1139,149,382
283,839,2560,243,820,1513,242,1139,149,363
266,695,2721,243,400,1933,242,1139,143,363
266,674,2685,299,364,1967,245,1135,142,378
263,677,2553,406,384,1972,245,1135,142,383
269,681,2494,456,383,1958,269,1135,142,430
298,681,2301,649,311,1923,376,1135,142,527
298,681,2250,689,319,1917,330,1190,142,445
360,626,2230,750,328,1823,418,1140,142,522
366,586,2134,886,294,1741,535,1140,142,450
383,531,2158,916,231,1793,546,1086,152,450
426,531,2120,887,186,1664,787,1083,152,391
526,531,2038,926,219,1588,801,955,152,367
526,531,1975,989,219,1315,996,1028,136,360
582,531,1969,995,219,1310,1001,1015,147,361
594,507,1773,1215,219,1310,1001,1015,161,455
599,501,1348,1646,219,1310,1001,1014,155,584
620,501,1256,1738,219,1310,1001,862,113,617
638,528,1152,1845,181,1349,1001,820,104,617
626,513,1126,1900,183,1310,1040,795,107,638
601,532,1057,1975,176,1153,1204,795,107,640
614,482,1107,1975,175,1069,1288,796,107,650
615,423,1153,1988,175,979,1378,796,97,662
613,320,1253,1993,175,915,1442,756,73,671
644,351,1253,2009,176,915,1442,738,73,671
743,350,1185,2080,176,915,1442,601,104,671
734,390,1129,2144,176,915,1442,457,104,687
683,441,951,2322,176,915,1442,457,104,687
763,434,958,2307,191,900,1457,245,167,687
785,362,994,2337,197,848,1509,218,212,681
787,266,994,2432,201,848,1509,218,225,676
788,253,968,2431,243,845,1512,218,225,676
786,283,839,2560,243,820,1513,242,225,676
921,266,695,2721,243,400,1933,242,227,676
931,266,674,2685,299,364,1967,245,227,661
996,263,677,2553,406,384,1972,245,283,656
992,269,681,2494,456,383,1958,269,350,559
983,298,681,2301,649,311,1923,376,355,456
983,298,681,2250,689,319,1917,330,366,463
921,360,626,2230,750,328,1823,418,366,437
914,366,586,2134,886,294,1741,535,366,437
897,383,531,2158,916,231,1793,546,356,465
854,426,531,2120,887,186,1664,787,358,491
754,526,531,2038,926,219,1588,801,358,504
754,526,531,1975,989,219,1315,996,358,502
698,582,531,1969,995,219,1310,1001,347,501
686,594,507,1773,1215,219,1310,1001,317,407
681,599,501,1348,1646,219,1310,1001,310,296
723,620,501,1256,1738,219,1310,1001,310,263
682,638,528,1152,1845,181,1349,1001,310,271
679,626,513,1126,1900,183,1310,1040,301,250
693,601,532,1057,1975,176,1153,1204,301,268
680,614,482,1107,1975,175,1069,1288,301,282
679,615,423,1153,1988,175,979,1378,301,284
679,613,320,1253,1993,175,915,1442,315,275
600,644,351,1253,2009,176,915,1442,319,330
499,743,350,1185,2080,176,915,1442,288,330
460,734,390,1129,2144,176,915,1442,288,296
523,683,441,951,2322,176,915,1442,288,296
453,763,434,958,2307,191,900,1457,225,296
482,785,362,994,2337,197,848,1509,197,296
477,787,266,994,2432,201,848,1509,276,296
534,788,253,968,2431,243,845,1512,298,296
506,786,283,839,2560,243,820,1513,323,315
371,921,266,695,2721,243,400,1933,321,317
361,931,266,674,2685,299,364,1967,335,561
297,996,263,677,2553,406,384,1972,601,561
297,992,269,681,2494,456,383,1958,910,560
329,983,298,681,2301,649,311,1923,921,552
329,983,298,681,2250,689,319,1917,917,541
329,921,360,626,2230,750,328,1823,917,471
329,914,366,586,2134,886,294,1741,917,471
362,897,383,531,2158,916,231,1793,957,443
369,854,426,531,2120,887,186,1664,955,417
464,754,526,531,2038,926,219,1588,1044,404
577,754,526,531,1975,989,219,1315,1046,404
583,698,582,531,1969,995,219,1310,1046,404
698,686,594,507,1773,1215,219,1310,1041,404
718,681,599,501,1348,1646,219,1310,1041,386
655,723,620,501,1256,1738,219,1310,1041,404
672,682,638,528,1152,1845,181,1349,1130,557
674,679,626,513,1126,1900,183,1310,1193,557
660,693,601,532,1057,1975,176,1153,1256,537
660,680,614,482,1107,1975,175,1069,1256,590
660,679,615,423,1153,1988,175,979,1294,576
660,679,613,320,1253,1993,175,915,1280,591
660,600,644,351,1253,2009,176,915,1276,540
794,499,743,350,1185,2080,176,915,1365,542
825,460,734,390,1129,2144,176,915,1391,561
926,523,683,441,951,2322,176,915,1391,592
938,453,763,434,958,2307,191,900,1391,677
898,482,785,362,994,2337,197,848,1374,684
900,477,787,266,994,2432,201,848,1281,684
840,534,788,253,968,2431,243,845,1259,697
840,506,786,283,839,2560,243,820,1234,712
859,371,921,266,695,2721,243,400,1293,724
864,361,931,266,674,2685,299,364,1282,480
863,297,996,263,677,2553,406,384,986,521
857,297,992,269,681,2494,456,383,620,521
805,329,983,298,681,2301,649,311,638,521
805,329,983,298,681,2250,689,319,646,521
805,329,921,360,626,2230,750,328,662,521
805,329,914,366,586,2134,886,294,669,521
772,362,897,383,531,2158,916,231,629,521
765,369,854,426,531,2120,887,186,629,521
670,464,754,526,531,2038,926,219,540,556
557,577,754,526,531,1975,989,219,677,580
551,583,698,582,531,1969,995,219,677,580
436,698,686,594,507,1773,1215,219,677,832
416,718,681,599,501,1348,1646,219,677,1213
416,655,723,620,501,1256,1738,219,677,1290
391,672,682,638,528,1152,1845,181,588,1129
388,674,679,626,513,1126,1900,183,532,1129
388,660,693,601,532,1057,1975,176,469,1129
388,660,680,614,482,1107,1975,175,469,1052
388,660,679,615,423,1153,1988,175,431,1052
388,660,679,613,320,1253,1993,175,431,1048
388,660,600,644,351,1253,2009,176,431,1072
254,794,499,743,350,1185,2080,176,342,1070
223,825,460,734,390,1129,2144,176,316,1091
59,926,523,683,441,951,2322,176,320,1182
37,938,453,763,434,958,2307,191,320,1191
65,898,482,785,362,994,2337,197,320,1184
96,900,477,787,266,994,2432,201,320,1184
97,840,534,788,253,968,2431,243,320,1171
97,840,506,786,283,839,2560,243,381,1258
78,859,371,921,266,695,2721,243,322,1268
73,864,361,931,266,674,2685,299,374,1378
73,863,297,996,263,677,2553,406,351,1337
75,857,297,992,269,681,2494,456,541,1339
75,805,329,983,298,681,2301,649,512,1339
75,805,329,983,298,681,2250,689,510,1344
75,805,329,921,360,626,2230,750,494,1348
75,805,329,914,366,586,2134,886,488,1349
77,772,362,897,383,531,2158,916,640,1349
77,765,369,854,426,531,2120,887,682,1349
77,670,464,754,526,531,2038,926,707,1344
77,557,577,754,526,531,1975,989,568,1320
77,551,583,698,582,531,1969,995,568,1320
132,436,698,686,594,507,1773,1215,568,1129
132,416,718,681,599,501,1348,1646,608,748
132,416,655,723,620,501,1256,1738,626,653
132,391,672,682,638,528,1152,1845,763,653
142,388,674,679,626,513,1126,1900,900,653
142,388,660,693,601,532,1057,1975,900,653
185,388,660,680,614,482,1107,1975,1112,653
276,388,660,679,615,423,1153,1988,1139,663
352,388,660,679,613,320,1253,1993,1139,807
352,388,660,600,644,351,1253,2009,1139,779
352,254,794,499,743,350,1185,2080,1139,779
352,223,825,460,734,390,1129,2144,1139,739
352,59,926,523,683,441,951,2322,1135,617
352,37,938,453,763,434,958,2307,1135,523
406,65,898,482,785,362,994,2337,1135,523
395,96,900,477,787,266,994,2432,1135,523
394,97,840,534,788,253,968,2431,1190,525
508,97,840,506,786,283,839,2560,1140,464
569,78,859,371,921,266,695,2721,1140,667
632,73,864,361,931,266,674,2685,1086,573
632,73,863,297,996,263,677,2553,1083,638
630,75,857,297,992,269,681,2494,955,792
630,75,805,329,983,298,681,2301,1028,792
630,75,805,329,983,298,681,2250,1015,787
647,75,805,329,921,360,626,2230,1015,783
647,75,805,329,914,366,586,2134,1014,789
852,77,772,362,897,383,531,2158,862,849
853,77,765,369,854,426,531,2120,820,879
853,77,670,464,754,526,531,2038,795,849
853,77,557,577,754,526,531,1975,795,863
864,77,551,583,698,582,531,1969,796,903
809,132,436,698,686,594,507,1773,796,846
830,132,416,718,681,599,501,1348,756,846
832,132,416,655,723,620,501,1256,738,846
833,132,391,672,682,638,528,1152,601,846
829,142,388,674,679,626,513,1126,457,846
829,142,388,660,693,601,532,1057,457,916
