Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
223,842,1197,906,500,417,380,1093,681,398,571,909,1596,792,552,1189,359
82,933,1247,736,634,446,387,1091,689,471,571,909,1758,792,544,1099,359
88,803,1385,653,717,446,387,1134,689,493,571,885,1816,674,544,959,359
124,782,1384,682,721,446,387,1273,689,493,571,851,1837,580,526,863,359
124,782,1384,635,768,446,387,1657,689,493,547,851,1971,579,587,863,364
122,681,1487,598,805,442,391,1456,689,532,557,851,1971,554,587,848,351
122,656,1512,528,875,441,384,1398,689,506,598,849,1971,494,549,866,342
134,642,1428,520,958,464,357,1334,636,467,605,849,1934,494,560,866,321
188,591,1468,517,950,486,346,1285,533,441,600,853,1703,494,603,870,247
222,591,1468,382,1056,515,345,1286,525,417,555,902,1703,510,604,801,232
501,591,1468,327,1104,522,311,1252,506,322,593,930,1461,523,605,546,187
482,608,1470,302,977,674,247,1297,506,322,577,947,1434,561,605,543,116
465,624,1456,317,977,674,230,1045,506,322,594,856,1425,354,605,538,131
465,625,1456,317,976,675,230,1055,454,322,594,1001,1209,323,545,529,129
461,629,1456,317,964,687,230,1007,406,322,596,1002,1205,332,544,529,129
475,629,1346,427,960,691,230,1007,382,322,622,1003,949,392,531,529,105
531,629,1341,432,889,762,224,1007,499,322,466,993,910,400,498,529,220
612,629,1341,432,829,822,224,1019,497,322,469,992,898,400,481,529,258
617,629,1341,432,818,832,225,1032,567,322,467,946,890,190,461,524,363
713,629,1213,557,815,817,246,1135,654,322,373,666,781,190,365,524,438
831,629,1191,571,823,805,258,1249,682,322,359,549,745,265,364,419,438
832,532,1288,548,846,793,270,1249,682,322,356,540,707,254,342,419,438
834,482,1338,538,856,793,229,1249,863,315,356,589,694,326,255,419,438
1012,482,941,876,915,783,239,1249,900,494,334,551,694,326,151,292,438
1021,482,941,869,922,783,239,1139,995,623,334,525,807,384,150,288,438
1044,367,1017,908,922,782,240,1160,927,623,363,458,967,384,150,237,438
1062,219,1114,959,922,591,431,1093,1010,608,371,455,1123,384,150,206,559
1132,219,929,1144,922,573,444,1093,982,448,424,455,1123,373,228,206,606
1113,223,898,1191,877,591,339,1093,982,448,427,455,1123,373,258,206,607
1113,223,879,1160,906,516,427,1092,983,448,464,439,973,373,246,207,568
1363,223,866,1173,906,510,433,1044,1022,444,542,439,941,373,326,190,622
1469,223,842,1197,906,500,417,1087,1097,442,544,439,924,406,326,178,622
