Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
628,680,1022,665,715,496,2127,515,1226
636,680,1020,680,651,555,2080,515,1235
695,655,867,675,742,561,2049,480,1142
697,715,878,632,733,563,2049,480,1159
758,747,860,572,594,563,2034,479,1172
782,752,842,539,607,563,1984,465,1242
776,784,772,486,619,565,1742,535,1354
885,934,771,482,629,592,1731,494,1467
851,995,771,520,592,592,1697,512,1467
927,990,527,518,592,624,1406,551,1550
929,977,434,542,616,673,1228,611,1616
929,969,358,569,499,717,1123,631,1650
947,976,358,593,481,695,1132,631,1643
946,977,184,593,440,680,1141,713,1642
947,961,118,593,438,678,1144,796,1483
924,928,174,499,457,501,1209,788,1503
906,927,193,607,452,492,1188,801,1409
993,739,381,619,399,432,1005,812,1355
1105,490,630,666,326,409,953,856,1303
1122,489,609,671,317,409,935,898,1297
1128,485,613,668,317,409,935,898,1228
1196,421,677,668,275,409,872,844,1244
1279,416,682,699,275,409,849,715,1164
1278,423,682,699,274,409,731,562,1110
1278,422,683,689,228,409,702,559,1242
1320,422,683,689,218,415,515,559,1276
1292,485,683,687,218,433,504,559,1290
1293,485,683,677,216,549,504,536,1181
1213,565,683,677,216,648,469,536,1251
1198,580,683,689,216,612,479,535,1263
1242,580,683,680,272,612,437,535,1249
1194,628,680,667,356,534,338,535,1247
1186,636,680,660,440,475,331,535,1271
1127,695,655,680,344,477,331,537,1272
1045,697,715,680,344,574,387,537,1240
947,758,747,680,344,587,412,552,1227
918,782,752,672,346,587,511,564,1157
892,776,784,672,365,608,509,493,1046
633,885,934,672,402,581,524,496,903
606,851,995,634,419,585,530,547,962
529,927,990,642,419,553,572,508,918
527,929,977,645,395,588,619,496,884
527,929,969,629,411,567,624,609,854
502,947,976,606,411,567,758,763,869
627,946,977,640,411,565,841,681,869
705,947,961,704,433,521,875,598,870
803,924,928,721,441,521,1048,582,946
832,906,927,595,428,522,1354,569,939
757,993,739,502,433,522,1398,558,948
714,1105,490,386,433,522,1532,514,1147
707,1122,489,336,485,538,1532,472,1391
777,1128,485,314,485,576,1532,472,1343
709,1196,421,314,486,577,1532,472,1240
704,1279,416,278,517,660,1532,472,1221
706,1278,423,278,517,683,1532,472,1222
735,1278,422,278,532,703,1532,472,1104
731,1320,422,319,538,901,1532,472,1070
698,1292,485,319,578,1050,1527,472,1056
704,1293,485,319,578,1017,1528,472,1020
712,1213,565,319,578,985,1521,472,898
712,1198,580,307,578,1026,1493,507,881
668,1242,580,247,522,1079,1489,517,868
746,1194,628,374,515,1118,1489,517,871
904,1186,636,374,513,1127,1489,517,851
959,1127,695,354,506,1179,1517,563,863
1014,1045,697,380,650,1086,1506,586,868
1015,947,758,387,650,1073,1500,573,954
1015,918,782,387,635,1073,1372,572,1036
1015,892,776,387,608,1050,1371,650,1124
1015,633,885,387,562,1072,1332,701,1188
1015,606,851,391,545,1080,1318,650,1172
1015,529,927,384,545,1102,1241,767,1200
1036,527,929,357,545,1026,1213,777,1205
1036,527,929,346,530,1016,1279,642,1197
1039,502,947,345,528,1017,1151,487,1182
914,627,946,311,530,1017,1058,487,1182
836,705,947,247,525,1049,1020,490,1181
738,803,924,230,500,1091,782,491,1051
709,832,906,230,516,1091,550,491,1036
697,757,993,230,513,1091,564,491,1092
628,714,1105,230,513,1091,437,495,999
622,707,1122,224,461,1075,438,541,839
591,777,1128,224,461,1042,438,546,907
601,709,1196,225,460,1082,443,592,956
707,704,1279,246,429,1059,445,607,985
706,706,1278,258,429,1036,445,870,987
704,735,1278,270,479,1021,445,925,952
801,731,1320,229,518,817,445,980,952
914,698,1292,239,593,650,445,1012,1144
930,704,1293,239,726,549,443,1212,1147
1066,712,1213,240,745,482,443,1216,1147
1066,712,1198,431,746,440,434,1181,1147
1066,668,1242,444,746,387,434,1171,1157
988,746,1194,339,666,348,434,1171,1154
830,904,1186,427,605,339,434,1211,1141
775,959,1127,433,609,279,406,1275,1128
720,1014,1045,417,526,273,361,1382,1123
732,1015,947,446,558,273,342,1380,1051
732,1015,918,446,558,293,314,1419,980
777,1015,892,446,555,293,312,1435,924
880,1015,633,446,555,273,312,1402,859
999,1015,606,442,555,292,312,1469,817
1016,1015,529,441,568,271,286,1491,744
1042,1036,527,464,568,271,267,1457,707
1206,1036,527,486,567,314,198,1448,729
1294,1039,502,515,567,313,324,1448,769
1328,914,627,522,565,313,366,1448,769
1412,836,705,674,548,281,367,1445,820
1412,738,803,674,553,230,364,1444,897
1429,709,832,675,543,235,262,1444,874
1499,697,757,687,544,241,329,1469,823
1523,628,714,691,550,266,322,1479,753
1519,622,707,762,554,266,321,1433,727
1509,591,777,822,560,263,321,1428,670
1499,601,709,832,560,228,316,1382,668
1315,707,704,817,573,168,317,1367,708
1308,706,706,805,594,255,317,1105,758
1281,704,735,793,529,251,317,1050,780
1146,801,731,793,484,251,317,1091,851
1031,914,698,783,369,251,317,1059,717
1008,930,704,783,236,251,317,859,723
870,1066,712,782,217,251,317,855,794
920,1066,712,591,216,251,317,1089,819
955,1066,668,573,216,290,317,1246,815
992,988,746,591,216,362,317,1349,923
992,830,904,516,187,396,317,1368,1135
1207,775,959,510,190,443,317,1260,1167
1211,720,1014,500,129,447,317,1130,1219
1219,732,1015,634,106,447,317,1130,1280
1224,732,1015,717,106,427,402,1080,1305
1179,777,1015,721,162,427,438,986,1272
1076,880,1015,768,184,425,438,960,1285
976,999,1015,805,189,394,440,857,1404
972,1016,1015,875,227,393,440,718,1400
954,1042,1036,958,252,385,471,694,1400
831,1206,1036,950,252,329,469,693,1378
740,1294,1039,1056,252,329,422,693,1338
706,1328,914,1104,252,415,409,693,1355
