Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3
960,328,1538,890,920,661,985,1026
935,358,1292,1136,920,661,967,919
861,441,1286,1144,920,534,964,844
910,440,1218,1214,889,471,973,868
943,443,1080,1352,882,248,973,898
772,614,951,1470,891,218,968,896
760,626,914,1507,891,313,925,900
760,612,928,1507,891,338,941,928
759,613,928,1507,891,346,904,928
792,544,997,1507,891,377,903,928
