Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3
383,610,1508,822,1275,651,1565,608
383,459,1592,889,1196,633,1565,389
390,443,1614,889,1196,633,1453,482
410,438,1609,857,1238,633,1379,482
454,437,1480,963,1262,676,1376,482
454,437,1480,960,1265,734,1261,482
454,437,1479,954,1260,753,1249,482
446,445,1462,970,1238,753,1249,482
315,551,1281,1165,1182,723,1249,576
335,551,1247,1083,1258,723,1249,573
323,604,1246,1084,1214,723,1247,573
322,605,1246,1084,1193,698,1206,573
349,608,1178,1152,1099,663,1386,573
418,608,1178,1152,1004,599,1387,556
667,426,1360,1152,926,458,1212,556
728,394,1392,1152,770,458,858,556
763,395,1390,1154,701,458,839,556
763,357,1375,1206,700,458,763,556
699,421,1374,1207,700,458,812,556
706,397,1398,1162,701,458,825,556
767,396,1399,1159,704,458,959,455
962,396,1399,1159,472,458,959,455
951,407,1402,877,754,443,959,381
986,296,1392,980,772,501,988,396
1014,290,1339,1038,695,505,989,432
1034,287,1340,961,708,478,951,458
1040,287,1197,1062,750,500,770,476
1040,281,1194,1071,748,490,718,476
1066,281,1191,1074,717,490,717,568
1184,281,1106,1159,717,237,717,694
1170,342,906,1215,819,239,717,740
1373,383,610,1508,822,229,689,740
1402,383,459,1592,889,229,689,739
1397,390,443,1614,889,229,720,646
1380,410,438,1609,857,229,722,648
1336,454,437,1480,963,245,634,650
1336,454,437,1480,960,270,634,650
1336,454,437,1479,954,251,727,650
1336,446,445,1462,970,251,762,650
1336,315,551,1281,1165,251,762,556
1316,335,551,1247,1083,251,762,556
1275,323,604,1246,1084,255,799,558
1275,322,605,1246,1084,279,730,600
1248,349,608,1178,1152,279,526,605
1180,418,608,1178,1152,279,525,605
931,667,426,1360,1152,279,512,605
882,728,394,1392,1152,283,511,605
896,763,395,1390,1154,295,507,605
896,763,357,1375,1206,295,523,605
896,699,421,1374,1207,295,531,605
1043,706,397,1398,1162,299,518,639
1121,767,396,1399,1159,310,385,684
947,962,396,1399,1159,336,406,761
977,951,407,1402,877,369,423,942
942,986,296,1392,980,311,394,771
927,1014,290,1339,1038,306,519,740
907,1034,287,1340,961,293,627,806
901,1040,287,1197,1062,271,708,788
990,1040,281,1194,1071,270,804,845
964,1066,281,1191,1074,269,858,797
846,1184,281,1106,1159,268,1013,671
799,1170,342,906,1215,266,1046,628
555,1373,383,610,1508,266,1134,629
526,1402,383,459,1592,266,1138,639
518,1397,390,443,1614,266,1108,642
515,1380,410,438,1609,266,1034,802
528,1336,454,437,1480,207,1034,955
528,1336,454,437,1480,126,1035,955
528,1336,454,437,1479,124,944,955
544,1336,446,445,1462,124,909,955
545,1336,315,551,1281,124,909,955
545,1316,335,551,1247,124,924,959
545,1275,323,604,1246,120,888,1143
545,1275,322,605,1246,96,888,1155
668,1248,349,608,1178,97,890,1187
670,1180,418,608,1178,97,891,1189
670,931,667,426,1360,97,893,1349
658,882,728,394,1392,93,893,1453
608,896,763,395,1390,87,930,1547
690,896,763,357,1375,95,915,1547
693,896,699,421,1374,116,848,1558
562,1043,706,397,1398,167,850,1538
504,1121,767,396,1399,579,849,1549
511,947,962,396,1399,589,832,1473
478,977,951,407,1402,564,820,1367
491,942,986,296,1392,698,821,1388
478,927,1014,290,1339,708,722,1416
497,907,1034,287,1340,784,754,1408
513,901,1040,287,1197,784,702,1425
424,990,1040,281,1194,788,612,1467
424,964,1066,281,1191,860,559,1437
425,846,1184,281,1106,1055,410,1438
573,799,1170,342,906,1208,388,1438
693,555,1373,383,610,1302,306,1437
778,526,1402,383,459,1608,302,1427
936,518,1397,390,443,1659,332,1424
937,515,1380,410,438,1671,347,1262
925,528,1336,454,437,1669,377,1107
989,528,1336,454,437,1690,480,1112
1032,528,1336,454,437,1719,495,1119
1146,544,1336,446,445,1737,577,1143
1162,545,1336,315,551,1758,717,1316
1162,545,1316,335,551,1776,809,1323
1289,545,1275,323,604,1779,883,1214
1352,545,1275,322,605,1779,884,1217
1460,668,1248,349,608,1778,882,1180
1491,670,1180,418,608,1783,883,1209
1493,670,931,667,426,1826,887,1049
1533,658,882,728,394,1841,889,1079
1533,608,896,763,395,1872,852,1040
1452,690,896,763,357,1883,851,1127
