Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1
701,1079,1164,1012,646,299,462,1314,437
888,1079,1164,1012,564,366,477,1166,437
888,953,902,1400,525,404,423,1101,445
888,316,1349,1590,499,430,423,1016,551
587,607,1303,1646,370,559,423,858,551
587,604,1305,1647,370,559,423,857,604
574,646,1209,1745,370,559,421,858,605
573,650,1194,1764,349,580,387,828,608
523,702,1191,1767,300,629,373,799,608
523,702,1155,1803,300,629,364,678,426
482,740,1158,1603,500,626,367,661,394
479,724,1170,1587,523,615,378,661,395
464,645,1189,1658,527,561,432,534,357
465,646,1178,1669,527,561,432,471,421
465,646,1131,1649,594,561,421,248,397
465,632,1145,1649,594,561,417,218,396
421,509,1312,1649,594,473,408,313,396
421,509,1312,1647,596,473,343,338,407
421,509,1312,1647,596,473,335,346,296
385,545,1312,1647,596,473,303,377,290
345,633,1312,1637,606,473,283,397,287
612,633,1312,1299,944,473,283,389,287
722,633,1282,1296,977,473,275,395,281
731,633,1247,1326,980,459,243,441,281
908,633,1247,1326,900,539,208,476,281
868,675,1247,1309,871,585,208,476,342
873,675,1246,1269,841,639,219,482,383
896,675,1079,1414,765,657,299,472,383
905,675,1079,1372,805,654,304,471,390
962,675,1079,1298,879,647,298,476,410
1078,675,1079,1245,932,647,297,462,454
1090,701,1079,1164,1012,646,299,462,454
912,888,1079,1164,1012,564,366,477,454
920,888,953,902,1400,525,404,423,446
920,888,316,1349,1590,499,430,423,315
920,587,607,1303,1646,370,559,423,335
920,587,604,1305,1647,370,559,423,323
889,574,646,1209,1745,370,559,421,322
882,573,650,1194,1764,349,580,387,349
891,523,702,1191,1767,300,629,373,418
891,523,702,1155,1803,300,629,364,667
891,482,740,1158,1603,500,626,367,728
891,479,724,1170,1587,523,615,378,763
891,464,645,1189,1658,527,561,432,763
889,465,646,1178,1669,527,561,432,699
889,465,646,1131,1649,594,561,421,706
889,465,632,1145,1649,594,561,417,767
985,421,509,1312,1649,594,473,408,962
1082,421,509,1312,1647,596,473,343,951
1090,421,509,1312,1647,596,473,335,986
1090,385,545,1312,1647,596,473,303,1014
1042,345,633,1312,1637,606,473,283,1034
780,612,633,1312,1299,944,473,283,1040
716,722,633,1282,1296,977,473,275,1040
710,731,633,1247,1326,980,459,243,1066
533,908,633,1247,1326,900,539,208,1184
531,868,675,1247,1309,871,585,208,1170
839,873,675,1246,1269,841,639,219,1373
839,896,675,1079,1414,765,657,299,1402
863,905,675,1079,1372,805,654,304,1397
865,962,675,1079,1298,879,647,298,1380
749,1078,675,1079,1245,932,647,297,1336
715,1090,701,1079,1164,1012,646,299,1336
713,912,888,1079,1164,1012,564,366,1336
709,920,888,953,902,1400,525,404,1336
890,920,888,316,1349,1590,499,430,1336
1136,920,587,607,1303,1646,370,559,1316
1144,920,587,604,1305,1647,370,559,1275
1214,889,574,646,1209,1745,370,559,1275
1352,882,573,650,1194,1764,349,580,1248
1470,891,523,702,1191,1767,300,629,1180
1507,891,523,702,1155,1803,300,629,931
1507,891,482,740,1158,1603,500,626,882
1507,891,479,724,1170,1587,523,615,896
1507,891,464,645,1189,1658,527,561,896
1507,889,465,646,1178,1669,527,561,896
1659,889,465,646,1131,1649,594,561,1043
1758,889,465,632,1145,1649,594,561,1121
1805,985,421,509,1312,1649,594,473,947
1768,1082,421,509,1312,1647,596,473,977
1812,1090,421,509,1312,1647,596,473,942
1828,1090,385,545,1312,1647,596,473,927
2000,1042,345,633,1312,1637,606,473,907
2010,780,612,633,1312,1299,944,473,901
2055,716,722,633,1282,1296,977,473,990
2052,710,731,633,1247,1326,980,459,964
2060,533,908,633,1247,1326,900,539,846
2065,531,868,675,1247,1309,871,585,799
1789,839,873,675,1246,1269,841,639,555
1767,839,896,675,1079,1414,765,657,526
1734,863,905,675,1079,1372,805,654,518
1675,865,962,675,1079,1298,879,647,515
1675,749,1078,675,1079,1245,932,647,528
1683,715,1090,701,1079,1164,1012,646,528
1687,713,912,888,1079,1164,1012,564,528
1719,709,920,888,953,902,1400,525,544
1538,890,920,888,316,1349,1590,499,545
1292,1136,920,587,607,1303,1646,370,545
1286,1144,920,587,604,1305,1647,370,545
1218,1214,889,574,646,1209,1745,370,545
1080,1352,882,573,650,1194,1764,349,668
951,1470,891,523,702,1191,1767,300,670
914,1507,891,523,702,1155,1803,300,670
928,1507,891,482,740,1158,1603,500,658
928,1507,891,479,724,1170,1587,523,608
997,1507,891,464,645,1189,1658,527,690
997,1507,889,465,646,1178,1669,527,693
845,1659,889,465,646,1131,1649,594,562
746,1758,889,465,632,1145,1649,594,504
617,1805,985,421,509,1312,1649,594,511
557,1768,1082,421,509,1312,1647,596,478
511,1812,1090,421,509,1312,1647,596,491
497,1828,1090,385,545,1312,1647,596,478
