Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1
1017,567,695,473,390,347,493,555,1151
1017,565,680,471,400,356,493,555,1058
1049,521,678,517,250,506,493,555,1020
1091,521,501,703,244,473,532,458,782
1091,522,492,671,285,473,506,484,550
1091,522,432,647,369,473,467,523,564
1091,522,409,640,399,473,441,549,437
1075,538,409,640,399,473,417,537,438
1042,576,409,629,410,473,322,611,438
1082,577,409,558,481,473,322,594,443
1059,660,409,403,627,482,322,570,445
1036,683,409,366,517,629,322,570,445
1021,703,409,366,517,629,322,570,445
817,901,415,365,518,629,322,481,445
650,1050,433,363,491,658,322,481,445
549,1017,549,381,491,658,322,443,443
482,985,648,381,491,658,322,443,443
440,1026,612,418,491,658,322,442,434
387,1079,612,418,491,658,322,442,434
348,1118,534,496,491,658,322,274,434
339,1127,475,555,491,658,315,281,434
279,1179,477,561,491,479,494,281,406
273,1086,574,563,491,350,623,217,361
273,1073,587,563,491,350,623,217,342
293,1073,587,563,491,350,608,232,314
293,1050,608,565,491,350,448,392,312
273,1072,581,592,459,382,448,392,312
292,1080,585,592,453,388,448,392,312
271,1102,553,624,453,388,444,396,286
271,1026,588,673,453,388,442,398,267
314,1016,567,717,453,388,369,471,198
313,1017,567,695,473,390,347,493,324
313,1017,565,680,471,400,356,493,366
281,1049,521,678,517,250,506,493,367
230,1091,521,501,703,244,473,532,364
235,1091,522,492,671,285,473,506,262
241,1091,522,432,647,369,473,467,329
266,1091,522,409,640,399,473,441,322
266,1075,538,409,640,399,473,417,321
263,1042,576,409,629,410,473,322,321
228,1082,577,409,558,481,473,322,316
168,1059,660,409,403,627,482,322,317
255,1036,683,409,366,517,629,322,317
251,1021,703,409,366,517,629,322,317
251,817,901,415,365,518,629,322,317
251,650,1050,433,363,491,658,322,317
251,549,1017,549,381,491,658,322,317
251,482,985,648,381,491,658,322,317
251,440,1026,612,418,491,658,322,317
290,387,1079,612,418,491,658,322,317
362,348,1118,534,496,491,658,322,317
396,339,1127,475,555,491,658,315,317
443,279,1179,477,561,491,479,494,317
447,273,1086,574,563,491,350,623,317
447,273,1073,587,563,491,350,623,317
427,293,1073,587,563,491,350,608,402
427,293,1050,608,565,491,350,448,438
425,273,1072,581,592,459,382,448,438
394,292,1080,585,592,453,388,448,440
393,271,1102,553,624,453,388,444,440
385,271,1026,588,673,453,388,442,471
329,314,1016,567,717,453,388,369,469
329,313,1017,567,695,473,390,347,422
415,313,1017,565,680,471,400,356,409
417,281,1049,521,678,517,250,506,409
453,230,1091,521,501,703,244,473,409
517,235,1091,522,492,671,285,473,410
526,241,1091,522,432,647,369,473,282
512,266,1091,522,409,640,399,473,282
529,266,1075,538,409,640,399,473,282
527,263,1042,576,409,629,410,473,282
523,228,1082,577,409,558,481,473,285
523,168,1059,660,409,403,627,482,282
436,255,1036,683,409,366,517,629,282
435,251,1021,703,409,366,517,629,282
435,251,817,901,415,365,518,629,282
435,251,650,1050,433,363,491,658,282
435,251,549,1017,549,381,491,658,282
443,251,482,985,648,381,491,658,282
472,251,440,1026,612,418,491,658,282
515,290,387,1079,612,418,491,658,282
446,362,348,1118,534,496,491,658,282
412,396,339,1127,475,555,491,658,283
514,443,279,1179,477,561,491,479,284
510,447,273,1086,574,563,491,350,284
510,447,273,1073,587,563,491,350,284
510,427,293,1073,587,563,491,350,202
510,427,293,1050,608,565,491,350,287
542,425,273,1072,581,592,459,382,299
563,394,292,1080,585,592,453,388,326
569,393,271,1102,553,624,453,388,370
569,385,271,1026,588,673,453,388,518
571,329,314,1016,567,717,453,388,525
571,329,313,1017,567,695,473,390,432
523,415,313,1017,565,680,471,400,403
538,417,281,1049,521,678,517,250,402
503,453,230,1091,521,501,703,244,402
502,517,235,1091,522,492,671,285,401
694,526,241,1091,522,432,647,369,401
892,512,266,1091,522,409,640,399,405
877,529,266,1075,538,409,640,399,413
877,527,263,1042,576,409,629,410,413
984,523,228,1082,577,409,558,481,410
984,523,168,1059,660,409,403,627,452
992,436,255,1036,683,409,366,517,464
992,435,251,1021,703,409,366,517,500
992,435,251,817,901,415,365,518,500
992,435,251,650,1050,433,363,491,506
992,435,251,549,1017,549,381,491,574
984,443,251,482,985,648,381,491,821
955,472,251,440,1026,612,418,491,1091
873,515,290,387,1079,612,418,491,1091
870,446,362,348,1118,534,496,491,1121
870,412,396,339,1127,475,555,491,1158
721,514,443,279,1179,477,561,491,1157
721,510,447,273,1086,574,563,491,1247
721,510,447,273,1073,587,563,491,1247
721,510,427,293,1073,587,563,491,1244
721,510,427,293,1050,608,565,491,1123
689,542,425,273,1072,581,592,459,1111
668,563,394,292,1080,585,592,453,1179
675,569,393,271,1102,553,624,453,1135
675,569,385,271,1026,588,673,453,956
673,571,329,314,1016,567,717,453,949
707,571,329,313,1017,567,695,473,984
669,523,415,313,1017,565,680,471,1005
710,538,417,281,1049,521,678,517,1022
709,503,453,230,1091,521,501,703,1046
640,502,517,235,1091,522,492,671,1046
433,694,526,241,1091,522,432,647,1046
224,892,512,266,1091,522,409,640,1131
222,877,529,266,1075,538,409,640,1123
295,877,527,263,1042,576,409,629,1161
208,984,523,228,1082,577,409,558,1161
