Accum_y-0,T-1,T-2,Accum_y-1
632,725,652,776
626,731,652,776
627,735,652,935
627,735,651,983
627,735,651,983
693,735,651,945
693,735,632,743
693,735,625,662
693,732,628,662
693,552,782,703
693,475,820,703
693,471,824,703
693,471,824,703
765,471,804,703
866,500,797,709
871,373,790,639
893,311,807,648
972,289,784,594
1100,228,816,594
1106,198,821,594
1096,190,645,594
1008,275,628,594
947,276,688,594
947,267,697,594
947,228,736,592
940,486,739,650
919,507,700,685
1062,507,700,684
1073,533,725,661
1164,533,725,711
1100,632,725,757
1129,632,725,702
1129,626,731,702
1151,627,735,543
1151,627,735,879
1151,627,735,879
1151,693,735,874
1151,693,735,874
1158,693,735,869
1160,693,732,882
1160,693,552,889
1160,693,475,889
1160,693,471,889
1160,693,471,889
1088,765,471,905
958,866,500,893
953,871,373,892
931,893,311,881
852,972,289,888
724,1100,228,888
716,1106,198,888
716,1096,190,888
716,1008,275,888
716,947,276,888
716,947,267,888
716,947,228,898
462,940,486,892
462,919,507,896
319,1062,507,933
340,1073,533,888
378,1164,533,694
344,1100,632,655
315,1129,632,750
319,1129,626,750
299,1151,627,750
304,1151,627,366
304,1151,627,471
238,1151,693,490
238,1151,693,508
231,1158,693,511
267,1160,693,498
272,1160,693,508
276,1160,693,705
276,1160,693,727
276,1160,693,727
317,1088,765,711
317,958,866,749
447,953,871,749
468,931,893,754
468,852,972,747
471,724,1100,747
471,716,1106,747
494,716,1096,786
494,716,1008,786
536,716,947,786
597,716,947,786
597,716,947,776
597,462,940,743
605,462,919,704
605,319,1062,663
522,340,1073,832
433,378,1164,855
777,344,1100,810
777,315,1129,935
885,319,1129,935
1024,299,1151,935
1110,304,1151,935
1225,304,1151,830
1237,238,1151,811
1237,238,1151,793
1237,231,1158,790
1199,267,1160,793
1196,272,1160,735
1302,276,1160,538
1326,276,1160,516
1326,276,1160,533
1474,317,1088,533
1829,317,958,495
1722,447,953,495
1777,468,931,490
1787,468,852,490
1784,471,724,490
1784,471,716,591
1761,494,716,552
1761,494,716,626
1719,536,716,816
1658,597,716,819
1696,597,716,819
1877,597,462,800
1921,605,462,800
1922,605,319,800
1922,522,340,631
1882,433,378,608
1565,777,344,608
1565,777,315,389
1453,885,319,482
1379,1024,299,482
1376,1110,304,482
1261,1225,304,482
1249,1237,238,482
1249,1237,238,482
1249,1237,231,576
1249,1199,267,573
1247,1196,272,573
1206,1302,276,573
1386,1326,276,573
1387,1326,276,556
1212,1474,317,556
858,1829,317,556
839,1722,447,556
763,1777,468,556
812,1787,468,556
825,1784,471,556
959,1784,471,455
959,1761,494,455
959,1761,494,381
988,1719,536,396
989,1658,597,432
951,1696,597,458
770,1877,597,476
718,1921,605,476
717,1922,605,568
717,1922,522,694
717,1882,433,740
689,1565,777,740
689,1565,777,739
720,1453,885,646
722,1379,1024,648
634,1376,1110,650
634,1261,1225,650
727,1249,1237,650
762,1249,1237,650
762,1249,1237,556
762,1249,1199,556
799,1247,1196,558
730,1206,1302,600
526,1386,1326,605
525,1387,1326,605
512,1212,1474,605
511,858,1829,605
507,839,1722,605
523,763,1777,605
531,812,1787,605
518,825,1784,639
385,959,1784,684
406,959,1761,761
423,959,1761,942
394,988,1719,771
519,989,1658,740
627,951,1696,806
708,770,1877,788
804,718,1921,845
858,717,1922,797
1013,717,1922,671
1046,717,1882,628
1134,689,1565,629
1138,689,1565,639
1108,720,1453,642
1034,722,1379,802
1034,634,1376,955
1035,634,1261,955
944,727,1249,955
909,762,1249,955
909,762,1249,955
924,762,1249,959
888,799,1247,1143
888,730,1206,1155
890,526,1386,1187
891,525,1387,1189
893,512,1212,1349
893,511,858,1453
930,507,839,1547
915,523,763,1547
848,531,812,1558
850,518,825,1538
849,385,959,1549
832,406,959,1473
820,423,959,1367
821,394,988,1388
722,519,989,1416
754,627,951,1408
702,708,770,1425
612,804,718,1467
559,858,717,1437
410,1013,717,1438
388,1046,717,1438
306,1134,689,1437
302,1138,689,1427
332,1108,720,1424
347,1034,722,1262
377,1034,634,1107
480,1035,634,1112
495,944,727,1119
577,909,762,1143
717,909,762,1316
809,924,762,1323
883,888,799,1214
884,888,730,1217
882,890,526,1180
883,891,525,1209
887,893,512,1049
889,893,511,1079
852,930,507,1040
851,915,523,1127
901,848,531,1119
1010,850,518,1106
1092,849,385,1050
1091,832,406,1049
1086,820,423,974
1314,821,394,919
1335,722,519,886
1203,754,627,802
1293,702,708,798
1287,612,804,706
1306,559,858,692
1325,410,1013,691
1365,388,1046,709
1364,306,1134,709
1415,302,1138,709
1384,332,1108,774
1369,347,1034,845
1359,377,1034,845
1255,480,1035,840
1248,495,944,833
1166,577,909,815
1026,717,909,645
919,809,924,634
844,883,888,602
868,884,888,549
898,882,890,549
896,883,891,519
900,887,893,535
928,889,893,468
928,852,930,417
928,851,915,351
878,901,848,357
770,1010,850,441
708,1092,849,604
705,1091,832,607
705,1086,820,644
476,1314,821,644
428,1335,722,641
428,1203,754,641
309,1293,702,628
311,1287,612,621
309,1306,559,622
347,1325,410,622
316,1365,388,601
321,1364,306,620
351,1415,302,627
359,1384,332,562
359,1369,347,517
339,1359,377,556
339,1255,480,556
337,1248,495,556
337,1166,577,570
337,1026,717,574
337,919,809,708
367,844,883,708
342,868,884,749
391,898,882,778
399,896,883,804
388,900,887,982
358,928,889,935
358,928,852,931
358,928,851,910
358,878,901,901
355,770,1010,816
378,708,1092,692
378,705,1091,689
378,705,1086,652
378,476,1314,652
378,428,1335,652
370,428,1203,652
370,309,1293,652
388,311,1287,652
375,309,1306,651
312,347,1325,651
297,316,1365,651
296,321,1364,632
215,351,1415,625
219,359,1384,628
219,359,1369,782
219,339,1359,820
219,339,1255,824
211,337,1248,824
211,337,1166,804
211,337,1026,797
211,337,919,790
181,367,844,807
181,342,868,784
102,391,898,816
94,399,896,821
124,388,900,645
154,358,928,628
197,358,928,688
259,358,928,697
330,358,878,736
