Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
523,702,1191,1767,300,629,373,799,608,805,1326,533
523,702,1155,1803,300,629,364,678,426,861,1474,533
482,740,1158,1603,500,626,367,661,394,822,1829,495
479,724,1170,1587,523,615,378,661,395,822,1722,495
464,645,1189,1658,527,561,432,534,357,822,1777,490
465,646,1178,1669,527,561,432,471,421,817,1787,490
465,646,1131,1649,594,561,421,248,397,817,1784,490
465,632,1145,1649,594,561,417,218,396,817,1784,591
421,509,1312,1649,594,473,408,313,396,811,1761,552
421,509,1312,1647,596,473,343,338,407,770,1761,626
421,509,1312,1647,596,473,335,346,296,639,1719,816
385,545,1312,1647,596,473,303,377,290,540,1658,819
345,633,1312,1637,606,473,283,397,287,579,1696,819
612,633,1312,1299,944,473,283,389,287,440,1877,800
722,633,1282,1296,977,473,275,395,281,401,1921,800
731,633,1247,1326,980,459,243,441,281,402,1922,800
908,633,1247,1326,900,539,208,476,281,656,1922,631
868,675,1247,1309,871,585,208,476,342,642,1882,608
873,675,1246,1269,841,639,219,482,383,651,1565,608
896,675,1079,1414,765,657,299,472,383,633,1565,389
905,675,1079,1372,805,654,304,471,390,633,1453,482
962,675,1079,1298,879,647,298,476,410,633,1379,482
1078,675,1079,1245,932,647,297,462,454,676,1376,482
1090,701,1079,1164,1012,646,299,462,454,734,1261,482
912,888,1079,1164,1012,564,366,477,454,753,1249,482
920,888,953,902,1400,525,404,423,446,753,1249,482
920,888,316,1349,1590,499,430,423,315,723,1249,576
920,587,607,1303,1646,370,559,423,335,723,1249,573
920,587,604,1305,1647,370,559,423,323,723,1247,573
889,574,646,1209,1745,370,559,421,322,698,1206,573
882,573,650,1194,1764,349,580,387,349,663,1386,573
891,523,702,1191,1767,300,629,373,418,599,1387,556
891,523,702,1155,1803,300,629,364,667,458,1212,556
891,482,740,1158,1603,500,626,367,728,458,858,556
891,479,724,1170,1587,523,615,378,763,458,839,556
891,464,645,1189,1658,527,561,432,763,458,763,556
889,465,646,1178,1669,527,561,432,699,458,812,556
889,465,646,1131,1649,594,561,421,706,458,825,556
889,465,632,1145,1649,594,561,417,767,458,959,455
985,421,509,1312,1649,594,473,408,962,458,959,455
1082,421,509,1312,1647,596,473,343,951,443,959,381
1090,421,509,1312,1647,596,473,335,986,501,988,396
1090,385,545,1312,1647,596,473,303,1014,505,989,432
1042,345,633,1312,1637,606,473,283,1034,478,951,458
780,612,633,1312,1299,944,473,283,1040,500,770,476
716,722,633,1282,1296,977,473,275,1040,490,718,476
710,731,633,1247,1326,980,459,243,1066,490,717,568
533,908,633,1247,1326,900,539,208,1184,237,717,694
531,868,675,1247,1309,871,585,208,1170,239,717,740
839,873,675,1246,1269,841,639,219,1373,229,689,740
839,896,675,1079,1414,765,657,299,1402,229,689,739
863,905,675,1079,1372,805,654,304,1397,229,720,646
865,962,675,1079,1298,879,647,298,1380,229,722,648
749,1078,675,1079,1245,932,647,297,1336,245,634,650
715,1090,701,1079,1164,1012,646,299,1336,270,634,650
713,912,888,1079,1164,1012,564,366,1336,251,727,650
709,920,888,953,902,1400,525,404,1336,251,762,650
890,920,888,316,1349,1590,499,430,1336,251,762,556
1136,920,587,607,1303,1646,370,559,1316,251,762,556
1144,920,587,604,1305,1647,370,559,1275,255,799,558
1214,889,574,646,1209,1745,370,559,1275,279,730,600
1352,882,573,650,1194,1764,349,580,1248,279,526,605
1470,891,523,702,1191,1767,300,629,1180,279,525,605
1507,891,523,702,1155,1803,300,629,931,279,512,605
1507,891,482,740,1158,1603,500,626,882,283,511,605
1507,891,479,724,1170,1587,523,615,896,295,507,605
1507,891,464,645,1189,1658,527,561,896,295,523,605
1507,889,465,646,1178,1669,527,561,896,295,531,605
1659,889,465,646,1131,1649,594,561,1043,299,518,639
1758,889,465,632,1145,1649,594,561,1121,310,385,684
1805,985,421,509,1312,1649,594,473,947,336,406,761
1768,1082,421,509,1312,1647,596,473,977,369,423,942
1812,1090,421,509,1312,1647,596,473,942,311,394,771
1828,1090,385,545,1312,1647,596,473,927,306,519,740
2000,1042,345,633,1312,1637,606,473,907,293,627,806
2010,780,612,633,1312,1299,944,473,901,271,708,788
2055,716,722,633,1282,1296,977,473,990,270,804,845
2052,710,731,633,1247,1326,980,459,964,269,858,797
2060,533,908,633,1247,1326,900,539,846,268,1013,671
2065,531,868,675,1247,1309,871,585,799,266,1046,628
1789,839,873,675,1246,1269,841,639,555,266,1134,629
1767,839,896,675,1079,1414,765,657,526,266,1138,639
1734,863,905,675,1079,1372,805,654,518,266,1108,642
1675,865,962,675,1079,1298,879,647,515,266,1034,802
1675,749,1078,675,1079,1245,932,647,528,207,1034,955
1683,715,1090,701,1079,1164,1012,646,528,126,1035,955
1687,713,912,888,1079,1164,1012,564,528,124,944,955
1719,709,920,888,953,902,1400,525,544,124,909,955
1538,890,920,888,316,1349,1590,499,545,124,909,955
1292,1136,920,587,607,1303,1646,370,545,124,924,959
1286,1144,920,587,604,1305,1647,370,545,120,888,1143
1218,1214,889,574,646,1209,1745,370,545,96,888,1155
1080,1352,882,573,650,1194,1764,349,668,97,890,1187
951,1470,891,523,702,1191,1767,300,670,97,891,1189
914,1507,891,523,702,1155,1803,300,670,97,893,1349
928,1507,891,482,740,1158,1603,500,658,93,893,1453
928,1507,891,479,724,1170,1587,523,608,87,930,1547
997,1507,891,464,645,1189,1658,527,690,95,915,1547
997,1507,889,465,646,1178,1669,527,693,116,848,1558
845,1659,889,465,646,1131,1649,594,562,167,850,1538
746,1758,889,465,632,1145,1649,594,504,579,849,1549
617,1805,985,421,509,1312,1649,594,511,589,832,1473
557,1768,1082,421,509,1312,1647,596,478,564,820,1367
511,1812,1090,421,509,1312,1647,596,491,698,821,1388
497,1828,1090,385,545,1312,1647,596,478,708,722,1416
325,2000,1042,345,633,1312,1637,606,497,784,754,1408
310,2010,780,612,633,1312,1299,944,513,784,702,1425
219,2055,716,722,633,1282,1296,977,424,788,612,1467
219,2052,710,731,633,1247,1326,980,424,860,559,1437
211,2060,533,908,633,1247,1326,900,425,1055,410,1438
234,2065,531,868,675,1247,1309,871,573,1208,388,1438
197,1789,839,873,675,1246,1269,841,693,1302,306,1437
196,1767,839,896,675,1079,1414,765,778,1608,302,1427
196,1734,863,905,675,1079,1372,805,936,1659,332,1424
196,1675,865,962,675,1079,1298,879,937,1671,347,1262
279,1675,749,1078,675,1079,1245,932,925,1669,377,1107
267,1683,715,1090,701,1079,1164,1012,989,1690,480,1112
256,1687,713,912,888,1079,1164,1012,1032,1719,495,1119
328,1719,709,920,888,953,902,1400,1146,1737,577,1143
328,1538,890,920,888,316,1349,1590,1162,1758,717,1316
358,1292,1136,920,587,607,1303,1646,1162,1776,809,1323
441,1286,1144,920,587,604,1305,1647,1289,1779,883,1214
440,1218,1214,889,574,646,1209,1745,1352,1779,884,1217
443,1080,1352,882,573,650,1194,1764,1460,1778,882,1180
614,951,1470,891,523,702,1191,1767,1491,1783,883,1209
626,914,1507,891,523,702,1155,1803,1493,1826,887,1049
612,928,1507,891,482,740,1158,1603,1533,1841,889,1079
613,928,1507,891,479,724,1170,1587,1533,1872,852,1040
544,997,1507,891,464,645,1189,1658,1452,1883,851,1127
624,997,1507,889,465,646,1178,1669,1449,2057,901,1119
640,845,1659,889,465,646,1131,1649,1434,2057,1010,1106
688,746,1758,889,465,632,1145,1649,1355,1690,1092,1050
702,617,1805,985,421,509,1312,1649,1329,1871,1091,1049
816,557,1768,1082,421,509,1312,1647,1329,1902,1086,974
821,511,1812,1090,421,509,1312,1647,1316,1787,1314,919
829,497,1828,1090,385,545,1312,1647,1316,1792,1335,886
906,325,2000,1042,345,633,1312,1637,1307,1719,1203,802
917,310,2010,780,612,633,1312,1299,1292,1719,1293,798
942,219,2055,716,722,633,1282,1296,1300,1715,1287,706
942,219,2052,710,731,633,1247,1326,1315,1654,1306,692
945,211,2060,533,908,633,1247,1326,1314,1464,1325,691
938,234,2065,531,868,675,1247,1309,1166,1311,1365,709
990,197,1789,839,873,675,1246,1269,1101,1217,1364,709
1012,196,1767,839,896,675,1079,1414,1016,911,1415,709
1013,196,1734,863,905,675,1079,1372,858,860,1384,774
1013,196,1675,865,962,675,1079,1298,857,852,1369,845
930,279,1675,749,1078,675,1079,1245,858,897,1359,845
987,267,1683,715,1090,701,1079,1164,828,948,1255,840
1003,256,1687,713,912,888,1079,1164,799,1015,1248,833
895,328,1719,709,920,888,953,902,678,1006,1166,815
960,328,1538,890,920,888,316,1349,661,985,1026,645
935,358,1292,1136,920,587,607,1303,661,967,919,634
861,441,1286,1144,920,587,604,1305,534,964,844,602
910,440,1218,1214,889,574,646,1209,471,973,868,549
943,443,1080,1352,882,573,650,1194,248,973,898,549
772,614,951,1470,891,523,702,1191,218,968,896,519
760,626,914,1507,891,523,702,1155,313,925,900,535
760,612,928,1507,891,482,740,1158,338,941,928,468
759,613,928,1507,891,479,724,1170,346,904,928,417
792,544,997,1507,891,464,645,1189,377,903,928,351
