Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3
1675,865,962,675,1079,1298,879,515,266,1034
1675,749,1078,675,1079,1245,932,528,207,1034
1683,715,1090,701,1079,1164,1012,528,126,1035
1687,713,912,888,1079,1164,1012,528,124,944
1719,709,920,888,953,902,1400,544,124,909
1538,890,920,888,316,1349,1590,545,124,909
1292,1136,920,587,607,1303,1646,545,124,924
1286,1144,920,587,604,1305,1647,545,120,888
1218,1214,889,574,646,1209,1745,545,96,888
1080,1352,882,573,650,1194,1764,668,97,890
951,1470,891,523,702,1191,1767,670,97,891
914,1507,891,523,702,1155,1803,670,97,893
928,1507,891,482,740,1158,1603,658,93,893
928,1507,891,479,724,1170,1587,608,87,930
997,1507,891,464,645,1189,1658,690,95,915
997,1507,889,465,646,1178,1669,693,116,848
845,1659,889,465,646,1131,1649,562,167,850
746,1758,889,465,632,1145,1649,504,579,849
617,1805,985,421,509,1312,1649,511,589,832
557,1768,1082,421,509,1312,1647,478,564,820
511,1812,1090,421,509,1312,1647,491,698,821
497,1828,1090,385,545,1312,1647,478,708,722
325,2000,1042,345,633,1312,1637,497,784,754
310,2010,780,612,633,1312,1299,513,784,702
219,2055,716,722,633,1282,1296,424,788,612
219,2052,710,731,633,1247,1326,424,860,559
211,2060,533,908,633,1247,1326,425,1055,410
234,2065,531,868,675,1247,1309,573,1208,388
197,1789,839,873,675,1246,1269,693,1302,306
196,1767,839,896,675,1079,1414,778,1608,302
196,1734,863,905,675,1079,1372,936,1659,332
196,1675,865,962,675,1079,1298,937,1671,347
279,1675,749,1078,675,1079,1245,925,1669,377
267,1683,715,1090,701,1079,1164,989,1690,480
256,1687,713,912,888,1079,1164,1032,1719,495
328,1719,709,920,888,953,902,1146,1737,577
328,1538,890,920,888,316,1349,1162,1758,717
358,1292,1136,920,587,607,1303,1162,1776,809
441,1286,1144,920,587,604,1305,1289,1779,883
440,1218,1214,889,574,646,1209,1352,1779,884
443,1080,1352,882,573,650,1194,1460,1778,882
614,951,1470,891,523,702,1191,1491,1783,883
626,914,1507,891,523,702,1155,1493,1826,887
612,928,1507,891,482,740,1158,1533,1841,889
613,928,1507,891,479,724,1170,1533,1872,852
544,997,1507,891,464,645,1189,1452,1883,851
624,997,1507,889,465,646,1178,1449,2057,901
640,845,1659,889,465,646,1131,1434,2057,1010
688,746,1758,889,465,632,1145,1355,1690,1092
702,617,1805,985,421,509,1312,1329,1871,1091
816,557,1768,1082,421,509,1312,1329,1902,1086
821,511,1812,1090,421,509,1312,1316,1787,1314
829,497,1828,1090,385,545,1312,1316,1792,1335
906,325,2000,1042,345,633,1312,1307,1719,1203
917,310,2010,780,612,633,1312,1292,1719,1293
942,219,2055,716,722,633,1282,1300,1715,1287
942,219,2052,710,731,633,1247,1315,1654,1306
945,211,2060,533,908,633,1247,1314,1464,1325
