Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3
1238,252,272,341,1217,1302,266,255,693,743
1182,318,271,343,911,1608,266,364,693,662
1258,358,270,344,860,1659,266,425,693,662
1214,402,253,357,852,1671,266,425,693,703
1193,423,208,357,897,1669,207,433,693,703
1099,517,208,283,948,1690,126,433,693,703
1004,612,208,187,1015,1719,124,428,693,703
926,690,208,178,1006,1737,124,402,765,703
770,846,205,181,985,1758,124,402,866,709
701,915,200,186,967,1776,124,402,871,639
700,917,194,192,964,1779,120,402,893,648
700,917,194,183,973,1779,96,364,972,594
701,961,194,183,973,1778,97,356,1100,594
704,961,194,183,968,1783,97,435,1106,594
472,1193,194,183,925,1826,97,435,1096,594
754,1193,192,154,941,1841,93,435,1008,594
772,1186,198,155,904,1872,87,488,947,594
695,1264,161,174,903,1883,95,488,947,594
708,1330,133,202,708,2057,116,528,947,592
750,1330,133,202,653,2057,167,630,940,650
748,1327,119,221,597,1690,579,633,919,685
717,1358,119,221,380,1871,589,648,1062,684
717,1303,174,221,341,1902,564,611,1073,661
819,1297,218,224,323,1787,698,674,1164,711
822,1275,238,226,308,1792,708,674,1100,757
889,1196,317,226,303,1719,784,711,1129,702
889,1196,317,226,303,1719,784,698,1129,702
857,1238,316,227,303,1715,788,690,1151,543
963,1262,316,227,292,1654,860,726,1151,879
960,1265,316,224,290,1464,1055,741,1151,879
954,1260,312,221,309,1311,1208,760,1151,874
970,1238,252,272,341,1217,1302,754,1151,874
1165,1182,318,271,343,911,1608,864,1158,869
1083,1258,358,270,344,860,1659,811,1160,882
1084,1214,402,253,357,852,1671,1097,1160,889
1084,1193,423,208,357,897,1669,1101,1160,889
1152,1099,517,208,283,948,1690,1102,1160,889
1152,1004,612,208,187,1015,1719,1104,1160,889
1152,926,690,208,178,1006,1737,1104,1088,905
1152,770,846,205,181,985,1758,1105,958,893
1154,701,915,200,186,967,1776,1105,953,892
1206,700,917,194,192,964,1779,1164,931,881
1207,700,917,194,183,973,1779,1164,852,888
1162,701,961,194,183,973,1778,1164,724,888
1159,704,961,194,183,968,1783,1055,716,888
1159,472,1193,194,183,925,1826,1055,716,888
877,754,1193,192,154,941,1841,1055,716,888
980,772,1186,198,155,904,1872,1002,716,888
1038,695,1264,161,174,903,1883,1002,716,888
961,708,1330,133,202,708,2057,962,716,898
1062,750,1330,133,202,653,2057,860,462,892
1071,748,1327,119,221,597,1690,857,462,896
1074,717,1358,119,221,380,1871,859,319,933
1159,717,1303,174,221,341,1902,854,340,888
1215,819,1297,218,224,323,1787,812,378,694
1508,822,1275,238,226,308,1792,833,344,655
1592,889,1196,317,226,303,1719,811,315,750
1614,889,1196,317,226,303,1719,811,319,750
1609,857,1238,316,227,303,1715,937,299,750
1480,963,1262,316,227,292,1654,1032,304,366
1480,960,1265,316,224,290,1464,1032,304,471
1479,954,1260,312,221,309,1311,989,238,490
1462,970,1238,252,272,341,1217,946,238,508
1281,1165,1182,318,271,343,911,729,231,511
1247,1083,1258,358,270,344,860,735,267,498
1246,1084,1214,402,253,357,852,451,272,508
1246,1084,1193,423,208,357,897,458,276,705
1178,1152,1099,517,208,283,948,457,276,727
1178,1152,1004,612,208,187,1015,467,276,727
1360,1152,926,690,208,178,1006,552,317,711
1392,1152,770,846,205,181,985,590,317,749
1390,1154,701,915,200,186,967,590,447,749
1375,1206,700,917,194,192,964,531,468,754
1374,1207,700,917,194,183,973,536,468,747
1398,1162,701,961,194,183,973,536,471,747
1399,1159,704,961,194,183,968,536,471,747
1399,1159,472,1193,194,183,925,542,494,786
