Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3
663,124,878,298,142
489,297,888,360,142
482,304,884,366,142
478,308,1047,383,152
478,308,952,426,152
433,353,1012,526,152
423,378,969,526,136
339,534,967,582,147
345,569,890,594,161
205,723,840,599,155
205,723,823,620,113
205,723,854,638,104
239,724,806,626,107
240,719,834,601,107
240,719,834,614,107
224,733,859,615,97
236,733,859,613,73
234,735,918,644,73
218,751,910,743,104
218,751,835,734,104
218,751,792,683,104
229,751,792,763,167
229,691,734,785,212
229,690,711,787,225
222,697,711,788,225
222,697,689,786,225
222,697,689,921,227
222,697,731,931,227
228,692,731,996,283
240,692,731,992,350
240,666,731,983,355
240,663,731,983,366
240,489,724,921,366
240,482,700,914,366
240,478,609,897,356
240,478,683,854,358
240,433,679,754,358
225,423,719,754,358
153,339,716,698,347
112,345,716,686,317
106,205,716,681,310
110,205,716,723,310
110,205,745,682,310
73,239,772,679,301
72,240,711,693,301
80,240,687,680,301
61,224,708,679,301
49,236,726,679,315
53,234,667,600,319
160,218,666,499,288
183,218,666,460,288
183,218,666,523,288
172,229,666,453,225
177,229,666,482,197
207,229,665,477,276
207,222,665,534,298
207,222,665,506,323
207,222,665,371,321
207,222,623,361,335
201,228,623,297,601
189,240,623,297,910
189,240,623,329,921
190,240,623,329,917
212,240,653,329,917
329,240,757,329,917
430,240,806,362,957
495,240,621,369,955
495,240,520,464,1044
498,225,474,577,1046
528,153,473,583,1046
531,112,473,698,1041
523,106,473,718,1041
568,110,509,655,1041
641,110,449,672,1130
713,73,421,674,1193
713,72,438,660,1256
705,80,470,660,1256
705,61,448,660,1294
705,49,449,660,1280
840,53,472,660,1276
749,160,512,794,1365
726,183,552,825,1391
726,183,599,926,1391
726,172,610,938,1391
721,177,610,898,1374
691,207,645,900,1281
691,207,645,840,1259
691,207,645,840,1234
691,207,646,859,1293
691,207,646,864,1282
691,201,658,863,986
691,189,689,857,620
691,189,689,805,638
690,190,705,805,646
668,212,649,805,662
551,329,577,805,669
450,430,508,772,629
385,495,506,765,629
480,495,506,670,540
484,498,533,557,677
464,528,533,551,677
461,531,533,436,677
466,523,533,416,677
417,568,497,416,677
344,641,497,391,588
272,713,487,388,532
273,713,470,388,469
286,705,438,388,469
295,705,408,388,431
316,705,389,388,431
251,840,400,388,431
250,749,384,254,342
295,726,359,223,316
366,726,312,59,320
383,726,301,37,320
395,721,301,65,320
395,691,266,96,320
419,691,266,97,320
426,691,266,97,381
426,691,272,78,322
426,691,273,73,374
426,691,261,73,351
426,691,230,75,541
426,691,268,75,512
426,690,252,75,510
426,668,252,75,494
426,551,217,75,488
426,450,158,77,640
426,385,158,77,682
331,480,158,77,707
324,484,209,77,568
363,464,209,77,568
364,461,209,132,568
359,466,209,132,608
359,417,293,132,626
359,344,350,132,763
359,272,358,142,900
364,273,358,142,900
351,286,358,185,1112
342,295,358,276,1139
321,316,358,352,1139
247,251,324,352,1139
232,250,300,352,1139
187,295,285,352,1139
116,366,285,352,1135
131,383,285,352,1135
129,395,382,406,1135
129,395,443,395,1135
105,419,443,394,1190
220,426,443,508,1140
258,426,436,569,1140
363,426,436,632,1086
438,426,436,632,1083
438,426,436,630,955
438,426,398,630,1028
438,426,398,630,1015
438,426,386,647,1015
438,426,386,647,1014
438,426,386,852,862
559,426,386,853,820
606,331,386,853,795
607,324,391,853,795
568,363,472,864,796
622,364,539,809,796
622,359,539,830,756
660,359,455,832,738
763,359,440,833,601
804,359,439,829,457
846,364,474,829,457
900,351,474,786,245
902,342,474,695,218
902,321,474,619,218
902,247,475,619,218
902,232,581,619,242
902,187,581,619,242
902,116,656,630,245
870,131,656,709,245
860,129,620,689,269
860,129,740,793,376
860,105,742,825,330
738,220,780,877,418
700,258,814,816,535
678,363,820,832,546
614,438,863,832,787
624,438,863,953,801
624,438,865,964,996
624,438,953,968,1001
624,438,955,965,1001
624,438,956,1015,1001
624,438,956,900,1001
569,559,956,950,1001
526,606,956,951,1040
525,607,873,951,1204
521,568,792,940,1288
466,622,801,1086,1378
466,622,802,1067,1442
428,660,803,1065,1442
484,763,892,1064,1442
443,804,885,1058,1442
395,846,850,1058,1442
341,900,850,1058,1457
801,902,902,1058,1509
801,902,903,1058,1509
801,902,1132,1071,1512
823,902,1042,1078,1513
838,902,1079,1078,1933
838,902,1006,1067,1967
838,870,1008,988,1972
838,860,947,915,1958
838,860,766,789,1923
838,860,764,757,1917
838,738,726,591,1823
838,700,692,591,1741
755,678,685,512,1793
744,614,642,512,1664
743,624,642,391,1588
763,624,640,380,1315
807,624,552,376,1310
810,624,569,362,1310
834,624,568,312,1310
926,624,568,220,1310
884,569,568,169,1349
880,526,568,239,1310
880,525,568,333,1153
874,521,568,416,1069
874,466,494,310,979
876,466,493,320,915
884,428,500,377,915
744,484,414,387,915
816,443,457,452,915
816,395,457,580,915
831,341,457,637,900
398,801,469,637,848
402,801,468,637,848
403,801,296,624,845
