Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
974,1417,1122,902,384,955,1132,1093,982,448,424
1304,1369,1173,903,347,992,1113,1093,982,448,427
1268,1313,1266,903,347,992,1113,1092,983,448,464
1267,1197,1383,903,132,1207,1363,1044,1022,444,542
1267,1155,1425,903,128,1211,1469,1087,1097,442,544
1267,1084,1448,951,107,1219,1553,1087,1112,369,663
1267,962,1409,1112,102,1224,1539,1043,1124,347,956
1223,992,1376,1159,102,1179,1666,904,1221,356,967
1179,995,1399,1177,102,1076,1748,470,1249,506,1206
1179,987,1401,1183,83,976,1748,469,1278,473,1196
1179,984,1398,1123,136,972,1748,469,1278,473,1155
1179,936,1374,1195,107,954,1736,469,1278,473,1138
1087,834,1320,1443,66,831,1682,469,1278,473,1075
1196,659,1495,1443,66,740,1670,468,1271,473,1055
1202,625,1529,1443,66,706,1391,468,1252,473,1043
1207,565,1589,1419,90,621,1391,409,1252,473,1043
912,840,1618,1417,92,621,1391,409,1252,482,1024
871,881,1618,1417,92,604,1390,354,1229,629,1024
847,810,1713,1311,198,534,1390,326,1229,629,1022
751,899,1689,1261,279,510,1376,327,1229,629,989
771,907,1656,1204,370,510,1320,658,1233,658,1126
772,906,1583,1278,370,475,1239,759,1239,658,1123
767,903,1591,1250,398,475,1234,776,1167,658,1123
767,901,1593,1235,413,475,1138,673,1081,658,1123
767,901,1588,1220,433,475,1020,560,1053,658,1123
716,952,1560,1237,444,475,1022,610,1056,658,1123
659,1009,1472,1290,479,475,1020,652,875,658,1123
710,1035,1428,1175,638,475,867,652,836,479,1123
729,1035,1304,1213,724,475,878,652,641,350,1123
679,1028,1307,1267,724,469,860,631,641,350,1094
668,963,1382,1230,762,419,842,631,539,350,1086
590,974,1417,1122,902,384,772,631,518,350,1033
256,1304,1369,1173,903,347,771,631,537,382,1144
255,1268,1313,1266,903,347,771,629,654,388,1112
312,1267,1197,1383,903,132,527,628,620,388,1029
312,1267,1155,1425,903,128,434,575,562,388,1060
312,1267,1084,1448,951,107,358,575,539,388,1025
479,1267,962,1409,1112,102,358,586,549,390,742
489,1223,992,1376,1159,102,184,596,453,400,731
530,1179,995,1399,1177,102,118,613,427,250,492
530,1179,987,1401,1183,83,174,652,456,244,492
530,1179,984,1398,1123,136,193,825,456,285,492
544,1179,936,1374,1195,107,381,842,456,369,492
549,1087,834,1320,1443,66,630,842,456,399,493
440,1196,659,1495,1443,66,609,842,456,399,474
434,1202,625,1529,1443,66,613,842,509,410,502
429,1207,565,1589,1419,90,677,842,512,481,515
420,912,840,1618,1417,92,682,842,518,627,515
420,871,881,1618,1417,92,682,842,537,517,515
425,847,810,1713,1311,198,683,843,551,517,515
476,751,899,1689,1261,279,683,842,551,518,514
447,771,907,1656,1204,370,683,511,420,491,319
446,772,906,1583,1278,370,683,398,414,491,337
446,767,903,1591,1250,398,683,368,425,491,340
446,767,901,1593,1235,413,683,368,456,491,340
446,767,901,1588,1220,433,683,367,478,491,370
446,716,952,1560,1237,444,680,317,552,491,496
456,659,1009,1472,1290,479,680,275,624,491,550
379,710,1035,1428,1175,638,655,280,645,491,581
360,729,1035,1304,1213,724,715,323,618,491,581
360,679,1028,1307,1267,724,747,383,757,491,596
374,668,963,1382,1230,762,752,424,746,491,703
375,590,974,1417,1122,902,784,477,743,491,950
375,256,1304,1369,1173,903,934,481,724,459,871
375,255,1268,1313,1266,903,995,481,643,453,905
318,312,1267,1197,1383,903,990,483,638,453,1257
318,312,1267,1155,1425,903,977,476,598,453,1400
318,312,1267,1084,1448,951,969,476,715,453,1421
151,479,1267,962,1409,1112,976,465,713,473,1411
380,489,1223,992,1376,1159,977,455,753,471,1412
352,530,1179,995,1399,1177,961,438,753,517,1413
352,530,1179,987,1401,1183,928,493,695,703,1416
352,530,1179,984,1398,1123,927,338,713,671,1465
338,544,1179,936,1374,1195,739,402,766,647,1651
333,549,1087,834,1320,1443,490,471,839,640,1702
333,440,1196,659,1495,1443,489,522,848,640,1720
333,434,1202,625,1529,1443,485,547,795,629,1666
406,429,1207,565,1589,1419,421,547,834,558,1716
