Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1
285,312,599,666,792,978,352
285,301,610,666,792,963,352
382,301,610,666,734,970,406
443,266,645,665,711,994,395
443,266,645,665,711,981,394
443,266,645,665,689,1003,508
436,272,646,665,689,998,569
436,273,646,623,731,998,632
436,261,658,623,731,979,632
436,230,689,623,731,974,630
398,268,689,623,731,934,630
398,252,705,623,731,878,630
386,252,649,653,724,888,647
386,217,577,757,700,884,647
386,158,508,806,609,1047,852
386,158,506,621,683,952,853
386,158,506,520,679,1012,853
391,209,533,474,719,969,853
472,209,533,473,716,967,864
539,209,533,473,716,890,809
539,209,533,473,716,840,830
455,293,497,509,716,823,832
440,350,497,449,745,854,833
439,358,487,421,772,806,829
474,358,470,438,711,834,829
474,358,438,470,687,834,786
474,358,408,448,708,859,695
474,358,389,449,726,859,619
475,324,400,472,667,918,619
581,300,384,512,666,910,619
581,285,359,552,666,835,619
656,285,312,599,666,792,630
656,285,301,610,666,792,709
620,382,301,610,666,734,689
740,443,266,645,665,711,793
742,443,266,645,665,711,825
780,443,266,645,665,689,877
814,436,272,646,665,689,816
820,436,273,646,623,731,832
863,436,261,658,623,731,832
863,436,230,689,623,731,953
865,398,268,689,623,731,964
953,398,252,705,623,731,968
955,386,252,649,653,724,965
956,386,217,577,757,700,1015
956,386,158,508,806,609,900
956,386,158,506,621,683,950
956,386,158,506,520,679,951
873,391,209,533,474,719,951
792,472,209,533,473,716,940
801,539,209,533,473,716,1086
802,539,209,533,473,716,1067
803,455,293,497,509,716,1065
892,440,350,497,449,745,1064
885,439,358,487,421,772,1058
850,474,358,470,438,711,1058
850,474,358,438,470,687,1058
902,474,358,408,448,708,1058
903,474,358,389,449,726,1058
1132,475,324,400,472,667,1071
1042,581,300,384,512,666,1078
1079,581,285,359,552,666,1078
1006,656,285,312,599,666,1067
1008,656,285,301,610,666,988
947,620,382,301,610,666,915
766,740,443,266,645,665,789
764,742,443,266,645,665,757
726,780,443,266,645,665,591
692,814,436,272,646,665,591
685,820,436,273,646,623,512
642,863,436,261,658,623,512
642,863,436,230,689,623,391
640,865,398,268,689,623,380
552,953,398,252,705,623,376
569,955,386,252,649,653,362
568,956,386,217,577,757,312
568,956,386,158,508,806,220
568,956,386,158,506,621,169
568,956,386,158,506,520,239
568,873,391,209,533,474,333
568,792,472,209,533,473,416
494,801,539,209,533,473,310
493,802,539,209,533,473,320
500,803,455,293,497,509,377
414,892,440,350,497,449,387
457,885,439,358,487,421,452
457,850,474,358,470,438,580
457,850,474,358,438,470,637
469,902,474,358,408,448,637
468,903,474,358,389,449,637
296,1132,475,324,400,472,624
280,1042,581,300,384,512,617
243,1079,581,285,359,552,617
241,1006,656,285,312,599,622
239,1008,656,285,301,610,681
251,947,620,382,301,610,681
251,766,740,443,266,645,716
251,764,742,443,266,645,790
251,726,780,443,266,645,790
251,692,814,436,272,646,790
251,685,820,436,273,646,803
266,642,863,436,261,658,815
336,642,863,436,230,689,885
369,640,865,398,268,689,889
404,552,953,398,252,705,892
385,569,955,386,252,649,931
398,568,956,386,217,577,958
411,568,956,386,158,508,963
411,568,956,386,158,506,963
411,568,956,386,158,506,1002
411,568,873,391,209,533,908
411,568,792,472,209,533,825
409,494,801,539,209,533,785
411,493,802,539,209,533,788
425,500,803,455,293,497,731
380,414,892,440,350,497,721
337,457,885,439,358,487,656
337,457,850,474,358,470,528
337,457,850,474,358,438,471
295,469,902,474,358,408,471
296,468,903,474,358,389,492
238,296,1132,475,324,400,553
238,280,1042,581,300,384,587
238,243,1079,581,285,359,631
247,241,1006,656,285,312,651
247,239,1008,656,285,301,622
235,251,947,620,382,301,681
235,251,766,740,443,266,648
235,251,764,742,443,266,576
235,251,726,780,443,266,576
235,251,692,814,436,272,603
235,251,685,820,436,273,609
220,266,642,863,436,261,597
150,336,642,863,436,230,530
117,369,640,865,398,268,526
86,404,552,953,398,252,529
86,385,569,955,386,252,491
191,398,568,956,386,217,471
249,411,568,956,386,158,466
331,411,568,956,386,158,466
530,411,568,956,386,158,356
561,411,568,873,391,209,356
561,411,568,792,472,209,357
561,409,494,801,539,209,366
559,411,493,802,539,209,546
537,425,500,803,455,293,618
537,380,414,892,440,350,710
542,337,457,885,439,358,753
547,337,457,850,474,358,801
547,337,457,850,474,358,809
525,295,469,902,474,358,820
524,296,468,903,474,358,800
524,238,296,1132,475,324,739
524,238,280,1042,581,300,705
525,238,243,1079,581,285,665
522,247,241,1006,656,285,640
522,247,239,1008,656,285,657
531,235,251,947,620,382,614
549,235,251,766,740,443,682
549,235,251,764,742,443,711
550,235,251,726,780,443,747
550,235,251,692,814,436,720
