Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
763,1777,468,931,893,311,807,556,1079,530,118,613
812,1787,468,852,972,289,784,556,1155,530,174,652
825,1784,471,724,1100,228,816,556,1253,530,193,825
959,1784,471,716,1106,198,821,455,1302,544,381,842
959,1761,494,716,1096,190,645,455,1264,549,630,842
959,1761,494,716,1008,275,628,381,1190,440,609,842
988,1719,536,716,947,276,688,396,1257,434,613,842
989,1658,597,716,947,267,697,432,1091,429,677,842
951,1696,597,716,947,228,736,458,1033,420,682,842
770,1877,597,462,940,486,739,476,1065,420,682,842
718,1921,605,462,919,507,700,476,1065,425,683,843
717,1922,605,319,1062,507,700,568,1065,476,683,842
717,1922,522,340,1073,533,725,694,1065,447,683,511
717,1882,433,378,1164,533,725,740,1052,446,683,398
689,1565,777,344,1100,632,725,740,649,446,683,368
689,1565,777,315,1129,632,725,739,420,446,683,368
720,1453,885,319,1129,626,731,646,428,446,683,367
722,1379,1024,299,1151,627,735,648,491,446,680,317
634,1376,1110,304,1151,627,735,650,491,456,680,275
634,1261,1225,304,1151,627,735,650,491,379,655,280
727,1249,1237,238,1151,693,735,650,491,360,715,323
762,1249,1237,238,1151,693,735,650,491,360,747,383
762,1249,1237,231,1158,693,735,556,510,374,752,424
762,1249,1199,267,1160,693,732,556,510,375,784,477
799,1247,1196,272,1160,693,552,558,511,375,934,481
730,1206,1302,276,1160,693,475,600,515,375,995,481
526,1386,1326,276,1160,693,471,605,515,318,990,483
525,1387,1326,276,1160,693,471,605,515,318,977,476
512,1212,1474,317,1088,765,471,605,679,318,969,476
511,858,1829,317,958,866,500,605,682,151,976,465
507,839,1722,447,953,871,373,605,702,380,977,455
523,763,1777,468,931,893,311,605,760,352,961,438
531,812,1787,468,852,972,289,605,734,352,928,493
518,825,1784,471,724,1100,228,639,689,352,927,338
385,959,1784,471,716,1106,198,684,637,338,739,402
406,959,1761,494,716,1096,190,761,611,333,490,471
423,959,1761,494,716,1008,275,942,609,333,489,522
394,988,1719,536,716,947,276,771,542,333,485,547
519,989,1658,597,716,947,267,740,505,406,421,547
627,951,1696,597,716,947,228,806,506,409,416,552
708,770,1877,597,462,940,486,788,457,509,423,552
804,718,1921,605,462,919,507,845,569,615,422,561
858,717,1922,605,319,1062,507,797,618,592,422,561
1013,717,1922,522,340,1073,533,671,668,624,485,563
1046,717,1882,433,378,1164,533,628,674,624,485,573
1134,689,1565,777,344,1100,632,629,674,680,565,573
1138,689,1565,777,315,1129,632,639,674,690,580,573
1108,720,1453,885,319,1129,626,642,670,690,580,647
