Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
961,118,1748,124,438,753,517,1413
928,174,1748,122,493,695,703,1416
927,193,1748,122,338,713,671,1465
739,381,1736,134,402,766,647,1651
490,630,1682,188,471,839,640,1702
489,609,1670,222,522,848,640,1720
485,613,1391,501,547,795,629,1666
421,677,1391,482,547,834,558,1716
416,682,1391,465,552,828,403,1739
423,682,1390,465,552,810,366,1857
422,683,1390,461,561,842,366,1886
422,683,1376,475,561,852,365,2073
485,683,1320,531,563,852,363,2089
485,683,1239,612,573,854,381,2072
565,683,1234,617,573,843,381,2111
580,683,1138,713,573,811,418,2138
580,683,1020,831,647,789,418,2154
628,680,1022,832,665,715,496,2127
636,680,1020,834,680,651,555,2080
695,655,867,1012,675,742,561,2049
697,715,878,1021,632,733,563,2049
758,747,860,1044,572,594,563,2034
782,752,842,1062,539,607,563,1984
776,784,772,1132,486,619,565,1742
885,934,771,1113,482,629,592,1731
851,995,771,1113,520,592,592,1697
927,990,527,1363,518,592,624,1406
929,977,434,1469,542,616,673,1228
929,969,358,1553,569,499,717,1123
947,976,358,1539,593,481,695,1132
946,977,184,1666,593,440,680,1141
947,961,118,1748,593,438,678,1144
924,928,174,1748,499,457,501,1209
906,927,193,1748,607,452,492,1188
993,739,381,1736,619,399,432,1005
1105,490,630,1682,666,326,409,953
1122,489,609,1670,671,317,409,935
1128,485,613,1391,668,317,409,935
1196,421,677,1391,668,275,409,872
1279,416,682,1391,699,275,409,849
1278,423,682,1390,699,274,409,731
1278,422,683,1390,689,228,409,702
1320,422,683,1376,689,218,415,515
1292,485,683,1320,687,218,433,504
1293,485,683,1239,677,216,549,504
1213,565,683,1234,677,216,648,469
1198,580,683,1138,689,216,612,479
1242,580,683,1020,680,272,612,437
1194,628,680,1022,667,356,534,338
1186,636,680,1020,660,440,475,331
1127,695,655,867,680,344,477,331
1045,697,715,878,680,344,574,387
947,758,747,860,680,344,587,412
918,782,752,842,672,346,587,511
892,776,784,772,672,365,608,509
633,885,934,771,672,402,581,524
606,851,995,771,634,419,585,530
529,927,990,527,642,419,553,572
527,929,977,434,645,395,588,619
527,929,969,358,629,411,567,624
502,947,976,358,606,411,567,758
627,946,977,184,640,411,565,841
705,947,961,118,704,433,521,875
803,924,928,174,721,441,521,1048
832,906,927,193,595,428,522,1354
757,993,739,381,502,433,522,1398
714,1105,490,630,386,433,522,1532
707,1122,489,609,336,485,538,1532
777,1128,485,613,314,485,576,1532
709,1196,421,677,314,486,577,1532
704,1279,416,682,278,517,660,1532
706,1278,423,682,278,517,683,1532
735,1278,422,683,278,532,703,1532
731,1320,422,683,319,538,901,1532
698,1292,485,683,319,578,1050,1527
704,1293,485,683,319,578,1017,1528
712,1213,565,683,319,578,985,1521
712,1198,580,683,307,578,1026,1493
668,1242,580,683,247,522,1079,1489
746,1194,628,680,374,515,1118,1489
904,1186,636,680,374,513,1127,1489
959,1127,695,655,354,506,1179,1517
1014,1045,697,715,380,650,1086,1506
1015,947,758,747,387,650,1073,1500
1015,918,782,752,387,635,1073,1372
1015,892,776,784,387,608,1050,1371
1015,633,885,934,387,562,1072,1332
1015,606,851,995,391,545,1080,1318
1015,529,927,990,384,545,1102,1241
1036,527,929,977,357,545,1026,1213
1036,527,929,969,346,530,1016,1279
1039,502,947,976,345,528,1017,1151
914,627,946,977,311,530,1017,1058
836,705,947,961,247,525,1049,1020
738,803,924,928,230,500,1091,782
709,832,906,927,230,516,1091,550
697,757,993,739,230,513,1091,564
628,714,1105,490,230,513,1091,437
622,707,1122,489,224,461,1075,438
591,777,1128,485,224,461,1042,438
601,709,1196,421,225,460,1082,443
707,704,1279,416,246,429,1059,445
706,706,1278,423,258,429,1036,445
704,735,1278,422,270,479,1021,445
801,731,1320,422,229,518,817,445
914,698,1292,485,239,593,650,445
930,704,1293,485,239,726,549,443
1066,712,1213,565,240,745,482,443
1066,712,1198,580,431,746,440,434
1066,668,1242,580,444,746,387,434
988,746,1194,628,339,666,348,434
830,904,1186,636,427,605,339,434
775,959,1127,695,433,609,279,406
720,1014,1045,697,417,526,273,361
732,1015,947,758,446,558,273,342
732,1015,918,782,446,558,293,314
777,1015,892,776,446,555,293,312
880,1015,633,885,446,555,273,312
999,1015,606,851,442,555,292,312
1016,1015,529,927,441,568,271,286
1042,1036,527,929,464,568,271,267
1206,1036,527,929,486,567,314,198
1294,1039,502,947,515,567,313,324
1328,914,627,946,522,565,313,366
1412,836,705,947,674,548,281,367
1412,738,803,924,674,553,230,364
1429,709,832,906,675,543,235,262
1499,697,757,993,687,544,241,329
1523,628,714,1105,691,550,266,322
1519,622,707,1122,762,554,266,321
1509,591,777,1128,822,560,263,321
1499,601,709,1196,832,560,228,316
1315,707,704,1279,817,573,168,317
1308,706,706,1278,805,594,255,317
1281,704,735,1278,793,529,251,317
1146,801,731,1320,793,484,251,317
1031,914,698,1292,783,369,251,317
1008,930,704,1293,783,236,251,317
870,1066,712,1213,782,217,251,317
920,1066,712,1198,591,216,251,317
955,1066,668,1242,573,216,290,317
992,988,746,1194,591,216,362,317
992,830,904,1186,516,187,396,317
1207,775,959,1127,510,190,443,317
1211,720,1014,1045,500,129,447,317
1219,732,1015,947,634,106,447,317
1224,732,1015,918,717,106,427,402
1179,777,1015,892,721,162,427,438
1076,880,1015,633,768,184,425,438
976,999,1015,606,805,189,394,440
972,1016,1015,529,875,227,393,440
954,1042,1036,527,958,252,385,471
831,1206,1036,527,950,252,329,469
740,1294,1039,502,1056,252,329,422
706,1328,914,627,1104,252,415,409
621,1412,836,705,977,252,417,409
621,1412,738,803,977,263,453,409
604,1429,709,832,976,265,517,410
534,1499,697,757,964,318,526,282
510,1523,628,714,960,340,512,282
510,1519,622,707,889,342,529,282
475,1509,591,777,829,336,527,282
475,1499,601,709,818,336,523,285
475,1315,707,704,815,323,523,282
475,1308,706,706,823,302,436,282
475,1281,704,735,846,302,435,282
475,1146,801,731,856,302,435,282
475,1031,914,698,915,342,435,282
475,1008,930,704,922,383,435,282
469,870,1066,712,922,383,443,282
419,920,1066,712,922,406,472,282
384,955,1066,668,922,470,515,282
347,992,988,746,877,476,446,282
347,992,830,904,906,476,412,283
132,1207,775,959,906,460,514,284
128,1211,720,1014,906,463,510,284
107,1219,732,1015,736,455,510,284
102,1224,732,1015,653,564,510,202
102,1179,777,1015,682,568,510,287
102,1076,880,1015,635,545,542,299
83,976,999,1015,598,551,563,326
136,972,1016,1015,528,500,569,370
107,954,1042,1036,520,475,569,518
66,831,1206,1036,517,475,571,525
66,740,1294,1039,382,475,571,432
66,706,1328,914,327,545,523,403
90,621,1412,836,302,568,538,402
92,621,1412,738,317,559,503,402
92,604,1429,709,317,565,502,401
198,534,1499,697,317,607,694,401
279,510,1523,628,427,590,892,405
370,510,1519,622,432,584,877,413
370,475,1509,591,432,584,877,413
398,475,1499,601,432,584,984,410
413,475,1315,707,557,584,984,452
433,475,1308,706,571,677,992,464
444,475,1281,704,548,766,992,500
479,475,1146,801,538,766,992,500
638,475,1031,914,876,726,992,506
724,475,1008,930,869,685,992,574
724,469,870,1066,908,685,984,821
762,419,920,1066,959,662,955,1091
902,384,955,1066,1144,723,873,1091
903,347,992,988,1191,721,870,1121
903,347,992,830,1160,722,870,1158
903,132,1207,775,1173,737,721,1157
903,128,1211,720,1197,734,721,1247
951,107,1219,732,1247,733,721,1247
1112,102,1224,732,1385,624,721,1244
1159,102,1179,777,1384,563,721,1123
1177,102,1076,880,1384,563,689,1111
1183,83,976,999,1487,796,668,1179
1123,136,972,1016,1512,796,675,1135
1195,107,954,1042,1428,796,675,956
1443,66,831,1206,1468,796,673,949
1443,66,740,1294,1468,796,707,984
1443,66,706,1328,1468,772,669,1005
1419,90,621,1412,1470,749,710,1022
1417,92,621,1412,1456,740,709,1046
1417,92,604,1429,1456,758,640,1046
1311,198,534,1499,1456,660,433,1046
1261,279,510,1523,1346,649,224,1131
1204,370,510,1519,1341,649,222,1123
1278,370,475,1509,1341,649,295,1161
1250,398,475,1499,1341,649,208,1161
1235,413,475,1315,1213,649,299,1120
1220,433,475,1308,1191,556,291,1108
1237,444,475,1281,1288,468,291,1240
1290,479,475,1146,1338,468,291,1240
1175,638,475,1031,941,468,291,1234
1213,724,475,1008,941,468,291,1230
1267,724,469,870,1017,468,305,983
1230,762,419,920,1114,468,326,713
1122,902,384,955,929,343,326,713
1173,903,347,992,898,339,327,683
1266,903,347,992,879,338,423,645
1383,903,132,1207,866,323,423,645
1425,903,128,1211,842,323,444,555
1448,951,107,1219,933,325,444,555
1409,1112,102,1224,803,326,444,555
1376,1159,102,1179,782,326,444,555
1399,1177,102,1076,782,376,444,555
1401,1183,83,976,681,334,444,458
1398,1123,136,972,656,392,431,484
1374,1195,107,954,642,456,484,523
1320,1443,66,831,591,505,587,549
1495,1443,66,740,591,505,568,537
1529,1443,66,706,591,493,606,611
1589,1419,90,621,608,507,548,594
1618,1417,92,621,624,759,548,570
1618,1417,92,604,625,772,623,570
1713,1311,198,534,629,848,671,570
1689,1261,279,510,629,848,695,481
1656,1204,370,510,629,848,705,481
1583,1278,370,475,629,848,634,443
1591,1250,398,475,629,848,614,443
1593,1235,413,475,629,848,523,442
1588,1220,433,475,629,848,523,442
1560,1237,444,475,532,847,523,274
1472,1290,479,475,482,847,523,281
1428,1175,638,475,482,847,525,281
1304,1213,724,475,482,957,661,217
1307,1267,724,469,367,957,715,217
1382,1230,762,419,219,1024,724,232
1417,1122,902,384,219,1024,776,392
1369,1173,903,347,223,1024,775,392
1313,1266,903,347,223,1027,679,392
1197,1383,903,132,223,1076,679,396
1155,1425,903,128,223,1093,681,398
1084,1448,951,107,82,1091,689,471
962,1409,1112,102,88,1134,689,493
992,1376,1159,102,124,1273,689,493
995,1399,1177,102,124,1657,689,493
987,1401,1183,83,122,1456,689,532
984,1398,1123,136,122,1398,689,506
936,1374,1195,107,134,1334,636,467
834,1320,1443,66,188,1285,533,441
659,1495,1443,66,222,1286,525,417
625,1529,1443,66,501,1252,506,322
565,1589,1419,90,482,1297,506,322
840,1618,1417,92,465,1045,506,322
881,1618,1417,92,465,1055,454,322
810,1713,1311,198,461,1007,406,322
899,1689,1261,279,475,1007,382,322
907,1656,1204,370,531,1007,499,322
906,1583,1278,370,612,1019,497,322
903,1591,1250,398,617,1032,567,322
901,1593,1235,413,713,1135,654,322
901,1588,1220,433,831,1249,682,322
952,1560,1237,444,832,1249,682,322
1009,1472,1290,479,834,1249,863,315
1035,1428,1175,638,1012,1249,900,494
1035,1304,1213,724,1021,1139,995,623
1028,1307,1267,724,1044,1160,927,623
963,1382,1230,762,1062,1093,1010,608
974,1417,1122,902,1132,1093,982,448
1304,1369,1173,903,1113,1093,982,448
1268,1313,1266,903,1113,1092,983,448
1267,1197,1383,903,1363,1044,1022,444
1267,1155,1425,903,1469,1087,1097,442
1267,1084,1448,951,1553,1087,1112,369
1267,962,1409,1112,1539,1043,1124,347
1223,992,1376,1159,1666,904,1221,356
1179,995,1399,1177,1748,470,1249,506
1179,987,1401,1183,1748,469,1278,473
1179,984,1398,1123,1748,469,1278,473
1179,936,1374,1195,1736,469,1278,473
1087,834,1320,1443,1682,469,1278,473
1196,659,1495,1443,1670,468,1271,473
1202,625,1529,1443,1391,468,1252,473
1207,565,1589,1419,1391,409,1252,473
912,840,1618,1417,1391,409,1252,482
871,881,1618,1417,1390,354,1229,629
847,810,1713,1311,1390,326,1229,629
751,899,1689,1261,1376,327,1229,629
771,907,1656,1204,1320,658,1233,658
772,906,1583,1278,1239,759,1239,658
767,903,1591,1250,1234,776,1167,658
767,901,1593,1235,1138,673,1081,658
767,901,1588,1220,1020,560,1053,658
716,952,1560,1237,1022,610,1056,658
659,1009,1472,1290,1020,652,875,658
710,1035,1428,1175,867,652,836,479
729,1035,1304,1213,878,652,641,350
679,1028,1307,1267,860,631,641,350
668,963,1382,1230,842,631,539,350
590,974,1417,1122,772,631,518,350
256,1304,1369,1173,771,631,537,382
255,1268,1313,1266,771,629,654,388
312,1267,1197,1383,527,628,620,388
312,1267,1155,1425,434,575,562,388
312,1267,1084,1448,358,575,539,388
479,1267,962,1409,358,586,549,390
489,1223,992,1376,184,596,453,400
530,1179,995,1399,118,613,427,250
530,1179,987,1401,174,652,456,244
530,1179,984,1398,193,825,456,285
544,1179,936,1374,381,842,456,369
549,1087,834,1320,630,842,456,399
440,1196,659,1495,609,842,456,399
434,1202,625,1529,613,842,509,410
429,1207,565,1589,677,842,512,481
420,912,840,1618,682,842,518,627
420,871,881,1618,682,842,537,517
425,847,810,1713,683,843,551,517
476,751,899,1689,683,842,551,518
447,771,907,1656,683,511,420,491
446,772,906,1583,683,398,414,491
446,767,903,1591,683,368,425,491
446,767,901,1593,683,368,456,491
446,767,901,1588,683,367,478,491
446,716,952,1560,680,317,552,491
456,659,1009,1472,680,275,624,491
379,710,1035,1428,655,280,645,491
360,729,1035,1304,715,323,618,491
360,679,1028,1307,747,383,757,491
374,668,963,1382,752,424,746,491
375,590,974,1417,784,477,743,491
375,256,1304,1369,934,481,724,459
375,255,1268,1313,995,481,643,453
318,312,1267,1197,990,483,638,453
318,312,1267,1155,977,476,598,453
318,312,1267,1084,969,476,715,453
151,479,1267,962,976,465,713,473
380,489,1223,992,977,455,753,471
352,530,1179,995,961,438,753,517
352,530,1179,987,928,493,695,703
352,530,1179,984,927,338,713,671
338,544,1179,936,739,402,766,647
333,549,1087,834,490,471,839,640
333,440,1196,659,489,522,848,640
333,434,1202,625,485,547,795,629
406,429,1207,565,421,547,834,558
409,420,912,840,416,552,828,403
509,420,871,881,423,552,810,366
615,425,847,810,422,561,842,366
592,476,751,899,422,561,852,365
624,447,771,907,485,563,852,363
624,446,772,906,485,573,854,381
680,446,767,903,565,573,843,381
690,446,767,901,580,573,811,418
690,446,767,901,580,647,789,418
690,446,716,952,628,665,715,496
680,456,659,1009,636,680,651,555
680,379,710,1035,695,675,742,561
826,360,729,1035,697,632,733,563
832,360,679,1028,758,572,594,563
856,374,668,963,782,539,607,563
855,375,590,974,776,486,619,565
873,375,256,1304,885,482,629,592
873,375,255,1268,851,520,592,592
893,318,312,1267,927,518,592,624
937,318,312,1267,929,542,616,673
946,318,312,1267,929,569,499,717
946,151,479,1267,947,593,481,695
716,380,489,1223,946,593,440,680
707,352,530,1179,947,593,438,678
826,352,530,1179,924,499,457,501
1158,352,530,1179,906,607,452,492
1221,338,544,1179,993,619,399,432
1252,333,549,1087,1105,666,326,409
1270,333,440,1196,1122,671,317,409
1373,333,434,1202,1128,668,317,409
1403,406,429,1207,1196,668,275,409
1452,409,420,912,1279,699,275,409
1500,509,420,871,1278,699,274,409
1412,615,425,847,1278,689,228,409
1394,592,476,751,1320,689,218,415
1362,624,447,771,1292,687,218,433
1362,624,446,772,1293,677,216,549
1306,680,446,767,1213,677,216,648
1296,690,446,767,1198,689,216,612
1296,690,446,767,1242,680,272,612
1296,690,446,716,1194,667,356,534
1296,680,456,659,1186,660,440,475
1296,680,379,710,1127,680,344,477
1150,826,360,729,1045,680,344,574
1144,832,360,679,947,680,344,587
1106,856,374,668,918,672,346,587
1106,855,375,590,892,672,365,608
1088,873,375,256,633,672,402,581
1088,873,375,255,606,634,419,585
1090,893,318,312,529,642,419,553
1047,937,318,312,527,645,395,588
1040,946,318,312,527,629,411,567
1108,946,151,479,502,606,411,567
1111,716,380,489,627,640,411,565
1108,707,352,530,705,704,433,521
989,826,352,530,803,721,441,521
657,1158,352,530,832,595,428,522
610,1221,338,544,757,502,433,522
580,1252,333,549,714,386,433,522
667,1270,333,440,707,336,485,538
588,1373,333,434,777,314,485,576
546,1403,406,429,709,314,486,577
497,1452,409,420,704,278,517,660
389,1500,509,420,706,278,517,683
367,1412,615,425,735,278,532,703
411,1394,592,476,731,319,538,901
430,1362,624,447,698,319,578,1050
430,1362,624,446,704,319,578,1017
434,1306,680,446,712,319,578,985
448,1296,690,446,712,307,578,1026
534,1296,690,446,668,247,522,1079
654,1296,690,446,746,374,515,1118
683,1296,680,456,904,374,513,1127
690,1296,680,379,959,354,506,1179
694,1150,826,360,1014,380,650,1086
748,1144,832,360,1015,387,650,1073
803,1106,856,374,1015,387,635,1073
803,1106,855,375,1015,387,608,1050
815,1088,873,375,1015,387,562,1072
815,1088,873,375,1015,391,545,1080
793,1090,893,318,1015,384,545,1102
792,1047,937,318,1036,357,545,1026
790,1040,946,318,1036,346,530,1016
722,1108,946,151,1039,345,528,1017
746,1111,716,380,914,311,530,1017
780,1108,707,352,836,247,525,1049
991,989,826,352,738,230,500,1091
994,657,1158,352,709,230,516,1091
978,610,1221,338,697,230,513,1091
1049,580,1252,333,628,230,513,1091
1086,667,1270,333,622,224,461,1075
1304,588,1373,333,591,224,461,1042
1243,546,1403,406,601,225,460,1082
1240,497,1452,409,707,246,429,1059
1200,389,1500,509,706,258,429,1036
1199,367,1412,615,704,270,479,1021
1145,411,1394,592,801,229,518,817
1126,430,1362,624,914,239,593,650
1126,430,1362,624,930,239,726,549
1122,434,1306,680,1066,240,745,482
1108,448,1296,690,1066,431,746,440
1022,534,1296,690,1066,444,746,387
