Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2
1267,1155,1425,903,128,1211,720,1014,1045,697,1469,1087
1267,1084,1448,951,107,1219,732,1015,947,758,1553,1087
1267,962,1409,1112,102,1224,732,1015,918,782,1539,1043
1223,992,1376,1159,102,1179,777,1015,892,776,1666,904
1179,995,1399,1177,102,1076,880,1015,633,885,1748,470
1179,987,1401,1183,83,976,999,1015,606,851,1748,469
1179,984,1398,1123,136,972,1016,1015,529,927,1748,469
1179,936,1374,1195,107,954,1042,1036,527,929,1736,469
1087,834,1320,1443,66,831,1206,1036,527,929,1682,469
1196,659,1495,1443,66,740,1294,1039,502,947,1670,468
1202,625,1529,1443,66,706,1328,914,627,946,1391,468
1207,565,1589,1419,90,621,1412,836,705,947,1391,409
912,840,1618,1417,92,621,1412,738,803,924,1391,409
871,881,1618,1417,92,604,1429,709,832,906,1390,354
847,810,1713,1311,198,534,1499,697,757,993,1390,326
751,899,1689,1261,279,510,1523,628,714,1105,1376,327
771,907,1656,1204,370,510,1519,622,707,1122,1320,658
772,906,1583,1278,370,475,1509,591,777,1128,1239,759
767,903,1591,1250,398,475,1499,601,709,1196,1234,776
767,901,1593,1235,413,475,1315,707,704,1279,1138,673
767,901,1588,1220,433,475,1308,706,706,1278,1020,560
716,952,1560,1237,444,475,1281,704,735,1278,1022,610
659,1009,1472,1290,479,475,1146,801,731,1320,1020,652
710,1035,1428,1175,638,475,1031,914,698,1292,867,652
729,1035,1304,1213,724,475,1008,930,704,1293,878,652
679,1028,1307,1267,724,469,870,1066,712,1213,860,631
668,963,1382,1230,762,419,920,1066,712,1198,842,631
590,974,1417,1122,902,384,955,1066,668,1242,772,631
256,1304,1369,1173,903,347,992,988,746,1194,771,631
255,1268,1313,1266,903,347,992,830,904,1186,771,629
312,1267,1197,1383,903,132,1207,775,959,1127,527,628
312,1267,1155,1425,903,128,1211,720,1014,1045,434,575
312,1267,1084,1448,951,107,1219,732,1015,947,358,575
479,1267,962,1409,1112,102,1224,732,1015,918,358,586
489,1223,992,1376,1159,102,1179,777,1015,892,184,596
530,1179,995,1399,1177,102,1076,880,1015,633,118,613
530,1179,987,1401,1183,83,976,999,1015,606,174,652
530,1179,984,1398,1123,136,972,1016,1015,529,193,825
544,1179,936,1374,1195,107,954,1042,1036,527,381,842
549,1087,834,1320,1443,66,831,1206,1036,527,630,842
440,1196,659,1495,1443,66,740,1294,1039,502,609,842
434,1202,625,1529,1443,66,706,1328,914,627,613,842
429,1207,565,1589,1419,90,621,1412,836,705,677,842
420,912,840,1618,1417,92,621,1412,738,803,682,842
420,871,881,1618,1417,92,604,1429,709,832,682,842
425,847,810,1713,1311,198,534,1499,697,757,683,843
476,751,899,1689,1261,279,510,1523,628,714,683,842
447,771,907,1656,1204,370,510,1519,622,707,683,511
446,772,906,1583,1278,370,475,1509,591,777,683,398
446,767,903,1591,1250,398,475,1499,601,709,683,368
446,767,901,1593,1235,413,475,1315,707,704,683,368
446,767,901,1588,1220,433,475,1308,706,706,683,367
446,716,952,1560,1237,444,475,1281,704,735,680,317
456,659,1009,1472,1290,479,475,1146,801,731,680,275
379,710,1035,1428,1175,638,475,1031,914,698,655,280
360,729,1035,1304,1213,724,475,1008,930,704,715,323
360,679,1028,1307,1267,724,469,870,1066,712,747,383
374,668,963,1382,1230,762,419,920,1066,712,752,424
375,590,974,1417,1122,902,384,955,1066,668,784,477
375,256,1304,1369,1173,903,347,992,988,746,934,481
375,255,1268,1313,1266,903,347,992,830,904,995,481
318,312,1267,1197,1383,903,132,1207,775,959,990,483
318,312,1267,1155,1425,903,128,1211,720,1014,977,476
318,312,1267,1084,1448,951,107,1219,732,1015,969,476
151,479,1267,962,1409,1112,102,1224,732,1015,976,465
380,489,1223,992,1376,1159,102,1179,777,1015,977,455
352,530,1179,995,1399,1177,102,1076,880,1015,961,438
352,530,1179,987,1401,1183,83,976,999,1015,928,493
352,530,1179,984,1398,1123,136,972,1016,1015,927,338
338,544,1179,936,1374,1195,107,954,1042,1036,739,402
333,549,1087,834,1320,1443,66,831,1206,1036,490,471
333,440,1196,659,1495,1443,66,740,1294,1039,489,522
333,434,1202,625,1529,1443,66,706,1328,914,485,547
406,429,1207,565,1589,1419,90,621,1412,836,421,547
409,420,912,840,1618,1417,92,621,1412,738,416,552
509,420,871,881,1618,1417,92,604,1429,709,423,552
615,425,847,810,1713,1311,198,534,1499,697,422,561
592,476,751,899,1689,1261,279,510,1523,628,422,561
624,447,771,907,1656,1204,370,510,1519,622,485,563
624,446,772,906,1583,1278,370,475,1509,591,485,573
680,446,767,903,1591,1250,398,475,1499,601,565,573
