Accum_y-0,T-1,Accum_y-1
5.880533e+00,5.598422e+00,5.645447e+00
5.996452e+00,5.533389e+00,5.645447e+00
6.047372e+00,5.337538e+00,5.645447e+00
6.248043e+00,5.337538e+00,5.645447e+00
6.416732e+00,5.337538e+00,5.662960e+00
6.536692e+00,5.337538e+00,5.749393e+00
6.740519e+00,5.323010e+00,5.749393e+00
6.818924e+00,5.298317e+00,5.749393e+00
6.821107e+00,5.267858e+00,5.749393e+00
6.821107e+00,5.267858e+00,5.863631e+00
6.867974e+00,5.267858e+00,5.886104e+00
6.867974e+00,5.267858e+00,5.966147e+00
7.084226e+00,5.267858e+00,5.886104e+00
7.084226e+00,5.257495e+00,5.799093e+00
7.078342e+00,5.288267e+00,5.659482e+00
7.142037e+00,5.081404e+00,5.416100e+00
7.192934e+00,4.890349e+00,5.036953e+00
7.192934e+00,4.890349e+00,5.036953e+00
7.190676e+00,4.779123e+00,4.969813e+00
7.213768e+00,4.779123e+00,4.969813e+00
7.172425e+00,5.159055e+00,5.225747e+00
7.167809e+00,5.384495e+00,5.225747e+00
7.150701e+00,5.472271e+00,5.225747e+00
7.086738e+00,5.758902e+00,5.225747e+00
7.086738e+00,5.758902e+00,5.187386e+00
7.121252e+00,5.755742e+00,5.231109e+00
7.140453e+00,5.755742e+00,5.231109e+00
7.142827e+00,5.755742e+00,5.231109e+00
7.138867e+00,5.743003e+00,5.384495e+00
7.121252e+00,5.529429e+00,5.541264e+00
7.074963e+00,5.762051e+00,5.897154e+00
7.137278e+00,5.880533e+00,6.052089e+00
7.101676e+00,5.996452e+00,6.052089e+00
7.084226e+00,6.047372e+00,6.070738e+00
7.002156e+00,6.248043e+00,6.070738e+00
6.911747e+00,6.416732e+00,6.059123e+00
6.830874e+00,6.536692e+00,5.996452e+00
6.646391e+00,6.740519e+00,5.996452e+00
6.552508e+00,6.818924e+00,5.996452e+00
6.551080e+00,6.821107e+00,5.996452e+00
6.551080e+00,6.821107e+00,5.897154e+00
6.552508e+00,6.867974e+00,5.874931e+00
6.556778e+00,6.867974e+00,6.075346e+00
6.156979e+00,7.084226e+00,6.075346e+00
6.625392e+00,7.084226e+00,6.075346e+00
6.648985e+00,7.078342e+00,6.190315e+00
6.543912e+00,7.142037e+00,6.190315e+00
6.562444e+00,7.192934e+00,6.269096e+00
6.620073e+00,7.192934e+00,6.445720e+00
6.617403e+00,7.190676e+00,6.450470e+00
6.575076e+00,7.213768e+00,6.473891e+00
6.575076e+00,7.172425e+00,6.415097e+00
6.708084e+00,7.167809e+00,6.513230e+00
6.711740e+00,7.150701e+00,6.513230e+00
6.790097e+00,7.086738e+00,6.566672e+00
6.790097e+00,7.086738e+00,6.548219e+00
6.753438e+00,7.121252e+00,6.536692e+00
6.870053e+00,7.140453e+00,6.587550e+00
6.866933e+00,7.142827e+00,6.608001e+00
6.860664e+00,7.138867e+00,6.633318e+00
6.877296e+00,7.121252e+00,6.625392e+00
7.060476e+00,7.074963e+00,6.761573e+00
6.987490e+00,7.137278e+00,6.698268e+00
6.988413e+00,7.101676e+00,7.000334e+00
6.988413e+00,7.084226e+00,7.003974e+00
7.049255e+00,7.002156e+00,7.004882e+00
7.049255e+00,6.911747e+00,7.006695e+00
7.049255e+00,6.830874e+00,7.006695e+00
7.049255e+00,6.646391e+00,7.007601e+00
7.050989e+00,6.552508e+00,7.007601e+00
7.095064e+00,6.551080e+00,7.059618e+00
7.095893e+00,6.551080e+00,7.059618e+00
7.057898e+00,6.552508e+00,7.059618e+00
7.055313e+00,6.556778e+00,6.961296e+00
7.055313e+00,6.156979e+00,6.961296e+00
6.776507e+00,6.625392e+00,6.961296e+00
6.887553e+00,6.648985e+00,6.909753e+00
6.945051e+00,6.543912e+00,6.909753e+00
6.867974e+00,6.562444e+00,6.869014e+00
6.967909e+00,6.620073e+00,6.756932e+00
6.976348e+00,6.617403e+00,6.753438e+00
6.979145e+00,6.575076e+00,6.755769e+00
7.055313e+00,6.575076e+00,6.749931e+00
7.102499e+00,6.708084e+00,6.699500e+00
7.318540e+00,6.711740e+00,6.725034e+00
7.372746e+00,6.790097e+00,6.698268e+00
7.386471e+00,6.790097e+00,6.698268e+00
7.383368e+00,6.753438e+00,6.842683e+00
