Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1
219,359,1369,347,1034,782
219,339,1359,377,1034,820
219,339,1255,480,1035,824
211,337,1248,495,944,824
211,337,1166,577,909,804
211,337,1026,717,909,797
211,337,919,809,924,790
181,367,844,883,888,807
181,342,868,884,888,784
102,391,898,882,890,816
94,399,896,883,891,821
124,388,900,887,893,645
154,358,928,889,893,628
197,358,928,852,930,688
259,358,928,851,915,697
330,358,878,901,848,736
330,355,770,1010,850,739
297,378,708,1092,849,700
297,378,705,1091,832,700
297,378,705,1086,820,725
297,378,476,1314,821,725
297,378,428,1335,722,725
297,370,428,1203,754,725
317,370,309,1293,702,731
297,388,311,1287,612,735
292,375,309,1306,559,735
292,312,347,1325,410,735
287,297,316,1365,388,735
295,296,321,1364,306,735
295,215,351,1415,302,735
283,219,359,1384,332,732
283,219,359,1369,347,552
283,219,339,1359,377,475
283,219,339,1255,480,471
288,211,337,1248,495,471
314,211,337,1166,577,471
314,211,337,1026,717,500
314,211,337,919,809,373
314,181,367,844,883,311
352,181,342,868,884,289
360,102,391,898,882,228
390,94,399,896,883,198
360,124,388,900,887,190
330,154,358,928,889,275
287,197,358,928,852,276
225,259,358,928,851,267
154,330,358,878,901,228
154,330,355,770,1010,486
144,297,378,708,1092,507
144,297,378,705,1091,507
186,297,378,705,1086,533
186,297,378,476,1314,533
186,297,378,428,1335,632
186,297,370,428,1203,632
179,317,370,309,1293,626
187,297,388,311,1287,627
187,292,375,309,1306,627
187,292,312,347,1325,627
218,287,297,316,1365,693
255,295,296,321,1364,693
364,295,215,351,1415,693
425,283,219,359,1384,693
425,283,219,359,1369,693
433,283,219,339,1359,693
433,283,219,339,1255,693
428,288,211,337,1248,693
402,314,211,337,1166,765
402,314,211,337,1026,866
402,314,211,337,919,871
402,314,181,367,844,893
364,352,181,342,868,972
356,360,102,391,898,1100
435,390,94,399,896,1106
435,360,124,388,900,1096
435,330,154,358,928,1008
488,287,197,358,928,947
488,225,259,358,928,947
528,154,330,358,878,947
630,154,330,355,770,940
633,144,297,378,708,919
648,144,297,378,705,1062
611,186,297,378,705,1073
674,186,297,378,476,1164
674,186,297,378,428,1100
711,186,297,370,428,1129
698,179,317,370,309,1129
690,187,297,388,311,1151
726,187,292,375,309,1151
741,187,292,312,347,1151
760,218,287,297,316,1151
754,255,295,296,321,1151
864,364,295,215,351,1158
811,425,283,219,359,1160
1097,425,283,219,359,1160
1101,433,283,219,339,1160
1102,433,283,219,339,1160
1104,428,288,211,337,1160
1104,402,314,211,337,1088
1105,402,314,211,337,958
1105,402,314,211,337,953
1164,402,314,181,367,931
1164,364,352,181,342,852
1164,356,360,102,391,724
1055,435,390,94,399,716
1055,435,360,124,388,716
1055,435,330,154,358,716
1002,488,287,197,358,716
1002,488,225,259,358,716
962,528,154,330,358,716
860,630,154,330,355,462
857,633,144,297,378,462
859,648,144,297,378,319
854,611,186,297,378,340
812,674,186,297,378,378
833,674,186,297,378,344
811,711,186,297,370,315
811,698,179,317,370,319
937,690,187,297,388,299
1032,726,187,292,375,304
1032,741,187,292,312,304
989,760,218,287,297,238
946,754,255,295,296,238
729,864,364,295,215,231
735,811,425,283,219,267
451,1097,425,283,219,272
458,1101,433,283,219,276
457,1102,433,283,219,276
467,1104,428,288,211,276
552,1104,402,314,211,317
590,1105,402,314,211,317
590,1105,402,314,211,447
531,1164,402,314,181,468
536,1164,364,352,181,468
536,1164,356,360,102,471
536,1055,435,390,94,471
542,1055,435,360,124,494
598,1055,435,330,154,494
729,1002,488,287,197,536
829,1002,488,225,259,597
832,962,528,154,330,597
971,860,630,154,330,597
1021,857,633,144,297,605
1004,859,648,144,297,605
1004,854,611,186,297,522
997,812,674,186,297,433
977,833,674,186,297,777
980,811,711,186,297,777
980,811,698,179,317,885
854,937,690,187,297,1024
725,1032,726,187,292,1110
710,1032,741,187,292,1225
705,989,760,218,287,1237
700,946,754,255,295,1237
728,729,864,364,295,1237
714,735,811,425,283,1199
712,451,1097,425,283,1196
718,458,1101,433,283,1302
753,457,1102,433,283,1326
805,467,1104,428,288,1326
861,552,1104,402,314,1474
822,590,1105,402,314,1829
822,590,1105,402,314,1722
822,531,1164,402,314,1777
817,536,1164,364,352,1787
817,536,1164,356,360,1784
817,536,1055,435,390,1784
811,542,1055,435,360,1761
770,598,1055,435,330,1761
639,729,1002,488,287,1719
540,829,1002,488,225,1658
579,832,962,528,154,1696
440,971,860,630,154,1877
401,1021,857,633,144,1921
402,1004,859,648,144,1922
656,1004,854,611,186,1922
642,997,812,674,186,1882
651,977,833,674,186,1565
633,980,811,711,186,1565
633,980,811,698,179,1453
633,854,937,690,187,1379
676,725,1032,726,187,1376
734,710,1032,741,187,1261
753,705,989,760,218,1249
753,700,946,754,255,1249
723,728,729,864,364,1249
723,714,735,811,425,1249
723,712,451,1097,425,1247
698,718,458,1101,433,1206
663,753,457,1102,433,1386
599,805,467,1104,428,1387
458,861,552,1104,402,1212
458,822,590,1105,402,858
458,822,590,1105,402,839
458,822,531,1164,402,763
458,817,536,1164,364,812
458,817,536,1164,356,825
458,817,536,1055,435,959
458,811,542,1055,435,959
443,770,598,1055,435,959
501,639,729,1002,488,988
505,540,829,1002,488,989
478,579,832,962,528,951
500,440,971,860,630,770
490,401,1021,857,633,718
490,402,1004,859,648,717
237,656,1004,854,611,717
239,642,997,812,674,717
229,651,977,833,674,689
229,633,980,811,711,689
229,633,980,811,698,720
229,633,854,937,690,722
245,676,725,1032,726,634
270,734,710,1032,741,634
251,753,705,989,760,727
251,753,700,946,754,762
251,723,728,729,864,762
251,723,714,735,811,762
255,723,712,451,1097,799
279,698,718,458,1101,730
279,663,753,457,1102,526
279,599,805,467,1104,525
279,458,861,552,1104,512
283,458,822,590,1105,511
295,458,822,590,1105,507
295,458,822,531,1164,523
295,458,817,536,1164,531
299,458,817,536,1164,518
310,458,817,536,1055,385
336,458,811,542,1055,406
369,443,770,598,1055,423
311,501,639,729,1002,394
306,505,540,829,1002,519
293,478,579,832,962,627
271,500,440,971,860,708
270,490,401,1021,857,804
269,490,402,1004,859,858
268,237,656,1004,854,1013
266,239,642,997,812,1046
266,229,651,977,833,1134
266,229,633,980,811,1138
266,229,633,980,811,1108
266,229,633,854,937,1034
207,245,676,725,1032,1034
126,270,734,710,1032,1035
124,251,753,705,989,944
124,251,753,700,946,909
124,251,723,728,729,909
124,251,723,714,735,924
120,255,723,712,451,888
