Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1
704,735,1278,422,683,1390,461,629,1456,317,964,687,270
801,731,1320,422,683,1376,475,629,1346,427,960,691,229
914,698,1292,485,683,1320,531,629,1341,432,889,762,239
930,704,1293,485,683,1239,612,629,1341,432,829,822,239
1066,712,1213,565,683,1234,617,629,1341,432,818,832,240
1066,712,1198,580,683,1138,713,629,1213,557,815,817,431
1066,668,1242,580,683,1020,831,629,1191,571,823,805,444
988,746,1194,628,680,1022,832,532,1288,548,846,793,339
830,904,1186,636,680,1020,834,482,1338,538,856,793,427
775,959,1127,695,655,867,1012,482,941,876,915,783,433
720,1014,1045,697,715,878,1021,482,941,869,922,783,417
732,1015,947,758,747,860,1044,367,1017,908,922,782,446
732,1015,918,782,752,842,1062,219,1114,959,922,591,446
777,1015,892,776,784,772,1132,219,929,1144,922,573,446
880,1015,633,885,934,771,1113,223,898,1191,877,591,446
999,1015,606,851,995,771,1113,223,879,1160,906,516,442
1016,1015,529,927,990,527,1363,223,866,1173,906,510,441
1042,1036,527,929,977,434,1469,223,842,1197,906,500,464
1206,1036,527,929,969,358,1553,82,933,1247,736,634,486
1294,1039,502,947,976,358,1539,88,803,1385,653,717,515
1328,914,627,946,977,184,1666,124,782,1384,682,721,522
1412,836,705,947,961,118,1748,124,782,1384,635,768,674
1412,738,803,924,928,174,1748,122,681,1487,598,805,674
1429,709,832,906,927,193,1748,122,656,1512,528,875,675
1499,697,757,993,739,381,1736,134,642,1428,520,958,687
1523,628,714,1105,490,630,1682,188,591,1468,517,950,691
1519,622,707,1122,489,609,1670,222,591,1468,382,1056,762
1509,591,777,1128,485,613,1391,501,591,1468,327,1104,822
1499,601,709,1196,421,677,1391,482,608,1470,302,977,832
1315,707,704,1279,416,682,1391,465,624,1456,317,977,817
1308,706,706,1278,423,682,1390,465,625,1456,317,976,805
1281,704,735,1278,422,683,1390,461,629,1456,317,964,793
1146,801,731,1320,422,683,1376,475,629,1346,427,960,793
1031,914,698,1292,485,683,1320,531,629,1341,432,889,783
1008,930,704,1293,485,683,1239,612,629,1341,432,829,783
870,1066,712,1213,565,683,1234,617,629,1341,432,818,782
920,1066,712,1198,580,683,1138,713,629,1213,557,815,591
955,1066,668,1242,580,683,1020,831,629,1191,571,823,573
992,988,746,1194,628,680,1022,832,532,1288,548,846,591
992,830,904,1186,636,680,1020,834,482,1338,538,856,516
1207,775,959,1127,695,655,867,1012,482,941,876,915,510
1211,720,1014,1045,697,715,878,1021,482,941,869,922,500
1219,732,1015,947,758,747,860,1044,367,1017,908,922,634
1224,732,1015,918,782,752,842,1062,219,1114,959,922,717
1179,777,1015,892,776,784,772,1132,219,929,1144,922,721
1076,880,1015,633,885,934,771,1113,223,898,1191,877,768
976,999,1015,606,851,995,771,1113,223,879,1160,906,805
972,1016,1015,529,927,990,527,1363,223,866,1173,906,875
954,1042,1036,527,929,977,434,1469,223,842,1197,906,958
831,1206,1036,527,929,969,358,1553,82,933,1247,736,950
740,1294,1039,502,947,976,358,1539,88,803,1385,653,1056
706,1328,914,627,946,977,184,1666,124,782,1384,682,1104
621,1412,836,705,947,961,118,1748,124,782,1384,635,977
621,1412,738,803,924,928,174,1748,122,681,1487,598,977
604,1429,709,832,906,927,193,1748,122,656,1512,528,976
534,1499,697,757,993,739,381,1736,134,642,1428,520,964
510,1523,628,714,1105,490,630,1682,188,591,1468,517,960
510,1519,622,707,1122,489,609,1670,222,591,1468,382,889
475,1509,591,777,1128,485,613,1391,501,591,1468,327,829
475,1499,601,709,1196,421,677,1391,482,608,1470,302,818
475,1315,707,704,1279,416,682,1391,465,624,1456,317,815
475,1308,706,706,1278,423,682,1390,465,625,1456,317,823
475,1281,704,735,1278,422,683,1390,461,629,1456,317,846
475,1146,801,731,1320,422,683,1376,475,629,1346,427,856
475,1031,914,698,1292,485,683,1320,531,629,1341,432,915
475,1008,930,704,1293,485,683,1239,612,629,1341,432,922
469,870,1066,712,1213,565,683,1234,617,629,1341,432,922
419,920,1066,712,1198,580,683,1138,713,629,1213,557,922
384,955,1066,668,1242,580,683,1020,831,629,1191,571,922
347,992,988,746,1194,628,680,1022,832,532,1288,548,877
347,992,830,904,1186,636,680,1020,834,482,1338,538,906
132,1207,775,959,1127,695,655,867,1012,482,941,876,906
128,1211,720,1014,1045,697,715,878,1021,482,941,869,906
107,1219,732,1015,947,758,747,860,1044,367,1017,908,736
102,1224,732,1015,918,782,752,842,1062,219,1114,959,653
102,1179,777,1015,892,776,784,772,1132,219,929,1144,682
102,1076,880,1015,633,885,934,771,1113,223,898,1191,635
83,976,999,1015,606,851,995,771,1113,223,879,1160,598
136,972,1016,1015,529,927,990,527,1363,223,866,1173,528
107,954,1042,1036,527,929,977,434,1469,223,842,1197,520
66,831,1206,1036,527,929,969,358,1553,82,933,1247,517
66,740,1294,1039,502,947,976,358,1539,88,803,1385,382
66,706,1328,914,627,946,977,184,1666,124,782,1384,327
90,621,1412,836,705,947,961,118,1748,124,782,1384,302
92,621,1412,738,803,924,928,174,1748,122,681,1487,317
92,604,1429,709,832,906,927,193,1748,122,656,1512,317
198,534,1499,697,757,993,739,381,1736,134,642,1428,317
279,510,1523,628,714,1105,490,630,1682,188,591,1468,427
370,510,1519,622,707,1122,489,609,1670,222,591,1468,432
370,475,1509,591,777,1128,485,613,1391,501,591,1468,432
398,475,1499,601,709,1196,421,677,1391,482,608,1470,432
413,475,1315,707,704,1279,416,682,1391,465,624,1456,557
433,475,1308,706,706,1278,423,682,1390,465,625,1456,571
444,475,1281,704,735,1278,422,683,1390,461,629,1456,548
479,475,1146,801,731,1320,422,683,1376,475,629,1346,538
638,475,1031,914,698,1292,485,683,1320,531,629,1341,876
724,475,1008,930,704,1293,485,683,1239,612,629,1341,869
724,469,870,1066,712,1213,565,683,1234,617,629,1341,908
762,419,920,1066,712,1198,580,683,1138,713,629,1213,959
902,384,955,1066,668,1242,580,683,1020,831,629,1191,1144
903,347,992,988,746,1194,628,680,1022,832,532,1288,1191
903,347,992,830,904,1186,636,680,1020,834,482,1338,1160
903,132,1207,775,959,1127,695,655,867,1012,482,941,1173
903,128,1211,720,1014,1045,697,715,878,1021,482,941,1197
951,107,1219,732,1015,947,758,747,860,1044,367,1017,1247
1112,102,1224,732,1015,918,782,752,842,1062,219,1114,1385
1159,102,1179,777,1015,892,776,784,772,1132,219,929,1384
1177,102,1076,880,1015,633,885,934,771,1113,223,898,1384
1183,83,976,999,1015,606,851,995,771,1113,223,879,1487
1123,136,972,1016,1015,529,927,990,527,1363,223,866,1512
1195,107,954,1042,1036,527,929,977,434,1469,223,842,1428
1443,66,831,1206,1036,527,929,969,358,1553,82,933,1468
1443,66,740,1294,1039,502,947,976,358,1539,88,803,1468
1443,66,706,1328,914,627,946,977,184,1666,124,782,1468
1419,90,621,1412,836,705,947,961,118,1748,124,782,1470
1417,92,621,1412,738,803,924,928,174,1748,122,681,1456
1417,92,604,1429,709,832,906,927,193,1748,122,656,1456
1311,198,534,1499,697,757,993,739,381,1736,134,642,1456
1261,279,510,1523,628,714,1105,490,630,1682,188,591,1346
1204,370,510,1519,622,707,1122,489,609,1670,222,591,1341
1278,370,475,1509,591,777,1128,485,613,1391,501,591,1341
1250,398,475,1499,601,709,1196,421,677,1391,482,608,1341
1235,413,475,1315,707,704,1279,416,682,1391,465,624,1213
1220,433,475,1308,706,706,1278,423,682,1390,465,625,1191
1237,444,475,1281,704,735,1278,422,683,1390,461,629,1288
1290,479,475,1146,801,731,1320,422,683,1376,475,629,1338
1175,638,475,1031,914,698,1292,485,683,1320,531,629,941
1213,724,475,1008,930,704,1293,485,683,1239,612,629,941
1267,724,469,870,1066,712,1213,565,683,1234,617,629,1017
1230,762,419,920,1066,712,1198,580,683,1138,713,629,1114
1122,902,384,955,1066,668,1242,580,683,1020,831,629,929
1173,903,347,992,988,746,1194,628,680,1022,832,532,898
1266,903,347,992,830,904,1186,636,680,1020,834,482,879
1383,903,132,1207,775,959,1127,695,655,867,1012,482,866
1425,903,128,1211,720,1014,1045,697,715,878,1021,482,842
1448,951,107,1219,732,1015,947,758,747,860,1044,367,933
1409,1112,102,1224,732,1015,918,782,752,842,1062,219,803
1376,1159,102,1179,777,1015,892,776,784,772,1132,219,782
1399,1177,102,1076,880,1015,633,885,934,771,1113,223,782
1401,1183,83,976,999,1015,606,851,995,771,1113,223,681
1398,1123,136,972,1016,1015,529,927,990,527,1363,223,656
1374,1195,107,954,1042,1036,527,929,977,434,1469,223,642
1320,1443,66,831,1206,1036,527,929,969,358,1553,82,591
1495,1443,66,740,1294,1039,502,947,976,358,1539,88,591
1529,1443,66,706,1328,914,627,946,977,184,1666,124,591
1589,1419,90,621,1412,836,705,947,961,118,1748,124,608
1618,1417,92,621,1412,738,803,924,928,174,1748,122,624
1618,1417,92,604,1429,709,832,906,927,193,1748,122,625
1713,1311,198,534,1499,697,757,993,739,381,1736,134,629
1689,1261,279,510,1523,628,714,1105,490,630,1682,188,629
1656,1204,370,510,1519,622,707,1122,489,609,1670,222,629
1583,1278,370,475,1509,591,777,1128,485,613,1391,501,629
1591,1250,398,475,1499,601,709,1196,421,677,1391,482,629
1593,1235,413,475,1315,707,704,1279,416,682,1391,465,629
1588,1220,433,475,1308,706,706,1278,423,682,1390,465,629
1560,1237,444,475,1281,704,735,1278,422,683,1390,461,532
1472,1290,479,475,1146,801,731,1320,422,683,1376,475,482
1428,1175,638,475,1031,914,698,1292,485,683,1320,531,482
1304,1213,724,475,1008,930,704,1293,485,683,1239,612,482
1307,1267,724,469,870,1066,712,1213,565,683,1234,617,367
1382,1230,762,419,920,1066,712,1198,580,683,1138,713,219
1417,1122,902,384,955,1066,668,1242,580,683,1020,831,219
1369,1173,903,347,992,988,746,1194,628,680,1022,832,223
1313,1266,903,347,992,830,904,1186,636,680,1020,834,223
1197,1383,903,132,1207,775,959,1127,695,655,867,1012,223
1155,1425,903,128,1211,720,1014,1045,697,715,878,1021,223
1084,1448,951,107,1219,732,1015,947,758,747,860,1044,82
962,1409,1112,102,1224,732,1015,918,782,752,842,1062,88
992,1376,1159,102,1179,777,1015,892,776,784,772,1132,124
995,1399,1177,102,1076,880,1015,633,885,934,771,1113,124
987,1401,1183,83,976,999,1015,606,851,995,771,1113,122
984,1398,1123,136,972,1016,1015,529,927,990,527,1363,122
936,1374,1195,107,954,1042,1036,527,929,977,434,1469,134
834,1320,1443,66,831,1206,1036,527,929,969,358,1553,188
659,1495,1443,66,740,1294,1039,502,947,976,358,1539,222
625,1529,1443,66,706,1328,914,627,946,977,184,1666,501
565,1589,1419,90,621,1412,836,705,947,961,118,1748,482
840,1618,1417,92,621,1412,738,803,924,928,174,1748,465
881,1618,1417,92,604,1429,709,832,906,927,193,1748,465
810,1713,1311,198,534,1499,697,757,993,739,381,1736,461
899,1689,1261,279,510,1523,628,714,1105,490,630,1682,475
907,1656,1204,370,510,1519,622,707,1122,489,609,1670,531
906,1583,1278,370,475,1509,591,777,1128,485,613,1391,612
903,1591,1250,398,475,1499,601,709,1196,421,677,1391,617
901,1593,1235,413,475,1315,707,704,1279,416,682,1391,713
901,1588,1220,433,475,1308,706,706,1278,423,682,1390,831
952,1560,1237,444,475,1281,704,735,1278,422,683,1390,832
1009,1472,1290,479,475,1146,801,731,1320,422,683,1376,834
1035,1428,1175,638,475,1031,914,698,1292,485,683,1320,1012
1035,1304,1213,724,475,1008,930,704,1293,485,683,1239,1021
1028,1307,1267,724,469,870,1066,712,1213,565,683,1234,1044
963,1382,1230,762,419,920,1066,712,1198,580,683,1138,1062
974,1417,1122,902,384,955,1066,668,1242,580,683,1020,1132
1304,1369,1173,903,347,992,988,746,1194,628,680,1022,1113
1268,1313,1266,903,347,992,830,904,1186,636,680,1020,1113
1267,1197,1383,903,132,1207,775,959,1127,695,655,867,1363
1267,1155,1425,903,128,1211,720,1014,1045,697,715,878,1469
1267,1084,1448,951,107,1219,732,1015,947,758,747,860,1553
1267,962,1409,1112,102,1224,732,1015,918,782,752,842,1539
1223,992,1376,1159,102,1179,777,1015,892,776,784,772,1666
1179,995,1399,1177,102,1076,880,1015,633,885,934,771,1748
1179,987,1401,1183,83,976,999,1015,606,851,995,771,1748
1179,984,1398,1123,136,972,1016,1015,529,927,990,527,1748
1179,936,1374,1195,107,954,1042,1036,527,929,977,434,1736
1087,834,1320,1443,66,831,1206,1036,527,929,969,358,1682
1196,659,1495,1443,66,740,1294,1039,502,947,976,358,1670
1202,625,1529,1443,66,706,1328,914,627,946,977,184,1391
1207,565,1589,1419,90,621,1412,836,705,947,961,118,1391
912,840,1618,1417,92,621,1412,738,803,924,928,174,1391
871,881,1618,1417,92,604,1429,709,832,906,927,193,1390
847,810,1713,1311,198,534,1499,697,757,993,739,381,1390
751,899,1689,1261,279,510,1523,628,714,1105,490,630,1376
771,907,1656,1204,370,510,1519,622,707,1122,489,609,1320
772,906,1583,1278,370,475,1509,591,777,1128,485,613,1239
767,903,1591,1250,398,475,1499,601,709,1196,421,677,1234
767,901,1593,1235,413,475,1315,707,704,1279,416,682,1138
767,901,1588,1220,433,475,1308,706,706,1278,423,682,1020
716,952,1560,1237,444,475,1281,704,735,1278,422,683,1022
659,1009,1472,1290,479,475,1146,801,731,1320,422,683,1020
710,1035,1428,1175,638,475,1031,914,698,1292,485,683,867
729,1035,1304,1213,724,475,1008,930,704,1293,485,683,878
679,1028,1307,1267,724,469,870,1066,712,1213,565,683,860
668,963,1382,1230,762,419,920,1066,712,1198,580,683,842
590,974,1417,1122,902,384,955,1066,668,1242,580,683,772
256,1304,1369,1173,903,347,992,988,746,1194,628,680,771
255,1268,1313,1266,903,347,992,830,904,1186,636,680,771
312,1267,1197,1383,903,132,1207,775,959,1127,695,655,527
312,1267,1155,1425,903,128,1211,720,1014,1045,697,715,434
312,1267,1084,1448,951,107,1219,732,1015,947,758,747,358
479,1267,962,1409,1112,102,1224,732,1015,918,782,752,358
489,1223,992,1376,1159,102,1179,777,1015,892,776,784,184
530,1179,995,1399,1177,102,1076,880,1015,633,885,934,118
530,1179,987,1401,1183,83,976,999,1015,606,851,995,174
530,1179,984,1398,1123,136,972,1016,1015,529,927,990,193
544,1179,936,1374,1195,107,954,1042,1036,527,929,977,381
549,1087,834,1320,1443,66,831,1206,1036,527,929,969,630
440,1196,659,1495,1443,66,740,1294,1039,502,947,976,609
434,1202,625,1529,1443,66,706,1328,914,627,946,977,613
429,1207,565,1589,1419,90,621,1412,836,705,947,961,677
420,912,840,1618,1417,92,621,1412,738,803,924,928,682
420,871,881,1618,1417,92,604,1429,709,832,906,927,682
425,847,810,1713,1311,198,534,1499,697,757,993,739,683
476,751,899,1689,1261,279,510,1523,628,714,1105,490,683
447,771,907,1656,1204,370,510,1519,622,707,1122,489,683
446,772,906,1583,1278,370,475,1509,591,777,1128,485,683
446,767,903,1591,1250,398,475,1499,601,709,1196,421,683
446,767,901,1593,1235,413,475,1315,707,704,1279,416,683
446,767,901,1588,1220,433,475,1308,706,706,1278,423,683
446,716,952,1560,1237,444,475,1281,704,735,1278,422,680
456,659,1009,1472,1290,479,475,1146,801,731,1320,422,680
379,710,1035,1428,1175,638,475,1031,914,698,1292,485,655
360,729,1035,1304,1213,724,475,1008,930,704,1293,485,715
360,679,1028,1307,1267,724,469,870,1066,712,1213,565,747
374,668,963,1382,1230,762,419,920,1066,712,1198,580,752
375,590,974,1417,1122,902,384,955,1066,668,1242,580,784
375,256,1304,1369,1173,903,347,992,988,746,1194,628,934
375,255,1268,1313,1266,903,347,992,830,904,1186,636,995
318,312,1267,1197,1383,903,132,1207,775,959,1127,695,990
318,312,1267,1155,1425,903,128,1211,720,1014,1045,697,977
318,312,1267,1084,1448,951,107,1219,732,1015,947,758,969
151,479,1267,962,1409,1112,102,1224,732,1015,918,782,976
380,489,1223,992,1376,1159,102,1179,777,1015,892,776,977
352,530,1179,995,1399,1177,102,1076,880,1015,633,885,961
352,530,1179,987,1401,1183,83,976,999,1015,606,851,928
352,530,1179,984,1398,1123,136,972,1016,1015,529,927,927
338,544,1179,936,1374,1195,107,954,1042,1036,527,929,739
333,549,1087,834,1320,1443,66,831,1206,1036,527,929,490
333,440,1196,659,1495,1443,66,740,1294,1039,502,947,489
333,434,1202,625,1529,1443,66,706,1328,914,627,946,485
406,429,1207,565,1589,1419,90,621,1412,836,705,947,421
409,420,912,840,1618,1417,92,621,1412,738,803,924,416
509,420,871,881,1618,1417,92,604,1429,709,832,906,423
615,425,847,810,1713,1311,198,534,1499,697,757,993,422
592,476,751,899,1689,1261,279,510,1523,628,714,1105,422
624,447,771,907,1656,1204,370,510,1519,622,707,1122,485
624,446,772,906,1583,1278,370,475,1509,591,777,1128,485
680,446,767,903,1591,1250,398,475,1499,601,709,1196,565
690,446,767,901,1593,1235,413,475,1315,707,704,1279,580
690,446,767,901,1588,1220,433,475,1308,706,706,1278,580
690,446,716,952,1560,1237,444,475,1281,704,735,1278,628
680,456,659,1009,1472,1290,479,475,1146,801,731,1320,636
680,379,710,1035,1428,1175,638,475,1031,914,698,1292,695
826,360,729,1035,1304,1213,724,475,1008,930,704,1293,697
832,360,679,1028,1307,1267,724,469,870,1066,712,1213,758
856,374,668,963,1382,1230,762,419,920,1066,712,1198,782
855,375,590,974,1417,1122,902,384,955,1066,668,1242,776
873,375,256,1304,1369,1173,903,347,992,988,746,1194,885
873,375,255,1268,1313,1266,903,347,992,830,904,1186,851
893,318,312,1267,1197,1383,903,132,1207,775,959,1127,927
937,318,312,1267,1155,1425,903,128,1211,720,1014,1045,929
946,318,312,1267,1084,1448,951,107,1219,732,1015,947,929
946,151,479,1267,962,1409,1112,102,1224,732,1015,918,947
716,380,489,1223,992,1376,1159,102,1179,777,1015,892,946
707,352,530,1179,995,1399,1177,102,1076,880,1015,633,947
826,352,530,1179,987,1401,1183,83,976,999,1015,606,924
1158,352,530,1179,984,1398,1123,136,972,1016,1015,529,906
1221,338,544,1179,936,1374,1195,107,954,1042,1036,527,993
1252,333,549,1087,834,1320,1443,66,831,1206,1036,527,1105
1270,333,440,1196,659,1495,1443,66,740,1294,1039,502,1122
1373,333,434,1202,625,1529,1443,66,706,1328,914,627,1128
1403,406,429,1207,565,1589,1419,90,621,1412,836,705,1196
1452,409,420,912,840,1618,1417,92,621,1412,738,803,1279
1500,509,420,871,881,1618,1417,92,604,1429,709,832,1278
1412,615,425,847,810,1713,1311,198,534,1499,697,757,1278
1394,592,476,751,899,1689,1261,279,510,1523,628,714,1320
1362,624,447,771,907,1656,1204,370,510,1519,622,707,1292
1362,624,446,772,906,1583,1278,370,475,1509,591,777,1293
1306,680,446,767,903,1591,1250,398,475,1499,601,709,1213
1296,690,446,767,901,1593,1235,413,475,1315,707,704,1198
1296,690,446,767,901,1588,1220,433,475,1308,706,706,1242
1296,690,446,716,952,1560,1237,444,475,1281,704,735,1194
1296,680,456,659,1009,1472,1290,479,475,1146,801,731,1186
1296,680,379,710,1035,1428,1175,638,475,1031,914,698,1127
1150,826,360,729,1035,1304,1213,724,475,1008,930,704,1045
1144,832,360,679,1028,1307,1267,724,469,870,1066,712,947
1106,856,374,668,963,1382,1230,762,419,920,1066,712,918
1106,855,375,590,974,1417,1122,902,384,955,1066,668,892
1088,873,375,256,1304,1369,1173,903,347,992,988,746,633
1088,873,375,255,1268,1313,1266,903,347,992,830,904,606
1090,893,318,312,1267,1197,1383,903,132,1207,775,959,529
1047,937,318,312,1267,1155,1425,903,128,1211,720,1014,527
1040,946,318,312,1267,1084,1448,951,107,1219,732,1015,527
1108,946,151,479,1267,962,1409,1112,102,1224,732,1015,502
1111,716,380,489,1223,992,1376,1159,102,1179,777,1015,627
1108,707,352,530,1179,995,1399,1177,102,1076,880,1015,705
989,826,352,530,1179,987,1401,1183,83,976,999,1015,803
657,1158,352,530,1179,984,1398,1123,136,972,1016,1015,832
610,1221,338,544,1179,936,1374,1195,107,954,1042,1036,757
580,1252,333,549,1087,834,1320,1443,66,831,1206,1036,714
667,1270,333,440,1196,659,1495,1443,66,740,1294,1039,707
588,1373,333,434,1202,625,1529,1443,66,706,1328,914,777
546,1403,406,429,1207,565,1589,1419,90,621,1412,836,709
497,1452,409,420,912,840,1618,1417,92,621,1412,738,704
389,1500,509,420,871,881,1618,1417,92,604,1429,709,706
367,1412,615,425,847,810,1713,1311,198,534,1499,697,735
411,1394,592,476,751,899,1689,1261,279,510,1523,628,731
430,1362,624,447,771,907,1656,1204,370,510,1519,622,698
430,1362,624,446,772,906,1583,1278,370,475,1509,591,704
434,1306,680,446,767,903,1591,1250,398,475,1499,601,712
448,1296,690,446,767,901,1593,1235,413,475,1315,707,712
534,1296,690,446,767,901,1588,1220,433,475,1308,706,668
654,1296,690,446,716,952,1560,1237,444,475,1281,704,746
683,1296,680,456,659,1009,1472,1290,479,475,1146,801,904
690,1296,680,379,710,1035,1428,1175,638,475,1031,914,959
694,1150,826,360,729,1035,1304,1213,724,475,1008,930,1014
748,1144,832,360,679,1028,1307,1267,724,469,870,1066,1015
803,1106,856,374,668,963,1382,1230,762,419,920,1066,1015
803,1106,855,375,590,974,1417,1122,902,384,955,1066,1015
815,1088,873,375,256,1304,1369,1173,903,347,992,988,1015
815,1088,873,375,255,1268,1313,1266,903,347,992,830,1015
793,1090,893,318,312,1267,1197,1383,903,132,1207,775,1015
792,1047,937,318,312,1267,1155,1425,903,128,1211,720,1036
790,1040,946,318,312,1267,1084,1448,951,107,1219,732,1036
722,1108,946,151,479,1267,962,1409,1112,102,1224,732,1039
746,1111,716,380,489,1223,992,1376,1159,102,1179,777,914
780,1108,707,352,530,1179,995,1399,1177,102,1076,880,836
991,989,826,352,530,1179,987,1401,1183,83,976,999,738
994,657,1158,352,530,1179,984,1398,1123,136,972,1016,709
978,610,1221,338,544,1179,936,1374,1195,107,954,1042,697
1049,580,1252,333,549,1087,834,1320,1443,66,831,1206,628
1086,667,1270,333,440,1196,659,1495,1443,66,740,1294,622
1304,588,1373,333,434,1202,625,1529,1443,66,706,1328,591
1243,546,1403,406,429,1207,565,1589,1419,90,621,1412,601
1240,497,1452,409,420,912,840,1618,1417,92,621,1412,707
1200,389,1500,509,420,871,881,1618,1417,92,604,1429,706
1199,367,1412,615,425,847,810,1713,1311,198,534,1499,704
1145,411,1394,592,476,751,899,1689,1261,279,510,1523,801
1126,430,1362,624,447,771,907,1656,1204,370,510,1519,914
1126,430,1362,624,446,772,906,1583,1278,370,475,1509,930
1122,434,1306,680,446,767,903,1591,1250,398,475,1499,1066
1108,448,1296,690,446,767,901,1593,1235,413,475,1315,1066
1022,534,1296,690,446,767,901,1588,1220,433,475,1308,1066
902,654,1296,690,446,716,952,1560,1237,444,475,1281,988
873,683,1296,680,456,659,1009,1472,1290,479,475,1146,830
866,690,1296,680,379,710,1035,1428,1175,638,475,1031,775
884,694,1150,826,360,729,1035,1304,1213,724,475,1008,720
830,748,1144,832,360,679,1028,1307,1267,724,469,870,732
775,803,1106,856,374,668,963,1382,1230,762,419,920,732
775,803,1106,855,375,590,974,1417,1122,902,384,955,777
763,815,1088,873,375,256,1304,1369,1173,903,347,992,880
776,815,1088,873,375,255,1268,1313,1266,903,347,992,999
835,793,1090,893,318,312,1267,1197,1383,903,132,1207,1016
835,792,1047,937,318,312,1267,1155,1425,903,128,1211,1042
914,790,1040,946,318,312,1267,1084,1448,951,107,1219,1206
1079,722,1108,946,151,479,1267,962,1409,1112,102,1224,1294
1071,746,1111,716,380,489,1223,992,1376,1159,102,1179,1328
1087,780,1108,707,352,530,1179,995,1399,1177,102,1076,1412
920,991,989,826,352,530,1179,987,1401,1183,83,976,1412
917,994,657,1158,352,530,1179,984,1398,1123,136,972,1429
917,978,610,1221,338,544,1179,936,1374,1195,107,954,1499
846,1049,580,1252,333,549,1087,834,1320,1443,66,831,1523
704,1086,667,1270,333,440,1196,659,1495,1443,66,740,1519
463,1304,588,1373,333,434,1202,625,1529,1443,66,706,1509
513,1243,546,1403,406,429,1207,565,1589,1419,90,621,1499
715,1240,497,1452,409,420,912,840,1618,1417,92,621,1315
786,1200,389,1500,509,420,871,881,1618,1417,92,604,1308
812,1199,367,1412,615,425,847,810,1713,1311,198,534,1281
863,1145,411,1394,592,476,751,899,1689,1261,279,510,1146
892,1126,430,1362,624,447,771,907,1656,1204,370,510,1031
1008,1126,430,1362,624,446,772,906,1583,1278,370,475,1008
1018,1122,434,1306,680,446,767,903,1591,1250,398,475,870
1018,1108,448,1296,690,446,767,901,1593,1235,413,475,920
1022,1022,534,1296,690,446,767,901,1588,1220,433,475,955
1055,902,654,1296,690,446,716,952,1560,1237,444,475,992
1231,873,683,1296,680,456,659,1009,1472,1290,479,475,992
1254,866,690,1296,680,379,710,1035,1428,1175,638,475,1207
1232,884,694,1150,826,360,729,1035,1304,1213,724,475,1211
1251,830,748,1144,832,360,679,1028,1307,1267,724,469,1219
1251,775,803,1106,856,374,668,963,1382,1230,762,419,1224
1256,775,803,1106,855,375,590,974,1417,1122,902,384,1179
1327,763,815,1088,873,375,256,1304,1369,1173,903,347,1076
1358,776,815,1088,873,375,255,1268,1313,1266,903,347,976
1299,835,793,1090,893,318,312,1267,1197,1383,903,132,972
1306,835,792,1047,937,318,312,1267,1155,1425,903,128,954
1233,914,790,1040,946,318,312,1267,1084,1448,951,107,831
