Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
358,928,910,510,1087,1412,674,548
358,878,901,632,920,1412,674,553
355,770,816,672,917,1429,675,543
378,708,692,720,917,1499,687,544
378,705,689,713,846,1523,691,550
378,705,652,765,704,1519,762,554
378,476,652,780,463,1509,822,560
378,428,652,837,513,1499,832,560
370,428,652,838,715,1315,817,573
370,309,652,743,786,1308,805,594
388,311,652,592,812,1281,793,529
375,309,651,571,863,1146,793,484
312,347,651,551,892,1031,783,369
297,316,651,548,1008,1008,783,236
296,321,632,548,1018,870,782,217
215,351,625,545,1018,920,591,216
219,359,628,477,1022,955,573,216
219,359,782,466,1055,992,591,216
219,339,820,466,1231,992,516,187
219,339,824,462,1254,1207,510,190
211,337,824,534,1232,1211,500,129
211,337,804,547,1251,1219,634,106
211,337,797,571,1251,1224,717,106
211,337,790,600,1256,1179,721,162
181,367,807,622,1327,1076,768,184
181,342,784,648,1358,976,805,189
102,391,816,654,1299,972,875,227
94,399,821,650,1306,954,958,252
124,388,645,650,1233,831,950,252
154,358,628,631,1068,740,1056,252
197,358,688,629,1040,706,1104,252
259,358,697,629,989,621,977,252
330,358,736,507,945,621,977,263
330,355,739,439,977,604,976,265
297,378,700,384,1094,534,964,318
297,378,700,388,1112,510,960,340
297,378,725,340,1112,510,889,342
297,378,725,326,1158,475,829,336
297,378,725,258,1108,475,818,336
297,370,725,257,917,475,815,323
317,370,731,250,852,475,823,302
297,388,735,247,888,475,846,302
292,375,735,247,930,475,856,302
292,312,735,247,927,475,915,342
287,297,735,290,811,475,922,383
295,296,735,492,801,469,922,383
295,215,735,578,803,419,922,406
283,219,732,578,857,384,922,470
283,219,552,578,825,347,877,476
283,219,475,578,696,347,906,476
283,219,471,578,673,132,906,460
288,211,471,505,685,128,906,463
314,211,471,492,674,107,736,455
314,211,500,448,674,102,653,564
314,211,373,471,669,102,682,568
314,181,311,451,598,102,635,545
352,181,289,479,716,83,598,551
360,102,228,473,724,136,528,500
390,94,198,473,730,107,520,475
360,124,190,473,747,66,517,475
330,154,275,473,747,66,382,475
287,197,276,473,747,66,327,545
225,259,267,473,747,90,302,568
154,330,228,475,747,92,317,559
154,330,486,475,715,92,317,565
144,297,507,475,598,198,317,607
144,297,507,476,579,279,427,590
186,297,533,540,579,370,432,584
186,297,533,683,532,370,432,584
186,297,632,721,532,398,432,584
186,297,632,776,521,413,557,584
179,317,626,776,515,433,571,677
187,297,627,935,453,444,548,766
187,292,627,983,360,479,538,766
187,292,627,983,392,638,876,726
218,287,693,945,418,724,869,685
255,295,693,743,423,724,908,685
364,295,693,662,437,762,959,662
425,283,693,662,379,902,1144,723
425,283,693,703,378,903,1191,721
433,283,693,703,331,903,1160,722
433,283,693,703,331,903,1173,737
428,288,693,703,326,903,1197,734
402,314,765,703,321,951,1247,733
402,314,866,709,330,1112,1385,624
402,314,871,639,367,1159,1384,563
402,314,893,648,386,1177,1384,563
364,352,972,594,291,1183,1487,796
356,360,1100,594,354,1123,1512,796
435,390,1106,594,341,1195,1428,796
435,360,1096,594,318,1443,1468,796
435,330,1008,594,330,1443,1468,796
488,287,947,594,345,1443,1468,772
488,225,947,594,345,1419,1470,749
528,154,947,592,567,1417,1456,740
630,154,940,650,653,1417,1456,758
633,144,919,685,658,1311,1456,660
648,144,1062,684,658,1261,1346,649
611,186,1073,661,658,1204,1341,649
674,186,1164,711,658,1278,1341,649
674,186,1100,757,658,1250,1341,649
711,186,1129,702,746,1235,1213,649
698,179,1129,702,746,1220,1191,556
690,187,1151,543,824,1237,1288,468
726,187,1151,879,841,1290,1338,468
741,187,1151,879,836,1175,941,468
760,218,1151,874,810,1213,941,468
754,255,1151,874,805,1267,1017,468
864,364,1158,869,846,1230,1114,468
811,425,1160,882,848,1122,929,343
1097,425,1160,889,848,1173,898,339
1101,433,1160,889,876,1266,879,338
1102,433,1160,889,876,1383,866,323
1104,428,1160,889,869,1425,842,323
1104,402,1088,905,1109,1448,933,325
1105,402,958,893,1100,1409,803,326
1105,402,953,892,1063,1376,782,326
1164,402,931,881,1044,1399,782,376
1164,364,852,888,977,1401,681,334
1164,356,724,888,906,1398,656,392
1055,435,716,888,906,1374,642,456
1055,435,716,888,1077,1320,591,505
1055,435,716,888,1153,1495,591,505
1002,488,716,888,1138,1529,591,493
1002,488,716,888,1138,1589,608,507
962,528,716,898,916,1618,624,759
860,630,462,892,870,1618,625,772
857,633,462,896,895,1713,629,848
859,648,319,933,895,1689,629,848
854,611,340,888,900,1656,629,848
812,674,378,694,967,1583,629,848
833,674,344,655,971,1591,629,848
811,711,315,750,883,1593,629,848
811,698,319,750,883,1588,629,848
937,690,299,750,805,1560,532,847
1032,726,304,366,808,1472,482,847
1032,741,304,471,765,1428,482,847
989,760,238,490,766,1304,482,957
946,754,238,508,832,1307,367,957
729,864,231,511,820,1382,219,1024
735,811,267,498,821,1417,219,1024
451,1097,272,508,821,1369,223,1024
458,1101,276,705,793,1313,223,1027
457,1102,276,727,793,1197,223,1076
467,1104,276,727,793,1155,223,1093
552,1104,317,711,622,1084,82,1091
590,1105,317,749,801,962,88,1134
590,1105,447,749,854,992,124,1273
531,1164,468,754,854,995,124,1657
536,1164,468,747,854,987,122,1456
536,1164,471,747,854,984,122,1398
536,1055,471,747,869,936,134,1334
542,1055,494,786,704,834,188,1285
598,1055,494,786,690,659,222,1286
729,1002,536,786,904,625,501,1252
829,1002,597,786,904,565,482,1297
832,962,597,776,904,840,465,1045
971,860,597,743,864,881,465,1055
1021,857,605,704,879,810,461,1007
1004,859,605,663,879,899,475,1007
1004,854,522,832,874,907,531,1007
997,812,433,855,828,906,612,1019
977,833,777,810,877,903,617,1032
980,811,777,935,880,901,713,1135
980,811,885,935,880,901,831,1249
854,937,1024,935,888,952,832,1249
725,1032,1110,935,869,1009,834,1249
710,1032,1225,830,865,1035,1012,1249
705,989,1237,811,864,1035,1021,1139
700,946,1237,793,839,1028,1044,1160
728,729,1237,790,812,963,1062,1093
714,735,1199,793,809,974,1132,1093
712,451,1196,735,922,1304,1113,1093
718,458,1302,538,922,1268,1113,1092
753,457,1326,516,941,1267,1363,1044
805,467,1326,533,943,1267,1469,1087
861,552,1474,533,871,1267,1553,1087
822,590,1829,495,692,1267,1539,1043
822,590,1722,495,639,1223,1666,904
822,531,1777,490,639,1179,1748,470
817,536,1787,490,639,1179,1748,469
817,536,1784,490,639,1179,1748,469
817,536,1784,591,627,1179,1736,469
811,542,1761,552,685,1087,1682,469
770,598,1761,626,687,1196,1670,468
639,729,1719,816,473,1202,1391,468
540,829,1658,819,683,1207,1391,409
579,832,1696,819,741,912,1391,409
440,971,1877,800,758,871,1390,354
401,1021,1921,800,713,847,1390,326
