Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2
845,476,800,704,896,685,475,569,615
797,568,800,663,933,684,476,618,592
671,694,631,832,888,661,540,668,624
628,740,608,855,694,711,683,674,624
629,740,608,810,655,757,721,674,680
639,739,389,935,750,702,776,674,690
642,646,482,935,750,702,776,670,690
802,648,482,935,750,543,935,634,690
955,650,482,935,366,879,983,634,680
955,650,482,830,471,879,983,640,680
955,650,482,811,490,874,945,642,826
955,650,482,793,508,874,743,648,832
955,556,576,790,511,869,662,657,856
959,556,573,793,498,882,662,720,855
1143,558,573,735,508,889,703,729,873
1155,600,573,538,705,889,703,737,873
1187,605,573,516,727,889,703,737,893
1189,605,556,533,727,889,703,737,937
1349,605,556,533,711,905,703,573,946
1453,605,556,495,749,893,709,570,946
1547,605,556,495,749,892,639,550,716
