Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3
859,1356,1921,366,615,97,662
859,1320,1762,546,613,73,671
918,1080,1930,618,644,73,671
910,874,2053,710,743,104,671
835,935,2024,753,734,104,687
792,978,1976,801,683,104,687
792,963,1983,809,763,167,687
734,970,2023,820,785,212,681
711,994,2022,800,787,225,676
711,981,2035,739,788,225,676
689,1003,2035,705,786,225,676
689,998,2036,665,921,227,676
731,998,2036,640,931,227,661
731,979,2008,657,996,283,656
731,974,1997,614,992,350,559
731,934,1967,682,983,355,456
731,878,1992,711,983,366,463
724,888,1991,747,921,366,437
700,884,2022,720,914,366,437
609,1047,2019,711,897,356,465
683,952,2226,712,854,358,491
679,1012,2271,709,754,358,504
719,969,2320,709,754,358,502
716,967,2221,808,698,347,501
716,890,2298,807,686,317,407
716,840,2325,823,681,310,296
716,823,2312,853,723,310,263
745,854,1778,1387,682,310,271
772,806,1715,1509,679,301,250
711,834,1732,1525,693,301,268
687,834,1464,1816,680,301,282
708,859,1356,1921,679,301,284
726,859,1320,1762,679,315,275
667,918,1080,1930,600,319,330
666,910,874,2053,499,288,330
666,835,935,2024,460,288,296
666,792,978,1976,523,288,296
666,792,963,1983,453,225,296
666,734,970,2023,482,197,296
665,711,994,2022,477,276,296
665,711,981,2035,534,298,296
665,689,1003,2035,506,323,315
665,689,998,2036,371,321,317
623,731,998,2036,361,335,561
623,731,979,2008,297,601,561
623,731,974,1997,297,910,560
623,731,934,1967,329,921,552
623,731,878,1992,329,917,541
653,724,888,1991,329,917,471
757,700,884,2022,329,917,471
806,609,1047,2019,362,957,443
621,683,952,2226,369,955,417
520,679,1012,2271,464,1044,404
474,719,969,2320,577,1046,404
473,716,967,2221,583,1046,404
473,716,890,2298,698,1041,404
473,716,840,2325,718,1041,386
509,716,823,2312,655,1041,404
449,745,854,1778,672,1130,557
421,772,806,1715,674,1193,557
438,711,834,1732,660,1256,537
470,687,834,1464,660,1256,590
448,708,859,1356,660,1294,576
449,726,859,1320,660,1280,591
472,667,918,1080,660,1276,540
512,666,910,874,794,1365,542
552,666,835,935,825,1391,561
599,666,792,978,926,1391,592
610,666,792,963,938,1391,677
610,666,734,970,898,1374,684
645,665,711,994,900,1281,684
645,665,711,981,840,1259,697
645,665,689,1003,840,1234,712
646,665,689,998,859,1293,724
646,623,731,998,864,1282,480
658,623,731,979,863,986,521
689,623,731,974,857,620,521
689,623,731,934,805,638,521
705,623,731,878,805,646,521
649,653,724,888,805,662,521
577,757,700,884,805,669,521
508,806,609,1047,772,629,521
506,621,683,952,765,629,521
506,520,679,1012,670,540,556
533,474,719,969,557,677,580
533,473,716,967,551,677,580
533,473,716,890,436,677,832
533,473,716,840,416,677,1213
497,509,716,823,416,677,1290
497,449,745,854,391,588,1129
487,421,772,806,388,532,1129
470,438,711,834,388,469,1129
438,470,687,834,388,469,1052
408,448,708,859,388,431,1052
389,449,726,859,388,431,1048
400,472,667,918,388,431,1072
384,512,666,910,254,342,1070
359,552,666,835,223,316,1091
312,599,666,792,59,320,1182
301,610,666,792,37,320,1191
301,610,666,734,65,320,1184
266,645,665,711,96,320,1184
266,645,665,711,97,320,1171
266,645,665,689,97,381,1258
272,646,665,689,78,322,1268
273,646,623,731,73,374,1378
261,658,623,731,73,351,1337
230,689,623,731,75,541,1339
268,689,623,731,75,512,1339
252,705,623,731,75,510,1344
252,649,653,724,75,494,1348
217,577,757,700,75,488,1349
158,508,806,609,77,640,1349
158,506,621,683,77,682,1349
158,506,520,679,77,707,1344
209,533,474,719,77,568,1320
209,533,473,716,77,568,1320
209,533,473,716,132,568,1129
209,533,473,716,132,608,748
293,497,509,716,132,626,653
350,497,449,745,132,763,653
358,487,421,772,142,900,653
358,470,438,711,142,900,653
358,438,470,687,185,1112,653
358,408,448,708,276,1139,663
358,389,449,726,352,1139,807
324,400,472,667,352,1139,779
300,384,512,666,352,1139,779
285,359,552,666,352,1139,739
285,312,599,666,352,1135,617
285,301,610,666,352,1135,523
382,301,610,666,406,1135,523
443,266,645,665,395,1135,523
443,266,645,665,394,1190,525
443,266,645,665,508,1140,464
436,272,646,665,569,1140,667
436,273,646,623,632,1086,573
436,261,658,623,632,1083,638
436,230,689,623,630,955,792
398,268,689,623,630,1028,792
398,252,705,623,630,1015,787
386,252,649,653,647,1015,783
386,217,577,757,647,1014,789
386,158,508,806,852,862,849
386,158,506,621,853,820,879
386,158,506,520,853,795,849
391,209,533,474,853,795,863
472,209,533,473,864,796,903
539,209,533,473,809,796,846
539,209,533,473,830,756,846
455,293,497,509,832,738,846
440,350,497,449,833,601,846
439,358,487,421,829,457,846
474,358,470,438,829,457,916
474,358,438,470,786,245,921
474,358,408,448,695,218,1049
474,358,389,449,619,218,952
475,324,400,472,619,218,1108
581,300,384,512,619,242,1121
581,285,359,552,619,242,1159
656,285,312,599,630,245,1159
656,285,301,610,709,245,1159
620,382,301,610,689,269,1161
740,443,266,645,793,376,1161
742,443,266,645,825,330,1159
780,443,266,645,877,418,1099
814,436,272,646,816,535,887
820,436,273,646,832,546,871
863,436,261,658,832,787,806
863,436,230,689,953,801,695
865,398,268,689,964,996,707
953,398,252,705,968,1001,707
955,386,252,649,965,1001,707
956,386,217,577,1015,1001,701
956,386,158,508,900,1001,641
956,386,158,506,950,1001,611
